3.75,Nice features but awkward interior,djfunkywill ,03/13/2015,,,3,5,5,5,,3,3,3,3,"I replaced my Toyota Solara convertible with this Volvo C70.  Despite similar horsepower, the Volvo seems to have quite a bit less pep.  I bought this car because it is nice looking and Volvo's reputation for safety and longevity.  Now that I've settled into the car, I've noticed that the interior is much smaller than my previous car.  I'm an average size male and I've got my seat quite far back.  Even this seat setting, I notice that my knuckles bump my leg when I make a turn.  I couldn't imagine transporting anyone other than a child in the rear.  It seems cramped on the inside but I hope to get used to it.","This car has the Dynaudio upgrade and it is nice.  If you enjoy your music with volume and bass, this system does well.  The HID headlamps make the night time seem like day although the bulb is about $100 to replace.  Even though it is turbo, regular unleaded gas can be safely used.","Interior is not only cramped, but awkward.  Although there are two cup holders between the seats, there is nowhere to put change or set an electronic device except for a bizarre shelf that is actually below and behind the dash.  "
4.25,Fun Pleasureable and reliable,fordmustang_27 ,02/20/2012,,,4,4,5,4,,4,4,5,4,"I bought this car used in march 2011. It came with 19,000 miles that woman put on before me. She traded it in and bought a new one. I compared this to the camaro, bmw and infiniti convertibles. These cars could not compete with the value and the feel of this car. The hard top convertible is amazing to watch go up and down. It has surprisingly good power with its 230 hp with its 2.5 liter turbo 5 cylinder. Still gets good gas mileage. I average 22 city and 28 highway driving slow like i normaly do. But I want to pass someone its very easy. Im at 30k miles and had no problems. Very reliable. Only thing its expensive to maintain. Around 200-600 dollars every time i bring it in. ","Looks, Power, and amazing hard top design",Nothing
4.5,"Liked it so much, I bought another!",4mercoachrick ,10/10/2011,,,4,5,5,5,,4,5,4,4,"We enjoyed our '08 C70 so much, we just purchased the slightly updated 2011 model.We kept the '08 for 3 1/2 years and just under 30K miles.It was never in the shop for anything other than scheduled maintenance and one warped brake rotor.The key-fob seat memory was a little balky...more of a nuisance than anything.Our avg mpg was 23ish for the total period, highway mileage was closer to 30 when we were trying to 'watch' it.After owning the '04 ragtop version of the C70, the '08 was superior in almost every way.Very solid with the top up or down...no problems with the top or its operation.The FWD can get a little 'slippy' if the driver sends too much power on slick roads, FYI.","Great top, very solid when up...stows away beautifully for top-down fun.
The '04 ragtop was the best of the four convertibles owned to date...the '08 hard top is in another league!
Premium stereo is very nice, although I've never owned a Volvo with a 'bad' stereo system other than my '72 145.

Plenty of power for 'normal' driving...more than enough for spirited highway driving.

Window-down from the key fob is a nice touch on hot days.
Trunk space is decent, making the most of the space available when the top is down.","After driving our 281hp XC60, I wouldn't mind if the C70 had a touch more power.
Slightly stiffer and/or adjustable suspension would tighten things up when needed.
Auto window-up when dropping the top is not needed; BUT an auto top down button on the key fob would be interesting.


By the bye, the above menu wouldn't let me choose 'automatic 6 speed trans', which is indeed what we have(NOT the manual)."
3.25,Never Again,bruceko1 ,08/11/2011,,,4,5,2,2,,3,4,2,4,"I purchased this car used with about 22k miles on it. It now has 36k miles.It's been in the shop twice to fix a front wheel/hub issue that impacted braking function and a third time to replace A/C compressor.A/C still doesn't work correctly and now check engine light is on.I've owned 50 plus vehicles before this one. I've never had a vehicle that required so much time in the shop.So 4 times in the shop in 14,000 miles.Can't wait for the next 14.I'll be dumping this pc of junk before the warranty expires.","I do like the look of the car, but afraid even that has worn off.","Just about everything mechanical, including where you placed the interior air filter (under the gas pedal) causing a $250.00 replacement cost every 6 months or so.
"
5,Dream Car,Al ,10/23/2010,,,5,5,5,5,,5,5,5,5,"We just purchased the car today and took it fir a long drive down Cutler Road in Miami what an sunny day and nice breeze off the bay.  We have not driven and enjoyed time together like that with my wife in a long time,  With the top down we felt we were sailing in time,  I want to Thank Phil at Deel Volvo for his patience and honesty they all made the process so simple and honest.  I will give you all an updates as the weeks pass,  ","The roof up or down especially dow,  /sound system the sterio with the tog down",Can't think of any well designed car
3.125,Never Again,Brian ,09/22/2010,,,2,5,1,1,,4,4,4,4,"I was never more excited to get behind of the wheel of this car.  It's sexy in black with a white interior.  Although the inside isn't much to write home about, the outside catches eyes.  That's about it. In 3 years, it's been in the shop countless times...broken AC, heat, another issue with the engine.  The top has malfunctioned 3 times in the last 2 months...twice in the last week alone. Not what I'd expect for the cost. Contacted corporate and they were nice to send out some rebate coupons if I wanted to buy more stuff from Volvo. yeah right.  It's looking the brakes need to be replaced too after only 28K miles.  I'd rather have a KIA",Hard top is nice when it works properly,Train volvo service members how to fix things the first time around.  Customer service is a real treat too.  I expected to be at the front of the line when i'm bringing the car in for the same issues over and over again.  5 mile shuttle radius doesn't cut it when courtesy vehicles aren't available.
4.625,"Great car, best looking under $80K",Jim ,07/31/2010,,,4,5,5,5,,4,4,5,5,"Looked at BMW convertible. BMW had better performance and name, but C70 has great (better) looks and fine handling for $10K less than BMW. Still get people to see what kind of car it is. Excellent safety/accident reports are a bonus. 49,000 miles with no problems.",Looks. Hardtop. Reliability.,Handling like BMW at Volvo price.
3.375,First Volvo. Will be last Volvo.,clt ,06/14/2010,,,3,5,2,2,,4,4,3,4,"Seems to be one repair after the other. First was a top malfunction. Then speaker, trunk and suspension rattles which were not repaired first time and still have speaker noise. Now, problem with low beam lights so cannot drive at night. Feel like we got a lemon. At Volvo more than in home garage. Traded 1995 vehicle with no problems, for a Volvo with too many repairs needed, especially for the price paid. At this point I am afraid to travel to far from home in it. Have already started looking for another make to replace the c70 after this repair is completed. Sad thing is that I love the look and convertible, but, it's just not up to the ""old"" Volvo reputation.",Was drawn to the C70 Volvo by the looks and hard top.  Absolutely love a convertible.,Audio system.  Wind monitor does not work correctly. Closer inspection of vehicles before leaving factory. 
4.5,Loving The Sun,Willy ,10/02/2009,,,5,5,4,4,,4,5,4,5,"Overall, I love the car. Ride is smooth, power is more than adequate and handling is nimble.  The beefed up Dynaudio Sound System is expensive, but AWESOME! The design of the system lets you totally enjoy the stereo even with the top down. Just wish my model came with iPod Dock.  Interior is very comfortable and quiet, though not overly spacious. There's plenty to love here, with a few minor annoyances: no iDock, the trunk cowl (required to be snapped down before lowering the top) could seat more securely, some don't like the back massage given by the big subwoofers behind the back seats, BLIS trips out occasionally.  ",Sun tanning my head through my thinning hair. The awesome sound system. BLIS is bliss. The comfortable front seats.,Integrated iPod. Help with getting a set of clubs in the trunk with the top down.  JUST ONE SET and I'd be happy.
4.25,Fun but I wouldn't buy another one.,Sue ,07/09/2009,,,1,5,3,5,,5,5,5,5,I just discovered that this car has no spare tire. I was never informed it was an option. Who ever heard of such a thing?  And Volvo is supposed to be so safety conscious.  The interior storage space is terrible.  Not even a road map fits in any of the side pockets.  Is a cell phone supposed to fit in that little well on the seat divider?  Whose? ,,Spare tire should be standard like all other cars.  Take the covers and center dividers off the side pockets so they're usable.  
