3,"6 years, no major problems",Rail ,01/25/2016,5,,4,,,,,4,,,,We just traded our touring after 6 years of ownership. Overall a great car. Mechanically perfect until the dealer incorrectly serviced the transmission allowing it to leave the lot with no fluid. After that it would shift poorly at times.  That's not the cars fault. Otherwise it needed a new battery a couple times and that's it. Other small issues where a lift gate that would rattle at times and a brake pedal that creaked.,,
,,,,,,,,,,,,,,,,,
4,"Still doing great after 103,000",pistolpete10 ,09/04/2014,4,3,4,,,4,4,4,4,,,"Gonna drive it till it dies.  Keeps on chugging along well.  Routine maintenance is all that's been required.  (put in a new battery recently after 100,000)  In comparison to newer cars, the real world mileage isn't great. 22- 23 city, maybe 28-30 on highway but clearly this 4 cylinder non high tech engine was not designed to be super thrifty.  That's the weak link in this car but in the end everything else, in my humble opinion, more than makes up for that, and with gas being cheap nowadays...  Oh, and the lack of blue tooth connectivity is dated.  Also compared to my other car the heating and a/c fans/outlets are weaker than most. No fancy lane change safety electronics and no knee air bags. Back storage area surface scratches easily.  Be wary of some of their dealerships.  After routine maintenance at the dealership where I originally bought the car (a bit of a distance from my home), as I was driving away, the entire rear driver wheel fell off 1/2 mile from them. (too busy to check to  tighten all the lug nuts, which I found scattered on the road) Fortunately I was not hurt and the vehicle did not sustain major damage. I had to fight with that dealership to get reimbursed for their careless and dangerous work.  Have since switched to local dealership and local private garage with good results.Had a minor issue while driving car in Canada, while still under warranty (Check engine light).  Dealership up there said that the 100,000 mile warantee did not apply over the border. I appealed this decision here, but Hyundai USA said no go. Seems absurd that they wouldn't cover a problem within the same continent.  I later learned that other companies pretty well have that same ""rule"".HOWEVER, on the MUCH larger positive side, the driver (as well as front passenger) seat is till super supportive and comfy.  Easy to drive and the I and the rest of the family still use the exceptional hauling capacity often.  Handles and parks very nimbly. (Go to car when we go to big cities because of size and ease of parking)  Visibility is really good especially compared to other car I drive. . With snow tires the vehicle is awesome in winter. I got up my steep driveway this winter, with 12"" of snow.Sad that they don't make these any more. The GT, which replaces this model, is a totally different vehicle with no where near the same hauling capacity.",,
,,,,,,,,,,,,,,,,,
5,Fun to drive,jhitchens ,05/13/2013,5,5,4,,,5,5,5,5,,,"This car is an excellent choice if you are looking for a car that is fun to drive and you need that extra cargo space behind the back seat. My large dog loves the room he has there behind the back seat. When you need even more room, just fold down the back seats and WOW you have a lot more space. Driving is fun, with quick steering response and peppy little engine will get you up to hwy speed quickly. I have almost 50,000 miles on mine, and I have had no problems. I just follow the routine maintenance suggestions and that is it. I am retired, and my drive each day usually is about 3 to 12 miles with stops or lights in-between. I average 24 mpg. When I do take a trip, I get about 32-33 mpg onUpdate 05/12/2016 car is still fun to drive. I have moved to  Los Angeles and I also own a larger truck, gut the truck last year only got 450 miles put on it, because I love to drive the Hyundai so much. I can go to Home Depot and buy an 8 foot 2x4 and manage to put it in the car by sliding it up to the front dash board, and still close the rear hatch. The room behind the last seat is one of the largest I have seen for a small compact 4 door hatchback. In LA, i average about 15 miles an hour, (that includes some small sprints on the freeway, and i still average around 22 miles per gallon in the city. On a long, say 300 mile trip on the highway, i will average 30-32 miles per gallon. What can I say, I love it.  Here it is 11/14-2016 and I still love my Hyundai Elantra Touring.  Best Car I ever owned for driving  in the City.",,
,,,,,,,,,,,,,,,,,
4.25,3 years later!,n1luf ,10/20/2011,,,5,4,4,5,,3,4,4,5,"After 3 years of driving this car I can say it still is a joy to drive. The out side of the finish still shines. The motor is just a little loud when you give it the gas. Better yet is the mileage for me in Connecticut, 33 city...45 highway.I found using Castrol edge or Quaker state ultimate pure synthetic oils produce better mileage. Inside of the car remain about the same. Satellite radio in car works well. All the gages have work and light up. Seats and floor still in good shape.Overall car works well.",Satellite radio sounds great. With time you can set the radio to really rock even with low volume. All gages remain lite no lights out great! Fit and finish good. ," Towing is weak. Car worked hard on trip.
Car needs 10 more hp.The gas door sticks, this is because the mech. greased it. The correction is gluing in a small spring to pop the door open not a big problem. Tail lights failed and both sides replaced. AC weak...fix is adding a second fan 10 or 12 inch on front side to blow the air through condenser faster. "
,,,,,,,,,,,,,,,,,
4.5,A very pleasant surprise,guybrarian ,08/22/2011,,,5,4,5,5,,4,4,5,4,We're a small family of 3 and we decided to upgrade from a subcompact after the arrival of #3. After 1 year of research - I was looking for more space and more safety - I stumbled upon this gem. There is more than enough space for road tripping and the cabin is quiet and well designed. I enjoy not seeing the car everywhere...In the past 4 weeks I've seen only 2!,"ESC, integrated ipod capability, MPG","It's not a particularly quick car, but does just fine getting up to highway speed"
,,,,,,,,,,,,,,,,,
2.25,Dis-satisfaction,wasp2 ,05/14/2011,,,3,2,2,2,,3,3,1,2,"I am really unhappy with my choice. There are only 50 thousand miles on my car and they have to replace the transmission. Now I have gotten very nervous about what will happen further along the way. I had a Toyota Corolla with 134 thousand miles on it and have never had to replace anything. All I did ws normal maintenance for usual wear and tear. A few months after I pruchased the Elantra the seat covers started sagging and they told me it is normal wear. I don' t know what experience others have had with their Elantra, I would some feedback.",,
,,,,,,,,,,,,,,,,,
5,Update on my 5/something/2010 review,babaaus ,05/01/2011,,,5,5,5,5,,5,5,5,5,Now at 58K and STILL loving this fun little car!It's so much fun to drive with the 5-speed manual and it cruises right along. Plenty of get-up and go! I'd buy another one in a heartbeat!,,
,,,,,,,,,,,,,,,,,
4.75,Great for Commuting,NCdrvr ,11/17/2010,,,5,5,5,5,,5,4,4,5,"Based on good CR ratings for the Elantra SE sedan, I bought the Touring model when it first came out. Not easy to find with the manual transmission - but I preferred the performance of the Hyundai 2.0 engine with 5 spd over the Toyota Matrix 1.8 engine.  Some reviewers have found this car to ride a little rough, but personally I think other Hyundai models are a little too spongy.  This car is very roomy for its size - I managed to get a 9 cu. ft. freezer in the back with room to spare.  More than enough space for four adults - rear seats are another advantage over the Toyota Matrix or Mazda 3 hatchbacks.  I'm averaging 29 MPG in commuting, 34 on long trips - would like to see a 6 spd manual.","XM radio with USB, alloy wheels, manual transmission, sporty handling, fuel economy.",Six speed manual would help with MPG and noise at higher speeds - highest fuel economy occurs at about 50 mph - would prefer that peak MPG was at 65.
,,,,,,,,,,,,,,,,,
