5,Love my G 37,Jill McCord ,10/04/2016,5,5,5,,,5,5,5,5,,,This has been my favorite car ever!  It drives and handles great!  Very peppy so watch your speed.  Small trunk space is the only reason I'm trading cars now.  I need a little more space.,,
,,,,,,,,,,,,,,,,,
4,Tony'scar,Anthony Pavelski ,08/10/2016,4,4,3,,,4,4,4,4,,,"This is the best sedan i have owned, in the same league as a BMW 335i,  but cheaper when equipped the same.  It's a sport sedan the rear seat is a little tight.",,
,,,,,,,,,,,,,,,,,
5,Former cts owner,Paul ,05/14/2016,,4,5,,,5,4,5,3,,,"Coming from a cts sedan to a g37x sedan. Obviously I'm interested in vehicles that are sporty yet luxurious. After being disappointed with the cts in its unreliability, high repair costs and poor winter driving performance, I did as much research as possible before making my next vehicle purchase. Which led me to three options, the bmw 328i x drive, audi a4 and the infiniti g37x. I'm a speed and drive enthusiast, so of course i was leaning towards the bmw. After doing further research and test drives, i was easily able to make a decision. Went with the g37x for its power, luxurious feeling interior and low maintenance cost. The bmw had the smoothest feeling engine and most responsive steering. The audi had the most comfortable drive. But the one that felt just right is the g37. It's the fastest of the three while still feeling well balanced. It's never been in the shop once yet. Completely satisfied with this vehicle. I think my next car will also be an infiniti.",,
,,,,,,,,,,,,,,,,,
4,"My 5th Infiniti , my second G",jay gorto ,03/24/2016,4,4,5,,,4,5,5,4,,,"I had a 2003 G35 which I loved. I got a 2009 6 months ago when I changed jobs and needed a car to commute with. Engine and handling are great. I average 23 MPG in mostly hwy travel w plus gasoline, I usually drive around 85 mph on highway. Better MPG in warmer weather. The acceleration is excellent and braking is great too. I drive 55 miles 1 way and seats are comfortable, Im 6 feet 225 pounds. Quality is great as with all infinitis. The rear seats fit my 2 car seats as I have 2 small kids. The AWD is good so far but I thought the g 35 a little better. All in all a great car w great features and looks great too. trunk is nice but storage inside cabin is a little tight.",,
,,,,,,,,,,,,,,,,,
5,So great I bought another,rileythecat ,03/17/2016,5,5,2,,,5,5,5,5,,,"If I could count all the hours I have spent reading car magazines, online car reviews, shopping for cars, etc., I'm pretty sure it would represent a good year of my life. These countless hours led me to the 2009 Infiniti G37, which I bought new in 2009 for $30k (list price of around $35k). I put 155,000 miles on it, with zero problems except for changing the brakes twice, the battery once, and power locks that sometimes didn't want to cooperate. Never got the locks fixed because it wasn't a big deal. I put new tires on twice, and I highly recommend the Michelin Primacy - great in the rain, and last for 60k miles. I spent a lot of time looking at various replacement options, but none had the combination of power, handling, interior space, quality, and reliability. So I traded it in last month on a 2013 G37. Just yesterday I had a $40,0000 BMW as a rental, and I was very happy to get back into my car. The used G37 is without question the best value out there. I feel bad for all the people paying high 20's or low 30's for a generic car with half the power and quadruple the problems when they could have a year-or-two-old G37 for less money.",,
,,,,,,,,,,,,,,,,,
