5,Party!,Karen Bidgood ,09/22/2016,5,4,5,,,5,5,5,5,,,"The best car I've ever purchased.  I always feel safe even under the worst driving conditions.   Living in Colorado, conditions can change quickly and the traction is fantastic.  The side guards that catch the  bumps from other car doors that can dent is a great option (something that is not on future styles).  Easy access in and out is wonderful for bad hips and knees.",,
,,,,,,,,,,,,,,,,,
5,True value,Rob Phillips ,09/15/2016,5,3,4,,,5,4,5,,,,Total dependability a true joy to ride,,
,,,,,,,,,,,,,,,,,
5,Nice Luxurious SUV-Strange Lack of Features,johnnymize6 ,06/08/2015,,3,5,,,5,,4,5,,,"We got this car for an insane deal from a family member.It has no issues to date and only has required oil changes and basic maintenance. It's really quick, smooth, refined, and luxurious. It's extremely quiet inside and the interior has nice materials. The seats have bad leg support-my legs hang off of the end of the drivers seat. Otherwise it's extremely nice. It does handle pretty bad, however, with a slightly tippy feeling and some of the worst steering of any car I've driven. It feels like a video game with no feedback  and is scary in the rain especially. The car also lacks Bluetooth and USB or aux imports, which is unacceptable in a 2009 luxury car. Our former 2008 Mazda had these!",,
,,,,,,,,,,,,,,,,,
5,I love my Lexus,bryanjeffrey ,03/20/2014,,,5,5,5,5,,5,5,5,5,"I have a 2009 RX350. After driving Audi and BMW's for some time, I fell in love with the RX350. It is my daily commute car, the AWD is like Velcro in the snow and ice, and compares favorably with Audi's Quattro, which I still feel is probably the best AWD system there is. The RX has plenty of power (thank you again to the WI State Patrol officer for being so understanding), plenty of comfort and is ideal for long or short trips. Probably obvious, but make sure you use only synthetic oil. Mileage is good, performance is beyond solid for an SUV, it is a blast to drive, top end is very responsive and I have never lacked for acceleration when needed.","Levinson sound system is plenty good.

Handling is responsive.

Traction in snow and ice is exceptional.

Plenty of power at all speeds.

Love the ergonomics and comfort.

Looks great next to my 2014 ISC!","As a Lean expert, I love Toyota/Lexus, so fix the TPMS sensor!"
,,,,,,,,,,,,,,,,,
3.625,"Transmission Slips at 25,000 miles",cyberchic ,06/18/2010,,,3,4,5,4,,3,5,3,2,"i bought this car as a cpo 9 months ago. 17000 miles on it.  The transmission slips. when I slow down like to turn or in traffic and then step back on the gas, the car revs but its like its in neutral, then I hear a thump and it lurches forward.  Or it will shudder for a second, then thud and lurch forward.  I have been to the dealership 2x already. they say there is nothing wrong, this is how the car is designed to drive.  A car this expensive should not drive like this. I called Lexus and I am awaiting a response back.","heated seats, climate control, sunroof, auto open hatch, quiet ride. good stereo. headlights are awesome, they turn when you turn and give you good visibility",the hideous plastic hunk of junk console in the center - you would think they could have done better on this for the price.  the hatch window doesn't open separately.  
,,,,,,,,,,,,,,,,,
