4.375,Best car I've ever owned or driven.,driverlife ,05/07/2013,,,5,5,4,4,,5,3,4,5,"Very much improved over older RX-8s I have never owned a car that is this much fun to drive. The cars turn in ability and grip is extreme. Sometimes its hard to live with because the suspension is so stiff. But its been my daily driver and weekend warrior for more than 3 years now. I always get looks in this car. The interior is really upscale with piano black center pieces. and aluminum inserts.It's much faster than the other cars I've owned: 98 Oldsmobile Aurora V8, 03 Nissan Sentra SE-R Spec V. I also currently own a 2006 civic si that is also sporty and more forgiving on the back. Its not as fast as the RX-8 and no where near the RX-8 in handling prowess. ",1.3L rotary engine has a smooth high rpm redline (9000 rpm) and are hand built. There are interior accent lights on the doors that shine down on the buttons. Hids. Gunmetal 19' wheels. Stock body kit and bilstein shocks give it an incredible stance. Seats are stiff but comfortable due to there premium materials.,It uses a lot of fuel. Its rated at 16city/22highway. I usually average 15mpg with mixed driving. In future RX models they need to improve the power and fuel economy.
4,2009 and Newer RX8 is New and Improved,earlt500 ,02/23/2011,,,5,5,3,3,,3,5,3,5,"What Changed In Series II RX-8's over S12009 and Newer RX8 is New and Improved2009 is better than 2004-2008 All New Powertrain Control Module (PCM)with Temperature Sensor newly added and built into the PCM, when ETC (Engine Compartment Temperature) reaches 230F or 100Cwith Ignition OFF, Medium Cooling Fans Switch ON. New Larger Genuine Oil Filter and Repositioned on front Timing Cover Housingtowards the Sump (Left Hand Side).USE GENUINE 09 SERIES II OIL FILTER ONLY. Revised Oil Filler and Dip Stick (Longer Type). New EMOP ""Electric Metering Oil Pumps"" Two of them...Internal Oil Pressure in EMOP's is between 7.3 and 21.7 PSI(Used for the first time by Mazda) New design Oil Injection Nozzles 3 per rotor housing..Totalling 6. New Oil Pump assembly. 50% Higher Oil Pressure at 100 oC (121oF) 3000 RPM...500 kPa {5.10 kgf/cm2, 72.5 psi} When compared to Series 1 RX-8. New Oil Pressure Sensor (ONLY Located on #1 EMOP). Larger Oil pan Sump Capacity. New hex (8mm) type Sump Drain plug. New Internal Oil/Sump pan Magnet...(First time used in a Rotary Engine since 1985 FC RX-7) New external silver plate Engine Sump Guard. New Inlet Manifold with changed APV Position sensors. Revised 4 Fuel Injection Nozzles (2 primary, 2 secondary).(Series I six Port Engine had 6 FI Nozzles). Revised Atmospheric Air Control Solenoid (near Throttle Body) New Fuel Pump.New Radiator Core. New radiator Electric Fan Motors.Revised radiator Fans Speeds from 2 to 3 Speeds.(Low, Middle, High). New Alternator.New Starter Motor. New Battery 80D26L. (80 AMP Hour) (Was 50D22L (50AH)or 75D26L (75AH) in Series I) New Exhaust System.New Yaw Rate Sensor unit. New Air Conditioner Temperature Controller (Amplifier). New Bridgestone RE050A's in 18"" and 19"" (R3). New Manual Transmission (6 speed MX-5/Miata) (Reverse is now next to 1st gear not next to 6th gear). New Differential Ratio (Manual).New Differential Fixing Plate Washer on PPF (Power Plant Frame).New Differential mounting Bracket.New additional alloy Cooling Fins (4) on alloy differential Cover Plate, plus deeper set Cooling Fins. Changed Throw Out Bearing (Thrust or Fork Bearing). Revised Oil Coolers, Air Intakes and Oil Cooler Hose Lines. Extra Rotor Knock Sensor (Now 1 per Rotor, Total Of 2). New Water Pump/ New Timing Cover to suit.New Water Pump Pulley.New Water Pump ""O"" Ring as gasket. New Spark plug Leads.New Ignition Coil Backing/Mounting Plate (now Ventilated) New Alternator/Air Compressor Drive Belts.Revised Eccentric Shaft (Crankshaft) Pulley. Revised Oxygen Sensor (CAT).Revised Air/Fuel Ratio Sensor (Exhaust Manifold).New Air Pump Control unit. New One-piece trans-Tunnel Heat Shield (Previously Two Piece). New Under Body Covers reducing C Drag from 0.31 to now 0.30.Larger Fuel Tank (5 litres extra or around a gallon). New Dynamic Stability Control (DSC) Hydraulic unit Control module.New Rear-Suspension Control-Links (Rods)Upper/Lower and Trailing have Increased In Diameter. New Rear Stabilizer Bar.New Rear Shocks And Springs. New Rear Axles.New Rear parking-Brake Cables.New ABS Wheel Sensors (All 4 Wheels). Revised TPMS (Tire Pressure Monitoring System) US Only.New Front Upper And Front Lower Suspension Arms (Wishbone). New Front Steering Knuckles And Wheel Hubs.New Front Stabilizer Bar.New Front Shock and Springs. Revised Power-steering Control System unit. Revised Headlamp Auto-Leveling Sensors. New 3 Piece (Instead of 2) Strut Tower Brace (Manual Only),Auto's Retains Two Piece Tower Brace. Revised Front and Rear Wheel-Arch Splash Guards/Shields. Thicker (Heavier Guage) Steel on the two Front Strut-Towers. Additional Spot Weldings around both door Openings for increased Rigidity. Stiffened Body Shell = Torsional (twisting) and Flexural (bending)Rigidity have been increased by 5.4 and 8.7 per cent respectively. Auto's and Manual's both have 6 port engines,Max Power RPM (kw) has been limited to 7500 for Auto compared to 8200 RPM for the manual. http://www.rx8club.com/showthread.php?t=161665&page=6 . ",,
3.625,"Great car, bad build quality.",Sad ,11/04/2010,,,5,5,1,4,,3,5,1,5,"I bought a brand new JDM import. The steering rack rattles incessantly. This has just 10,000 km on it. Sorry Mazda but this is just garbage to put it mildly.  I am currently negotiating with the reluctant dealer to have the steering rack switched.  Other than that the car is great. Great engine, great handling, great cabin, great looks. Comfortable too! ",The engine and the cabin.,Build quality.
3.25,Oiled Out!,Disgusted In FL ,10/28/2010,,,4,4,4,4,,3,2,1,4,"My experience owning this vehicle has its ups and downs.  On the down side, the car burns too much oil.  After an oil change, the oil light comes on 1000 miles into the oil change.  I was told this was normal by the dealership on two occasions when I took it in for service.  They told me to ""add oil"" to it and it would be fine until the next oil change.  I have had more oil changes on this car in the one year that I've owned it.  This car is too overpriced for what you get.","The car is sporty.  I like the rotary engine, as well as the back doors that open out.",Lower the price.  Improve the situation with the car burning too much oil.  No one should have to add oil to a new car!
4.5,Truth,chad ,08/22/2010,,,5,5,5,5,,5,4,2,5,"Here is the truth about the 2009 rx8. Fun to drive if you can afford to drive it how its meant to be driven all the time. The heavier your foot is the more oil it consumes, gas mileage is way down there, and if you don't drive it hard you risk flooding, fouling and carbon build up. Run mine hard all the time and still need to clean the spark plugs every 6,000. Trust me it helps! As far as drivabilty goes best piece of machinery I have ever driven! Handling and forgiveness is great, top end is good too, there is an extreme lack of torque though. As far as comfort, seats hold you in, but they are a little hard. This car offers the most fun for your dollar, unless you are a straight line driver.","rotary engine, and handling performance",apex seals need to be more reliable and need to deal with carbon build up
4.375,really fun to drive,shooz ,07/15/2010,,,5,5,4,5,,5,4,2,5,"First new car I've ever owned, now 8k miles. I live in LA and it's terrific to get around town with some style, nimble on the freeways (although it has large blind-spots), and way too much fun in the canyons. Fine in rain but lousy in snow. Engine's quirky but really fun once you get used to it. Doesn't feel underpowered, but I know Mazda changed the gear ratios in 2009, I don't drive below 2800 RPM when in traffic, and I'd never consider this car as an automatic. Precise gearing/steering + sport suspension means your girlfriend probably can't do her make-up while riding shotgun. As designed it drinks oil, about 1 quart every 1k miles, no biggie. I'm 6' and have just enough headroom.","The handling and road grip is terrific; love the engine at high RPM and the feeling of the gearbox. Love the body styling. Interior feels classy. Pedals are spaced close together. Backseats are okay for short hops; suicide doors are a cool touch, and the trunk will fit a couple suitcases.",Fuel economy is my only real gripe.  I get 13-14.5 mpg in the city/freeway. On highway I've gotten 23.  Turbo would be a fun option but outside of a track there doesn't seem to be much point.
4.5,Perfect Sports Car,james ,05/20/2010,,,5,5,5,5,,5,5,1,5,"I love this car, wish it made more power, but handles great and puts a smile on my face everyday, People always comment on my car, great purchase","motor, body","power, turbo, super charger, 300 hp"
4.625,RX 8 Lover,ZoomZoom210 ,04/16/2010,,,5,5,5,5,,5,5,2,5,"I bought my RX 8 to replace my Mazda6 that was totaled in an accident. I am a car enthusiast that was looking for something sporty and fun to drive. Well, I got both in this car. I bought the 6 speed to add to the enjoyment of driving a sports car. I also picked the Crystal White Pearl which I absolutely adore. I find this car fun and sporty! Just know that you are getting basically a two seater with suicide doors. Don't expect to haul the family around for the back seat has very limited leg room. I am averaging about 16 mpg in the city so if you can't afford Premium fuel, this car is not for you. Overall I am thrilled with my RX 8 and am a true RX 8 Lover...",Body Style Handling Engine Sound Crystal White Pearl Color,Gas Mileage Horsepower
4.25,Most fun I have ever had driving 500 mi.,Tryce ,04/11/2010,,,4,5,5,4,,4,4,3,5,"Been waiting for this car since it came out in '04. Reliability issues always made me stay away and it seems Mazda has fixed most of those, so I decided to take the dive when I found one for a great deal in the color and model I wanted. Black R3. Best car I have ever driven, and I have driven a BMW M3. Don't get me wrong, it is nowhere as fast but the handling is superb. When you are on a curve that is posted for 35 and you are going 70 with no hint of body roll, that is awesome handling. I do not encourage breaking the law, btw. Low end torque bad, but once you get into the high rpm in 3rd gear, it feels like a turbo kicks in. Awesome car, not sure on reliability yet, though.","Handling, the look of the body and wheels of the R3, the sound of the engine, short-throw shifter, Bose sound system","Fuel economy of course, low end torque, big blind spot on driver's side due to Ricaro seats being so high and window column being in the way, radio dashboard (what's up with the red digital display above the dials and what looks like a digital display below the volume dial but in reality is nothing)"
4.75,For the empty nester,rvanparys ,03/11/2010,,,5,5,5,5,,5,4,4,5,"Kids all gone? Maybe its time to have a little fun... The RX 8 certainly can fill that bill. I chose the car because I wanted a fun to drive car. The four doors were the selling point since we have an Old English Sheep Dog who loves rides... Unfortunately the dog can only sit in the front seat which means she stays home when my wife and I hit the road... That said, there is ample space for grandkids and adults for short trips... Handling is great and the automatic performs flawlessly. Not as fast as a 6 speed but then I am not into racing. Fit and finish is good and seats comfortable on long trips. There is a little more road noise than I would like but you can still hear the Zoom Zoom!",Handling and auto transmission,More insulation in the wheel wells and maybe a redesign on the radio controls.
