4.5,Everthing I was searching for!,nels79 ,02/20/2013,,,5,4,3,5,,4,5,5,5,"After searching high and low for a family car, I came across the Outlander. I was tipped off by being the chosen brand for the Paris/Dakar endurance race as the support vehicles being that they were champs 10y in a row. That said, I wanted something that you don't see passing by you 50 times a day on the road. Its a pretty unique SUV.This is my first SUV but I'm familiar with the Jeeps and Murano. So far I am very please with it, I got the lower end 4C engine for better gas economy. Still had all the power I need on and off the road. The paddle shifts work great when you need to downshift and take off! Snow, rain, sand and mud. No Problem! Great features and fuel economy at good price tag!","-All the compartments.
-Multimedia System Navigation (although could get an update!!)
-Rear hatch flat door
-Sound system!
-CVT Transmission FWD AWD and 4X4 are great options!
-Paddle shifts
-Keyless entry and door locks
-AC 400W plug very useful w","-Update the MMCS, I would really like to see a new interface! 
-The Paint should be more resistant.
-The rear 3rd passenger seat should have been better planned.
"
,,,,,,,,,,,,,,,,,
5,Mitsubishi Outlander Lease Experience,hunh ,11/15/2011,,,5,5,5,5,,5,5,5,5,The car was fine; the company is quite slimy. They did not respond to complaint letters. Then they tried to bill me thousands in phony repairs. They also tried to charge a late fee. The car was returned late because the person they asked me to contact was on vacation for two weeks. Then he turned out to be a slaesman from Mitsubishi trying to sell me a new car. What a mess!,,
,,,,,,,,,,,,,,,,,
3.875,"OK Overall, But 3 Warranty Visits in 1yr",Tanya1921 ,11/29/2010,,,4,4,2,5,,4,4,4,4,"Overall, the Outlander is great. Awesome sound system (stock), but the doors don't automatically lock, and I have taken it in 3x in a year for warranty repairs: molding on kick plate came off, A/C adapter stopped working, and excess glue on the windshield which was causing all the wiring to be exposed. My Honda's never had problems like this. It gets time consuming and my time is worth something. Paddle shifters are useless-  no one really uses them in a 4 cylinder SUV. I have to yell at the bluetooth speaker to be heard.",Sound system. Nice design.,"Automatically locking doors, ditch paddle shifters."
,,,,,,,,,,,,,,,,,
4.875,Ladybug,gulati ,02/09/2010,,,5,5,5,5,,5,5,4,5,"Our XLS AWD is Rally Red, and aptly named Ladybug! Wasn't so sure about leaping for a SUV, having driven cars for nearly 30 years, but the Outlander is very responsive and easy to drive. Not so sure about reliability yet, but after 20 years of sturdy Mitsus, I'm not terribly worried. Only concern would be mpg, but the trade-offs - comfort, utility, safety - seem to make it all worthwhile.","Heated leather seats! Spunky 6-cylinder & decently mated 6-speed. Visibility is quite good, and never realized how much I'd like a rear windshield wiper. Interior lighting is decent, and exterior lighting is terrific. Didn't care for FASTkey at first, but now I want all doors to open automatically!","Only quirk so far is the tight space around the seats, which makes adjustments and seatbelts tricky."
,,,,,,,,,,,,,,,,,
5,Mitsubishi Outlander Rocks,Jeff Launiere ,12/26/2009,,,5,5,5,5,,5,5,5,5,"This is likely the best vehicle I have ever owned. As some say the low end acceleration is not great, but it is fine. The Outlander has a real quality feel and is fun to drive. I tried the Honda CRV, Mazda CX7, Toyota RAV4, Nissan Murano, Kia and Hyundai and this was simply the best. And the price is better than all of these. I absolutely recommend this vehicle to anyone, other than the Navigation System unless you use it in an area where no new streets are put in.",The music server is a great feature along with the two piece rear liftgate. Great warranty.,"The navigation unit works great and is one of the best I have seen, however the maps are so out of date as to make it useful in Tampa where new roads go in all the time. Bought in Nov. 2009 and came with 2007 maps. New maps just became available but the are from 2008. My $150 Tom Tom is much better."
,,,,,,,,,,,,,,,,,
5,Love Everything About It!,Relieved Its Over! ,12/25/2009,,,5,5,5,5,,5,5,5,5,"Really glad we went this vehicle. The HID headlights, rain-sensing wipers, and bluetooth is really cool. But the best part is the Fosgate stereo and the sporty feel/power. Got 29 mpg on the way home from the dealership. It was 100 miles city/hwy.","Fosgate stereo, HID's, power, and looks.","Get better visors, rearview mirror, and lumbar support."
,,,,,,,,,,,,,,,,,
4.875,Top notch on everything,Calvin ,12/03/2009,,,5,5,5,5,,5,5,4,5,"Ok,  imagine,  I purchase this Fantastic 2009 SUV not knowing that the 2010 version would be much improved...Lol!  Doesn't matter because this 2009 is just awesome,  top notch on everything, smoothness, superb handling, Power that will put to shame a Acura MDX (that costs 40% more) on the street.  Style, AWD system that LOCKs and is head and shoulders above the competition (the 2010 version is even more efficient). Mitsubishi is out to prove THEY are the best engineered vehicle in the world...period! Toyota and Honda's watch out. The King is waking up!","Style, Handling, free hand start...POWER (used premium gas and have more fun...:-) 31 miles per gallon at steady 70 miles per hour. 6 speed tranny (with Electronic manual mode), high ground clearance (hello GM).","1- bigger gas tank ...70 liters at least 2- longer arm rest that locks in place 3- bigger sun roof similar to the Forester one. 4- better choice of exterior AND interior colors, WHERE'S the lighter-brighter ones (fuse orange style on ext.) and Black int. only in Canada???"
,,,,,,,,,,,,,,,,,
3.125,Good value if you don't drive a lot,nicole ,11/29/2009,,,3,3,3,3,,4,2,4,3,"Here is an update from 5/09.  If you are easy on the gas pedal you will be rewarded with avg mileage of up to 30+mpg.  Seat covers and rubber material on dash are poor - they are dust and hair magnets.  Bad choice.  I drive 100 miles, 5 days per week.  I do not have lumbar/back problems, I do now.  My back is aching, seats are extremely uncomfortable.  Good value if you don't drive a lot.  Otherwise, look at something else or get leather, maybe that helps.  ",Mileage.,Interior material choices.  Seat comfort.
,,,,,,,,,,,,,,,,,
4.75,Great Vehicle,al ,11/03/2009,,,5,5,5,5,,4,5,4,5,"I've owned this vehicle for 7 months now after owning a galant for 3 years. I used to love toyotas and still do, but I can tell you these vehicles are every bit as good with more warranty. I love the awd system and the turning radius. It does excellent on bad country roads and drives nice on dry pavement. Just hit a large deer and it did very little damage considering speed. ","AWD, navigation, heated seats, turning radius",Wished u could get a loaded one without the sun roof.
,,,,,,,,,,,,,,,,,
4.875,The Right Car,karatedvm ,10/14/2009,,,5,5,5,5,,5,4,5,5,"After looking for more than 1.5 yrs for a smaller SUV that didn't look like a woman's car I kept coming back to the Outlander. Only had mine for 2 weeks but it's proving itself the right vehicle for me. After 2+ years of not driving a 4WD SUV I had to get back to what was right for me and my dogs. This vehicle is spacious especially with the back seat folded forward. The fuel economy is better than I had hoped after only 2 weeks - averaging ~24mpgs combined. Handles well, can't wait for snow - actually I can wait forever for snow but by Lake Erie in northeastern Ohio it won't be long. A little hard to keep clean, the interior attracts and holds dog hair. Wish I had all leather interior. ","Stereo, drop down tailgate, mileage, handling, red color, keyless entry, Sirius radio, bluetooth phone","Lumbar support, leather, easier to keep clean interior, heated seats - had to have mine customized."
,,,,,,,,,,,,,,,,,
4.75,Why are there not more?,Babs8 ,10/01/2009,,,4,5,5,5,,5,5,4,5,"It baffles me that I don't see more of these on the road.  Every time I tell someone about my new car, they've never heard of it.  But then they see it and they love it!  I researched vehicles in this segment obsessively, while I waited for the Cash for Clunkers deal to go into effect- I had been driving a '99 Jeep Cherokee for the past 7 years and when the A/C broke, it was time to go.  While I never considered myself into features (the Jeep had hardly any), I am amazed at how many features I got on the Outlander for the price.  Far better deal than any of the competitors.  After 2 months of driving I can proudly say that I have absolutely no buyer's remorse. Love it!","Auto lights (daytime running, headlights when it gets dark), auto windshield wipers (knows when it's raining, speeds up when it's raining hard), bluetooth is awesome, love the FAST-key (great to not have to fish for keys in my bottomless purse).  Great storage space and sound system, good visibility.","Like others have mentioned, the sun visors are small and have no lights for the mirror.  A digital speedometer would be cool, as well as dual climate control.  Third row seat is pretty useless, but I don't need it anyway.  Subwoofer vibrates driver's side on certain tones.  Interior marks easily."
,,,,,,,,,,,,,,,,,
4.875,where are all the outlanders?,mayda1 ,10/01/2009,,,4,5,5,5,,5,5,5,5,"My car is 1 month old and performed flawlessly on a 6100 x-cty trip (mostly on I-70). I was a bit skeptical purchasing my first suv, and had to purchase the smaller engine thanks to cash for clunkers, but this model is the perfect fit for my lifestyle. I love the ""sun and sound"" option, the rear door opening and ""tailgate"" and overall space for the ""stuff"" I cart around. I love that I can fit my bike inside, although I do have a usable rack if needed. Other storage room and cup holders are more than adequate. For the money, this is a great performing vehicle. Down the road some of the interiors ""plastics"" may pose a problem, but I can easily accept that. The 168 hp is adequate. Would rec.","As above; the ""sun and sound system"" option rocks. Little things like the ""touch"" turn signals, dash and rear storage, and the tailgate 200# ""seat"" capacity make life much easier. Loading, unloading are a breeze.","A better stock all season tire. Reviews aren't very good although thus far no problems in wear or handling. And perhaps a more common tire size as 225x55 x 18"" are difficult to find from Major manufacturers. Rear pillars pose a Major blind spot. Also a low- low would make it an ideal vehicle."
,,,,,,,,,,,,,,,,,
4.875,Best  Small/med. size SUV out there!!,Serge ,09/25/2009,,,5,5,5,5,,5,5,4,5,"Purchased this Canadian version model LS AWD V-6 and realize it is the Best SUV that I have driven!  It is so smooth and comfortable on the road, you think you are driving a sport sedan.  You don't even need to floor it when passing 3-4 slower vehicles on the highway, it surges with such authority and speed...the engine revving sound will please your hears! Consumption: Did 9.6 litres for 100 kilom. on the highway at around 110-115 kilom.  Love this truck!!","Handling, Power, smoothness. AWD with Locking device option. High ground clearance (Very important here in Canada) the sunroof and warranty.",
,,,,,,,,,,,,,,,,,
