1,"2009 Nissan Maxima (this was never a $40,000 car)",Joy ,08/11/2016,1,1,3,,,1,1,2,2,,,"I purchased this vehicle when it was about 2 years old.  I have had it now for 5 years.  So many problems -- steering wheel motor for the telescoping stopped working and of course dealerships want to charge me $1,000.  Nissan Manufactures declined to fix it although the extended warranty had just expired -- interesting and I see this problem all over the internet where steering wheel mechanisms goes bad on a Maxima.  This is not an old car.  Nissan will not fix the problems.  Recently alternator went out on while I was in traffic on the 110 fwy in Los Angeles.  Each time I take the car to the dealer its something new.  Lower ARMs $1,288.88, Front struts $1.061.52, Rear Shocks $843.99 and Air filter $27.20.  I took my car to Firestone to get the AC leak repaired -- dealer wanted to rob me.  This is not a $40,000 car.  I would say lease it but never buy it or stay far away from Nissan altogether.  I have had too many problems for a vehicle I purchased Certified.  I thought Certified was an extra protection -- it was not in my case.  My Toyota is 1999 and I have not had this many problems.  I purchased my car at Nissan Auto Nation Power on Rosecrans near 405 fwy.  The car had originally purchased at South Bay Nissan.  I place the blame on the manufacture as well as the dealerships.  Maybe my post will stop someone from buying a Nissan and especially a Maxima.",,
,,,,,,,,,,,,,,,,,
5,Underrated Performance,D. Crane ,10/26/2015,5,5,5,,,5,5,5,5,,,This car is a well kept performance secret. Great performance at a great price !!,,
,,,,,,,,,,,,,,,,,
5,Best Car Ever Owned,ksp2trader ,03/26/2013,,,5,5,5,5,,5,5,5,5,"Without a doubt, the best car I have ever owned, and I have owned plenty.  Hottest looking car on the road with its sexy lines, accelerates like it has a supercharged V8 with endless power (thanks CVT) and handles like a RWD sports car yet is still a awesome family car if need be.  I own a White on Black with the Sport/Tech package SV (awesome Navi system), have 115k on the odometer and never had any major problems with the car.Looks, performance, reliability, I think I summed up the perfect car.","Acceleration, handling and looks.
It is also nice that it does not break down, ever.","Nissan needs a Maxima that will compete with the Ford Taurus SHO.
Its about time for a AWD 400+HP Twin-Turbo V6!!

However, for the SV model, a avaiable AWD will be nice, convert all the lighting to LED, combine the Premium & Sport packages."
,,,,,,,,,,,,,,,,,
3.75,The Problem Car,momadukes ,02/10/2013,,,3,5,3,4,,5,4,3,3,"My car was making a roaring noise so I took it to the dealer. The just about replaced the whole front it. The problems with the air condition was exhausting they had to replace the compressor, condenser and found out it was the intake sensor. Now the car is making a squeaking in the back which now it means it need shocks. This car has to many kinks in it that wasn't worked out.",The car drives and accelerates well . I like the body style it looks very sheek,"This car needs to have more research done on it. There are to many small problem which is nerve racking . Then when you deal with Nissan or dealership they are lost and don't really help unless you push the issues. This car needs some recalls on it.
These issues are expensive.
If you don't have a warranty or an extended one your lost. "
,,,,,,,,,,,,,,,,,
4.25,Good for the money...just good,bigeandkenna ,02/15/2012,,,4,5,3,3,,5,5,4,5,"I have a base model with cloth seats. Basically a rental car. But you would never know it from 10 feet away. Same good looks, same wheels, same growl from the exhaust. This car has great power and handling for $31G. Average 19MPG of premium. 27 on long trips. This car has long legs and you find yourself driving too fast. Interior quality has been disappointing. Rocking drivers seat- replaced once and still rocks and at 28K miles the interior rattles. The CVT drops the RPM's to early on slow driving and it groans. Steering column locked up and needed replacement. Back seat is hard to get in and out of for taller persons but ok once inside. ","Power, Handling, brakes, steering, styling","Interior needs more attention to quality, too many squeaks and rattles, premium fuel requirement gets expensive on fill ups. And a car of this type and price should come with fog lights, even the base model."
,,,,,,,,,,,,,,,,,
4.75,2 years not a problem,texdave ,06/06/2011,,,4,5,4,5,,5,5,5,5,"I leased the car new with a fantastic lease deal. It is fast and fun to drive. 21 mpg average city and highway driving and I drive fast. 45,000 miles and have had no problems with the car at all. I would highly recommend this car. Try to find a good deal on a used one. ","Performance, mileage, style",Radio not that great on the base model
,,,,,,,,,,,,,,,,,
3.875,Lots of problems with memory seats,jeayrs ,05/13/2011,,,4,5,3,3,,4,4,4,4,"This car has a rough ride and lots of road noise when driving over about 30mph.Have taken mine into the shop 3 timesbecause the memory seats will not holdwhat is programed into them.Also had a problem with the steering wheel falling and locking into the down position after turning off the car and then it would not come back up when ignition was started.Again, another trip back to the shop.",,"Could use more interior small storage compartments.

Could redesign the middle compartment.
Very difficult to open, especially while driving.
Lexis has a much better design.
So does BMW."
,,,,,,,,,,,,,,,,,
4,4 door Sports Car,miles316 ,03/29/2011,,,4,4,4,4,,5,2,4,5,"The 4 door spots car indeed; My Nissan Maxima SV sport package, loaded. Your evaluation of this car will depend on your definition of driving. If you like hard cornering and accelerating adrenaline junky of a car, this is for you. If you want to drive in acute boredom, void of road feel with high speed cornering avoidance, look to Lexus and Cadillac DTS. You need to take this car by the scruffs; tame it like a bull, and youd be laughing. I got my wife an Acura TL SH-AWD 2010; great car. The Acura tells you when you are going too fast. My Maxima says is that all youve got seducing you into losing your license. What a machine.","Grip, Bose Stereo, Navigation CVT gearbox in sport mode; a little tricky to get it right. When you do, youll be smiling. Amazing 60 to 90 MPH acceleration. ",Suspension can be rough. Raod noise. Stand tires do no justice. Upgrade to Michelin Pilot Sport.
,,,,,,,,,,,,,,,,,
4.75,Maximize Your Ride,johnnyboy8 ,03/15/2011,,,4,5,4,5,,5,5,5,5,"I was looking for a fun, sporty, pre-driven sedan.I looked at a number of cars including the Acura TL and Cadillac CTS.This was a gorgeous car, but after reading the reviews, it appeared that buying it would be like having a beautiful blonde with STD's.Every review spoke of how often the car was in the shop.I was done then with the GM flagship.So I took a trip to the my local Nissan dealer and found the color I wanted.After 10 minutes of test driving the Maxima, I was hooked.It was smooth, roomy, powerful, comfrotable, and cornered like it was on rails.The technology in the premium package was as good as any Lexus or Mercedes.Best value and best decision I ever made!",,
,,,,,,,,,,,,,,,,,
5,The best MAX ever,dk1navy ,11/21/2010,,,5,5,5,5,,5,5,5,5,I have to tell everyone I'm totally enjoying the ride of the Maxima. When i drive it i feel like I'm in the Bat mobile. the car has great pickup and shift smoothly from one gear to the next. I just traded in my 2001 MAX for this 2009 and I feel like I jump into a time warp the features and style of driving is light years difference. ,,
,,,,,,,,,,,,,,,,,
