5,Very reliable toyota matri... errr pontiac vibe,Brad ,08/27/2016,5,5,5,,,5,5,5,5,,,"I love this car, I use it every day as a courier in minnesota. It gets around like a boss in the winter with AWD & winter tires, I never worry about getting stuck. It fits much more than you would think, with the hard plastic fold down seats. The MPG for me is about 25 city 30 highway. I bought this car november '13 with 45,000 miles on it, today it has 230,000 miles. Only thing that broke by itself with the car was the transmission(mechanic put in a used one from a pontiac vibe with only 21k miles on it SCORE). Things I fixed because I broke it or it was a weird thing that was not the car makes fault: Evaporator(rock got in it and I lost defrost) 4 new wheels (flimsy steel core chrome plated rims bent when I curbed the car, couldn't unbend) everything else has been regular maintenance. I am having a problem with my coolant turning red(rust) right now but it's been a hot summer so I'd say my water pump or thermostat is on the fritz but even those are expected repairs with most any car eventually. Overall I don't have a single complaint with this car it has been so perfect and reliable for me",,
,,,,,,,,,,,,,,,,,
3,Don't  Vibe on me!,clive endive ,08/14/2016,2,3,,,,2,,,4,,,"After less 27K miles, replaced the water pump and have problems with the timing chain tension adjuster...  Car is fine and meets our needs otherwise.",,
,,,,,,,,,,,,,,,,,
4,2009 Pontiac Vibe,Michael Davenport ,05/03/2016,5,3,3,,,4,4,4,3,,,Great Value for dependable car to run around town.  We bought ours for our teen drivers to use.  It had ESC which is hard to find in a base model affordable car  before 2010.,,
,,,,,,,,,,,,,,,,,
5,Love my Vibe,Donna ,04/08/2016,4,4,5,,,5,5,5,5,,,"Looked for a 2009 Pontiac Vibe based on a Consumer Reports recommendation when I was looking for a good used car at the end of 2013. I continue to be very pleased with my sporty little car. My mechanic said it was ""kind of peppy."" He likes it too, and he said they are easy to work on.",,
,,,,,,,,,,,,,,,,,
5,More room than you think,June Dabbs ,03/30/2016,4,3,4,,,4,4,5,4,,,"The front passenger seat folds down as well as the back seat, loads of cargo room.",,
,,,,,,,,,,,,,,,,,
4,Great little car,George Dossett ,11/10/2015,,3,3,,,4,3,5,3,,,Very reliable.  Found many good condition cars with 200k miles.,,
,,,,,,,,,,,,,,,,,
5,Great small white utility car 1.8 Automatic,ingrid ,10/15/2015,,,5,,,5,5,5,5,,,"I got mine when the model was new in late 2008 , and over the years  the car  had a bunch of recalls on both the GM and Toyota component but no problem getting them done by the dealership.The biggest recall was on the CV boots.At 82,000 miles I am on my second set of tires, brakes .Some small chip paint on the hood , no discoloration on headlamps.Inside ,the volume knob is only part that is loose . I do notice the accelaration from 0-65 is not as fast as it use to be but once you are there it accelrates to 75-85 pretty fast . I am fast safe driver on the freeway. Some rattling here and there but nothing unusual.I augmented the visual side mirrors since I had a few close call of the blind spots. When the back seat are folded it creat a hugh loading space where we can feet 5-6  feet long objects from Ikea , a projector screen. So my car has become the utility car . Always love the high sitting position, with my bad back and hip ,it really helps a lot .Too bad they stopped making this model, they should have converted  this into a hybrid .  I think this is one of the better designed compact utility hatchback body car out there, escpecially with the high rating crash test.",,
,,,,,,,,,,,,,,,,,
4.75,2009 Vibe 1.8 automatic,brisan ,11/21/2014,,,4,5,4,5,,5,5,5,5,"I bought this car with 8000 miles on it and put on an additional 60,000 miles before it was totalled out in a crash with a 4 wheel drive pickup truck. We were driving almost 50 mph when the truck turned into us from the turn lane. We hit drivers side bumpers and came to an instant stop. My wife and I were banged up and bruised but able to walk away. We found out it had 4 and 5 stars in crash tests. We loved this car and got between 32 and 36 mpg depending on driving habits and time of the year. We never had a single problem with it and are now in the process of finding another one to purchase. ",Gas milage and great headlight visibilty at night.,
,,,,,,,,,,,,,,,,,
4.375,"2009 Base 2.4 w/5sp auto, 80K Miles so far",abramsgunner ,10/10/2013,,,4,4,4,5,,4,4,5,5,"Bought new in July of '09.Base model with 2.4L/5sp-auto, PS,PL,cruise, keyless.Now pushing 80K miles with few issues. On my second set of tires and brakes.My steering column rattles (very common), cold starts sometime produce a timing cam rattle (common) and the paint chips and scratches easily (common).Fully loaded with family of 4 + gear on trip to Tenn. got me just shy of 32mpg.Even with my heavy foot, I still avg. 28mpg in daily mixed driving.Great fun to drive. Does everything I need.Was cheap to buy and maintain.Sharp little car.I have truly enjoyed it.I just added a K&N CAI and she sounds great, any mpg increase will be a bonus.","2.4L,
seats are plenty Comfortable, Style in general.","Better paint.
Upholstery stains too easily.
"
,,,,,,,,,,,,,,,,,
4.75,Great Versatile Car!,blazer7t8 ,07/19/2013,,,4,5,5,5,,5,5,5,4,"We bought our 09 Vibe AWD when it was a year old and had 11K miles. It has 90K, now. My wife drives it most of the time and she liked the size and control layout. The interior is nice and the seats are comfortable. We often take this car on a 4 hour road trip to visit family and my back does not hurt. We average 28 mpg. Have gotten as high as 32. It swallows up cargo. Have hauled tall filing cabinets, 8Kw generators, lumber, etc. With the higher ground clearance and AWD it gets around great in Ohio winter snow.It could use more sound insulation. You hear a lot of road noise. New tires at 58K helped but still noisy. No major repairs, only normal maintenance items. Overall, great car!","AWD, Sunroof, Monsoon / Kicker Stereo, Easy folding seats for cargo hauling, Low maintenance cost.
We drive about 24K miles per year with only normal wear and tear items.","Better sound insulation.
Wish they till made these.
I don't like the look of the Matrix."
,,,,,,,,,,,,,,,,,
4.5,At least I can still find a Matrix,mecjac ,10/20/2012,,,5,4,5,5,,4,4,5,4,"Almost at 100k miles and I have only had to replace the breaks and the oil filter housing (cheap part). I love my Vibe, bought it with 50k on it and have put 50k on it in the last 2 years. Its comfortable enough for the average commuter and very reliable. Great for hauling stuff around, and although no sports car its fun to drive. Good fuel economy, easily get 31-32 mpg. Only a few gripes, rear visibility is so-so, paint chips/scratches easy, speakers could be better. ",Almost everything. ,Back up cam? Better speakers and thicker/stronger paint. 
,,,,,,,,,,,,,,,,,
4.875,"After 2 years and 40K, no regrets!",snowdog_ix ,09/03/2011,,,5,5,4,5,,5,5,5,5,"Bought this car new from a dealer a couple of years ago. I am 6'4"", and I loved the headroom/interior space in this vehicle. I am a single father and was looking for value, reliability and gas efficiency. After a couple of tanks of gas driving in the city, I realized I was getting 7L/100km. Awesome! I am over 40K now and have only had it into the shop for 2 recalls. It has never let me down. It is not super powerfull on the highway. (slow going up a hill with the kids in the back) But I will trade that for the gas mileage I get any day. On-star in-car phone was interesting for the first year, but I let it expire because I didn't want to pay the fees.",Interior space/headroom. Well laid out interior. Gas efficiency. Reliability.,Needs a more durable paint job. There is no corrosion yet but the paint is very prone to scratching.
,,,,,,,,,,,,,,,,,
5,Good Vibes!,goodvibes ,04/05/2011,,,5,5,5,5,,5,5,5,5,"I was looking for a luxurious sporty car, and test drove the Vibe on a whim because it caught my eye. I fell in love with this car and could not be more happy with my purchase. The Vibe is well built for a car of it's class. I feel confidant that I will be driving my Vibe for many years.Mine had 36k on it when I bought her. I was able to buy a GMAC warranty for a whopping $1100. due to the low miles. I have my oil changes done at the dealership due to the type of oil the Vibe requires. I have my dogs kennel tethered to the child seat restraint hooks in the back seat.","Onstar, air bag system, mileage, comfort, style, AC power, multi function cargo area.",Larger rear and back quarter glass.
,,,,,,,,,,,,,,,,,
