5,Best Toyota I've owned,Anne Clarkson ,10/01/2016,5,5,5,,,5,5,5,4,,,I have no complaints after putting 100k miles on this car,,
,,,,,,,,,,,,,,,,,
5,Die Hard Toyota Owner,Dianna Washington ,03/02/2016,5,5,4,,,5,5,5,5,,,"Great Bang for your Buck, and the longevity of quality is Years of Great Driving with Low Maintenance, Like wearing a Mink Fur, Feeling like Mink Fur, but with a Realistic price tag and Great Resell Value !!",,
,,,,,,,,,,,,,,,,,
3.5,DRONE Noise,piercy42 ,11/03/2012,,,3,3,3,4,,4,4,4,3,"My 2009 Avalon XLS have an annoying DRONE from the rear. The dealer tells me it is the tires. I'm on my 3rd set (replaced because of the problem, they were not worn out). Problem cotinues and seems to be getting worse. Rotating tires also does not help. It is very annoying. Also have a friend with 2009 Avalon and he has the same problem. This is my 2nd Avalon. The 1st, a 2002 was a great car. ",,
,,,,,,,,,,,,,,,,,
3.5,"2 problems, engine noise and battery problem",bigmac5 ,01/22/2012,,,4,4,3,3,,4,3,4,3,"Over all, good car.When started in the morning and accelerating up the hill where I live, makes a sound like the old valve lifter lash before hydraulic valve lifters.2nd problem is the starter would not rotate when first pushing starter button, but did on susequent trys.Found 1/2 x 2 inch corosion under the cover on the positive post of the battery and cable.Toyota replaced altenator with rebult one and replaced cable connector.Similiar problem about 3 weeks later.Replaced termial connector again. 3 weeks later now and begining to corrode again.","keyless (don't have to pull the key outof my pocket to enter and start.)
","engine noise, wind noise.
Also the memory seats adjust the outside mirrows, why not the interior mirror?
It already has cables running to it, why not a couple gimbles to adjust it for each driver?
I know it is a safety thing, but the cruise control disconnects even when the windshield wipers even start intermittently.
I hate that.

"
,,,,,,,,,,,,,,,,,
5,Love My Avalon,ceejay921 ,08/04/2011,,,5,5,5,5,,5,5,5,5,"I purchased an Avalon XL last year as a Christmas gift for me but unfortunately totaled it in an accident.My husband and I were so impressed with how well the inside cabin kept us safe, that we had to buy another one.I purchased the Limited model last month and I am loving this car and all of the perks that come along with it! This model rides even smoother than my first one and can fit the entire family with ease.I recommend the Avalon to anyone looking for a comfortable ride at a great price.","bluetooth, rear sunshade, comfort, memory seats, adjustable steering wheel",None.
,,,,,,,,,,,,,,,,,
4.625,Plenty of Room in the Back,outskiing ,12/28/2010,,,5,4,5,5,,4,5,5,4,"We've had our Avalon for three month's. We bought is as a family car and needed room for growing teenagers. I'm 6""3 and can easily fit in the back. It's like riding in a limo and to us is a Lexus in all but name...who needs the big ""L"" on the front anyway? If you don't mind an understated car that's big on comfort and interstate composure, try out an Avalon.","Interior room, automatically adjusting stereo volume, heated seats and true duel heat/air controls.","The light colored carpets pick up grime and dirt pretty easy and the ""brushed aluminium"" trim can scratch pretty easy."
,,,,,,,,,,,,,,,,,
5,Love My Avalon,TonyR ,10/30/2010,,,5,5,5,5,,5,5,5,5,"I love my 09 Avalon.  I use to buy nothing but Lincolns and switched over to Avalon in 2004, this was the best vehicle i have ever driven in the 40 so what years of driving.  For some reason the 04 overpowered all the vehicles i have driven.  I try to trade every three years to keep my cost value up.  I have been driving my 09 now for for 19 months now and love it.  I m getting anxious to see what the next new model year design is like and if i like it ill be trading in a flash!  Keep up the good work Toyota!","slim dash board lines, and steering wheel controls",back up sensors for all avalons and rear monitor for us old guys LOL LOL
,,,,,,,,,,,,,,,,,
3.75,Steering Wheel always unlocking!,Mimi ,10/15/2010,,,5,3,3,3,,3,5,5,3,"What a great disappointment with my 2009 Toyota Avalon limited.  This is my first and last Toyota.  Had the mat / sticking pedal situation be disclosed earlier when known, I would NEVER have gotten this car.  My steering wheel unlocks a couple of times a week.  Brought into service center and they couldn't find anything wrong!  Driving along and steering wheel just drops!!  Tried to get rid of car but no one wants it!!  I thought Toyota held his value but with all the problems lately, it's a 50% sale for trade-ins!  Going to get rid of it as soon as I can!",Like the keyless entry.  Comfortable seats.,Steering wheel slipping and unlocking
,,,,,,,,,,,,,,,,,
4.875,Best Value in the Car World Today,carlupi ,10/06/2010,,,5,5,5,5,,5,5,5,4,"The more I drive my 2009 Avalon the happier I am that I bought it. This  is the best car for the money on the market today. I hope Toyota replaces it with a similarly high value product in 2012, when the new model should come out.  ",Comfort; smooth and quiet ride; fuel economy.  ,"The sunroof should always be a separate option instead of being part of a package, so that tall drivers (like me) can avoid the sunroof and  have adequate headroom, yet still be able to get other options like leather seats if they choose. "
,,,,,,,,,,,,,,,,,
