5,Dependable and comfy,Marcia L Sandberg ,10/02/2016,5,4,4,,,5,5,5,5,,,My RAV4 has been a great car. Rid3s smoother and controls are accessible and easy. Little to no problems maintenance-wise. Does well in LA gridlock as well as on the open road.,,
,,,,,,,,,,,,,,,,,
5,Love my RAV 4,Beth ,09/26/2016,5,5,,,,5,,5,5,,,"This one was purchased used with just under 100,000 miles and has been more expensive repair wise than my previous matrix with 250,000 miles. The alternator went out right after I purchased it. I think everything has just been normal maintenance though and I have no idea how it was driven prior to my purchase. Overall it is a very comfortable car and has lots of storage in it. I get between 20 mpg in town and up to 26 miles per gallon on the highway. Mine is a 4 wheel drive vehicle.  My matrix got 30 miles to a gallon after it had 200,000 miles on it and 42 miles to a gallon new.  It was a 2005.  I enjoy driving this car. Other than regular oil changes I have only had the alternator repair so far.",,
,,,,,,,,,,,,,,,,,
5,Great value for the money,Andrew ,09/20/2016,5,4,4,,,5,5,5,4,,,"After leasing a VW EOS with that silly turbo engine that is gutless when you turn on the AC I decided to look at something more powerful, fun while also reliable. With the v6 this RAV4 is a great value. in fact I chose and purchased this used model over the new redesigned RAV4 because after a test drive in the new one I realized I don't like 4 cylinder engines. The suspension on the Sport model is a bit stiff but the upside is great handling when passing all the slower drivers.",,
,,,,,,,,,,,,,,,,,
4,Great little pocket rocket,Timothy Lacke ,05/16/2016,4,3,3,,,5,4,4,3,,,"Very good all around car.  Good mileage, great acceleration with decent handling in all conditions.  Creature comforts not luxurious but functional.",,
,,,,,,,,,,,,,,,,,
5,My Gold Buggy,mary ofield ,03/21/2016,5,4,5,,,5,5,5,5,,,"I LOVE my faithful RAV4; sturdy, reliable, zippy, easy to park!!",,
,,,,,,,,,,,,,,,,,
1,Rushbaby,Rushbaby ,01/21/2016,1,,1,,,,1,3,3,,,"First, I have been driving toyotas before I was aloud to drive...35 years. I have owned used and new. I had a 2005 rav4 ...great car. Everything about that car...5 stars. I bought a 2009 limited V6 3.5 and it is a nightmare. The suspension recall fix involves an epoxy seal on the links which make the adjustable links...unadjustable. meaning...if the rear is out of alignment. ..you have to pay $500+ to have the recall fix done again. I have never had to do anything other than maintenance to my toyotas. This one...3rd pair of shocks...this time i used monroe shocks. ER brake cable...drive train assembly  ($1400 part). Blower motor...Such a disappointment... I have 150000 miles on the odometer and it runs great. Done with it.",,
,,,,,,,,,,,,,,,,,
3.25,Not sure what all the hype is about,villagefish ,01/01/2015,,,3,3,3,5,,4,2,3,3,"The RAV drives more like a dune buggy than a 21st century vehicle and leaves an unrefined impression not generally associated with a Toyota (I have owned two other Toyota vehicles). 

 The 4 cylinder engine is very loud and road noise is pronounced. I can hear suspension, wind, and tire noise at even the lowest speeds on newly paved surfaces.  The ride is stiff and the steering feels artificially weighted. Throttle response is jerky, especially at low speeds. 

The lack of a rear bumper is a safety concern and the side hinged tail gate is inconvenient. I think this vehicle is cheaply made and not worth the high used vehicle price it commands. Suggest looking elsewhere.  ",The front and rear seats are roomy.  Cargo space is generous.  Braking performance is good.,"More insulation from road, wind engine and tire noise. A rear bumper and top hinged rear tailgate. Better quality interior trim, steel rims that won't rust after 5 years.  Reprogram the throttle response for smoother power delivery. "
,,,,,,,,,,,,,,,,,
4.25,Love my 2nd RAV4 even more,jduffy09 ,06/18/2013,,,4,4,4,4,,4,4,5,5,"I had a 1999 RAV4 that was bulletproof. I recently upgraded to a 2009 Sport V6 w/appearance package. The power of this V6 is amazing and yet fuel economy is not compromised. On a recent 500 mile round-trip I got almost 28 mpg.The 2009 is much more refined and significantly roomier than my old 1999 model. Rear-seat room is significantly improved, as is cargo room, and it is great for families with children and pets. The only disappointment for me is the ride. You feel every little bump, but I think that is specific to the sport model. And hey, it's an SUV after all, not a Cadillac. ",The V6 really rocks!,I wish they could find a way to include a spare tire with the appearance package. Even if it was just a temp. (Our van has the spare mounted underneath.) 
,,,,,,,,,,,,,,,,,
4.875,A very functional SUV!,rdiddy801 ,12/11/2012,,,5,4,5,5,,5,5,5,5,"I've had my RAV-4 for about four months now, and I'm quite happy with it. The ride is smooth and the suspension seems solid. I took it off road recently and it handled the terrain okay. I'm getting 25 MPG with a fairly even mix of city/highway driving. The interior is very functional--the back seats slide forward and back, and they split so you have more cargo options. I like the MP3 jack in the center armrest, and there's a little niche there that's perfect for an iPhone. My only complaints: the back window doesn't open (which would allow you to carry long lumber that could hang out the back, for example), and the rear hatch opens towards the curb.","MP3 jack in the arm rest, functional and easy-to-use center console, splitting and sliding rear seats, reliability, hidden cargo bins under the rear cargo cover, and decent MPG for a 4WD SUV.","Open the rear hatch so you can access it from the curb and make the back hatch window operable. Sometimes it would be nice if the gas tank were bigger, but I looked up the CR-V and the RAV's is bigger than it.
"
,,,,,,,,,,,,,,,,,
3.875,Perfect for a small family,sh4n ,09/26/2012,,,3,3,5,5,,4,4,4,3,"- This is an amazing car for a family with young children. - Also a comfortable drive for someone over 6ft (I am 6'2""). - Great on gas, the v4 is peppy, but lacks power when a/c is being used- Interior perfect for kids as it was easy to clean up spills an","- The height of this vehicle is perfect for getting in and out for tall drivers and not too tall for average
people.
- Very good on gas. I drive faster than the flow of traffic and I averaged 10.8L/100km combined.
",
,,,,,,,,,,,,,,,,,
3.875,Love this SUV,pingel ,05/25/2012,,,3,4,4,4,,4,4,4,4,I bought the 2009 base model about a month ago and love this vehicle.I traded in my 2006 Kia Sorento EX 4WD vehile that had only 71k on it but was a gas hog and very bad in the snow & slick roads. So far I am averaging 24-25MPG and love the ride.It looks good and feels good.We are going to take a 5 hour trip in a few weeks so we'll see how comfy it is on long trip.It is a little slow on the take off but if that is it's only draw back it's fine.,"I love the way the back seats can be folded down with the pull of the handles from the far back end.
Love the AUX availablilty so I can listen to all myold favorites.","The cup holders have a lot to be desired.
too far to reach for them and no rubber to hold cups in tightly.
Also need to move the hazard button closer.
Heated outside mirrors on all models."
,,,,,,,,,,,,,,,,,
