1,Stay far far away from these cars!!!!,Ryheem T. ,07/20/2016,1,3,5,,,1,2,4,3,,,"My wife purchased a 2009 VW CC last year......July 2015.  The first day of owning the car the fuel pump went , luckily we purchased the car in CT where the dealers have to give you a 90 day warranty. Car was in the shop for 2 weeks total bill cam e to well over $1000.....luckily we didn't have to pay for it. Car drove good for a few months then the brake booster went(Feb 2016)...........$700 fix. My wife was recently at work and the car wouldn't start.........replaced the coil packs($500 job) , car was out of the shop no more then a few weeks...........check engine light pops up......dreaded P2015 code(intake manifold issue). Luckily VW has a warranty for this........covered for 10 yrs/120k.......fixed free of charge. Got the car back yesterday 07/16/16 , this morning car wont start. I'm telling you guys.......stay far far away from these cars........nothing but headaches!",,
,,,,,,,,,,,,,,,,,
3,"Pretty good (mostly) at 182,000 miles",Dave ,04/30/2016,3,3,3,,,3,3,4,3,,,"Direct Injection will require cleaning the intake valves at around 100,000 due to no fuel to clean the buildup on these valves. Wear on the rear tires has been a problem on these cars. One the original tires was worn on the inside edge (into the cord) at 37,000. The other three all had even wear and 50% of the tread left. The alignment was checked several times and found to be correct. Dealer said this is because of the performance alignment(I don't buy it as only one tire (right rear) wore out. There is lots of talk on the internet about damage to rear suspension during tie down on the delivery trucks. Rotation helps mask the problem, but 75% of the tread wear on the car takes place on the right rear. 12 year rust through warranty. Great mileage (you can get 35 highway easily and 40 if you go 55).",,
,,,,,,,,,,,,,,,,,
5,That's a VW?,Bill Brower ,03/30/2016,,,,,,,,5,5,,,"Best car I have ever owned. VW made one of their stupidest moves(after diesel flap) in not making more advertising and sales push for this car. I bought it over the MB E350, Cadillac CTS and Acura TLS(Too ugly in 2010). My other cars have included Acura TLS, Jaguar XJS, Rover 2000TC, etc.",,
,,,,,,,,,,,,,,,,,
3,Looks can be deceiving,Julian ,03/15/2016,3,3,5,,,2,4,4,4,,,"Bought the car because I fell in love with it since I test drove it. Fantastic interior, excellent performance and suspension overall. Have owned this car for 4yrs now. Bought it with 20,000 miles. First year car ran like a champ no issues what so ever. Then came second year ofownership and everything went down hill after the warranty expired three months before. Water pump failure, $1,500 fix. Six months later water pump failedagain. I though the mechanics were idiots and did not know what they were doing until it failed again a year later. Anyhow, I've had four water pumps replaced in three years. Intake manifold failed twice, PCV valve failure and of course fuel pump failure which are all ""common"" problems due to poor engineering according to dealer. Constant oil leak until I had to have valve cover gasket redone. Oh yes, rear main seal failed at  40,000. The car has 50,675 miles at the time of this review. Great car when it runs but I have spent more money on repairs for this car than the maintenance work done on my two previous vehicles combined.",,
,,,,,,,,,,,,,,,,,
5,After 6 Years of Driving,Chris ,02/27/2016,5,4,5,,,4,5,5,4,,,"I came here to look up the trade in cost for this great car as I need to trade in for an SUV now that I have a bigger family. I was a bit shocked to see that some people were not happy with this car and I felt compelled to write my own review to give this car justice after 6 great years of driving it:1. Fuel Injection issue in other reviews: I did have the fuel injection issue once, took the car to the dealership and asked the mechanic on what causes it. the answer was simple: you need to use premium gas instead of regular. I never had the fuel injection issue since. 2. Reliability: I never had any mechanical issues with this car outside of the fuel injection issue I had once due to using the wrong kind of gas (I have 79k miles as of the time of writing this review). 3. Ride Quality: This is an amazing car that drives much better than the BMW 3 series and Lexus IS (tested both when I was in the market for this one). It still drives like new after putting almost 80k miles on it. 5. My only issue with this car is the trade in value. After looking up how much this car has depreciated, I think I am going to keep it for another 2 - 3 years to maximize my money's worth out of this amazing car.",,
,,,,,,,,,,,,,,,,,
5,3.6 Vr6 4 Motion is the way to go,Mate Dezamits ,02/24/2016,4,5,5,,,5,5,5,4,,,I keep reading bad reviews.. Buy the 3.6L engine and you will have no problem at all,,
,,,,,,,,,,,,,,,,,
2,vw fuel system nightmare,jeff ,01/04/2016,3,4,3,,,1,4,3,3,,,"it took me 5 minutes talking to VW Cert Tech to realize he was going to throw parts at the problem.  Most expensive first.  The fuel system is different but not rocket science.  i can not have my car going down, and my CC broke that faith twice.",,
,,,,,,,,,,,,,,,,,
2,VW CC is a big mistake,joel ,10/29/2015,1,1,3,,,1,1,2,2,,,"I have owned more than 20 cars in my life time. This car has been nothing but trouble...it cost me more than 15,000 in service since I purchased it newVW is cheap wanna be german car",,
,,,,,,,,,,,,,,,,,
1,Noting but issues,Howie ,09/15/2015,1,3,4,,,1,2,4,3,,,"We have had this car for 6 years now, consistent problem with the fuel systems it’s been in the dealer 5 time for fuel injector issues only. Recently the fuel pump went out, oil leaks, control arm and much more we have spent $2500 in the last 6 months with all of the issues we been having.",,
,,,,,,,,,,,,,,,,,
1,AWFUL,Jason ,08/13/2015,1,,2,,,1,,2,3,,,"In the time I have had my CC, two new intake manifolds, new engine. YES I SAID A NEW ENGINE AFTER 80K MILES. VW did nothing. I asked if they could help discount or anything they said no since it was out of warranty even though the car was only 3 years old at the time. Needs new tires every year, cannot keep them aligned. Have replaced every taillight and headlight at least a couple of times. To top it off this week, the headliner just fell down in it. Yeah you know like when you see a '82 caprice and the headliner is sagging driving down the road...that's my car now. Called VW est. $1000-$1200 to replace it. I curse the day I bought this car.",,
,,,,,,,,,,,,,,,,,
2,Money PIT,Tony ,08/12/2015,1,1,2,,,1,3,2,2,,,"Ive had the car for 2 years and it has been in the shop about 6 times, 2 of which was to replace the rear main seal in less than 10 months.  It also has a problem with carbon build up that cost about $600 to clean and a constant rumble noise from the front end even after new tires and front end alignment. Oh yeah not to mention new fuel pump, coolant pump, and fuel rails.  I WILL NEVER OWN A VW again but hey if you're still in the market for one ill sell you mine dirt cheap!",,
,,,,,,,,,,,,,,,,,
2.5,Buyer beware,chunu ,06/09/2015,,,5,5,1,1,,1,3,1,3,"2009 vw cc sport 73k.  Been to the shop at least a dozen times  Ive only owned the car for about 2 years.  Its one thing after another w this car.  Im sitting here writing this review as my car is in the shop.  The mechanic says their are so many codes he's having a difficult time finding the problem.  Should I mention I just got it out of the shop 2 weeks ago to replace a rear main seal (for and oil leak).  Price tag, $1300. I was on my way to trade this lemon in when I got to my car, turned it on and it idles so low it feels like its about to die. I should have just towed it to the dealer and cut my loss.  Please beware if you are thinking about purchasing this vehicle! ","Nice Interior, Sleek look, ","Make and engine that is durable and lasts, "
,,,,,,,,,,,,,,,,,
2.375,Nothing but disaster,geo40 ,03/28/2015,,,2,4,1,1,,4,2,1,4,"Do not buy that great looking and stylish piece of crap unless you are ready to shell thousands of dollars for repairs.  2009 CC Luxury. Yes, it has been a luxury you can't afford to own. VW should be ashamed for putting together such an unreliable vehicle. We bought it new in 2009. Now it has 70K miles. I also have a $7K dent in my wallet for repairs. Water pump failed. It takes half a day to have it replaced. The fuel pump and fuel pump module failed while driving and left me drifting with a dead engine in the middle of traffic. The ceiling lining is falling apart and it looks like as if I went thru a car wash with the windows open. Did I mention the failed latch for the trunk?","Style, performance",Totally unreliable. Multiple systems failures at low miles. Very expensive repairs.
,,,,,,,,,,,,,,,,,
4.875,Going on 4 years,brcc ,12/06/2012,,,5,5,5,5,,5,4,5,5,"Bought my '09 Lux new Mar '09.Have 44K on it with absolutely no issues.Avg 25 mpg with 35 on trips.Use 89 octane and not premium with no problems.Enjoyable driving with multiple seat settings to suit longer hauls.Nice cockpit with the extended moonroof panarama.Constantly surprised by quality of the car, finding little, but substantial advantages every time I go through it, e.g. full spare, tie downs and just the material used.Recently replaced OEM Continentals which got noisy with age with quiet and nicer riding Michelins.","Tiptronic shifting, moonroof, smooth and lively engine performance, handling and quiet ride.",A diesel option would be the only improvement.
,,,,,,,,,,,,,,,,,
