4,Great Little car,K F ,07/07/2016,4,2,3,,,3,4,5,4,,,This car is fun and great on gas.  It has a zippy S-transmission that gives you the feel of a manual with the ease of an Automatic.  It didn't come with an owner's manual so I am not sure how to use many of the entertainment functions which is frustrating.  The interior is leather which gets VERY hot in the summer.  The interior was used well and I am adjusting to the missing pieces.  I love how this car drives and love the convertible/sunroof option.  The dealership I purchased from gave me a good deal and I would buy from them again!,,
5,Problem free for 50K miles!,rcboater ,03/25/2014,4,3,5,,,5,4,4,5,,,"Bought my car new in May 2009.Car is now five years old, and we've put 50,000 fun-filled miles on it.MPG is pretty good, too. On the highway, I get 32 MPG.In my mixed suburban driving,I will get about 28 if I drive normally,but have gotten as high as 35 on the same route by driving conservatively.My car has never leaked- but I paid heed to the advice on the owner forums to lubricate the roof seals annually, to keep them soft and pliable. (That's a 20 minute job.)  I've had NO issues with the mechanical aspects of the car-- to date, the only thing outside of regular scheduled fluid changes was new rear brake pads at 31K miles.UPDATE:  Now up to 68K miles, all still good.   Rear brake pads again at 60K. My only real complaint with the car goes back to how VW packaged the options in 2009.   Back then,  to get the leather seats and steering wheel audio controls, you had to buy the Lux, which meant you got an automatic.   I wanted the manual, which meant I had to have the Komfort, which couldn't have those other options.     I do love my manual Tx-  so it was the right choice, but I wish VW had been more flexible in the optioning.UPDATE:  Now up to 72K miles. all good.",,
5,this is the one!,atlanticdave ,10/12/2012,,,5,5,5,5,,5,5,5,5,"unlike so many other folks who seem to have owned nothing but foreign cars, i have only ever driving u.s.-made cars...and, although i know that american cars are essentially now the best they've ever been the quality they've ever been, i have to say i have never owned or driven anything as nice as this car...i am saddened that not all of us have had positive experiences...i purchased it three years old, with 14,000 miles on it...and i just want to say, so far,so GREAT! nice ride, nice interior comfort, great sound system, very head-turning and eye-catching, plenty of acceleration, i recommend this car without hesitation! i have driven it 6,000 miles, and have nothing but positive things ","to say about it...love the mp 3 player, love the satellite radio, love the inlet for my ipod, the moonroof along with the hard-top convertible is a unique and amazing combination! it is exceptionally quiet-it is the fourth convertible i've owned, and it is just so much better than anything i have owned before! the heated front seats are fantastic, especially for a new england winter, and it truly makes driving fun!","i would like if it had cruise and volume controls in the steering wheels...those are nice touches in nicer cars, of which this is one"
2.25,Worst Car Ever ,jlmurray81 ,07/21/2011,,,3,3,1,1,,3,3,1,3,"I leased this car back in August on 2008 and have had nothing but problems with it and the dealership ever since. Four weeks after I leased the car, a transmission valve had to be replaced. I learned about his problem only after nearly being killed on the freeway because my car lost all forward momentum. To add insult to injury the dealership insisted it was my starter that caused this issue. Only after speaking to a mechanic was this issue actually addressed. The dealership had my car for over three weeks and tried to charge me for the rental car. Approximately a year later the manufacture issued a recall for this transmission value issue. ",,"On extremely hot days the navigation/radio will randomly turn off and not come back on, this issue has happened three times which requires a trip to the dealer to be rebooted each time. I rarely take this car on any trip over 100 miles as I am concerned with the reliability. Most recently I took the car on a 250 mile trip and sure enough the Malfunction Indicator light illuminated on our way home. We did everything the manual suggests to address the MIL. Upon our return the car started to idle very rough and the transmission would kick when slowly climbing up hills. We dropped the car off at the dealership at the night drop. Only after calling four times through out the next day did I find out that the exhaust manifold flaps had to be replaced? The dealership had the car for two days and didnt offer me a rental car. All of these issues were covered by the warranty; however, I have left my car with the dealership for over a month during my 36 month lease. I only have 27k miles on my car and I dont even trust it to get me to and from work, which is 7 miles from my home. "
3,DEFECTIVE TRANSMISSION,BOCA LEN ,11/13/2010,,,3,3,3,1,,4,4,2,4,"Overall my EOS is a reasonably priced convertible with generally good quality.  I bought the car new. I drive to work and never abuse the car - just basic transportation  However, at 1400 miles the transmission blew and had to be replaced with what I now know is a refurbished unit.  Last week at 10,000 miles the refurbished transmission blew again.  The dealer wants to replace with a refurbished unit again.  VW extended the warranty, the dealer has been pleasant to work with and provides a loaner car. The point is, this transmission is too complex. I thing that anyone considering buying a VW with this transmission needs to be aware of the problems that are inherent with this unit. Beware!",drop top,"VW needs to find a decent transmission to put into these cars.  Simply covering them under warranty does not ameliorate the hassle and inconvenience of continually replacing the transmissions which self-destruct every 10,000 miles.  (at least for me)"
5,FUN2BEHAD,FunFunFun ,11/06/2010,,,5,5,5,5,,5,5,5,5,"I had a 2006 Passat on lease.  I had been looking for 6 months for a convertible.  VW let me out of my lease for a ridiculous amount and I got a EOS.  I had tried the Toyota, Sebring and a few others but loved the handling of the EOS.  It's fun, no problems, lots of compliments.  Most fun driving ever. The back seat is small, but deep and bigger then the Volvo, Lexus etc..  I always get compliments on the car.  It's been so much fun. Great for road trips to the beach.    ","Hardtop Convertible/Sunroof, heated seats","lock for trunk when valet parking...available in Passat, but not EOS"
4.875,It's the greatest Car I owned,mac ,06/15/2010,,,4,5,5,5,,5,5,5,5,I have owned Fords and Honda's all of my 50 plus years. Last year I went to look at a VW Passat and left with a fully equiped EOS. I and my kids are thrilled. I have a hard time keeping my car keys in my hand my four boys take it every chance they get. It by far is the best car I ever had not a lot of back seat leg room nor storage but runs great with nice get up. Would recommend this car to anyone who doesn't have to load their family in their car anymore.,hard top and ease of converting it. Radio sound is tremendous and has good speed and steering. Great safety rating. ,Could be a little bit bigger. But I really am not complaining. Great
3.875,My 1st VW and my LAST,louloulane ,05/12/2010,,,4,5,3,1,,3,5,5,5,"Beautiful eye catching car. Too bad it's not reliable. I have had to have it towed 3 times in 3 months back to the dealership. We bought 2 VW's on the same day, an Eos & a CC. The Eos has been such an unpleasant experience it will be the last time a VW is owned in our family. 1st time and last time for a VW for us. Ignition, electrical,turbo problems.",The sunroof/convertible is an awesome feature. The front seats are very comfortable. The backseats are a different story (see below). Love the nav system too.,Quick release to access the backseats would be nice. The slow moving electric seats is annoying & then difficult to get in the back. The back seats are pretty much non-functioning. The Navigation system needs to be recessed so you can see the screen when you have the top down. 
4.75,New leftover 2009 EOS,Jeff ,03/26/2010,,,4,5,5,5,,5,5,5,4,"We bought this along with a new 2010 Golf tdi. So far we have about 3000 miles on it, and it has preformed well. Most surprising is the relatively good fuel economy. Overall we have posted 29.8mpg with a high of 36mpg, and this is winter and the car has a ways to go before fully broken- in. We picked up the car for $26,600 or $5700 off MSRP. It's still too early to tell how this car will turn out but so far it is good. The only drawback is the weight of 3500 lbs, but all convertibles are heavy, and this is one of the lighter ones. Cornering although acceptable is not as crisp as lighter German cars. This is our first convertible, so we'll have a better idea after our Wisconsin summer.","The CSC, coupe/sunroof/convertible is really nice. The car is remarkably quiet, very comfortable seating and reasonable rear seating. In addition, it's a nice looking car. The motor and manual transmission excel, love the power and fuel economy. Economy so far is much better than the posted EPA.","A stiffer suspension would be nice, but the weight of 3500 lbs on a front wheel drive car has handling limitations. Would be better if it was a rear wheel drive car."
4.625,Nice car with a few hiccups,drspoon ,03/25/2010,,,5,4,4,5,,5,4,5,5,"This fun car is a dream to drive.    The turbo engine really gets up and goes.  We have taken the car on long trips and it is really very comfortable.  Now after having it for a year we find out the hard way that the engine is an oil burner after total 20k mileage.  Just got it back from the dealer where the oil consumption is one half quart per 1000 miles-- an amount that Volks says is acceptable.  I asked how I can make the 10,000 mile factory suggested oil change interval and the dealership simply says I cannot.  For the price of this car and the supposed quality of Volks engineering this is simply unacceptable.   No more Volkswagens for me!!!!!!!",Great acceleration and maneuverability.  We get up to 30 mpg on long trips so with today's gas prices this car will not break the bank.  The audio system and navigational systems are top notch.  The trunk is still large enough with the top down to carry most of the things we want on a long trip.,With no guard the sides are prone to dings from other cars.  And finally we just do not like the fact that we must carry oil with us to constantly top off the oil every other gas tank fill-up.  Oil consumption for this car is unacceptable.  Keep that in mind before purchasing  one!!
