4,So much potential!,Carson C. ,09/16/2016,3,3,4,,,2,5,4,4,,,"I purchased my 2009 Volkswagen Jetta S in 2013.  It was a certified used vehicle purchased from Volkswagen Van Nuys in Van Nuys, CA, and it only had 27,000 miles on it.  Since I've owned the car, the resale value has tanked.  It now has about 85,000 miles, and is only worth about $8,500 max (and that's including all the upgrades).  I've had many electrical issues with the car...such as: 1.) In 2014, the fuse panel under the engine melted, 2.) In 2016, my front driver seat almost caught fire, as the seat warmer burned through the seat & caused black marks...luckily, I noticed before it turned into a fire, 3.) In 2016, my fuse panel inside the car melted.  Although Volkswagen considers some of these ""safety issues"", they will refuse to take care of the problem...which is why it is unfortunate, but I will never purchase another Volkswagen again.  I will give this car credit -- it handles very well.  The only other negative about this car, is that I feel as though the car goes through gas a lot faster than it is supposed to.  I even borrowed a 2015 Volkswagen Jetta while mine was being repaired, and the car would say ""125 miles until empty""...5 miles later, it would read ""110-115 miles until empty"", and so forth.  I would not recommend this car to anyone over 5'8"".  I am about 5'6""/5'7"", and even I sometimes will hit my head getting in and out of the car.",,
,,,,,,,,,,,,,,,,,
5,Tdi tremendous,Roger Heaton ,08/01/2016,34,5,4,,,5,5,5,3,,,What a waste.  This car is being recalled.  I love driving it. Vw has nothing close to replacing it.,,
,,,,,,,,,,,,,,,,,
4,Great daily wagon for me,PJ ,04/04/2016,,5,5,,,4,5,4,5,,,The car is loaded and a blast to drive.Driver airbag module was loose fit from clockspring causing constant  airbag light .I fixed with dab  goop .Check enging po956 code from $15 purge valve from overfilling gas .Buy yourself a U291 $10.00 scanner or get codes scaned at a parts store if it ever  has any.It can reset what dealer charges over $100.00 to do . The panoroof should never be operated with sunshade closed . It will come unglued .I fixed mine for $ 250 Dealer will charge a fortune to drop headliner and replace.(unnecessary) All my problems may be related to the car was a bank repo and sat 2 years in impound .Front brakes lasted 65000 rears 40000 Just replaced origional tires at 65000.Not as good of a car as my 2004 Camry but a whole lot more fun.,,
,,,,,,,,,,,,,,,,,
2,Maintenance repair shop queen,Keith ,09/17/2015,1,3,3,,,1,3,3,2,,,"The car achieves outstanding mileage with the TDI engine with outstanding low end torque.  However it is a maintenance nightmare.  The Satellite radio failed at 18 months along with the aux port.  The TDI engine intercooler had a design fault resulting in bent valve and engine freeze up.  Volkswagen replaced the engine under warranty.    All four struts, shocks and wheel bearings have failed in the last 24 months.  Car is religiously  washed and waxed. The paint failed at 70 months on all four wheel wells and the rocker panels with large chunks of paint blistering and peeling off. Volkswagen has only agreed to pay 20% of the repair cost. I buy the best tires rated for ride and noise.  Despite that the car rides rough and there is so much wind and road noise that I wear ear plugs during my commute and I will not drive it on long drives.",,
,,,,,,,,,,,,,,,,,
2,Love hate relationship,ronald ,09/11/2015,,,3,,,,,4,,,,The 2009 TDI sportwagon.  I love about everything about this car except reliability and that is a show stopper.  Virtually every system has had major overhauls except the engine.  I guess I have grown spoiled driving about a dozen Toyotas over the years as they are reliable and run forever.  Expect to pay the cost of the car for repairs during the first 120K for this model.   The least reliable and most expensive to repair automobile I have owned.   I will never purchase another VW.,,
,,,,,,,,,,,,,,,,,
2,Never again will I buy a VW,Mark ,08/24/2015,2,4,4,,,3,4,4,4,,,"Car was okay until 90K miles. The turbo on the diesel grenaded, causing not only all the damage in the turbo, but also the exhaust system (which had been redesigned and you had to buy the newer version). Very expensive repair. Asked VW to help, but there comment was that it was out of warranty, your on your own. The car was three years old at the time. They also made the comment that I had put a lot of miles in a short time. Really, a diesel should be good for 300K+. At 140K miles, radiator starts leaking, and was replaced. Radiator fan had to be replaced as it liked to run until it ran the battery down. Now one of the glow plugs needs to be replaced, one of the rear window regulators, and the electric steering is humming.  With ""dieselgate"" now, the car is worth half than prior, and VW seems to be more concerned with saving their hide then customers. They don't even seem to really get it that the chicanery they did really is not justified because superior german engineering could not come up with a solution that was within their price point for producing the car.",,
,,,,,,,,,,,,,,,,,
3,"great vehicle until 80,000 miles",Duke M ,07/30/2015,2,3,3,,,2,3,3,3,,,"dealership support has always been an issue. I don't trust them to tell me the truth.After an dealership oil change I left on a long trip. 500 miles from home in the middle of nowhere, loud flapping noises from the engine compartment. I inspected and discovered that the underbelly pan was missing bolts. I limped along at 60 miles an hour for another 500 miles to a town that had a VW dealership. I had to pay to have the missing bolts replaced. Local home dealership denied to refund me the cost of the repair.It appears that it's a myth...Diesel engines are good for 100,000 's of miles.At 100,000 miles, the repair saga has begun. Do I dump and run or do I take my chances that the worst is behind me?",,
,,,,,,,,,,,,,,,,,
4.75,Still Smooth Sailing After 5+ Years,jasonpdx ,03/20/2015,,,5,5,5,5,,5,5,4,4,"My 2009 TDI SE has treated me very well for over five years and 70K, and I am still happy with it. The build quality on this generation is really, really good (unlike the dumbed down start to the next gen after): the interior is premium and the exterior is quietly upscale and distinctive in a good way. Having heard from some about VW's prior reliability problems when I bought it, I wondered whether I'd be in for some unexpected bumps in upkeep.  But this car has been 100% reliable, with no time in the shop except for the regular maintenance, a new set of tires, and (just recently at 70K) a new pair of rear brake pads.  And I still get about 43 highway and low 30s city MPG-- above EPA.
","Excellent torque and sufficient power with high MPGs!

Ride is just a little sporty yet still very comfortable

Good looks that age well (I still get compliments, which is nice ;)

Quiet (TDI quieter on the road than gasser version)

DSG automatic is super fast

Upgraded sound system still sounds great

Heated seats

Good visibility

Letherette ages better than real leather

Good safety features (lots of airbags and good ratings)","Crawling at slow speeds with a DSG is a little lurchy (unavoidable with dual clutch automated manual but could be refined a bit more)

Maintenance costs at dealer are a little inflated

Even with cold weather package, cabin takes a good five minutes to warm up on cold days (again, comes with the territory with diesel, but supplemental heating element could be more powerful)

I had to install bluetooth for an extra $400! (Fortunately, VW fixed this oversight later I think)"
,,,,,,,,,,,,,,,,,
2.5,VW should give cars away for free and charge for repair. ,starzyd ,01/27/2015,,,3,4,1,1,,3,4,1,3,"The 09 TDI Jetta was the worst car I've ever owned. At 67,000 miles it fell into the exhaust manifold warranty and VW put an entire new system in my car at a value of $8,000.  At 78,000 miles the ABS system went out, AC stopped working, Exhaust system failed again, and transmission was slipping.  It needed $8,000 in repairs to keep running and was only worth that much for a trade in.  I prayed for months that someone hit me so I could dump this car as the trade in value was only $500 bucks with all it needed. I'm severely disappointed in VW.  This car cost $23k to purchase and within 4 and 5 years it needed $17,000 in repairs to maintain it barely running. Stay away from this vehicle! ",The diesel had a lot of get up and go.  It is a speedy little car to get around town. ,"Stay away from these cars unless you have endless amounts of income to put into repairs.  The exhaust on the new models is a nightmare. I wish it had a self destruct button. I would have loved to see this blow up to pieces.  Worst piece of crap I've ever owned. Expensive to maintain because of the diesel aspect. My suggestion is to stop making them until you can figure out how to make a good car.  
 "
,,,,,,,,,,,,,,,,,
3.375,Beware!,shallquist ,01/15/2015,,,3,4,3,2,,4,4,3,4,"This review is for the 2009, but based on my research affects all TDI models.  All TDIs have a High Pressure Fuel Pump (HPFP) and they are prone to failure when the diesel fuel gets contaminated.  My Diesel somehow got water in the diesel and apparently based on the rust in the tank this had been an on going problem.  At 107000 miles the fuel system had to be replaced to the tune of $5,800 dollars.  Apparently diesel fuel standards in the US are lower than that of Europe and VW hasn't taken that into consideration.

Please CONSIDER this when purchasing.","Automatic Trip computer is very useful.  I like the panoramic sunroof, but have begun to dread it since the drain tubes clog often and water ends up collecting in foot wells.",Fix the HPFP and put in a system to detect bad fuel!
,,,,,,,,,,,,,,,,,
4.75,A very good car and it requires maintenance,redlude ,05/21/2014,,,5,5,5,4,,5,5,5,4,I have 100K miles on the car & have been very happy. I had an electrical issue. It wasresolved. Maintenance costs can be cut in half by purchasing the parts yourself & then have a reputable non dealer garage install them. My chosen garage specializes in German vehicles and were rated very highly. I use Lucas and Stanadyne Diesel fuel treatements for injector cleaning & additional injector/fuel pump lubrication. I am gearing up to change my timing belt. I am going to pay $700 instead of the $1200 mentioned on another review here.I researched and purchased the parts online and provided them to my mechanic. I expect to see many miles more.... God willing and the creek don't rise ,"Fuel Economy of course!! However, the interior is nice and well designed. Typically German IMO. I love the heated seats during the colder months. The trunk space is amazing for a car that size. In spite of some of the reviews in here, my car has been very reliable, sure there some quirks but I can live with it as it is.
After the turbo kicks in, I love the rapid and smooth acceleration as well.","Agree the air conditioner could do better and the turbo lag has proven to be significant, if I do not keep that in mind while i am driving.
I usually try to keep the RPMs up a bit and that normally keeps the lag at bay."
,,,,,,,,,,,,,,,,,
3.875,"Good for 79,500 miles",chrislongo ,11/11/2013,,,5,4,5,1,,5,5,1,5,"I was a good car for 79,500 miles.Did all routine maintenance plus a new intake manifold but this was not enough to keep it going.It need a whole new engine after 79,500 miles.","Its really a nice car if it would run.
","Reliability of 1 is not good enough.
A car that doesn't not run after 79,500 miles is a waste of money."
,,,,,,,,,,,,,,,,,
4,"If you want economy, you must pay for it!",bud8138 ,04/11/2013,,,4,,,4,,5,4,,,"We have a 2009 Jetta TDI with 115,000 miles on it. It gets great fuel economy, is fun to drive, looks good.....BUT....The regular maintenence costs will negate that great fuel economy, especially if you have the 6 speed automatic transmission, which is actually two manual transmissions in one case that is shifted hydraullicly. It requires regular maintenence every 80,000 miles tat makes one think they are buying a new tranny. Add to that a new timing belt at 90,000 miles that will run another $1200. So you see, you pay for that economy. I love the car but will not buy another. Oh yeah, a faulty fuse holder for one bank of headlights is another $520.00.Last maintenance service, computer indicated a ""possible"" cracked exhaust manifold, along with some other suggested items. Estimated cost to repair all, $7,200.00. Car unsafe to drive; could stop at any time. Since cost of repairs was about what the car is worth, I declined. Had the car repaired locally for $400. VW's service Dept. Is highly suspect in my book.",,
,,,,,,,,,,,,,,,,,
4.625,sehr gut!,nivek3 ,04/10/2012,,,5,4,5,5,,5,4,4,5,"This is my first VW and I really dig this German car. I have always wondered about the people that are fanatical about their VWs. Now I know. The build quality absolutely kills anything American built. The handling and comfort are excellent. Did I mention the gas mileage? Highway is rated for I believe 42, yeah on bad day. When I travel long distances I get around 50. I really have enjoyed this car and I know see why people get obsessed with VWs.","Interior build quality, gas mileage, and fun to drive.",Cheaper sales price.
,,,,,,,,,,,,,,,,,
4.75,"Driven 11,000 miles since new.",tappan ,02/25/2012,,,5,5,5,5,,4,4,5,5,"Pros: Styling is a homerun. Much better looking than anything else in its segment. It looks classy and expensive even when standing still. Interior is also a homerun. Nice quality material; leatherette (fake leather) looks real, but does not require any special care or maintenance and does not age or crack like real leather. Very peppy 170 Hp 2.5L I-5 engine. Power everything, including both front seats! Cons: Engine technology dates back 30 years to old Audi 5000. It's buzzy, growly, and noisy, especially when cold. Fuel economy is just OK, not remarkable. Great in-town car.","The SE trim comes pretty well loaded out. The SE trim is a homerun, especially in the beautiful 2-tone color scheme. Std. equipment includes power moonroof, wipers that pause while you are stopped, 50/50 fold-down rear seat with center pass-thru and fold-down armrest, turn signal blinkers in outside mirrors, power seats for driver & passenger, a great 10-speaker 5-disc CD/Satellite sound sytem, 6-speed manu-matic transmission, and more, too much to list here. But the I-5 engine needs refinement and updating. A/C system could be improved. I wish a V6 was available like in pre-2006 Jettas. Overall, a very nice upscale compact that offers a lot of value and quality for the money.","VW customer service and support needs a lot of improvement. Dealerships are indifferent, technicians are under-trained, and VW corporate just doesn't seem to care. If VW is serious about running with the big dogs (Honda, Toyota, Nissan, Chevy, Ford), the entire organization needs a complete culture overhaul starting at the top focusing on extraordinary customer service. The car itself is OK, but service is abysmal when needed. Furthermore, VW really misread theirmarket when the dumbed-down the 2012 Jetta & Passat. They ruined & cheapened 2 great cars thinking this is what we want. A better support organization is what we want. Not cheap cars. Lexus has already proved this."
,,,,,,,,,,,,,,,,,
5,Das Auto!!!!!,carrao33 ,02/22/2012,,,5,5,5,5,,5,5,5,5,"My wife and I have owned a couple big ole piece of chevys, and this is our first VW, we absolutely love it!For a small car it has enough power to make the car fun to drive, the handling is good, the tan leatherette interior makes the car feel luxurious.We also love being a part of the VW family, and find ourselves unconsiously parking next to other V-dubs in parking lots.I will probably never own another american car now. ","Love the quality of the interior, the seats, the controls, the sunroof, the trunk is big etc...","The only feature I wish this car had is remote start for the cold winter season.
"
,,,,,,,,,,,,,,,,,
4.5,Great Car,poopoopeepee ,02/13/2012,,,5,3,5,5,,3,5,5,5,"This is a great car.My car is at 38k miles and the only problem I've had is weak break pads, but that can happen to any car.It is extremely smooth to drive.It has delayed steering, a great suspension, smooth shifting, and a VERY quiet engine.Im pretty young, and I drive manual transmission so I think that the quiet engine is a negative quality of the car, but that is a great thing for a lot of people.And the inside is amazing, I haven't had a person sit in my car and not give me a compliment.With heated seats (not leather), electric Everything, and plenty, i mean PLENTY of room in both the front and back seats, it feels like a $30k+ luxury vehicle.(only paid $14k)","Heated seats
Red & blue dashboard lights
Electric controls
Delayed Steering
Rear & Side mirror defrosters
Turn Signals on side mirrors
Lots and Head Room
Great safety ratings","the front bumper. The chrome looks kinda weird, but some people like it. "
,,,,,,,,,,,,,,,,,
5,35k Miles,jettaowner5 ,01/10/2012,,,5,5,5,5,,5,5,5,5,"I bought this car a month ago with 34k miles. First of all, the exterior design of this car is a beauty. The 2012 Jetta is no where near as nice as this one. In addition, the newer models have backtracked in quality to make Jettas more competitive with Japanese and Korean sedans (another reason why I went with this 2009 Jetta) This 2009 interior is great. It is top notch quality with seat heaters, auxiliary input and soft touch dashboard. I feel like I'm riding a luxury car (which I think it is). Bought it for 14k. I love this car! ","Comfortable seats, auxiliary input, great traction, nice body design, great handling, not noisy on the highway, huge trunk size",Wished city gas mileage was better. Highway is excellent. 30+ mpg. 
,,,,,,,,,,,,,,,,,
3.875,Hole on Side of Drivers Seat,maolra ,12/25/2011,,,3,5,4,4,,5,3,3,4,I have enjoyed te car basically. Had front suspesion problemsit was a problem apprantly all 2009 Wolfsburg Jetta had . Service Dept was great rent a car free no problem. ButI noticed a hole or abrasion at fist starting on drivers side @10k seat where seat belt comes around. Very noticable when car door is opened now. Now further stiching is is coming apart. Frame of seat pushing against side of drivers seat has created a hole the size of a mans thumb. V>W> is huh ?Calling V.W. North America as it has loded te value of car. I change my own plugs/coil and oil. Also spent the 100 bucks to get Bently manual. But I insist they replace the seat or I spend $225 for friont canvas seat covers.,,
,,,,,,,,,,,,,,,,,
4.125,2009 Jetta Wolfsburg,brishimmel ,11/14/2011,,,5,5,2,2,,4,5,5,5,"I LOVE my Jetta.Before I started having problems with it I swore by VW and said my future cars would be VW's.Well in the past three weeks, that has changed.Once my Jetta hit 25k, everything went wrong. Check engine light always comes on, it has left me stranded two times in three weeks. Both times have been the fuel pump.The first time (3 weeks ago) the dealer said they replaced it, now I am doubting that they did. Now they are saying it is the fuel pump again.I called roadside asst which is still under my warranty and they charged me $250+ to have it towed to my dealer where I live. Again, love my Jetta but be sure you have $$ to fix it when it goes out of warranty. ","I love the way this car feels when it drives. Although, after it hit 25k I noticed a ""lag"" or a hesitation when it would pull out. I know it is a turbo but I had never had this problem before.

I do love the interior. You can tell the leather is nice quality and I love the black/tan trim. However, I do hear a coupld rattles here and there which are annoying.","Fix the fuel system! My warranty is up in Dec & with two major things that have gone wrong in the past 3 weeks, I am definitely going to trade it in.
VW roadside asst is terrible.
Like I said, they charged me $250+ to have it towed to my dealer where I live.
This had happened in the middle of the night & once the tow truck took my VW to my dealer at 3am, roadside said he couldn't leave it there because there was no night drop & he needed to tow it back 110 miles where the car was originally picked up.
Think they would've said this when he originally came. Also wanted to charged me agian to take it back to Phx and tow it back down to Tucson on Monday."
,,,,,,,,,,,,,,,,,
3.25,Worst car ever driven.....,suma120200 ,10/08/2011,,,4,4,2,2,,2,4,4,4,"I fell in love with this car from the moment I laid eyes on it, how ever the moment my warranty expired my nightmares began.Luckily, some of the problems started when I still had warranty.Since I bought me car, I had to replace the septic system, I had electric system problem where my sunroof didn't open and my radio did not turn on.Now I'm having intermittent problems with my gas cap not opening.I looked to see if there is a manual release, but unable to locate.I'm driven a Mazda, Toyota, and a Honda, I have never seen so many problems on a car under 35,000 miles.","I love the look of the car, the panoramic sunroof, the space , and trunk space.
I also like how the car drives.
If I didn't have so many issues with my car, I probably would have recommended this to all my friends and family.
After my husband saw how costly the repairs were and how frequently I find my self going in for repairs, my husband went with a Nissan Versa instead. ","I think the extended warranty should be more affordable and cost to maintain should be lower.
I think these cars have potential and should be made to last like Hondas and Toyotas are."
,,,,,,,,,,,,,,,,,
4.625,So far so good... ,mdbla ,09/15/2011,,,5,5,4,5,,4,4,5,5,"Bought this CPO Jetta 1 month ago after owning an Audi A4 for 10 years.The Jetta is a fun car to drive, handles great.Manual transmissions shifts effortlessly.The exterior styling is nice (mine is black with the chrome trim) and the interior is very nice, has a upscale feel to it.Huge trunk!I was hoping with the 5-sp manual I'd get the higher miles per gallon (75% freeway, 25% city) but I've been getting exactly as advertised - 26 mpg.Finally not crazy about the front seats, wish there was more options to adjusting the position. I prefer a more horizontal seat and these have a big angle (6 inches height difference from front to back).","Exterior and interior styling.
Fun to drive (especially 5-sp manual).","Fuel mileage.
More adjustments for driver seat."
,,,,,,,,,,,,,,,,,
2.625,Pretty shoddy. Lots of problems. Dealers don't care.,kingtaco ,08/18/2011,,,3,3,1,1,,4,4,1,4,"So, I've had my wagon for about 32 months and I've given up. I've had multiple problems with the suspension, the alloy wheels break from even the most minor potholes. I've replaced something like 7 wheels at this point and finally started buying steel wheels. Those haven't had any problems. The dealers are hideously overpriced and don't seem to care about any of the problems I've had. They just want me to keep coming back and spending more money when something breaks. After another $600 bill for a small pothole I've given in. I'm waiting for Kia to get their 2012 models in and as soon as they do the Jetta's gone. I got 120k miles out of my last car (Honda), but only 45k out of this junk heap",It does hold a lot,Improve build quality. Bring parts prices into the realm of reasonability. Train your dealers not to gouge.
,,,,,,,,,,,,,,,,,
4.75,2009 VW TDI DSG Tranny Update,adrenalinetdi ,07/19/2011,,,5,5,4,5,,5,5,4,5,"Seriously folks, you must have to get this Dealer Warranty replaced. Our 2.0L TDI has a Mechtronic Controller Unit that sits atop the DSG Tranny. This Unit controls and puts a stop to the jerky and hesitation. Palisades VW in New York replaced mine last summer and WOW it has made a significant difference in the fuel economy, quickness, and safety. Now, when I press the pedal lightly, the TDI shifts smooooth and quick. Also, when slowing down, no more jerks. At 58 MPH I get 52 MPG with the AC blowing cold. In the city, at 45 MPH I get 60 + MPG. Seriously, do not let the dealers tell you otherwise. We spent extra money for the TDI for a reason. Make the call and beat the BMW driving uphill.","The 2009 VW TDI has features not found on the 2010 or newer. Basically we have a Luxury Passat with a Compressor Turbo Diesel power-plant. The Air Conditioner is Electronic without the use of belts. Here in Florida we have a dirt that is named ""sugar sand."" 4 wheel drive trucks get stuck in this sand. My TDI is a champion, its motor and electronic traction controllers went to work and drove the TDI right out onto pavement. Sitting in the cockpit, everything I need is at my fingertips. At night, the interior lights up like an airplane cockpit.","I had hoped that this was exactly the build of the German made VW and no the Mexican VW. There is a real difference in the paint and body metal. But that is why we pay to have a Comprehensive insurance policy, insurance against dings and dents and paint scrapes and headlight plastics that go bad with time. A trailer hitch to pull a small boat would be a nice extra. Uhual will install for $400."
,,,,,,,,,,,,,,,,,
2.375,VW Jetta Wolfsberg ,azaero ,07/06/2011,,,1,4,1,1,,4,3,1,4,"One of the least reliable cars I have ever owned. The interior is cheap plastic that constantly breaks and the dealerships will not replace it. The glove compartment latch has broken 3 times in 60,000 miles and the center arm rest is broken from normal wear. The engine reliability is very poor. The struts have failed twice, the oil leaks constantly, the brake lines leak, the computer constantly says to""check engine,"" it requires at least 91 octane or it gums-up, the vacuum hose plastic parts fail and leak. I've put thousands into this car. Never again will I own a VW. ","The car has good acceleration when it is running and I get good mileage, about 28 mpg. ",Redesign. Start with the cheap interior plastic and work out from there. 
,,,,,,,,,,,,,,,,,
