3,junky,dmitriy shindyakov ,10/29/2016,2,4,4,,,3,4,2,4,,,.,,
,,,,,,,,,,,,,,,,,
1,RUN LIKE HELL,Ros ,03/14/2016,,1,1,,,1,1,1,1,,,This by far is one of the worst vehicles. I only had it a week and its been in the service shop everyday...REFUND,,
,,,,,,,,,,,,,,,,,
2,2009 Routan Nightmare!,Riri ,02/08/2016,1,2,3,,,1,1,2,4,,,"I was excited to buy my 1st VW, but sadly lost all trust in VW shortly after owning a Routan. The Routan is very unsafe to be on the road. Corporate doesn't stand behind their poorly made products, and this minivan has broke me due to constant major monthly repairs. Most repairs have involved the braking system (replaced master cylinder twice, abs unit & flushed brake line). Wheel barrings all needed replacement & problems with engine (censor replaced & another major part that I forget what it was now..I've lost track at this point). In the last 2 1/2 years it's required 11 major repairs that have cost me over $6,400! It's the most Ridiculous & UNSAFE vehicle I've ever owned! I can't wait to get out from owning a VW.",,
,,,,,,,,,,,,,,,,,
1,Lemon,Rourke ,02/03/2016,,2,2,,,1,2,2,3,,,From the moment I bought the car it was in the shop 6 time. This last repair is going to cost me at least $1500 for the TIPM. This is crazy. Why is this allowed to happen?,,
,,,,,,,,,,,,,,,,,
1,RUN AWAY!!!,Kevin ,10/27/2015,1,3,3,,,1,1,1,2,,,"Worse car ever!!! Have never had a car with so many problems. You will never finish having brake, electrical, engine, transmission problems. Even the overhead dvd players go bad.",,
,,,,,,,,,,,,,,,,,
5,i love this minivan since i buy it,Deisi Morales ,09/27/2015,5,5,5,,,5,5,5,5,,,i love my minivan great space nice to ride so far i don't have no mechanical problems but i have a recall about the ignition switch since then twice a week every time wen i start the van all the dash board lights go off like crazy i have to turn it off get the key out open the door and keep trying until it works fine other than that  its a good vehicle,,
,,,,,,,,,,,,,,,,,
2.25,Please contact VW 1-800-822-8987 about your Routan porblems,walnutcreekvw ,07/02/2014,,,4,4,1,1,,2,4,1,1,"Your Routan is not a lemon. I used to think the same thing until mine shut down while driving...again! VW replaced our control module a couple of years ago, but the van loses power while driving. It's really scary! We had our rotors replaced as well. They still shake. They told us it was from the weight of the vehicle. This van is not safe. I called VW today to start a case. Does a family have to get injured/killed before they resolve this issue? Call VW and start a case so we can have these issues addressed before someone gets hurt.1-800-822-8987 ","Looks good on exterior and interior, but it is not a safe vehicle.","Do not buy.
I wish we could return our Routan."
,,,,,,,,,,,,,,,,,
2.125,Consumes Oil,pnwislander ,04/17/2014,,,2,3,2,2,,1,2,3,2,"This is the first vehicle I have ever owned where I have to put in a quart of oil every 1,000 miles or the oil light will come on and the manufacturer considers that normal.There are other things that seemed minor, like side door catching etc.But all of the sudden after hitting 30,000 miles to have to start putting in a quart of oil every 1,000 miles (now at 45,000 miles) just seems ridiculous to be considered normal.Our other car is a VW Golf that we love ,and the Routan is just an all around disappointment.Wishing we had bought the Honda or Toyata minivan instead.",,
,,,,,,,,,,,,,,,,,
1.875,Up In Flames,insrtg ,05/03/2013,,,2,2,2,1,,1,3,2,2,"My Volkswagon Routan 2009 was serviced back in March 2013 - transmission & power steering.When the service was completed at a VW service center, I picked up the car, drove home the short distance, and parked in my driveway.The next morning while at a traffic light, the car started to go on fire from the engine and eventually burst into flames.Thankfully no one was hurt, but I don't believe it was a coincidence that it happened a few hours since the car was picked up from the service at Legend Audi Volkswagon in Amityville.Aside from that incident, the car had numerous issues throughout the 4 years, i.e. brakes, glitchy doors, glitchy radio, and recalled parts.Terrible car.",None,Discontinue the Routan immediately
,,,,,,,,,,,,,,,,,
5,Trouble free - not so much....,edsel4u ,03/28/2013,,,5,,,5,,4,5,,,"Bought new June 2009 and now at 33,000 miles we have not had any major malfunctions. We'll own the Routan till the wheels fall off. It's an excellent transportation appliance and if people respect the Routan minivan for what it is, and for what it is not, they'll be satisfied too.Update: 04/2016 Our family still owns the Routan. It now has 77,000 miles. Just replaced the transmission ""solenoid"" ($800.00) because it would not shift higher than 2nd gear. Frequent brake jobs, wheel bearings and alignments are required. I don't expect the Routan to last longer than 100k miles. It has become an exasperating vehicle to own. Will never buy another Chrysler/Fiat product again.",,
,,,,,,,,,,,,,,,,,
2.5,2010 Routon REL,no_more_vws ,03/15/2013,,,4,2,1,1,,3,4,2,3,"Bought a used (20k miles) one and its nothing but problems. Doesnt start all the time. New battery, new starter...wont start. While in gear and idleing forward it shakes the vehicle. At highway speed it surges like tranny slipping. Rear electric seat stopped working and its rarely used. Sliding door on passenger side makes a horrible noise when opening, was told its fine. Pulls to the right. 2 sets of tires in 40k miles. 3 alignments. I think this vehicle was wrecked and they didnt tell us. Bought one year old from dealer for $29k (less than book value) one year and 20k miles later its worth $19k??? WTF!! still owe $26k. Odyssey is next.","Nice entertainment system. Although you cannot watch a DVD from drivers seat like in our 2009 when in park.

Quiet. 

Good gas mileage

Leather seats dont appear to be all leather but comfortable.","Dont buy it. No suggestions to offer, its value drops WAY too much for the price you pay. Its a money pit and needs to be valued at half of its price."
,,,,,,,,,,,,,,,,,
5,Routan is fun & trouble free family van,stjohns ,01/01/2013,,,5,5,5,5,,5,5,5,5,We have enjoyed our VW Routan SEL. Quick acceleration and outstanding handling are feature we are most impressed with.The layout and functionality is family friendly.Power door & lift gate are flawless and convenient.,"1)Handling
2) smooth engine 
3) Cargo & seating
4) unique design, not too common
5) Zero cost VW maintenance 
6) Favorite kid hauler",Pentastar V6 is great addition
,,,,,,,,,,,,,,,,,
2.875,VW Routan Brake Problems,carshopper82 ,07/05/2012,,,4,3,1,1,,4,4,3,3,"I purchased an 09 Routan, and have driven it for 33,000 miles since.The van is nice and is perhaps the nicest minivan ride based on my experience.However, there are a lot of design issues with it.I have replaced the brakes all around including rotors, pads, and calipers three times - this at no cost because I documented to VW of America this is a design issue.Similar vans from 2009 (Chrysler Town Country) had the same issues - my in-laws own it.As you know, the Routan is a brand-labeled T&C.Othe rissues pertain to transmission hoses.So far VW has taken care of me but it is definitely a lemon.","VW service is awesome - I fee bad they have tarnished the brand when they started offering a
Chrysler product.
I have been loyal to VW for many years owning more than a dozen models over the years.
I'd recommend they sell their products and stay away from factored products.","Brakes are under-sized for the weight (mass) of the vehicle.
This issue is in my opinion a product safety concern.
Hope they will fix soon."
,,,,,,,,,,,,,,,,,
5,Sporty cruiser for the family,groovyvwroutan ,09/03/2011,,,5,5,5,5,,5,5,5,5,We have owned our SEL for 2 years. Totally satisfied with this spirted and practical vehicle.VW no cost service is excellent and makes the experience of owning a Routan easy. We have had zero out of pocket except gas. We will go back in a few years and get another VW.Leather is nice. ,"Handling is 1st class. Easy for the kids to load in & out. Storage and seating are well though out.
Fuel economy is much better than our SUVs.
4.0 v6 is quick. New Pentastar looks good too.",I miss the days when a well equipped car was $18 K. Bring that back.
,,,,,,,,,,,,,,,,,
1.625,Stay away... Don't buy this car!!!,baseball33 ,07/29/2011,,,3,2,1,1,,1,3,1,1,"This was my first VW and my last.From the moment I bought this van I have had it in the for repairs.Or should I say I take it in for repairs but the van is never fixed.The sliding doors are extremely damerous.My chidlren are scared to get in & out. It hit my arm and let a nice bruse. Brakes and roaters have been replaced three times and still do not work right.Power seats have a mind of their own.And the paint job is horrible, one little bump the paint falls off. Spoiler has had to be completely re-painted.Now it doesn't start all the time. Wow. I don't have enough characters to explain what is all wrong. VW customer service isn't much help, suggested buy new VW van. No thank u",Entertainment Center,Start over from Scratch and fix the brakes and sliding doors before someone gets hurt.
,,,,,,,,,,,,,,,,,
1.75,"Unsafe, Unreliable, Multiple Repair Issues",usmcwifesocal ,06/21/2011,,,2,3,1,1,,1,3,1,2,"Puchased van in Aug.'09. Delivered t us with a broken antenna (replaced, and then replaced again a year later due to rusting). Rear DVD screen went black sreplaced. Seat covers came apart at seams, window shade fraued, headliner panel and AC vent came loose, arm rest cracked (replaced all), windshield wipers stopped randomly several times (never fixed -failed to replicate), windows and doors failed numerous occasions (3 year old son's hand was caught in door when pinch guard failed and manually had to be pried off of him) -problem unresolved), brake pads and rotors all around have had issues (back pads were recalled, rotors machined 2x in 1 year, VW now says we must pay $1000 to replace all)","(continued), floor panel cracked in between captain's chairs in the back, dealership took pictures and asked Corporate to replace under warranty - VOA replied that it was due to ""outside influence"" but refused to send me anything in writing to explain what that meant. Entertainment system failed numerous times...was finally eplaced when I brought in several videos documenting the failures. The new Entertainment system has the same issues. Ignition failed on several occasions, again, was not addressed until I produced video proof. New ignition system gave same problems, except now, when driving on the highway, if your knee touches the ignition area, the entire van shuts off and the steering ","(continued) wheel locks up. This has happened in rush hour traffic. Volume on radio gets stuck at incredibly high levels, and will not go up or down. System fails to recognize Bluetooth, seats get very hot and will not shut off. Doors have a mind of their own, and will open and close with or without apparent obstructions. The van feels like it downshifts on it's own while traveling at low speeds, and there is a terrible rattling noise coming from underneath the front end of the van. Dealership has been unable to replicate half of the issues, though I have most documented on video. VOA has denied my repeated requests to buy back this vehicle. They've offered me ""deals"", but this is UNSAFE!!!"
,,,,,,,,,,,,,,,,,
1.25,Almost killed us!,kiddycargo3 ,05/06/2011,,,1,1,1,1,,1,3,1,1,"We have had this thing in the shop 7times over two months when you add up all the days. 9 recalls, tons of electrical issues including the sensors not working on the side doors and smashing my two year old twice! The biggest issue was when I was driving my three kids going 40mph and the engine shutoff and I had no power steering or brakes! we almost smashed into a dump truck! God was watching over us and as I was somewhat able to turn the wheel and took out half the landscaping at MC Donalds right before I hit the dumpster the brake came on! Took it in and the computer was bad and come to find out there was a fuse missing this whole time. VW said well we put in a new computer and fuse sorry!",,
,,,,,,,,,,,,,,,,,
3.25,JUNK - CONSTANT RECALLS ,pensfan1 ,04/23/2011,,,5,5,1,1,,5,5,2,2,"This is a chrysler with a VW badge, no problem there.The interior has the VW refinements, thats what attracted us.The motor is very powerful and gas mileage ok for the power ratio.Bad news- Constant recalls, transmissions, door motor caught fire.Dealershio servcie is horrible.Basically car has to die before they will fix it.Then they fight about warranty coverage.","Powerful 4.0 engine, handles like sports car",
,,,,,,,,,,,,,,,,,
4.5,Best minivan ever!,luvveedub ,02/09/2011,,,5,5,4,4,,4,5,5,4,"Yes, I know the criticism -- the Routan is a Town and Country disguised as a Volkswagen.No matter.I am a Volkswagen loyalist (this is my 3rd VW -- also have a 2008 Rabbit) and this is a GREAT minivan.Comfortable, smooth, great seats, attractive, even powerful (4.0 engine).Really, what's not to like?Sure it isn't as nimble as my old Passat or my Rabbit, but I didn't expect it to be -- I mean it is a minivan, after all.Yet, I think VW's suspension tweaks do make it superior to the Town and Country and - - dare I say -- the Odyssey and Sienna.","Heated seats, ride, peppy 4.0 engine, features.","Please include satellite radio as standard equipment.
Otherwise, no complaints."
,,,,,,,,,,,,,,,,,
5,Routan is a great Minivan,Vdub Routan ,11/17/2010,,,5,5,5,5,,5,5,5,5,We have had our SEL Routan for a little over a year and can recommend it to any family. The 4.0 V6 is quick and fuel efficient. The handling is the best in mini van class. We love all the friendly feature and use it much more than our full size SUV. VW has given us FREE service and a loaner when ever we need oil changes or any work done. An added benefit of having a product with Chrysler volume parts is aftermarket upgrade or optional products for cheap. We are Happy owners.,Handling. 4.0 V6,Pentastar V6 option 
,,,,,,,,,,,,,,,,,
1.125,Don't buy this car...,bbaak ,10/13/2010,,,1,1,1,1,,1,1,2,1,"This car is 95% chrysler!  First and foremost.  If you want a VW, DONT BUY THIS.  This is a Chrysler rebadged as a VW.  The Only thing VW besides the logo is the suspension.  I was told only the frame and the engine....but sorry the whole thing is Chrysler.  VW sells 4 different vans in Germany, but now I'm stuck with a car that has lost 30% of it's value in less than one year.  IF I knew then what I know now I would leased it at least then I'd be able to mess w/ VW back as they would have to eat MOST of the cost on this car at surrender time.  IF you want a routan buy a Town and Country....go to a VW dealer buy logo's and stick them on.....same thing!!!!!!",Dual DVD players.....THATS IT!  ,STOP SELLING IT!  People go to VW for a reason they don't want a chrysler!  WHO BUYS A CAR FROM A BANKRUPT MANUFACTURER AND REBRANDS IT.....THERE'S A REASON THAT CHRYSLER IS/WAS IN BANKRUPTCY!
,,,,,,,,,,,,,,,,,
1.125,Don't buy this car...,bbaak ,10/13/2010,,,1,1,1,1,,1,1,2,1,"This car is 95% chrysler!  First and foremost.  If you want a VW, DONT BUY THIS.  This is a Chrysler rebadged as a VW.  The Only thing VW besides the logo is the suspension.  I was told only the frame and the engine....but sorry the whole thing is Chrysler.  VW sells 4 different vans in Germany, but now I'm stuck with a car that has lost 30% of it's value in less than one year.  IF I knew then what I know now I would leased it at least then I'd be able to mess w/ VW back as they would have to eat MOST of the cost on this car at surrender time.  IF you want a routan buy a Town and Country....go to a VW dealer buy logo's and stick them on.....same thing!!!!!!",Dual DVD players.....THATS IT!  ,STOP SELLING IT!  People go to VW for a reason they don't want a chrysler!  WHO BUYS A CAR FROM A BANKRUPT MANUFACTURER AND REBRANDS IT.....THERE'S A REASON THAT CHRYSLER IS/WAS IN BANKRUPTCY!
,,,,,,,,,,,,,,,,,
1.875,Terrible vehicle,kmcintosh78 ,09/22/2010,,,2,3,1,1,,1,2,3,2,"Vehicle has not gone 3 weeks without going in for warranty work. Driver side window would not close, took VW 5 times to fix it. Passenger side doing the same. Rear wiper assembly fell off. Passenger side mirror does not work. Transmission is sloppy, lunges forward at low speeds. brakes and rotors have been replaced 2 times. Stay away from this vehicle, it is junk. It is s fight to get VW to replace the vechile, since it went in 3 weeks after we got it and has not gone 3 weeks without going in for repair. Go with a Honda or Toyota or Ford.  ",None,Everything. 
,,,,,,,,,,,,,,,,,
2.75,problems,carguy ,08/31/2010,,,4,4,2,1,,1,4,3,3,"I have had this van for about a year and a half and the transmission has gone out twice now. The first time was at 6k miles and the second was at 15k. On top of that they kept my van in the shop for 2 months the first time and one month the second. That's 3 months without my van. I've heard every excuse in the book, couldn't get all the parts, their tech wasn't qualified so they had to wait on an out of state tech to come in to fix it. Volkswagen's customer care were very nice and apologetic but couldn't get anything resolved. Every decision they make seemed to take a week. It's been a month and I still don't have my van back, still waiting on parts and they are very sorry. It's been a month",,
,,,,,,,,,,,,,,,,,
4.25,Better than Dodge or Chrysler,jbanger ,08/30/2010,,,4,5,4,4,,4,5,3,5,I know this is a Chrysler product but Routan does perform better.  I compared to Town & Country rental.  Routan is more responsive and comfortable.  The exhaust is raspy and I fear the sliding doors will be a future pain.  I think the brakes are not enough for this large vehicle. The 2nd row seats are a little sticky to move. Warranty is great.,Exterior is great looking.  Seats are clean and comfortable.  Smooth Suspension,Quiet the exhaust. Add a little more HP. Make roof racks standard. Beef up the brakes.
,,,,,,,,,,,,,,,,,
3.5,Turn and never look back,tn_sunshyne ,08/29/2010,,,5,5,4,2,,2,4,3,3,"This van has been plagued by numerous problems, rotor/ brake issues (replaced 4 times on the front and 2 times on the rear), check engine light/ thermostat issues 4 times, drivers side window problems, remote start problems.  Has been in dealer repair shop for more then 30 days since owning it 15 months.  Poor gas mileage.  Trying to enforce the Lemon Law.  It may be pretty on the inside and outside, but buyer beware, once warranty goes out,it's going to cost a lot to keep this vehicle on the road.  This is not German Engineering at its finest.  My Nissan Quest I traded for this was way better and more reliable then this van.  I've learned my lesson the hard way and an expensive one at that!","The blue tooth/ hands free driving, the duel DVD entertainment package, the ""monster"" hardrive that can store 1,000's of CD's.  Great storage.  Steering wheel.","Redesign the rotors/brakes, more leg room in the second row, makes it very uncomfy for taller people seated there, 3rd row uncomfy as well.  Just disappointed in the overall quaility and reliability!"
,,,,,,,,,,,,,,,,,
2.5,Worst Purchase of my life,becca ,08/28/2010,,,4,5,1,1,,1,4,1,3,"This minivan is a lemon! Always at the dealership with something wrong. I had it for one year and already had 15,000 dollars worth of warrenty work. The transmission is slipping and the dealership says it is due to one tire being lower than the other? Yet when I explain that I pulled out of a gas station and the van would not shift gears until I pulled over and shut off to get it to shift in gear? Told me that this is a soccer mom van and not good for all the wear in tear of driving a hour each way to work 5 days a week. They also stated I should have purchased the Honda minivan it can stand the driving wear and tear? I wish I could get out of this car! What a lemon!",,Quit Making this van!
,,,,,,,,,,,,,,,,,
5,Routan Rocks,Kevin ,08/15/2010,,,5,5,5,5,,5,5,5,5,"*Exterior is beautiful (best looking minivan in my opinion) *Love the features (i.e. stow & go, power windows in rear dual sliders, sunroof, traction control, stability control, and much more) *Interior is improved over the Grand Caravan *Suspension is much better than Grand Caravan (thanks VW)   ","Looks, safety features, fun factor (if options are selected carefully)",Nothing
,,,,,,,,,,,,,,,,,
1.375,Do not buy a Routan!,Jweldon ,08/05/2010,,,1,4,1,1,,1,1,1,1,"Never buy one of these cars. A complete waste of money. The vehicle is unsafe and a hazard to your family. One of our children has actually gotten his head trapped in the sliding door b/c they do not work properly, they open and close on their own! VW does not care. We have had the car in for service too many times to count. It is there right now and I do not want to bring it home. I miss my Honda Pilot. This car is a nightmare. ",There is no favorite feature on this car.,"Everything.  VW, fix this.  Put your Routan customers in a safe vehicle and until your problems are resolved, stop selling them, you are putting families at risk."
,,,,,,,,,,,,,,,,,
4.125,A fun to drive minivan? Yes!,martsro ,08/02/2010,,,4,5,4,3,,5,5,3,4,"We've had our Routan for a little over a year and 21K miles later it is still fun to drive.  So far we have not had any repairs other than the free scheduled maint.  Have had several issues with the automatic doors not wanting to close.  Very frustrating!!  Factory Bridgestone tires are horrible.  Will probably need to be replaced within the next 5K miles. 4.0 V6 has plenty of power.  No trouble merging into highway traffic. Fuel economy isn't the greatest in town (16mpg).  Average around 19 mpg in combined driving. Averaged 23 mpg on a trip from tx to in. Kids love it. Plenty of storage thanks to the in- floor storage. Tons of cup holders. Third-row seat is a little cramped, ok for kids.","Comfy seats, fun to drive, styling, free maint. for 36K miles.","Better tires, make the instrument lights match the radio/ac controls, fix the door issues!"
,,,,,,,,,,,,,,,,,
2,A Dodge with VW emblem,Kfry ,07/16/2010,,,3,2,1,1,,1,4,2,2,Purchased for cross country trip and move to Hawaii.  When the vehicle arrived at the dealership (we ordered it to our specs) we were excited.  That didn't last long as the steering pulled left.  Dealer tried to fix but unsuccessful and we were stuck with it pulling slightly left (don't take your hands off the wheel!)  The drive cross country went well.  In Hawaii we started have transmission problems.  We took it to the dealer 4 times and had the trans replaced twice.  It seems to work now.  Horrible gas mileage.  How can VW tout this van as one of their products.  I have owned 2 other VW and loved them.  This was the biggest purchase mistake I have made.  If I wanted a Dodge I would have gotten one.,bought a Dodge.  Nav system is nice but the blue tooth acts up all the time.  Tried the lemon law but the corp office HQ just gave us the run around; they offered to pay 2 of our monthly payments if we would just go away.  I wanted them to take the van back... no dice.  Don't buy this van!,Adjustable arm rest on driver's seat.  Adjustable middle seats.  Make a real VW van that you are truly proud to call a VW rather than this piece of junk.  Please email me and say you will work out a reasonable deal to trade this in for a real VW product.  No one wants these vans for trade-ins.
,,,,,,,,,,,,,,,,,
3.5,"Not bad, but a few glitches",ontheroadagain ,07/09/2010,,,4,4,2,3,,3,5,2,5,"It is a very comfortable ride. The 3rd row folds flat giving enough room for a family's week worth of luggage and a 100 lb dog with extra space left over.  Mechanically, we had moisture buildup inside one of the headlights. That took an entire day for the dealership to fix and they only do it during the week. The sliding doors randomly decide when they want to close. Of course, this never happens at the dealer. We don't get notices about recalls. We find out when we take it for oil changes. So far, we are at 5 total. These surprise ""campaigns"", as VW calls them, add unexpected time at the dealership -  and extra trips when the parts arrive.  ",Rear entertainment system. Fold flat rear seats. Comfortable ride. Heated seats.,
,,,,,,,,,,,,,,,,,
2.125,Do not buy a routan - big mistake!,Omid ,06/22/2010,,,2,4,1,1,,3,2,3,1,"Unless you want to spend a lot of time at the VW service dept, do not buy this minivan. We bought new 9 months ago and it has been serviced numerous times for same malfunctions: electrical, brake rotors, sensor failure, seats getting stuck, steering wheel vibration, and most importantly safety issues which VW and the dealership fail to recognize. The electric sliding door pinned our 2 year old son and the sensors failed to re-open the door. Others have experienced the same issue and yet VW keeps saying the doors are safe and the sensors work fine. Also, no alarm sounds if the doors are open and the car is in motion. This is quite unbelievable from a German manufacturer! ",Exterior looks,Fix defective sensors in sliding doors; insert alarm device if door is open while in motion; fix defective brake rotors; fix steering wheel vibration; fix seats so they quit getting stuck; fix electrical so Windows operate and don't get stuck
,,,,,,,,,,,,,,,,,
3.75,So-So Van,Russ ,06/16/2010,,,3,4,3,3,,5,4,3,5,"Love the ride.  The shifting from first gear is awkward at best.  In town gas mileage weak.  2nd row seats are locked in place which limits leg room.  Also miss the stow-n-go of my GC.  Ceiling is low, I tend to bump my head getting over the cup of the seats.  Have had several problems from brakes to sliding doors.  So far not impressed with maintenance at the dealership.  They seem to be disorganized and compartmentalized.  VW needs to rethink their plans for this vehicle.  Either get in without Chrysler, or get out.",Exterior start. Power lift gate and good pep.,"Fix the shift problem, make it easier to get into."
,,,,,,,,,,,,,,,,,
4.75,My wife and I love this minivan!,Laine Adrian ,06/15/2010,,,5,5,4,5,,5,5,4,5,"We looked and looked for 3 months prior to settling with the VW.  I am a German car fanatic and had only owned Mercedes and VWs in my recent past.  My wife was more open so we looked at the different brands.  The need for a minivan came apparent when our second child arrived and between two child seats and all the ""stuff"" that you need, our sedan had been outgrown.  The Routan felt more comfortable, more powerful, my wife really likes the amenities that it has and how it handles.  VW, Honda and Toyota models do compete however, the VW takes the title for looks, comfort, performance and style. I've seen cites comparing the Routan with Kia and honestly, they aren't even in the same league.  ","Leather is plush, seats comfy, the navigation/media center is awesome. Performance is also great, less than 9 seconds 0-60 in a minivan! I'll be honest, I take it grocery shopping when it's my turn and do it with a smile, I don't feel like I've lost my German machine bond, this is a superb van.",The Routan came with Bridgestone Turanza tires which are not a good match for the 4.0 L engine. My wife (not I) makes them screech often. I wish I had paid attention to the tires prior to delivery to have them exchanged. It is only a minor complaint from a  Michelin man.
,,,,,,,,,,,,,,,,,
2,Worst invesment ever,mojo ,06/11/2010,,,3,5,1,1,,1,3,1,1,"I have 28,000k on my routan and I already changed brakes 2 times, stereo, and front end. I have problem with the transmission the sliding doors and the engine is burning oil. The dealer keeps ignoring me and delaying the repair process. They even denied it is burning oil until I took it to them and asked them to check it for and they came to tell me it is fine so I took it to a mechanic and he confirmed it is burning oil then they said the engine breather is. I cannot sell it or trade it because its value sunk in the ground especially when they stopped making it.  ",,
,,,,,,,,,,,,,,,,,
3.75,Likes and dislikes,kjthomas323 ,05/29/2010,,,4,5,3,5,,4,4,1,4,"Very poor city driving mileage.  We came from an Odyssey so we were surprised at this.  The interior leather looks cheap (thanks to the Chrysler design).  The kids constantly bump their heads on the DVD players when going in and out of the vehicle so keeping the screens closed helps!  Other than that, we have not taken it on a long trip, so I can't judge comfort or gas mileage fully.  It has 6k miles on it and I hope we are one of the lucky ones that does not incur any mechanical issues.  We love the sched. maint. We love the options i.e. remote start and heated rear seats, for the money it is a good deal.  I have owned 4 VW's so far.  Hope this one is built just as well.?!  Only time will tell","Remote start, power doors, Xm radio, Exterior styling.  Dual video screens, heated seats.  Tailgating  style power rear seat. The sound of the exhaust.  Window screens...","FUEL ECONOMY! Better quality brakes for this heavy of a vehicle. i.e. drum not four wheel disk.  Interior seating quality/design i.e. looks too cheap/simple, not unlike a Chrysler.  "
,,,,,,,,,,,,,,,,,
5,Great Van,busymom ,05/28/2010,,,5,5,5,5,,5,5,5,5,"We converted from the Honda.  Best thing we EVER did.  This car is fun to drive and fun to ride in.  It is much more quiet then the Honda. Our family has taken it on two long trips and it was so much more comfortable than the Honda.  We read all the reviews and feel like the Routan was great by the experts, but the people who live with it liked it.  We love it!",We do not have one favorite feature.  We love the whole van.  Our kids love getting in it. ,"The routan gets ok gas mileage, but we feel it could be better"
,,,,,,,,,,,,,,,,,
3.125,Wish I Hadn't,GirlyGirl ,05/20/2010,,,2,5,3,3,,4,5,1,2,"Bought an SEL with Rear Entertainment to haul family of 6 around. Found it more comfortable than the Odyssey and was swayed by the power rear windows and dual TV's - 2 things Honda doesn't offer. 3rd row is horribly uncomfortable, cheap interior, and RES system is a nightmare to operate. The radio was replaced within 8 months of owning it and it rattles constantly. The gas mileage is awful for a mini- van. I've tried to get rid of it 2x but with the finance specials VW keeps running, I'm stuck.","Comfort, heated seats for 1st and 2nd row, dual TVs","Gas mileage, interior looks cheap, constant recalls, unreliable sliding doors"
,,,,,,,,,,,,,,,,,
4.5,VW Loads it up,sid ,05/16/2010,,,5,4,5,4,,4,5,4,5,"Just want to say that I enjoy every little bit of this car. I got a good deal on it ($26,000) for a SE with Rear Entertainment for the kids. Doesn't have stow n go but has storage inside the floor(love it). Brand new is $31000, drives awesome and much more comfy than Sienna or Odyssey more stiffer then Sienna though but i like it myself. Check it out though1. Drives good 2VW warranty and care free maintenance + rear entertainment + XM radio sun roof can you get that with Toyota or Honda? They just marketed better and have been around longer.",,
,,,,,,,,,,,,,,,,,
2.5,Buy Something Else,TO ,05/13/2010,,,3,3,1,1,,2,4,2,4,"We are completely dissatisfied with this van. Nothing but transmission issues. Trans. leaked at 2800 mi, failed and was rebuilt at 8600 mi and valve body replaced again at 10,000 mi. Dealer had it for 10 out of the first 51 wks. Typical for a Chrysler based product. VW should be ashamed to have their badge on this van. Other issues, creaking noises from the RES and door panels. Rattling noises in the suspension. Power lift gate was malfunctioning. Rotors replaced at 600 mi. At one year old and 11,000 miles you should not have to worry about the vehicle falling apart. The MPG is poor, 12 in town,21 at best on Prem fuel on a trip. Using the Lemon Law for the trans. issues. Buy Toyota or Honda",Dual screen RES. Comfortable seating. Touch screen control for radio and RES. Handling for a van. Kids loved the heated rear seats during the winter.,VW needs to build their own van. Break the ties with Chrysler.
,,,,,,,,,,,,,,,,,
