rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,low milage 2009 MDX,Colleen Landazuri ,09/30/2016,4,4,4,,,5,4,4,4,,,dependable,,
,,,,,,,,,,,,,,,,,
5,The Golden Retriever of Luxury SUV's,Aaron ,09/27/2016,4,5,4,,,4,5,4,4,,,"This is our first ACURA after previously coming from a Honda Odyssey.  The Reliability has been very good. No Major failures, and never left us on the road. Only one repair done under warranty, a right front wheel bearing.  All else has been standard service work.  Not the cheapest to maintain but not BMW outrageous either.   Gas mileage has been below expected at just about 16.5mpg for mostly city use, but the handling and power make it kinda hard not to goose it a bit! Speaking of handling, the SH-AWD is awesome, you can tell when the torque vectoring is taking place, but it's not obtrusive, in fact it's kinda of addicting to engage it.  Fun, fun, fun to drive especially on any winding road.  Plenty of interior room for our family of 4 and large dog for multiple 1000 mile + trips.  Overall excellent ownership experience and most likely will be a repeat MDX buyer.",,
,,,,,,,,,,,,,,,,,
5,You won't be disappointed! Great handling SUV!,Gerald Kershner ,04/05/2016,,,4,,,,5,5,5,,,"Best SUV I've ever driven and owned. Take a test drive and see for yourself. Bought it used with noisy directional tread tires, replaced them with Acura OEM tires ... wow, what a difference.",,
,,,,,,,,,,,,,,,,,
3,"235,000 miles",Shandu ,08/24/2015,3,4,3,,,3,4,4,3,,,"There is a common electrical issue.  From the first 3000 miles there was a short in the radio meaning, when it get hot the sound would skip like a turn table skipping.  The XM radio, CD player, AM/FM and DVD player sound would skip.  Took it to several dealership from Long Island, Manhattan, and Westchester Acura.  No one could find the reason, each saying to return the car at the time that the sound is skipping.  Replace the first battery within one year.  Twice the battery was dead within six months.  Second time, dealer replace under warranty.  Third time, the discharge of the battery even though the vehicle was off cause my a/c compressor to blow.  The dealer said that the unit was drawing power even though it was off.  The pressure build to the point where it cause the unit to blow.  Dealer replace the battery and the A/C relay.  Also the constant drain on the battery which maybe linked to the HLF/blue tooth system.  I had to disconnect the HLF/blue took system.  Gas mileage is very weak.  Average about  15 miles per gallon on high way, due to heavy foot.  Keep in mind I travel at least 160 miles per day.  Yes, gas prices are high but I love my MDX.  It corners like a dream at 65-70 mph on a curvy two lane country road.   I am 6'1"" and sit very well In my captain seat.  The second row is hard to move forward for rear entry into the third row.  Michelin Tires are the best so far in terms of gas saving and road noise.  Have changed the following, tire road, oil plan, a/c relay switch, 3 battery on my fourth.   Wanted to be the owner who reaches over 500,000 miles but it will be expensive.",,
,,,,,,,,,,,,,,,,,
3.5,Worst SUV/auto I have owned,Stanley Eilers ,02/27/2015,,,4,5,2,2,,3,4,3,5,"My experience with a 2009 ACURA MDX with 71,000 miles driven
1.  AC Unit had to be replaced
2.  Struts had to be replaced
3.  AC Control module had to be replaced (illumination led lights on control board did not work)
4.  Control module overhead had to be replaced (illumination lights on control board did not work)
5.  Front wheel bearings had to be replaced
My best advice to anyone buying an ACURA MDX is to buy their platinum extended warranty.  If you have the experiences I have had with this vehicle it will set you back a pretty penny.",,
,,,,,,,,,,,,,,,,,
