rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Bumpy ride,Jim ,05/07/2016,4,4,5,,,4,5,4,3,,,Gas mileage for 4 cylinder is poor and vehicle uses premium fuel. Ride is quite uncomfortable.,,
5,Sports car in SUV shell,Tim ,02/07/2016,5,5,5,,,5,5,5,5,,,"The sportiest of a batch of SUVs available that year: BMW X3, Volvo XC60, and Audi Q5. Excellent mechanical reliability, although a couple electronics issues with the side-view mirror.",,
4.25,Like an MDX and Accord all in one ,jbriscoe ,07/01/2012,,,5,5,4,4,,4,4,4,4,"I owned a 03 MDX and 07 Accord V6 previously...I wanted to go back to a SUV...just not a large one. The RDX fit the bill for me. I get 22 mpg non highway driving at an avg speed of 28 mph, I drive 66 mi daily round trip to work. The turbo kicks in when needed and the ride inside the cabin is quiet. The road feel can be bumpy on poorly maintained streets and the handling is great on quick turns.If you need more cargo room and a fold down third seat, opt for the MDX and a few less mpg. I'm 5'3 and my husband is 6'1 and we both have plenty of head and leg room.","I like the large center storage console which can be locked up, the audio package, and the style of the vehicle. 5 star safety test rating. Programmable driver postions. Cup holders that can actually hold two large sized cups side by side. ",Keyless remote for the lift gate and keyless ignition would be great added features for Acura to consider.
4.75,Comparing the RDX to BMW X3,jmh12 ,12/29/2011,,,4,4,5,5,,5,5,5,5,"I traded my X3 for a used RDX. While the X3 was a good car, it's reliability was waning after 100K. The RDX was a great choice. Reminds me of the X3. Ride is about the same (choppy over rough spots) but handles even better than the X3. Seems roomier and gets a bit better gas mileage. Sure you can get low miles if you keep your foot in the turbo. I'm getting 23 to 27 on the highway and 19 in town. This is the AWD version too. I have an MDX that's been a reliable car. I expect the RDX to follow suit. It's a great car for one who enjoys driving and isn't put off by the tight suspension. Plus it's an Acura.",Is roomy; handles great; accelarates well; nicely built; good quality; good value,It should be possible to engineer the car for a smoother ride...perhaps a cruise and sports mode that adjusts the suspension.
4.5,What a snatch!,itzsyk ,12/17/2011,,,4,4,5,5,,4,4,5,5,"It's been 2 great years since I first picked this baby up. The biggest reason for choosing this car, is because the 2.3 liter engine from Honda is only used in the RDX. The small turbo is also very peppy. There's virtually no lag - VTec kicks just under 4k rpm. Unfortunately, the drop in peak power is very noticeable. The ride is stiff, but supple. Just enough to feel confident without suffering back pains. I put regular gas for 1k miles recently, and to my surprise, there was no loss in power. But, there was loss in the stiffness of the steering wheel. Regardless, I advise premium gas. The brakes were the biggest disappointment. They feel like they stop 60-0 in 130-140 ft. ","Instant turbo boost. Smooth transmission and great sport gear ratio. Absolutely love the huge center console - when you open it, it's big, then you open the divider and it doubles in size. SH-AWD came in handy during last year's winter as well. Had to drive a stretch of 50 miles in a blizzard, and the car was able to cruise at 50mph, until the trucks stopped my trekking.","Please just add at least another gear. Honda uses 6 speeds in their other cars, yet they still use the 5 speed in the redesigned RDX. R&D need to step it up. I drive this car around campus 80% of the time and I'm averaging 12 mpg, no joke. I get 200 miles on the full tank during my best weeks. That 17 mpg city seems like a gimmick. On the bright side, I average 26mpg on the hwy."
4.75,compares to other luxury vehicles,ronispeech ,07/05/2011,,,5,5,5,5,,5,4,4,5,"We have driven Lexus, BMW, Jeep and Infinity SUV'S and have been most impressed with our Acura RDX!!This SUV handles beautifully and we have only required scheduled maintenance for oil changes.We plan on purchasing/leasing a second RDX this spring.",Seat design and comfort!!!,Heated steering wheel
4.75,Love this car,Lindsey ,03/29/2010,,,5,5,4,5,,5,5,4,5,"I'm really enjoying this SUV! I really love the size and room it has on the inside! The only problems that I've had are the speakers, I blew three of them! And I have no idea how! This car is fun to drive and everyone that rides in this car loves it! I looked at many SUV's before purchasing this one! This one was by far the best! Perfect size and not a lot of people have this car! SO you wont have the same car as everyone else!",great car fun to drive! Great size and love the turbo,Navigation is not great and speaker system could be better! They could of put vents in the backseat!
4.375,Know what you're buying,Nick ,03/21/2010,,,4,5,5,5,,5,3,3,5,"We wanted a AWD vehicle to travel in winter to Northern NV and Sierra Nevada mtns. We wanted a small SUV.  We loved the CR-V but it was a Dog (4 Cyl.) and the Rav4 was stylish 10 years ago, so we checked out the RDX.  It has impressive quickness & handling and it's really fun to drive.  What we didn't expect is the gas mileage.  We have only gotten 17 mpg in town once and highway isn't much over 20.  On long trips be prepared to gas up frequently (and always with premium). Overall I really like the SUV and the fact that the turbo doesn't lose power with elevation.  Know what your buying -an AWD SUV w/ a turbo- and accept that you won't get great mileage.",Sound system is great.  Clean exterior styling. Handling is much better than any other small SUV we drove and acceleration makes it feel more like a sports car.  No rattles shakes or other integrity problems so far.  Dealership has been great.  Love the 4 year bumper to bumper warranty.,More sound insulation to quiet the ride.  Remote tailgate should be available. Upgrade the interior style -the plastic is tacky and the radio controls are cheap feeling and hard to reach while driving.  The navigation screen is very hard see during the day in bright sunlight. 
4.5,It's almost one year,giri80 ,03/17/2010,,,4,4,4,5,,5,5,4,5,"I bought this car as a graduation gift for my self! I already have 25,000 miles on the car drove all across the country. So far the ride is fun. Cabin can be a bit quieter, awesome 4 awd handling it's fun to drive in rain and snow. Fuel economy is excellent on hwy (24) but not good in city (17- 18). Interior materials can be of better material. Plastic used is of low quality. I love the seats though. Climate control, audio, back leg room and cargo space very good. I would suggest this buy over a crv, rav4 or Forester any day.   ","4 AWD, leg room, handling, power, seating comfort","auto off lights, compass on rare view mirror, quieter cabin, better city MPG, better quality interiors, "
3.5,CAN'T WAIT TO GET RID OF,Double L ,02/06/2010,,,4,4,4,4,,4,4,3,1,"The dealer would NOT allow us to take on highway; now I know why.  The ride is so bumpy that you feel sick to your stomach.  We can't get the sports suspension changed because it will cause the warranty to be invalid.  I should have walked away after being jacked around by the dealership with agreeing to match printed price of others; and then hemm & ha for 5 hours trying to figure out how to get out of that one.  I should of, could of, and didn't; so now I'm stuck with a vehicle that makes me throw up on bumpy highways or gets us dizzy.",STYLE,SUSPENSION
