rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4.375,"Excellent Ride, Needs Better Brakes",P Medina ,10/17/2010,,,5,4,5,5,,4,5,3,4,"Up to date, it has been a very enjoyable ride.  Classy enough for my trade, as engineering consultant, and sporty enough for my younger heart.  It has been, however, sifnificantly fuel thirsty, almost as my wive's MDX! However, dealership service has been excellent and the vehicle has operated flawlessly, unlike my previous Avalon!  Overall, I'm happy with my purchase, except for braking performance. ",Interior fit & finish.  Excellent vehicle dynamics.,"Does not feel with enough ""torque"" for the size.  My greatest concern was experiencing a DRAMATIC BRAKE FADE while performing a panic stop from high speed.  At least, with the performance oriented marketing infused image, I would expect a single instance safe stop, period!"
4.75,I Love this Car,BECKY ,08/31/2009,,,5,4,5,5,,5,5,4,5,"I traded in my 2.5 year old Jeep Grand Cherokee Overland loaded with everything for this vehicle.  The interior trim is excellent; the Nav system is far better then the Jeeps and as good as my husbands Audi A-8 system.  The ride in this car is excellent, the vehicle is extremely quite and the sound system is exceptional.  I am so pleased I purchased this car; I looked at the Cadillac and the Lincoln...the quality was no match.  I believe I will be an Acura client for my next purchase too!","Nav system with live traffic, Vented seats, nice looking dash, excellent quality, extremely quite. Voice control works great!",Have a nav dial system for the phone system...other wise its perfect.
5,It just doesn't get any better than this,Stephanie ,07/02/2009,,,5,5,5,5,,5,5,5,5,"As a business executive and also a mother, I wanted a vehicle that exuded class without snob appeal that needed little maintenance and had the room for my clients as well as my family of four.  I found the exterior to be stylish, the interior incredibly plush and the surround sound audio system unbeatable.  ","The Hard Drive navigation system can reset my destinations on the fly, give a three day forecast, reroute my course in the event of inclement weather or traffic stoppage and even make or change my service appointments for me!  Who needs touch screen while driving?  It even recharges my Ipod with USB!","I'd give it about an extra 8""-12"" in the rear without taking up any of the cavernous trunk space!"
3.875,Look elsewhere,Jimbob ,03/15/2009,,,5,4,4,3,,4,5,2,4,"For someone who has never owned a decent car, I imagine that they would think the RL is great. But I have had so many reliability problems with it, I will NEVER buy an Acura again. The handling is pretty good, the car is fun to drive, even though it is slow. Overall, I would rate it a 7 out of 10.","Nice chassis dynamics, turns great at any speed. Navigation system is stellar. Nice steering wheel. Comfortable seats.","The electronics are terribly unreliable. The car is managed by several controllers, all of which are severely buggy.  Sometimes, the car won't start. Sometimes, the radio or climate won't work. Just painful."
4.625,Nice car...but.,Mike P ,03/08/2009,,,5,3,5,5,,5,5,4,5,"This is our second Acura.  Over all this is a nice comfortable car.  Long trips don't beat you up like some can.  The AWD is rock solid on icy roads.  My only gripe is that I have had problems with the heater on days that are below freezing.  Even with the temp control set at 62 the passenger compartment gets very hot.  Then it will turn on the ac and blow cold air into your face.  Three different dealers couldn't find anything wrong.  The car, compared with other 09 Acura's, when tested above freezing temps, are identical. ","Great seats, radio, ride, easy to understand and operate controls, quiet.",Sophisticated heat/cooling system a big disappointment.
4.75,Wow,Tom S ,01/17/2009,,,5,5,5,4,,5,5,4,5,"This is my first Acura. I have driven about 4 different cars over the last year one of them in the same price range. I am impressed about the handling, the feel of quality material used, the quiet engine (the others had V8s). I enjoy just to go out and drive it, especially on curving roads. It feels like the car is glued onto the asphalt. The bumps in the road of course can be felt, the don't make you feel uncomfortable. The interior feels quite roomy. The interior design looks awesome. The price is on the low side of its class. I put reliability in with 8 points because I have owned the car for only one week. I have had not problems so far.","Paddle shifters, HID headlights and road handling.","Leave the sunroof off to make it a little higher. If someone has a long upper body, he will touch the roof. Add another gear that will lock (bypass) the torque converter in order to improve mileage."
4.875,Best of the bunch,John Paul ,01/02/2009,,,5,5,5,5,,5,5,4,5,"I just upgraded from a 2005 to a 2009 RL with tech.  Fabulous car.  I can't imagine how anyone could actually drive this against the Lexus GS, the Infiniti M, or the 5 series BMW and not buy the RL.  I suppose there is a lot more to luxury car buying than performance, price, features and road feel.  ",Bullet proof quality from top to bottom,Increase the status of the Acura nameplate so it will appeal fashion oriented buyers.
4.875,Doesn't matter where you're going,PDS ,12/22/2008,,,5,5,5,5,,5,5,4,5,"This is my second RL, having returned my leased 05 for an 09.  The best thing about this car is the way it makes you feel when driving it.  With the SH-AWD, the bullet-proof nav system, the world class vtech engine and the solid suspension; you can drive this car with complete confidence that you will get where you're going and get back.  To me, the most important thing about a car is that I trust it.  I have never had a car that I trust (or enjoyed) more than this 09 RL.  Complete reliability, safety, luxury and comfort.  ",The driver interface on all levels exceeds every other car I've tried. Every aspect of the car can be customized and is at your command if you take the time to learn the protocol.,None
4.625,Albert,Albert ,11/17/2008,,,5,5,5,5,,4,5,3,5,"I really enjoy driving my new (09) RL/w Tech Pkg. I own a 06 (TL) prior. The fuel consumption is high, about 16 city 22 highway.  I replaced the factory tires with 245-35-20, 8.0.  This was a great enhancement.  I plan on driving my RL a lot.  ","Rear cam, door sensor, Bose radio, color (Jade), power seat driver/ passenger.",Hand lever for brake release. Touch entry area for information input.
5,Satisfied Customer,Ron Beeman ,09/17/2008,,,5,5,5,5,,5,5,5,5,"Very happy with the look and performance of the 2009 RL.  Looked at several cars in the same class and felt that the RL had more for the money than other cars.  Once you get used to it, the technology package is great.   Handles well with it's all wheel drive.",Technology Package,A little more headroom in the back seat would be an improvement
