rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Agreed with a Luxuary car with cheap leather seats,Regena Smith ,10/26/2016,4,4,1,,,4,3,4,5,,,"The leather seats will tear up before 2 year mark.  I have a 2009 Acura TSX that i bought brand new in 2008. I had to commute for work and my miles were about 200 over the warranty so the dealership took pics of the car stated that his district manager had to approve if seats could be fixed, no one called back so I made the first move and called to be told no, there is nothing we can do about it.  I also received a letter in the mail about an oil consumption recall and was told that I was over miles but they may be able to work something out. I had to pay for a timing chain to be replaced on the car right at 100000 miles and was told that they don't make these cars like they use to not only am I embarrassed about the seats that have been torn for a while while making car payments now because the car is not worth the hassel. I asked when does it states that there is a certain mileage on a recall to get vehicle fixed for free this is not my 1st car.  I will never purchase another one looking at getting an Audi this month better quality. There need to be a lemon law on this car new or used .",,
4,TSX Review for Used Car Seekers - Check Oil Issue,Paul ,02/13/2016,5,4,4,,,5,5,4,4,,,"I am the original owner a black, 4cyl TSX with 6 speed manual transmission. It now has 96k miles of more than half highway miles. Oddly enough, I'm more pleased with the car as it ages. Why? Because it's still performing very well, despite the expectation for an older car to start acting up. Power is good, handling is still tight, no rattles, the auto climate control is spot on. The 6 speed short shifting manual mated to a smooth clutch that doesn't buck in slow traffic is pleasure to drive. Manual lovers would like this car, and the engine is happy to rev.  Fuel economy has been 30 mpg with my type of driving. This is excellent for a car with decent power.The TSX handles pretty well in snow when mated with good all-season or winter tires. I am very happy with Continental PureContact Eco+ DWS. They drive well in snow and the traction control, when needed, works in concert with these to provide good control. I used to have Bridgestone Pole Position, which handled even better in dry and wet conditions but were horrible in snow. Surprisingly, the Continentals actually have improved fuel mileage by at least 1 mpg, as they claim.Rear seats are more suitable for smaller people. The door opening is a little tight getting in, but the seats are very comfortable once in. Child seats are a pain to use because of the bucket shape and the closeness of the latch. Now that my kids are beyond that, we happily use the TSX for our family of 5 over our Odyssey, especially when parking will be tight.My few issues:Bluetooth function for the non-Nav version is clunky so I prefer to use my ear bud for making calls. I have a vent-mounted phone holder to make calls easier and to facilitate using GPS on my phone.91 octane is tough to find so one usually has to pay for 93 octane. This is the price for getting 200 hp out of a 4 cylinder engine.This model year had brakes that wore prematurely but that is not an issue after I replaced them with non-OEM pads. I had to have the clutch master cylinder (small cylinder located at the clutch pedal) replaced at about 85k miles. Acura granted me a discount for this service when I complained that it was premature. The clutch is still in great shape. Last, but not least, the engine consumes oil. Acura has extended the engine warranty to 8 yrs/125k miles. Their threshold for warranty work (changing piston rings) is burning more than 1 qt per 1000 miles. My engine consumes about 1/2 qt. I wonder if this issue occurs because people followed the maintenance minder for oil changes. I was driving 8k miles or even more before it would call for oil changes. I think following that was a mistake. I'm living with it and it does not seem to be getting worse now that I change oil at 5k miles.I expect my TSX to continue to age well, and plan to pass it down to my kids when it's about 10 yrs old with 150k+ miles.",,
4,Don't think twice just buy it!,Mark Wilmes ,10/23/2015,5,4,4,,,5,4,5,4,,,"I bought my TSX used in early 2014. My company moved from the suburbs to downtown so my commute changed from an easy 10 minutes on a turnpike to 20-30 minutes of Indy 500 with crack-ups and rescue vehicles included, and I'm so glad I bought the TSX instead of some larger sedans or SUV's I was looking at. My wife has a 2011 Pilot EXL so the need for another SUV really wasn't there anyway.  We've had or still have six Honda's and two Acura's plus Mazdas and Nissans and some Fords. I'm getting over 25 MPG even with all the stops and starts and racing that I'm doing. I use the paddle shifters ALL THE TIME and it's so cool to pass or get around someone and then to accelerate and just get away from them (even within the speed limit, the acceleration is awesome).  I did read the reviews about geting the 6 cylinder if you can find one, and I did test drive a 4 cylinder and then a 6 cylinder, back to back and the 6 is spectacular.   I wasn't quite ready to pull the trigger, and the color of the 6 cylinder was white and I prefer black. The paddle shifters make the 4 cylinder a blast.  This car is very fun to drive.  It's easy to find a 4 cylinder in the color combination you want, and when you do, just buy it!  I got mine with 64,000 miles on it and I'm at 104,000 after 20 months.  I'll probably take it to 135,000 miles and then sell it and get a 2013 or 2014.  This car is great for getting around in the parking garage, and my 17-year old son and his buddies think it's pretty slick!",,
4,"Great car to drive, lasts well. Still some minor i",yitz1 ,05/21/2014,4,4,5,,,5,4,4,4,,,"I love my TSX. It's roomy in the front and handles great. It has a lot of good standard features. It has a lot of pizzaz for a 4 cyl. The main problem I have with it are unexpected expenses. I just had to buy a new tire and rim for the second time after hitting a pothole ($1000!). Stupid low profile tires. Unless you live in a place with few potholes, this can be a big problem. Also, it a little plastic piece around the side mirror broke. I figured it would be under $25 to replace. No such luck. They don't sell just that piece. I had to buy a whole new mirror for over $300.   Addendum:  Well, 8 years and running. Still rides good, though a bit rough. No real mechanical problems. Tires and rims still fragile and a problem. Repairs still expensive.   Addendum (11/16): Still drives great, no mechanical problems. Still looks good for a car that old. Still same minor complaints (especially the tires).",,
3.5,Bitter Sweet,bstern92 ,09/11/2013,,,3,4,3,5,,4,2,3,4,"The exterior design is very sporty and clean.The chunky 5 spoke rims are hideous. The driver's seat is very comfortable and I love the lumbar adjustment, but I don't get why they don't have it on the passenger seat. The passenger seat is almost unbearable to sit in, compared to the driver's seat. The rear seats have absolutely no leg room and your foot gets caught under the front seat, when getting out of the car. Leather is cheap. The driver's seat is already cracking. The steering wheel has a very cozy feel to it. The car's steering is responsive and the 2.4l provides adequate power. The car is amazing on the highway. I would probably not get another. I'm considering a 2013 nissan Maxima",None,"Better quality leather.
Heated telescopic steering wheel.
Nicer wheels.
lumbar adjustment on both front seats.
Cooled seats.
Air conditioning vents for the back seat.
Aux input on dash, not arm rest compartment.
When using aux, display the artist and song.
Get rid of the open channels by the hood cowl.
Mice climb in and make a home in the cabin air filter."
2.625,"What a waste, Honda. ",thr33wayclimax ,12/31/2012,,,2,2,3,5,,2,3,3,1,"I don't exactly understand the difference between this car and the Accord, other than this one is more expensive and smaller. Read the magazine reviews, they are all correct, terrible steering, too much roadnoise, SLOW. 201 hp in with a 5 speed auto?? NOT A PREMIUM CAR. Cheap leather on the seats, plastic door handles. The best feature, SAFETY, I crashed mine at about 45 mph and it kept me safe, maybe it was the cars way of apologizing for the utter failure this car was? Totaled and it was the best thing I ever did, sad to say. Acura and Honda need to get it together. I was a loyal fan of them, not after this and my RSX.","Crash Safety, HID's....thats it. Smooth underpowered engine. its refined though. ","Better interior materials. No upgrade from a honda. Better driving dynamics, if not improve the ride quality. Reduce road noise, and NOT with active noise cancellation, use real sound deadening materials, don't be cheap, Honda."
4.375,Safe car! Reliable,mwqnj ,09/08/2012,,,4,5,3,4,,5,4,5,5,"I love the tsx. I have had a lot of items worn but replaced by the warranty. Faulty window switch, bad speakers, worn bushings and cv boots. I had only had it maintained at the dealer, otherwise I would have been in serious debt. Brakes replaced all around and trans flush which were my choice to replace. Service excellent. Back is tight but overall this car is fast, fun and comfortable to drive !! It has 38,000 on it and I plan to run it to the ground. Tires are next, not terrible to maintain oil change n tires only big service besides the warranty replacements.","Heated seats, iPod control, sport mode, fuel range and tire monitors. ","Better hands free link, more leg room in back,"
4.625,Great Performance and Value,djrobinson1 ,06/23/2012,,,4,4,5,5,,5,4,5,5,"Purchased 2009 Acura TSX, with 21K miles, for my wife.Wanted reliability, performance and attractive design.Got it all !She couldn't be happier...ergoI'm very pleased.",Great performance and design.,
4.375,"Great car, with some issues",yitz1 ,02/13/2012,,,4,5,4,4,,5,5,4,4,"When shopping for a new car in '08, I test drove a bunch of different cars in this class. Though I liked the Lexus IS a little better, it was much more expensive. Overall, I've enjoyed this car. Recently, though, I've been having some issues. The bluetooth doesn't pick up the call until I redial, and they haven't been able to figure it out. The tires and rims seem really fragile and are very expensive to replace. I've been getting vibration in the steering wheel and have been told that all my rims are bent! A little black plastic piece surrounding the mirror broke. I thought it good just be popped out and replaced for about $25; surprise, I had to replace the whole mirror at a cost of $350!","It's really roomy in front and handles great. It has good mileage (although I don't like that it requires premium gas), and surprisingly good acceleration and zip, especially for a 4-cylinder. GPS and sound system are great. I like the styling.",Wheels need to be much more solid. Bluetooth more reliable. Parts more reasonably priced and available .
4,TSX 2009 - Reliable-No-Torque-Wind-Noise Car,wantferrari355 ,09/27/2011,,,5,4,5,4,,3,4,4,3,"Good value, but boring because it lacks power (4-cyl). Wind noise noticable after 90km/h.Battery is small and died twice on me. Rear seat leg room is limited.Other than above, very good package: reliable, stylish and not very expensive.",,
4.5,Excellent value ,ne_ct_guy ,04/12/2011,,,4,4,4,5,,5,4,5,5,"I've enjoyed my 2009 Acura and am now considering buying out the lease at lease end.This car is an amazing value for the price; great exterior appearance, superb handling (I have the 6 speed manual tranny), and comfortable seating for 4 adults.Edmunds kind of pinged the quality of the interior, but I find that the textured materials used on the dash and the leather in the seating to being close to BMW 3-series vehicles.The only real issue I have found is that there has always been a high frequency noise that comes from the car always at 3200 - 3400 RPM.It isn't terribly loud, but it is there and can be a little annoying.The dealer has told me that it is nothing to worry about tho.","Handling/performance, fuel economy (I avg 28.3 w/both highway and city driving), appearance.
I have 45k miles on this vehicle and have had no major issues.","Address the high pitched noise generated from 3200 - 3400 RPM.
"
4.5,"very pleased, but a few issues...",natochi ,12/21/2010,,,4,4,5,5,,4,4,5,5,"Bought a certified pre-owned 09 TSX recently.The TSX handles like a 3-series but provides a lot more value.With S mode on in the Auto this feels like a different car  from what Ive heard youre consistently revving higher and pushing that VTEC more.Critics give the TSX a hard time for its lack of power but its a pretty quick little car.Turn on S mode and pass a semi-truck on the highway and tell me this car isnt fast.What I dont like:The Hands Free Link audio commands are still weak. I think I already blew a speaker and this seems common as the speakers are a bit subpar.Other than those, great car!","VTEC engine, comfortable interior, fun to drive, good value, great standard features","Better speakers, improve voice command, Hands Free system needs improvement on Bluetooth"
4.25,"Great car, poor speakers",phoking ,11/15/2010,,,5,5,4,5,,4,4,4,3,"I have the Tech package 6 speed and love the car, but have a few complaints here and there and have owned it for just under 1 year. Pros, I love the interior look of the car. The design of the dashboard is pretty sleek and I think everything flows really nicely. Especially the gauges at night. You get a pretty nice feel from the shifter. but lately it feels like it kinda ""clunks"" in to 3rd instead of slipping in like it usually does. And with the tech package, you get one of the best sounding factory audio settings Cons: with that said about the audio, the speakers are bad quality. I've had 3 speakers blow since owning the car, and I listen at moderate to low levels only. Handling is subpar.","GPS - I've only used a few GPS systems, but the GPS on the tech package is probably my favorite. At first i thought it was going to be difficult to us the GPS compared to a touch screen, but it is very easy to navigate though the menus with the nob thing. ",Use higher quality speakers as this seems to be a common problem with the tech package. There should be some kind of recall in workmanship for that. Stronger sway bar should be added for better handling and more driver confidence. 
5,Real nice!,WA husky ,09/05/2010,,,5,5,5,5,,5,5,5,5,"We have had this car for a year. It is comfortable, sporty, and fuel efficient. Zero problems. We wanted something upscale, safe, and completely reliable, and we got it. We felt this was also the best value in its class. While other cars may have better performance specs, we are not stunt drivers and in our urban environment, there's not much need for huge amounts of power or acceleration, although I have not found the car lacking when accelerating onto the highway from an on ramp, for example. Only gripe is the taupe interior looks great but is hard to keep clean.  ",Refined interior Reliability ,
4.75,Great car!,KC_TSX ,08/14/2010,,,5,5,5,5,,4,5,4,5,"I have owned this car for 15 months. It is a great car. Decent power w/ 4cyl. Very confident handling and ride. Comfortable and great style and features. Much less expensive than the entry level Euro cars I drove and priced. Performance equal to the competition for less money! Decent Gas mileage. Have avg 23 miles combined since new. Love the car. Occasionally wish I had the 6 but much more $$. Great car, great price, fun to drive. Super reliable!",Great overall package!,"Slightly larger wheels and tires would be nice. A few more ponies (always need more power) and 25 or 26 mpg average would be nice -- on regular gas! (note, this car does take premium fuel)"
4.75,Good Car,TSX 09 lover ,08/05/2010,,,4,5,5,5,,5,4,5,5,I brought my Acura TSX about 5 months ago.  The only issue I have with this car is the cheap speakers. I had to replace the speakers at the dealership two times.  Other than that the car is perfect no other issues.,,Better Speakers
4.75,Perfect blend of Luxury and Economy,Str8sh0otr ,07/26/2010,,,5,4,5,5,,5,4,5,5,I came to this car from an 03 Maxima wanting something a little more luxurious and better on gas.  Mission accomplished.  This car has been wonderful.  The standard options on this car make it a great value.  I have friends with Mercedes C300 and BMW 3 series.  I have driven/ridden in all these cars many times and I am glad I saved all that money.  There is really nothing comparable in this price range.,Laundry list of standard options even with the non-tech package car.  Great gas mileage and superior reliability.,Rear seat leg room is lacking.  Ride is a little too stiff for my taste.
4.125,Great car with a few qualifications,subcollector ,07/14/2010,,,4,4,5,5,,4,3,4,4,Traded in an excellent 05 Nissan Altima.  My wife fell in love with the TSX. Very handsome auto with Tech package.  A whole lot of useless gadgets.  Paddle shifters that I will never use.  Nav system is wonderful. Gives excellent fuel economy.  Could use some additional interior and trunk room.  Steering is somewhat quirky.  Extremely sensitive and requires constant correction on straight highway driving.  Ride just a bit too sporty.  You feel every rut in the road.  Handles very well.  Very well built.  Only problem was a defective speaker.  Nice car!  ,Tech package is great.  Handles very well.  Fuel economy.  ,Steering feel needs improvement.  Ride quality is too harsh. Trunk too small
