rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
1,Buyer Beware,Robert Nutting ,07/29/2016,1,1,1,,,1,1,1,1,,,"Audi's have a airbag recall.  We found out when we were trading ours in to purchase a new Lincoln MKX.  I called Audi and checked online and at this moment there is no fix!!!  And they have until December 2019 to find a fix.  So, we have decided to lose thousands and trade it in anyway.  I feel like we were robbed by Tanaka and robbed by Audi.  Buy American!!",,
4.625,Great car! Just take care of it!,stimm32 ,11/14/2012,,,5,5,5,4,,5,4,4,5,"We purchased this car with 24,000 miles on it, and we have all the service records. The owners before us were very meticulous, and they had very few issues, and we have now put 6,000 miles on it and still have had no problems. The review that complains about having to replace the brakes at 30k is driving in the city constantly, I can tell because they also had to have the carbon build-up cleaned. Carbon build-up is a fact of life for direct injected engines, but when the car is driven at highway speed, the combustion chamber gets hot enough to burn off the carbon. Also, take care of your car. Change the oil with VW 502 00 approved oil every 5,000 miles, and keep up on scheduled maintenance. ","Power, agility, MMI, navigation, silent cabin (you could whisper to someone going 100 MPH), power lift gate, advanced key, smooth engine.","Only issue would be that the suspension is a little firm, but to soften it would compromise handling. "
3,German engineered nonsense,gigles ,01/26/2012,,,5,4,1,1,,4,4,1,4,"Instead of going into a long winded review of my 2009 Audi Q5, i will simply list the warranty work that has been performed thus far:- replaced center console- replaced water pump- replaced exterior HID light system- repaired gas lid- replaced rear hatch struts- removed engine for DE-carbon (3 full days)- replaced fuel injection- replaced steering rod & pumpNon warranty:- replaced brakes and rotors (30K)",,
3.5,Avoid this over engineered junk,RK ,11/10/2010,,,5,4,3,2,,4,4,2,4,"Beautiful vehicle and lots of fun to drive. Great interior. Excellent manners even on Illinois pot holded roads. Now the bad news. Quality issues from day one. Spent more time in the service shop than in my garage. Had issues with audio system, numerous unexplainable warning lights that pop up and go away on their own. Head gasket leaks after 6 months. I don't believe I bought a lemon. Seems many owners seem to have quality issues. Don't fall for the looks. I'm through buying over engineered junk from Germany. ",Interior.  Driving manners.  Great sounding audio (when it worked).,Quality.
4.875,Complete Package,forum24 ,06/25/2010,,,5,5,5,5,,5,5,4,5,"I don't know what is happening with the people who are claiming to have such catastrophic problems with their Q5's.  I myself and two other acquaintances all bought Q5's last spring or summer.  Between the 3 cars, none of us have experienced a single problem with any of them, and I have put 16,000 miles on in the first year alone.  I had leased several Lexuss prior, and was reluctant to change brands specifically because I was worried about reliability: I did, and have never been happier.  This car is gorgeous, comfortable and has more features than I could get in the Lexus for a comparable price- and as of now, the Audi is more reliable! ","Ipod interface, Bluetooth that recognizes names out of my phone book, and voice control that actually hears what I'm saying correctly.",None. The car is perfect.
3.375,Many problems,jackiew ,05/21/2010,,,3,5,3,1,,3,4,3,5,This car was my first luxury car and what a disappointment.  Engine light comes on and stays on but dealer can't find a problem.  Air conditioner works sometimes.  Has a problem restarting when gassing up.  Service not what is promised in the sales pitch.  Would sell tomorrow if I could get my money back. My husband has driven several luxury cars without these kind of headaches.,Fun to drive,Obviously has some flaws that Audi needs to stand behind and fix without inconveniencing the customer
4.875,The Best,Sailor ,05/16/2010,,,5,5,5,5,,5,5,4,5,"Would like to see some reviews on 2010 model. Considered the BMW X3 & X5, VW Tiguan & Tourag and MB GLK. Decided the Q5 was the best bet. Have owned it for 30 days and haven't regretted my choice yet. Overall quality, fit & finish, drivability are outstanding. Negative comments in 2009 reviews seem to be fixed for 2010 (steering and tranny). Gadgets are mind boggling until you learn how to use the and then you learn to love them.",Sun roof and headliner screen. Memory seats that include outside mirror adjustment. Interior quality but others to shame. Base audio system so good the optional systems would be a waste of money.,"OEM floor mats cheap for such a nice vehicle. Heel pad on drivers mat a must, imagine a ""heel hole' will appear soon. Hope to see a reduction in brake dust on those nice wheels as the rotors wear-in. More sensibly priced navigational system would be nice."
4,Side mirror/ hatch back dr/ Cruise contr,Dragonfly ,05/07/2010,,,3,5,4,3,,4,5,3,5,"I enjoy my car and it is awesome looking but the side mirrors are too big to be point that I even had an accident because of them.1st time in 37 years and the hatch back door needs to be automatic in all models. Cruise control is terrible as it is an instant when you try to change the set speed. Other than that, all else is great. Dragonfly",,smaller side mirror/ hatch back door automatic closing and cruise control needs to be instant instead of the delay it encounters every time you try changing the speed
4,Buyer beware of water pump issues,Mark ,04/24/2010,,,5,5,3,2,,5,4,3,5,"I have been very happy with my Audi Q5 until today.  Had car towed into dealership after the coolant burst in the engine compartment.  I pretty much lost all coolant - luckily i was about to park it in the garage.  Found out today that the water pump failed at 7,800 miles.  It is covered under warranty but warranty or not this is a major issue.  I have so far seen a mass of posts with the same issue.  Fortunately for me the engine never had the opportunity to overheat.  Audi needs to address the issue with their current owners immediately.","Style, performance, interior.",Leather could be better and seats could use a little more contour.
5,Q5 is best choice I could have made,Kim in Seattle ,10/11/2009,,,5,5,5,5,,5,5,5,5,Was driving an S-line A6 for past 2 years and while it was great it was too big for me.  The Q5 has the luxury of the A6 and the nimbleness of the A4 all packaged in a functional SUV. I have wanted a mini SUV for years but they all look like 'soccer mom' cars until the Q5. That's what made the difference. The exterior is so aggressive and sporty vs 'cute'. One touch of the power hatch lift button and I can get my bike in the cargo area or pack up for a road trip.  My husband wanted to keep the A6 and even he admits the Q5 is pretty cool. ,"Exterior styling, panoramic sunroof, auto hatchback button, AWD",A bit more interior luxury - would have liked to have the push button glove box opener and walnut cover on the cup holders like in the A6. These seem like simple and inexpensive little touches that would have made the luxury perfect.
