rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
1,BMW 335D performance,Vi Co ,09/17/2016,,,5,,,1,,1,5,,,"directly after the expiry of manufacturer's warranty, the turbos failed. They fail unexpectedly so, if I am on the road, the car will suddenly lose turbo power, and, despite engine revs rising, nothing speeds the car over 40 mph. The car has spent more time and I have spent more money in repair shops than I spent on a smaller car I have as well, which runs flawlessly. I had believed that, after having spent a small fortune purchasing this car, I would not need extended warranty, but I was wrong! The help I received from Bavarian was no help at all. I was offered a $1000 discount on my next purchase of a Beamer!  I wanted to have some diagnosis, but all the diagnostics have been steadily repaired and the same problem recurs. I wonder if the car was made to run in cooler weather, as it runs hot and may have caused damage to the diagnostics in the computer, which is the more expensive one to replace",,
,,,,,,,,,,,,,,,,,
5,Ignore the Bad Bimmer Reviews - A Lot To Enjoy,D Needles ,03/15/2016,5,5,5,,,5,5,5,4,,,"By the way, if you are going to buy the car, it's Bimmer.  The other spelling is for motorcycles.I've read the negative reviews.   High maintenance costs, rock hard RFTs, suspension issues, blah, blah.....Here's my story.Bought my 328xi black beauty with 34K for about half of the original cost.  Have now owned it for 2 yrs.  No major repair issues.   I have a local BMW (not dealership) do most of my maintenance well below the dealer prices.  I do the oil changes and plan to replace the front brakes next month.  Most of what I learned about how to work on my Bimmer I got off YouTube.  Trust me, you can do some of the basics or more if you care to.RFTs? I want them.  Won't see me changing a tire on the Interstate one late night.  And I had a flat with one, drove it 50 miles going 50 MPH to a Costco, no damage to the rim.  I replaced the OEMs with Bridgestone DriveGuard RFTs and they have been great.  Much better than the OEMs.  Got 25K miles on them and plenty of tread left.Suspension issues?  Yeah, it does on occasion ""boom"" when I hit a med sized pothole, but no damage to the car.  I figure you given up something for the superior handling and overall driving experience.  I see one coming, I go around it.  No problem.There is nothing like driving a well-cared for BMW, black-on-black, on a bright summer day.  It's artwork in motion.",,
,,,,,,,,,,,,,,,,,
4,Potential to be a really great car.,Joey L ,11/01/2015,3,4,4,,,3,5,5,5,,,"Make no mistake.   This is one of the best cars I have ever had, out of about 10.  I have a 335 with sports package, premium package and 20 inch wheels.  Jet black with dealer installed blueing of the chrome, and window tinting.   It is a fairly sharp looking car. On a good road, it handles and accelerates really well.  It is great for a driving trip with good roads.  The premium stereo is best sounding I have owned.  Even after 6 years the interior still smells like a new leather wallet (analogy upcoming).  Get this car on a well paved road, switch to sport mode and let it rip.  It is a very happy experience.  However, it is likely to cost you.  After i settle down from paying the bills I can joke about it.  But I think there is a computer chip somewhere inside the makes things start to fail after the service contract ends.  For example, on the first service visit after the contract ended, they advised spark plugs and wheel alignment.  That was $1600.  (of course this includes the World-class check up). After a big rainstorm the computer thought the engine was overheating and made the car slow down on the freeway to 25 MPH.  That was fun.  Be prepared for unsympathetic people when you drive a BMW.  After 3 service visits they figured out it was water leaking into the battery compartment and cabling conduit. That was $3400.  Tires?   $1700, every two years.  Gotta love them run-flats.  I figure the car smells like a wallet to remind you of how much money you will need to continue to put into it. Even with that, I really like this car.  I sort of expected it was going to cost a lot once the warranty was up.  But not quite that much. I think that If I do this again, I would lease and make sure the lease ends before the warranty does.  But then it would be hard to get the extras just right.  That is, the sports package really does ride better than the standard suspension (I really did try both) and the premium stereo is really good sounding (I did try both).",,
,,,,,,,,,,,,,,,,,
3,Major Issues,Disappointed ,09/23/2015,2,3,3,,,1,3,4,3,,,"Bought a 2009 328xi with certified warranty.  Under warranty the engine fan needing replacement, the rear light assembly and the air conditioning unit.  My warranty expired in March 2015.  It is now September 2015 and I took my car in for an oil change and front brakes and they are now telling me my front differential needs repaired and I have a cracked valve cover.  Mind you my car just turned 60k.These are all major repairs for a car that is basically 5 years old and very low miles.  I am so beside myself that 6 mos after the warranty I have more large ticket items at the tune of $3k. to repair?I will probably never buy another BMW as I have vehicles over 15 years old at home that have never had to have major work or major repair bills.  I took the car down to see what the trade in value is and its only $12k after paying $32k for it 5 years ago.  Wow!",,
,,,,,,,,,,,,,,,,,
4.5,"48,000 miles on 2009 328i xDrive",sduconn ,06/29/2015,,,5,5,5,4,,5,4,3,5,"Car has been reliable, has just needed regular maintenance.  Run-flat tires are awful - have replaced several and now have Continentals.  No space for spare tire, but have taken long road trips over 800 miles.  Performance and dynamics are excellent - brake feel, steering, acceleration are all top notch.  Interior - though good for this class.  Excellent ergonomics and materials.  Maintenance and repair are expensive out of warranty but that's ok for this level of luxury and performance (it is a BMW).  No rattles or shakes and road noise is minimal, though it is a sports sedan - ride is stiff and choppy with larger wheel size.  Overall top notch sedan, few compromises.","- It's all about the performance
- Easy to comprehend interior - simple dash design
- Comfortable for 1-4 average sized people
- Excellent in bad weather
","- No more run-flat tires BMW - put a spare in somewhere
- Wheels get dirty easy due to caliber placement
- Not as eager as a 335i"
,,,,,,,,,,,,,,,,,
4,Almost Perfect...,cheapdeep ,01/14/2015,,,3,5,4,3,,5,4,3,5,"Third BMW I've owned.  BMW got a lot right but they also got a lot wrong.  The engine, transmission, styling and handling are all incredible.  But everybody knows that.

The ergonomics and interior leave a lot to be desired.  BMW really lost the form follows function on this one. The cup holders are obvious but where do I put my sunglasses?  I don't have keyless start so what's the point of the start button? Instead of putting in a key and turning, I now have and extra unneeded step to start the car.  And iDrive?  Everything on there could be replaced by a $40 burner phone from Walmart.  It's pretty useless although it does look pretty.    ","Engine, transmission, power, drive, handling and styling are all spectacular!  I can't overstate this, the car is amazing to drive.  They got all the hard stuff perfect.  It's frustrating since the mistakes are all the easy things they should have down by now.","Ergonomics stink, interior design needs a lot of work.  Constant warning lights for everything.  Run flats are horrible! Seriously, what was BMW thinking?  We are going to take a perfect suspension and add the worst possible tires to it.  Bouncy, rough, loud.  The BMW dealer where I am isn't very good which is unfortunate since I'm at the dealer for something or another every few months like... the top hasn't stopped rattling since I bought it.  "
,,,,,,,,,,,,,,,,,
5,Ultimate Driving Machine - two years later,faljrgray ,12/03/2014,,,4,,,4,,5,4,,,"I have owned BMW since 1991, a 318is with a m42 motor that got me 355,000 miles (Still Running Strong). I now have a 2009 328i that is a perfect driving machine. Yes there will be some repairs but BMW is an icon not an interloper like Acura and Infinity that is still trying to copy the BMW, yes copy the BMW. The Germans conceive and build the automobile as the Japanese attempt to perfect the automobile for a cheaper price. I also own a Harley Davidson that is the real deal not like the interloper of all the metric bikes.The Japanese Motorcycle industry make motorcycles that look like a Harley but Harley copies no one nor does BMW. Do you want a interloper or the real deal for less...?Update...6/03/2016Two years later I'm totally satisfied with my 328i. I just replaced my set of Pirelli tires with a new set (90V). So basically 45 to 50 thousand miles of fantastic handling. If you want to just get to point B there are many cars to choose from but if you want get there with an Ultimate Driving Experience the BMW does that for you.",,
,,,,,,,,,,,,,,,,,
4.75,"Wants to get out of town, and run on the open road!",laselva ,10/08/2014,,,4,5,5,5,,5,4,5,5,"This car is great to drive! Loves to get out of traffic and run on the open road...just let it go! Run flats are fine (standard tires, not low profile) and I'm getting over 31 mpg on the highway (@75 mph). Quiet interior. Great road feel. Just point and go.  ","Responsive handeling, quick shifting and comfortable ride. Looks great, nice fit and finish. 5 years old and no rattles or squeaks. ","Seating surface, and knee bolster. Drink holders."
,,,,,,,,,,,,,,,,,
5,Slight improvement over the 2006 325i - Excellent Car,dic_camarillo ,08/26/2014,,,5,5,5,5,,5,5,5,5,"A slight improvement over our 2006 325i.Slightly better looking, a little more power, good navigation system, nice stereo controls - though a bit confusing and I love the speed warning feature (makes a noise and light comes on when set speed is hit or passed).The Bluetooth works well.The Navigation is much better than the Toyota version.Great visibility, great balance, superb handling, comfortable, spacious front seats, great looking, smooth, the right balance of power and fuel economy, comfortable seats, nice quality materials, doesn't feel cheap anywhere in or out of the car, back seats are tight, trip computer is nice feature.This car is the perfect entry level sports sedan!","Precise steering, great suspension, perfect amount of power, good gas mileage, reliable, quality materials, nice choice of features, great visibility, smooth at highway speed, good looking body, comfortable supportive seats, 4 years free maintenance, not too big, not too small, window/sunroof operated by key fob, push button start, quiet inside, luxury feel.

No Japanese cars can match the comfort and performance.
On the European side, VW is cheap feeling and underpowered, Audi cars are expensive to keep running, the C Class is nice, but not as sporty, Volvo isn't as engaging and Jaguar is on another planet.
For the niche market they are in, BMW 3 series is the benchmark.","The back seat needs a little more leg room.
Truly a 4 passenger car - the back seat drive shaft hump is tall - nobody can sit in the middle seat."
,,,,,,,,,,,,,,,,,
2.625,Not worth the money!,bconne66 ,03/13/2012,,,2,3,3,3,,3,2,2,3,"I purchased the vehicle about 18 months ago and sadly it has been disappointing for the most part. First, the ride was rough and the run flats tires were terrible. I just traded them in for regular Michelin tires and what a difference though still not a great ride as I expected. Yes, there is no spare in the vehicle so RFT's or not the peace of mind of taking a long road trip is out of the question. The radio and other systems are difficult to understand and not user easy. Just today the the low oil light came on.System never gave a signal that the oil was getting low prior until this dangerous point. I had to buy the oil and sit by the roadside to put it in just not luxury at all. Audi!!!!",None,None
,,,,,,,,,,,,,,,,,
2.75,Glad to be rid of it,carbug5 ,02/21/2012,,,3,4,4,3,,2,2,2,2,"Got rid of my 09 BMW 3 series with X drive. I wont miss the run flat tires, or nightmare suspension. The suspension bottoms out on bumpy New England roads and is not worthy of such a high price tag. The adaptive transmission lacks the response you would expect from a sports car. The radio is dissapointing. Filling the car with gas would cause a vacume and not allow me to fill up all the way. The dealer's response to the above was oh well that's just the way it is. Got a G37x and love it so far. Much more car for the money. Now that's a driving machione","Exterior paint
Interior and exterior materials","Run flat tires
X drive suspension bottoms out on bumpy roads, too hard
Radio poor reception and sound quality poor
Gas tank vacume
Interior getting dated look
Too much money for what you get, just not a good value anymore
"
,,,,,,,,,,,,,,,,,
4.625,Wanted the Experience,freeflowin ,10/03/2011,,,4,5,4,5,,5,5,4,5,"Bought used with 8k miles. Looks great runs great. Fantastic to drive and handles unbelievably. The car is very tight and fast. Only complaint is I have had to have 4 recalls preformed so far, which is annoying. Three of which I figured would come and it wasn't a big deal (all relating to the fuel pump), the fourth was for a wire in the tail light....so that was annoying to have to go in for 4 hours to have looked at. I have a 09 Silverado with three times as many miles and ZERO problems.","Seats, leather/interior quality. Ipod, Bluetooth. Steptronic shifters. Montego Blue color. The keyless entry and start is flipping awesome. So just the overall technology of the car. Free maintance program for four years is awesome. No cost to me. ","Run flat tires are expensive and rough riding. The computer is difficult to use without I-drive. Ipod and Sat radio menu always go back to beginning and is a pain to get the songs you want, you have to scroll too much. Lower the price of the cars a few grand."
,,,,,,,,,,,,,,,,,
4.875,A True 4 door sport car!!,rmorin1249 ,04/27/2011,,,5,5,5,5,,5,5,4,5,I have been driving BMWs for over 30 years and when the 335d was released I waited for a couple years and then pulled the trigger.I couldn't be more pleased.I use this car as a daily driver on a 60 mile round trip commute.I am averaging between 32 and 34 mpg.The acceleration is on par with my 335i convertible but the low end torque is awesome.The car handles very well and does provide comfortable seating for 4 adults. My wife cannot believe it is a diesel.There is almost no diesel noise inside the car except at idle with the radio and HVAC off.At highway speeds you would never know you are driving a diesel.There is absolutely no smoke and no smell.Awesome car!!,"Acceleration
Handling
BMW quality",None
,,,,,,,,,,,,,,,,,
