rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Best Bimmer Ever,doctorevil1 ,03/01/2011,,,5,5,5,5,,5,5,5,5,"Have driven many BMWs, Porsches, etc.This is the best combo of sport, fun, function, power, looks, and exclusivity.Practical?I coach baseball and this car handles all my gear.Having had many sport sedans includeing 535, 335, etc, somehow this car handles better and feels more aggressive.Ride is comfy, but torque and turn-in are there when you want some.Cabin is like a 7 series, the environment is truly sublime on a freezing day within about 30 seconds of ignition.","Cameras, power, comfort.","Cars like this should meld with my droid for security, warmup, nav, and maintanance issues."
4.875,Life Saver,SalesAgent ,04/27/2010,,,5,5,5,5,,5,5,4,5,"I purchased my 2009 BMW X6 last November and drove it all thru the winter season.  I put at least 25k miles on a year so comfort was a huge decision-maker when I decided on the X6.  No complaints other than expensive tired to replace when you get a nail in one...but they look incredible.  This vehicle did save my life as I was hit head on going 45MPH on a state highway.  While the vehicle was totaled, it held up tremendously with only a few bumps and bruises from the accident.  I will only buy BMW from this date forward.  I am currently waiting for a new BMW X6 to arrive.   ","This vehicle turns heads wherever I go...looks incredible, sounds incredible, drives incredible...no complaints.  Comfort Seats are a must as well as back-up camera...does have some blind spots.  ",The navigation system is old technology and could use an overall...maybe some better fuel economy (I average about 14 MPG & its totally worth it). 
4.375,Best car...,marrokki ,11/04/2009,,,5,5,4,3,,4,5,4,5,"This is by far the most fun car I have ever driven. Except that every 4000 miles on the dot the fuel pressure pump dies. Apparently it is a problem with CA gas additives that BMW is still trying to fix on the 3.5L engines. However even with the hassle, most dealers were quick to fix the car and get it back on the road and BMW is standing behind their car to the point of taking it back and replacing it no questions asked. That is why we love BMW.","Handling, Handling, Handling. I have never sat that high and had a car corner at 65 without spilling my coffee. I drove it across country 3 times even in blizzard conditions (I was the only one at night in a 200 mile stretch to drive over snow, everyone stopped).  ","iDrive is too slow, too complicated."
5,Awesome Performance... Awesome Looks,Had to Have the X6! ,09/08/2009,,,5,5,5,5,,5,5,5,5,"By Far the BEST BMW I have driven yet... had two X5s and a 328ix. I got Black Sapphire on Black...loaded...The X6 3.5i has lots of power, is good looking (a real head turner), rides like a car, sportiness of a coupe, and utility of an SUV. Quality build, quality ride and a really fun to drive! Get one....it's worth it!","Loaded with the Premium Stereo, Blue Tooth with iphone is awesome and clear; shift paddles on the steering wheel; head up display. The seats are very comfortable...get the upgraded multi-contour option...well worth it on a long drive. I love everything about this car. ","Yeah, better visibility out the rear window would good; faster iDrive electronics; bigger hooks in back to hang dry cleaning; Running boards look sharp but they dirty your trousers getting in and out. "
4.75,BWM X6 35i,"Joe D, PA ",09/05/2009,,,4,5,5,5,,5,5,4,5,"Between my wife and I, we have owned every BMW except a Z and this vehicle is by far the most fun to drive.  Love the space and neat style. One friend after seeing it called it the batmobile.  Just picked it up yesterday and can't wait to go for a ride today. I can't image how fast the 50i must be.",Handling and ride quality.,Rear camera needs improved clarity.
4.875,Great Whatever it is,Don ,08/26/2009,,,5,5,5,5,,5,5,4,5,"Love the X6 - I think it's worth the extra $$ for the V8 - plus residuals are better and the money factors were too. Only wishes would be:  1. Manual transmission Option (Are you listening BMW!!)  2.  5th seat - middle seat in back, and 3.  Handles above seats.  I know it's supposed to be a ""coupe"" but c'mon, we need handles.   I get more ""stares"" in this rig than I did in my M6 convertible.  It surprisingly also feels faster than that vehicle.  Fun car/SUV, whatever it is I love it.","Throaty Twin Turbo V8, Exterior Styling","Manual Transmission, 5th Seat Handlebars for entering/exiting the vehicle"
4.25,Great Car - Eats Gas,KCnSprock2 ,07/30/2009,,,4,4,5,5,,5,5,2,4,"Handles really well and is extremely comfortable, with room for kids, dog and luggage. Great family car with a lot more sport than an SUV, previously had an X5 and this blows the X5 away. Downside is that it eats gas voraciously. Highly recommend for low mileage driver - not an everyday commuter car unless you like supporting the local gas station.",Like the unique look and the fact that I have yet to see another one on the road. Handling is superb.,Need to do something about blind spots and fuel efficiency.
4.875,Great All-Around Vehicle,mking ,07/30/2009,,,5,5,5,5,,5,5,4,5,"After 2 months and 2,000 miles I can say that this is the most exciting BMW I have owned.  The last two were sedans that drove great.  But, didn't have that extra factor that makes a car unique.  The X6 has that factor.  Incredible road manners, great aspect from all seating positions, incredible comfort and the best build quality in years for BMW.",Road handling and seating is exceptional.  Incredible audio system.  Back-up camera enhances rearward visibility.  Electric tailgate is a great convenience.,
4.75,X6 3.5i and 5.0i Sport,CARDEALER ,06/26/2009,,,5,5,5,5,,5,5,3,5,"As owner of a car dealership I have the advantage of driving everything available in South Africa. So we owned a Q7 and a Range Rover Sport amongst others. We own a 2008 X6 3.5i sport and loved the driving comfort, handling and general driving pleasure so much that I just bought myself a X6 5.0i sport. For me, being a lover of sport cars, this is the real deal. It's like owning a sports car on steroids. We agree out of all cars we enjoy these two cars the most! So, wife drives one and I drive one, because not much else appeals so much. So, no matter what people say about the looks, fuel consumption and so on, go drive the thing and you will be hooked too. Happy driving!","Comfort, handling, high seat position and planted feel on any road surface. The drive is better than anything out there including X5.",Stupid gear lever. Make a 3 seater bench in the back an option for those with kids.
4.875,Lovin' it,Riccio ,06/09/2009,,,5,5,5,5,,5,5,4,5,Wanted to get up higher in traffic for visibility so went looking at crossovers and SUVs.  Test drove the X5 and the X6.   NO CONTEST.  The X6 has sedan like handling characteristics and had better performance.  There really IS a difference between the X5's 3.0i and the X6's 3.5i.   ,"Beautiful interior, two tone nevada leather.  Love the bluetooth feature, don't know how I got along without it.  The Idrive was easy to master and helpful.  Smooth and quiet on the road.","Fuel economy of course, but my 18 mpg average probably is because of my heavy right foot - had to set the speed limit warning chime because the X6 drives so smooth it is amazingly easy to be driving VERY fast and not notice!"
