rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
1,"Engine failure with less than 50,000 miles",David Romer ,11/10/2016,2,2,3,,,1,3,1,3,,,"I became aware of a transmission issue with this make/model of vehicle after purchasing the vehicle from my Wife's grandmother (first owner).  The transmission felt like it was slipping and the service engine light came on so I attempted to drive the vehicle into the dealership, but ended up requiring a tow when the vehicle broke down on the freeway.  The dealership found a  broken rocker arm, opened the engine and determined that the engine required complete replacement (vehicle under 50,000 miles).  I was told by the dealership that they could not identify the cause of the issue.  GM offered to cover less than half of the cost to replace the engine (My bill will be $5,500). Once the engine is replaced the dealership will have to inspect the transmission and possibly replace the wave plate.  My plan is to repair the vehicle, sale it, and never again drive a GM vehicle.",,
3,Night mare,JK Mir ,12/22/2015,,,,,,,,5,,,,Bought it new 20091. All steering wheel hydraulic parts had to be replaced2. Water pump went bad3. Now transmission is gone.,,
1,Beautiful / Horrible,Herb Walstreet ,12/01/2015,,1,4,,,1,3,4,3,,,"This car is cursed.  We had a Yukon XL for 10 years and never had any issues.  We have 80k miles or so on this vehicle and have spent around $10k in various maintenance and repairs.  We've had to replace the transmission 11 months ago and it's currently in the shop because of a stutter it has in cruise on the highway (ignition coils?).  We know our power steering is going out but it's not bad enough that Buick will replace it under the extended warranty.  Our heated seats only stay on for about 5 mins then go off.  The instrumentation buttons (AC temp control) have worn incredibly fast (replaced them once already), have had a ""stuck strut"", replaced rotors, replaced the battery and some decorative adhesive molding on the window frames is bubbling up and shredding (looks horrible when you look at the driver's side of the car).  All of this and our gas mileage is terrible also (13 in the city and 18 highway).  I want to like this car - it's really good looking but we've got to get rid of it and we'll avoid Buick.  My recommendation, steer clear!",,
1,Whyyyyyyyyy?,judi ,11/15/2015,1,1,3,,,1,,1,4,,,Why does everything go wrong with this horrible car?It is never without a problem and is costing me every month for a repair. Has anyone had buick respond?,,
1,WORST CAR I'VE EVER OWNED,Lindsey ,09/16/2015,1,5,5,,,1,1,1,5,,,"I bought my car in Feb. 2014 with 28k miles on it... A month later the steering wheel started making a whining noise. I took it to the dealership and they said ""that is common with those SUV's"" and this was when the recall on the power steering came out. So I said ok, what if I'm driving down the road and my power steering goes out? They said ""then we will fix it."" That's safe! Fix the problem AFTER something bad happens... And shortly after this I had to replace the water pump (@ $385- which was the 2nd time it had been replaced and my car still had less than 40k miles!) Then, on my way to work one day a few months later my car made a terrible noise so I pulled over... The timing chains broke (that's great for the transmission)... So I had those replaced under special policy. A few months after that... my car was running TERRIBLY. The transmission was slipping. I took it to another dealership and they fixed the 3-5-R plate under special policy but then I needed my A/C fixed as well as a coil and spark plug replaced. I ended up paying over $475 this time.  A month or so later... 2 more coils and spark plugs needed replaced as well as the front engine mount. I was quoted over $1100 and my car has 62k miles on it currently!! I got the car back after the repairs and the 2nd time I drove it it is saying ""LOW OIL PRESSURE. STOP ENGINE!"" So I give up. I am trading it. I don't feel comfortable selling it to someone individually! I am SICK that I have to trade because I was planning on driving this for a very long time! I have 2 children and they LOVE the DVD player. I love the back up camera and we couldn't ask for anything prettier or better on the inside! When you have a car that you're going to lose over $10k on it really makes you disgusted with the company! I have contacted GM and they say ""I will note your issues"" .... It's like oh thanks. I'm glad you're taking the time to do that.. how about reimbursing me for all the money I've spent in repairs, tows, missed time from work because my car wouldn't start, etc. etc.??? I will NEVER buy another GM car! Worst company ever.",,
3,Cylinders,sdj ,08/27/2015,3,3,3,,,2,4,2,4,,,"Bought my car with 4000 miles in 2010.  A year after I bought it it started kicking back when on cruise and going uphill.  Took it in to dealership.  They said they replaced this and that but every year after that I kept taking it back for the same problem of kicking back when going uphill.  As soon as the warranty ran out I had to take it in again and this time ended up paying over $700 to fix two of the cylinders.  Have tried cleaning out carbon.  It is even worse now than it ever was.  Can't drive it with cruise on because it has started kicking back even on straight flat roads.  Check engine light constantly comes on and we have spent close to $1500 just trying to get things looked at to try and figure out the problem.  Have called GM to try and have them reimburse my dollars and stand behind their product but they won't.  For such a huge company, it's too bad that they treat their customers this way.  I'm disgusted and now looking to get rid of it with 76K miles.  I do not recommend purchasing this vehicle to anyone.  I won't even try to sell it outright because I wouldn't feel right selling it to another innocent individual.",,
3.875,Expensive vehicle to own,donbee1 ,01/30/2015,,,4,4,4,2,,4,5,4,4,"I bought my 2009 Enclave used with 60K on the clock a year and a half ago. Since then had to replace high pressure fuel pump, battery, and just got it back from the shop after having BOTH catalytic converters replaced for check engine light and rough running. I have owned a bunch of cars in my life and never had a catalytic converter go bad, let alone two on the same car at the same time. Love the ride and gagetry but repairs very expensive. Definately not a do it your self repair vehicle. Mileage combined around 20. I expected a little better. The third Buick I have owned and may be the last. The extended warranty was useless. Only covered ""internal"" parts.",Back up camera and collision warning. Automatic climate control. Remote start. Power liftgate. Quiet comfortable ride.,Brighter cabin lights. I have upgraded the upper console and added LED lights to liftgate.
3,Beware! Unreliable!,hchambley ,12/11/2014,,,5,,,1,3,1,5,,,"I purchased my used 2009 Enclave approx. 2 years ago. Carfax report looked good and a friend of mine had one and loved it.  I have loved and sang praises of my new car! I traded my 2009 Yukon XL for this car to save on gas and loved the downsize and savings. Since I purchased my Yukon brand new and never had issues, I opted out of the extended warranty on this car thinking I wouldn't have issues either. Boy was I wrong! Within a month one of the coil packs went out but it was replaced at no charge under dealership 30 day warranty. Six months later I started having transmission problems and my transmission needed to be replaced. Within two weeks of it being replaced started having other trouble and had to replace the throttle body. Since then I have had to replace every coil pack, the timing chain and everytime I get it fixed months later there are more problems.",,
3.5,Love the Enclave but hate my car,kreshe ,11/05/2014,,,5,5,1,1,,3,5,4,4,"I wish these reviews were posted before I purchased mine in 2011. After buying the car, I had issues with the engine light (gas tank cap leaked), water pump, air not blowing cold (dealer still unable to locate the problem), I just had my transmission rebuilt (two shops said they have seen this with this vehicle, Traverse and Acadia) and a day after shelling out over $3K, my engine light comes on (possible catalytic converter)!!!  I am tired of the problems but after spending all of this money, I cannot afford another vehicle. I seriously wish General Motors would look into all of these issues!","When it works, it drives well and I really love the car. I also love the features and the way the car is designed. It is very roomy with the seven seats and has enough space when you let the third row down. When I can afford another car (and doing thorough research), I may get another (but not this model year). ","A transmission should not go out when a car is five years old and should not have had issues with the water pump, air condition, and catalytic converter. I've had so many issues and the majority of them were not under warranty. "
3.375,No Longer Own Ours... Buyer Beware!!!,sfreid1 ,03/16/2014,,,4,4,2,2,,4,4,4,3,"When the Enclave is working properly, it is an excellent car. Quiet, comfortable, and fairly powerful for an SUV. However, there was rarely a time where everything was in proper working order. Our first major issue was the entire throttle body going out, which also caused the entire electrical system to crash, leaving us stranded on the side of a busy road, partially blocking traffic. This experience also gave us a chance to try out Onstar, which was worthless. The hazards also drained the battery after one hour, so they didn't work. After that, buttons snapped off, brakes needed replacement, transmission, and power steering prob. We just bought a fully loaded 2014 Infiniti QX60 and love it!","Quiet, ride comfort, fairly powerful, good looks.","Reliability, build quality, transmission, brakes, RELIABILITY!"
