rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,One Word: Wow!,way2fun_lotus ,04/13/2013,,,5,5,5,5,,5,5,5,5,"I've owned a few high performance cars: 2 Gallardos, a Nissan GTR, BMW 550i, Lotus Elise, Maserati Gran Sport. Believe me when I say this car has more torque and is more fun to drive than all of the above, and it does it all with great style and comfort.","Torque, interior fit and finish, exterior lines, handling.",
4.75,Evo no Longer,evonomore ,12/01/2009,,,5,5,4,4,,5,5,5,5,The vehicle is the only vehicle that could have made me purchase an American car. The power is incredible but it can be driving within reason with ease. On the road from Indiana to Kansas City I got 21.6 miles to the gallon with an average speed of 76 miles per hour. I am very impressive by the features but need to return to dealership to have some trim items tightened up. Slightly smaller steering wheel like the sie in my Evo X Mr that I traded would be perfect. The engine sounds so good and did I mention the POWER!!!. Plus the insurance on this vehicle is less than my 2008 Evo Mr. Go Caddy!!!,Bluetooth HD based audio system Standard Sat Radio,Get workers to pay better attention to fit and finish. With more attention to fit and finish and slightly higher quality trim bits Lexus would be very very worried
4.875,My first luxury sedan is a CTS- V!!,Dave ,11/27/2009,,,5,5,5,5,,5,5,4,5,"This car is awesome and I never thought I would buy American until I researched the CTS V. It has power, great handling, and beautiful interior and exterior. The navigation system, on star, and satellite radio are awesome. The electronics are pretty complex to me since I have driven my Honda Accord for 12 years. I read a little bit every night to understand the electronics of the CTS V. This car has so much to offer, and the pricing was too competitve for me to pass up.","The exterior paint, interior, power engine, on star, navigation system, satellite radio,handling.",Maybe needs a lock for the gas cap. A camera in the back when backing up. 
4.875,Happier Than Ever,Ray D. ,11/24/2009,,,5,5,5,5,,5,5,4,5,"Last post - Great car with radio turned up.  After 2k miles, I simply love this car - almost weapon-like.  I couldn't resist the Lingenfelter upgrade to 630hp / 630ft/tq - went out the other night with car - nobody on road.  Rolling start from 40 mph then I floored it - the acceleration blew my mind - handling and steering extremely well balanced for the weight of this car.  I am so pleased that there is nothing else out there that compares for under 100k.  ","Exterior, interior, handling, ride",Needs 20X11 wheels for rear - I can't think of anything else.
4.875,Incredible Sleeper,Jmos77 ,11/03/2009,,,5,5,5,5,,5,5,4,5,I just traded my M3 for the CTS-V and the car is simply amazing.  THe power and torque are scary at times and the magnetic suspension offers a perfect balance of comfort and touring.  This is by far the fastest car I have ever owned so be prepared to buy a radar detector for keeping this car at speed is impossible.  The biggest surprise for me is how beautiful the interior is.  The hand stiched dash and the ambient light along with the skyview sunroof makes for a fantastic place to spend time.  The fit and finish are very surprising as well and I love the white diamond paint on my car. Bottom line GM hit a homerun and if you need a 4 fast sedan then look no further.  Can't beat the price too,"Power, TORQUE, Ambient light in dash, adaptive headlights, white diamond paint, Navigation screen, Ipod interface, Skyview sunroof, Magnetic suspension, POWER, TORQUE, POWER TORQUE.  Interior is very classy looks fantastic, surprisingly good handling, exhaust note,  THE PERFECT SLEEPER, BUY ONE","This car needs a backup camera, BOSE stereo not as good as others I have heard, Wider rear tires for traction, Standard seats are comfy but need more lateral support, sterring is a little too vague even in sport mode, slight drone when in 6th gear. "
4.625,Lovin my V,Lovin the V ,10/21/2009,,,5,5,5,5,,5,5,2,5,"What else can I say other than, ""I absolutely love this car.  Wahoo!!!"" ",The acceleration is my favority feature.  The nighttime interior lighting is way cool.  ,"Cell phonebook interface would be great enhancement.  Audi's MMI would be a good benchmark to strive for.  And, most importantly, a rear view camera please..."
4.5,Awesome car with radio turned up,HappywithGM ,10/13/2009,,,4,5,3,5,,5,5,4,5,"Traded in 2008 BMW M3 coupe for full boat 09 CTS-V auto.  Have been watching this car prior to ever purchasing the M3 but needed more space - so I made the move.  Looks are terrific and simply unparralled by the competition.  What I did notice about this car is the obvious thrust / torque that goes with its monster engine.  But I noticed that the car starts to handle and steer better as you increase speed.  The suspension seems to set-up better, steering more response and crisp.  My only grip is (don't forget, coming out of M3) is that there are a lot more creeks and noices coming from interior parts and the seats.  Great car for GM, yes, DNA of the best cars on the road, not yet. ","Recaro seats a must, exterior styling, wheels","Pad interior parts to reduce noise, ad a little more weight to steering effort - a little numb.  That's it"
4.875,"""Life, liberty & the pursuit""",Ziggerman ,10/07/2009,,,5,5,5,5,,5,5,4,5,"Finally pulled the trigger on the CTS-V as I could not refuse the almost $11,000 in discounts GM offers at this time on this model year.  I cannot comment on reliability, yet, but I can tell you that you should NOT test-drive it unless there is a chance that you can afford to buy it. My test drive took 20 minutes with a smiling sales guy pressed into the seat and it was the most visceral and yet sublime experience I ever had in an automobile.  External styling, interior, engine, suspension, brakes, steering feel, infotainment system...everything is a work of art. Cadillac absolutely hit a home-run and may have made the finest American car ever.","Engine, engine, engine...556HP, 551 torque, engine, engine, 6.2l V8... :) :)  The question on this car is rather what is NOT your favorite....","Radar cruise control, HUD, rear-view camera."
4.625,New Meaning To Driving!,Barry ,07/30/2009,,,5,5,5,5,,5,5,2,5,"Now my 21st car & all else in past fails compared to my new CTS-V. I had my doubts with a American made car & it's quality.I wasn't sure I needed this much HP? I for sure never spent over $70,000 for any car before, until now! All I can say is this car is a work of art & gives new meaning to sport & luxury! I'm thrilled I bought it & it's worth every penny!!","Inside is just gorgeous, love the suede.Navigation is excellent compared to most cars.Ipod works terrific & sounds great! Cooled seats are nice. To many items to list would take all night!",Larger gas tank.Grip handle front passenger side.Why only in back seats is beyond me?
4.375,I can't believe this is an American car,neuronbob ,07/29/2009,,,4,5,4,5,,5,5,2,5,"I am a 20-year loyal Honda/Acura buyer, so I bought this car with some trepidation as I have high expectations from my cars.  I am NOT sorry I bought this car four months and 4500 miles ago, trading up from my beloved Acura RL.  It lives up to EVERY bit of hype heaped upon it in the auto media.  It is FAST, it is QUIET inside, the interior is high-quality, and the car is STEALTHY in that cops won't notice this car AT ALL.  The torque is everywhere you want it to be.  There are few buttons and they are large and intuitive.  I didn't buy the car for gas mileage but it sure could use another gallon in the tank.  Range is 240 miles in mixed 50-50 city/freeway driving, less when fooling around.","STEALTH car!  TORQUE everywhere; excellent exterior styling; relatively few buttons, simply laid out; regular seats are so comfortable; usable trunk; awesome brakes; large moonroof; Magnetic Ride Control; it drives like a Cadi when the wife is around, drives like a beast when she's not.","Needs another gallon in the gas tank STAT; refine Bluetooth so that phone calls take fewer commands like in my previous Acura; locking gas cap; Edmunds needs to correct the review choices-- 2009 CTS-V has 6AT and 6MT, and I own the 6AT."
