rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
3,My baby was a lemon,M. Crandle ,01/08/2016,3,,3,,,2,3,3,3,,,"My dad bought be a pretty blue one brand new in 2006, loved it, but I recked it in 6 months at 17,000 mi.   In 2009 I decided to purchase another at Redman Toll in Langhorne PA. I bought a pretty slate metallic 2lt coupe w/ sunroof, foglights, premium sound system, remote starter, everything but leather.  Within the first couple weeks I had an issue with the O2 sensor.  They fixed it, no problem.  After that it was one thing after another, little creaks and noises that drove me crazy, sunroof rattling, engine breaking, shimmy at high speeds.  I ended up filing a lemon law suit against GM.  They paid the car off and my dad convinced me to keep it.  Ive had the car for almost 7 years and I don't think a year has gone by without me putting it in the shop for  minor stuff. The engine and tranny are strong, though.  I've never had problems with the car running but I've had a bunch of other issues, the biggest one being the steering rack rattling (which was replaced twice). Recently I  got the head repaired. I drive the car pretty hard but I do take care of it. I do a lot of driving and she's been on long trips south numerous times. The inside is in mint condition, I make sure the fluids are changed and it's inspected by the dealer periodically.  I refer to put anymore money in it and will drive it until the wheels fall off lol.....I prefer to buy American cars, but they really need to do much better with their economy cars. If you're looking at a Cobalt, buy an SS model,  they were built waaay better....or just get a Honda or Toyota lol.",,
3,fuel pump defect: message from Customer Service,bob lyon ,11/04/2015,,,,,,,,,,,,"Dear Robert, Thank you for getting back to Chevrolet Customer Assistance. Please accept our sincere apologies for our delayed response to your email dueto the high email volume.We have processed the information using thevehicle identification number (1G1AS58H197166725) and found out that there is aspecial coverage #12191.  This is to make you aware that some 2009 ChevroletCobalt may have a condition where the plastic supply or return port on the fuelpump cracks and leaks fuel or fuel vapors.  Fuel vapors, in the presence of anignition source, could potentially cause a vehicle fire.  The symptoms of thiscondition are:- A noticeable fuel odor while the vehicle is being driven orafter it is parked- The Check Engine Soon light may be illuminated on theinstrument cluster- If the crack is large enough, fuel may be observed on theground, or vehicle performance may be affectedWe are conducting a programto address this issue.  The program is a special coverage and under it should avehicle ever experience this condition, the owner must take the vehicle to theirGM dealer and have the dealer inspect the vehicle, confirm the condition, andthen repair that vehicle for free.  Repairs and adjustments qualifying underthis special coverage must be performed by a GM dealer for diagnosis andinspection.  We also found two open recalls #14092 ""Ignition Switch Replacement""and # 14133 ""Replace Ignition Key"".",,
3.75,2009 Chevy Cobalt,kayly ,02/13/2015,,,4,3,3,5,,4,4,4,3,"I have been driving my cobalt for the last two years with out any significant problems. This is the first and only car I have ever had, and it has served me well. I find it to be very comfortable, even for long car rides. I especially enjoy how quick it accelerates. ;) In my opinion the vehicle has held up really well against all my wear and tear. ",,
4.5,BUY AN LT IF POSSIBLE. ,unicornrides ,03/19/2014,,,3,3,5,5,,5,5,5,5,"This is a follow up to my last review (which I cannot edit) on this car.. This is a scatter-brained review from someone who was used to a V6 engine.**NOTE: I mod my cars. This car has no major mods, yet. I use my car for: work, travel, picking up dudes.**In 2012 I bought my 09 LS Coupe (base everything- even fake hubcaps!) mostly for the the price (22k miles and under $7.5k.)Second car. THIS CAR IS STRONG. I have put over 25k miles on it in under 3 years.. and have driven it off-road, over things I can't identify but sound like explosions, etc.. and it hasn't affected it at all. ","Cat friendly.

I OUTRUN NEWER SPORTS CARS AND OTHER CARS IN MY BASE LS. 

This car is TOUGH. Had my first accident in it and only got a fender bender. 

Automatic drives more like a manual/shift-able automatic.

VERY comfortable for 9+ hour trips.

Trims pop off to customize easily.

HUGE fanbase behind this car. So you find all the things you ever need to know about it online. Things/parts/etc online specially made for this car.

40 mpg hwy. 22 mpg city. (50k miles on the car)

Speakers are amazing! I get a lot of bass compliments. Had the front one blow (which is another common Cobalt problem.) Easy to install new stuff!

Parts come cheap/reasonably priced. ","THIS CAR IS #1 ON THE RECALL LIST OF ITS TIME PERIOD. Before you buy, have whoever show you proof that these issues are fixed! I, thankfully, have not had problems with mine and it now has 50k miles. 

Battery is in THE TRUNK. WHY?!

Front end is outdated- fit a kit to it and install fog-lights in non SS versions.

Trunk opening is small. 

Base LS needs cruise control and automatic windows/locks.

Needs more cubby holes!"
3.75,Best Car,chevygirl21 ,03/06/2013,,,3,3,3,4,,4,4,4,5,I absolutely love this car! Before this car I had a 2008 Dodge Caliber and I am so happy that i traded it. I recently got in an accident with it and it did not cost me more than 500 bucks to fix it myself! and it still runs awesome just like it did before! The manual transmission in it too makes it so much fun to drive and race others all the time cause im first off the line. Fuel economy is great my tank will last me two weeks and im driving everyday to school and work and its only 45 bucks to fill her up. Wouldnt trade her for anything,,
2,Regret after regret,rkammer ,11/08/2012,,,3,3,1,1,,3,3,1,1,"This car was my first brand-new car purchase. The first weekend I had it, I had to take it back to the dealer because it had rained where I live and my entire trunk was soaking wet. The rear windshield had not been sealed and they had to replace the carpeting in my trunk and rear dash board.Since then, my now three year old car has been recalled 4 times. In my opinion, that is excessive. I wish I could get every penny back I spent on this car, and to top it off, customer service with GM has been terrible. This car has convinced me I will never buy any GM product ever again.",,
3.5,great affordable family car,shotgun1496 ,07/26/2012,,,3,4,3,3,,4,4,4,3,"love the car. there is power when you need it, rides good, got rather loud over the years, my only complaint it the brakes they squeal all the time, the even did it about a week after buying it.the cheap plastic interior sucks, but its a good car","performance, quality for the price",interior.
2,DRIVERS BEWARE!,vlk ,06/29/2012,,,2,2,1,1,,3,3,2,2,"Driving on I-10 on a clear morning, going at 70 mph, not sleepy, not distracted...the 2009 Chevy Cobalt I was driving started to swerve uncontrollably, then went off to the grassy embankment & rolled on its side at least twice. It finally landed on its passenger side against some small trees. The front wheel broke off along with its axle. The airbags did not deplore. Miraculously no one was seriously hurt! I was lucky, but no telling how the next accident of this sort will end up. GM is totally unresponsive & denies any responsibility. Something had to be wrong with the vehicle! There was just no other explanation. This is not about law suits. It is about consumer safety!BEWARE",,
4.375,Few Problems,javaanimal ,06/26/2012,,,3,4,5,5,,5,3,5,5,"Speakers are.. well, they're there. LS Coupe is considered a sports car (Grr..) and it lacks a lot of power my 2000 Malibu had. The front of it is dated.. but the body itself is magnificent. It says 25 mpg BUT my readings say 23. The LS I purchased has no cruise control or power windows/doors. BUT. For the price of this car, it's great. Fun fun to drive once you get up in mph and it hugs the curves with its spoiler. Breaks are great, it turns heads, and you get away with people believing you're in a sports car.This is NOT for tall/wide people. It's a very narrow car. It is GREAT for safety- everything is solid.","Safety, looks, feel, higher speeds, steering, suspension, air-conditioning, and compact-ness. ","More storage, better looking front end, better sound system, cruise comes standard, and bigger trunk (or remove more of the back.)"
4.125,Fun First Car,mizmwise ,03/13/2012,,,3,5,4,4,,4,4,4,5,"I bought my Cobalt new and have put 56,000 miles on it. I love it! I'm religious about servicing it and have had zero mechanical problems. I get 40 mpg highway easily. For a relatively inexpensive car it handles great and has decent power. I live where it gets cold as hell in the winter and it starts every morning, and it does alright on the snow and ice. There is pretty limited storage space, and the blindspots are pretty significant. Everything seems pretty solid still. Of course there are little rattles here and there, but nothing crazy. Everything has stayed pretty tight and sealed up. The ride on the highway is smooth and fairly quiet. Overall, I think this is an awesome car!","XM Radio, nice exterior styling, reliable",More interior storage
