rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Love it,Maline Smith ,05/28/2016,,,5,,,,5,4,5,,,,,
4.75,Last Truck I will need to buy,lrdillon ,01/06/2015,,,4,5,5,5,,5,5,4,5,"I bought this truck used with 60K miles.  I now have over 90K. I have only replaced the battery and tires.  Runs like a dream so far, tows great and very comfortable.  Hope to baby this for the rest of my life, I just retired.  With regular maintenance I have had no mechanical problems with a small V8.","Lots of comfort, very easy to drive on long trips.",
2.5,Should have gone with my gut..,offroadgoonie ,08/22/2014,,,2,4,2,1,,1,4,2,4,"I'm going to lay it straight. This was a solid truck for the first few months of owning it. Owned this for about a year and since purchasing, I've replaced the engine twice, had a transmission give out, and the heads get completely destroyed. ""only"" 72k miles on the truck, 2k miles on the new engine and about 1k miles on the transmission. Looks wise, this truck is flawless. It's a crew cab, although it might as well be an extended cab with the leg space.. but the interior is clean and looks amazing. I'm mainly concerned because I was told how great gmc/chevy is and how Ford and Dodge suck.. ya ok. Tried it and you've failed so I'm going back to my reliability. Piece of crap. No thank you!","Interior design actually was very clean, very comfortable. Like stated in my review, I love it.. however if i could change anything other than the trucks reliability, it would be the length of the cab. I could have saved money and gone with an extended cab and gotten the same amount of room!
Exterior, looks awesome. I love the look of the Chevy pickups.","I'm not the expert, just the customer.. looks wise, I love it. I would just reconsider the design of the engine/transmission as a whole."
3.375,After only 5 years - too many things wrong with it,chevydriver2 ,12/06/2013,,,4,3,2,3,,3,4,4,4,"I've enjoyed the truck which I bought new in early 2009.At 1700 miles off warranty, I had to replacerear break cylinders that cost about $1,100 all in.Too much too soon.I've been burning oil like crazy.I took it in to have that repaired.It turns out there is a dealer bulletin on it.That means they did a big repair job for free because I got it in at under 100K miles.Apparently excessive oil usage was a big and noted problem. On the same visit I replaced to door lock motors $500, to rear window switches $250 and a solenoid that was causing an engine light $400.I just think that this is two long and expensive a list for a truck that is 5 years old with only 86K miles on it.",Blue tooth.,"Make all the door locks and window switches last longer.
And WTF on the oil usage problem.
Faster acceleration.
Include side running boards for free like Ford does.
Chicks and old people can't get into the car without them."
1.875,Throttle Body failed 2 times in 3 years,slamamama15 ,02/19/2013,,,3,3,1,1,,1,2,1,3,"We purchased this truck brand new Oct 2009 with the heavy duty towing package Z71 4x4.We had to put a new engine in the truck Oct 2010, after that problems continued.Dec 2010 the throttle body failed as I was driving down the highway, Stablizer, engine light, traction, lights flashed, door locks when crazy and just stopped in the middle of the interstate.Yesterday 2.17.2013 it proceeded to do it again on the interstate. Second time in 50,000 miles we have had to replace the throttle body on our fairly new truck.We have other problems including 3 window motors, mirror, rough idling, & transamission rough when switching gears.All the work has bene done at the dealers",None ,
2,Don't buy one,aggieof10 ,01/21/2013,,,2,3,1,1,,1,4,1,3,"Within a month of buying this truck, all of the power locks went out. Chevy replaced them for free since it was under warranty. Then my rear power window stopped working, transmission is spotty, cant decide when to shift, tpms comes on at random times telling me my tires are flat (they arent). Put groceries in the back seat one day, and the pocket on the back of drivers seat ripped out. Turns out, they aren't sewn in at the factory, someone is there with a staple gun putting them on. Wind caught the door last week, and pulled the hinges away from the body, now the door grinds on the body work every time I open it. I am absolutely furious with this truck. Chevy used to mean something. ",,Buy a Ford
3.75,Not what I was expecting from GM,joel1235 ,09/08/2012,,,4,5,3,3,,4,4,3,4,"I purchased the truck used in November 2010 with 17K on it and the fun started about a week later. First my battery needed replacement, but then it spent a few days at the dealer looking for a popping noise they never found and is still happening. Next was a rough idle/check engine light. It was fixed a week later. Around 35K the transfer case needed replaced. At the dealer another week. This week the rough idle/check engine light thing started again(40K). An independent shop told me it was the same trouble code as last time, and that the problem was with the piston rings, and I may need a new motor. I wish I could go on, but I'm running out of space.",Great interior/exterior styling. Four-wheel drive. Better gas millage than competitors.,"Get the bugs out before these trucks are offered to the public GM! We will not continue to do your R&D for you for much longer. I've always been a Chevy fan/defender, but this truck has made me swear off GM for good. Not only has the truck been a lemon, but GM continues to make me jump through hoops before they will fix it correctly."
4.25,Power Door Locks,silverado_sd ,08/01/2012,,,5,5,4,4,,4,4,4,4,"The right rear door does not work either automatically when the shifter is taken out of park, or with the key fob, or from the drivers door control panel.It must be locked and unlocked manually, and there is no place I can find that explains what the cause could be, and can't get much help from GM unless I take it to the dealership to have it troubleshot and repaired, instead of letting me do it myself.I am affraid that the other doors will eventually end up doing the same thing.Also the brakes shimmy when going down hill and pulsate too.",Mileage and driving comfort.,"Improve door lock system and also have a recall on the brakes as I have been told by numerous 2009 Silverado owners of the same issues with their brakes.
I took it in for the brake problem several times and the dealer only puts brake noise reducer and also says that they can't repeat the problem."
3.875,Built on a Friday,texas_crowbar ,04/11/2012,,,4,4,4,3,,4,4,4,4,"I own a 2009 Silverado with a 4.8...Dont get me wrong I love this truck,BUT!!!!34000 miles had to replace rear brake cylinders50000 miles had to replace water pump 55000 miles electrical issues, might have to get a complete new fuse boxBTW none of these are covered under any warranty's.",,
4.375,High Milage,msauerbrey ,11/12/2011,,,4,4,4,5,,5,5,4,4,"I purchased this Truck Oct 2009 with 3000 miles. It actually has a 5.3 V8 Flex fuel engine.I drive this truck all the time as a salesman. It now has 110,000 miles on it. I have done nothing except change the rear breaks. I added dual exhaust. It runs as good as it did when it was new. At 70-75mph I get 19 mpg. In town around 15mpg.The truck is very dependable. I have driven other Chevy trucks as sale vehicles and 300,000 miles is not hard to get out of these trucks. However the gas milage is killing me right now.",Engine HP and reliability!! Comfortable seats. Stance of the 2wd looks like a 4WD.,Gas milage. Hwy up around 25-30 would be nice.
