rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4.875,Excellent Choice,famcircus ,07/29/2013,,,5,5,5,5,,5,5,4,5,"Recently traded our 05 Toyota Sequoia in for the 09 Chevy Tahoe; very, very happy we made the change.Can't say anything bad about our previous vehicle, but the 09 Tahoe and it's ride quality, power, and options are extremely solid.My wife (and I) loves everything about her Tahoe and mentions she feels safe and comfortable while driving herself and 3 kids.Chevy did and outstanding job putting this vehicle together.","Back up Camera, Hands Free Bluetooth, Navigation, Lane departure warning signals.",
3.375,Multiple Leakages,sjeans ,01/10/2013,,,4,4,1,4,,4,4,2,4,"I purchased a 2009 Chevrolet Tahoe LTin August of 2009.Between December 2009 January 2013 besides having the left dash panel replaced, broken & peeling door handles replaced, a trans filler tube replaced that had broke, I'v had multiple leakages in this vehicle. The molding around the sunroof was rippled letting water in.The over head console has flooded twice, it leaked in the cargo area once, and as of Jan 2013 the front passenger side floorboard is saturated with water as I write this review.Beautiful vehicle, but poor quality for the money. I will never buy another Chevrolet again, disgusted with the quality of the vehicle and disgusted with Southern Chevrolet and their svc dept.",,
4.75,Love this truck!,tahoemama ,02/21/2012,,,5,5,5,5,,4,5,4,5,"Fun to drive, and tows like a dream.Its great!",,Make the third and second row seats fold down FLAT!
5,The best car in the world,chevylover229 ,12/20/2011,,,5,5,5,5,,5,5,5,5,"I love this car, it's perfect everyone should own a Chevy. We got this 09 Tahoe last year and we love it so much it works like a truck so we treat it like one we also own a 04 Tahoe and it's just as nice, we even owned a 96 Tahoe... Just as nice.All Tahoe/suburban are just the perfect thing for everyone unless you want something huge or awesome.",,
4.75,First Tahoe,gb44 ,11/14/2010,,,5,5,5,5,,5,5,4,4,"Excellent build quality, nice ride, plenty of towing power for our travel trailer. Even my wife feels comfortable driving it, and usually she shies away from large vehicles, she does not feel intimidate in this vehicle.  I have owned several Silverados so this is familiar, but a lot easier to whip into parking places.","Comfortable interior, towing power.","They should include the integrated brake controller in the towing package. Removing the rear seats is a pain, they are very heavy and have to be stored."
4.125,Great Vehicle - Chevy Believer,Awesome SUV ,10/26/2010,,,4,4,4,4,,5,5,3,4,"This is my first true SUV and so far it's exceeded my expectations. I can honestly say after 20K miles of in town and highway driving, I would buy another Tahoe. Excellent driving experience and the gas mileage has been about as expected, actually slightly better. But I have to say I'm not a heavy on the gas either.",Comfort and highway driving absolutely great. I love it.,I'm a little on the tall side and front seats could be settled slightly lower but no problems.
3.5,Not like they used to be,lou ,10/08/2010,,,3,5,3,2,,4,4,2,5,This is my 2nd Tahoe. The 2009 has been taken back to the dealership 4 times in one year.  4 wheel drive failed 3 times and airbag system needed to be fixed.  Cheaper materials than older models.    ,Still fun to drive.  ,Better quality interior and controls.  Poor lumbar support.
4.875,Outstanding value,lrg51 ,07/24/2010,,,5,5,5,5,,5,5,4,5,My 3rd Tahoe (owned '02 Z71 and 05 Z71). They just keep getting better.,"Comfort, drivability, towing power, great looking vehicle (I love black Tahoes).",Better quality leather. Gave up on leather after 2 previous tahoes with leather interior and wear issues. Very pleased with cloth...
4,Happy But---,SteveF ,01/19/2010,,,4,4,4,4,,4,5,3,4,"Overall a wonderful full size SUV that rides well, fits everything, and looks great. Don't gripe about the mpg - it's what you expect with a 6,000 lb vehicle. I take it on trips more often than my 7 series BMW since it's a great vehicle for travel. Only problems during past 12 months have been with driver's door squeak (still unresolved) and the battery or alternator whereby the vehicle is dead after 2-3 days of non-use. Apparently this problem is known to GM. Tomorrow is 2nd trip to dealer for this problem. Assuming problem is resolved, I highly recommend this SUV.","Seats, nav, dash layout, ride, overall comfort.",Fold-flat 3rd row seats; GM fix for dead battery.
4.875,Great Purchase...Very Satisfied,SteveI ,12/08/2009,,,5,5,5,5,,5,5,4,5,"Previous owner of a Toyota and BMW.. I am glad to back in an American vehicle..boy they have improved.  The Tahoe, excellent Grand SUV, from inside to outside, I appreciate the quality and workmanship.  Great electronics to keep you updated on the vehicle performance.  The only ding..the MPG..14- 17..but using regular fuel is helpful in that respect. ",Inside Electronics...,"MPG, 3rd row seating.."
5,Still the Best Fullsize On the Road,Jerhico31189 ,12/04/2009,,,5,5,5,5,,5,5,5,5,"It drives me nuts to see you guys messing with the ratings on a good SUV because of something like fuel economy. You don't like getting 15 MPG,THEN DRIVE A CIVIC!!!  It does everything a big SUV is made to do. Great in the winter and rain, tows anything and its got great cargo room. Totally satisfied!  ",Everything!,None at all...
4,LTZ 6.2,6.2 LTZ ,10/31/2009,,,4,4,4,4,,4,5,3,4,"The 6.2 is so rare it wasn't even a selection in the drop down menu! This is actually my second LTZ, the first being a 2007 2WD with the 5.3. The 6.2 4X4 has loads of power but unfortunately is averaging just 13.8 MPG to the 16 MPG of the 2WD 5.3 with only a 4 speed trans (No 8/4 mode on the 6.2). By far, the best truck GM has ever produced. Not quite the ride of the Escalade (no magnetic ride control in the Tahoe), but the Caddy didn't have low range (AWD only), and really, 12K more for a slightly bigger nav screen and 6 disc changer VS single disc? A no brainer. Build quality is very good, at least equal to Ford or Chrysler. ","Heated and cooled seats, bluetooth, XM Nav-Traffic, ","Hid's should be an option on these. Could use a little more brakes, the '07 is due for pads/rotors at 40k. Unlock the nav system so your passengers can input destinations while you're driving or see the movie playing!Hid's should be an option on these. Could use a little more brakes, the '07 is due for pads/rotors at 40k. Unlock the nav system so your passengers can input destinations while you're driving or see the movie playing!"
