rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Review of 2009 after 107K miles,The Baumgardners ,10/28/2016,,5,5,,,5,4,5,2,,,"We bought this car new from a dealer in Maryland.  My husband used it to commute long distances to work.  When it hit 70K, we bought a new car and I used the Caliber for my work commute.  We have had NO problems with this car.  The car I had before was a Saab, and this Caliber ran so much better.  We're getting ready to sell it now as we have 4 vehicles parked out front.  I would have no apprehension about driving this another 50K OR more.",,
1,Lemons Are Us,Bill Rafajko ,02/28/2016,1,5,3,,,1,2,3,4,,,This car is a dream lemon. If you love spending money; getting towed; frequently driving rentals and paying for them ... then this is the car for you.  I've decided to get the car painted lemon yellow as dreamy blue is a misnomer.,,
3,Dodge Caliber 2009,Neil webb ,09/26/2015,5,5,5,,,5,5,4,4,,,Great car no problems at all,,
4.25,a happy ending,randrushka ,06/30/2014,,,4,5,4,4,,4,3,5,5,"We bought a 09 RT caliber from a dealer, cosmetically in mint condition, drove decent, stereo rocked, and got a fair price. Within 2 weeks it left us stranded, engine just shut off and lights on dash went crazy. After a lot of back-and-forth dealer finally found an aftermarket chip in the vehicle and convinced us to give it another try - I'm glad we did. Besides removing the chip, they upgraded the cars computer software. The acceleration was still marginal, but after I put one bottle of lucas gas treatment and replaced the plugs with bosch platinum +4 it accelerates fine, and we love the car. Now it runs like it just came out of the factory, and we plan on keeping it a while. ","Love the sporty exterior, and it runs great after a few minor upgrades. Fun to drive.",Only one thing I really don't care for - The stupid hollowed-out plastic headrest in the RT is godawfully uncomfortable. 
4.75,Nice Vehicle,queeniepreston ,10/04/2013,,,5,5,4,4,,5,5,5,5,"I don't know why so many people are giving bad reviews. I drive the '09 SXT CVT 6 speed & automatic, sunroof, & it had 70,000 ml, ground effects, fog lamps, the seats can fold over & not to mention the cooler, & have driven it to for very long distances, up & down mountains. I only wish that I would've been on top of my game to actually take a look at the brakes, the inner wall of the tires, & strouts, this summer the 4 of us had a family reunion & we literally packed it up & headed up to Nashville, Tenn. & came back with extra stuff.It's a very handy vehicle, I can fit a huge brand new trash can without folding seats, guess it depends on how you drive your vehicle. Respect it.","Cooler, air conditioning, sunroof, wipers in the back & front, ground effects. Learning how to drive manual, then being able to switch back to automatic when I get tired of manual, keeping my drinks a little cooler when I use the air condition.","I wish it was a six cylinder or better yet, the company should've continued producing it, cause it's a dependable vehicle."
2.75,I've driven better.....,rlfeen ,09/14/2013,,,2,3,3,3,,3,3,3,2,"I am the second owner of my Caliber. It currently has 136k~ miles on it. Roomy car, love the exterior. Interior is nice, however the design hasn't aged well. A TON of plastic. Plastic is everywhere is there are NO soft touch materials except the headliner and seats. HORRIBLE suspension. Replaced lower control arms, ball joints, you name I've replaced it. Luckily I bought a GREAT warranty. Drives great on the highway. Smooth and quiet.city driving is okay, hate the CVT especially in the city. Feels like it takes for ever to get up and go. (it is a larger car so I guess this is expected). Paint is still pretty good. I have black so it shows EVERY flaw.","Smooth and quiet, especially on the highway. Exterior looks. Great for hauling stuff. I hauled a 5x8' UHAUL from MD to AZ and it did just fine. 

Pretty reliable. Starting to age and I will be getting rid of it soon. ","Obviously Dodge just scrapped the whole design of the Caliber after a 5 year run. The Dart is a lot better. 

Suspension, quality in general, paint, interior. 

Had to replace alternator, fuel pump, A/C compressor, all of suspension. "
2.5,Junk,gedged ,06/21/2013,,,3,3,3,2,,1,3,3,2,"First, the car is a total slug. Makes alot of noise and goes no where. If you're merging onto the highway, PLAN AHEAD. If there is a vehicle coming, let it go by to give you a LONG launch pad... The auto trans is the worst unit I have seen. It's variable = junk. Finally- the antifreeze problem. When I left the dealership, the car overheated 5 minutes down the road. The radiator was only a 1/4 full!!!! After that, I would have to fill it every week...No puddles under the car, no obvious leaks, clean oil.. So, where did the fluid go?!?! In closing, with exception of the gas mileage, this was the biggest auto purchase MISTAKE I have made!!!!",,
4.25,Caliber on Fire,losam ,03/06/2013,,,4,4,4,4,,5,4,4,5,"Until now I have had no problems; but 12 minutes into my commute to work on February 28th proved to be fatal for my car and the truck parked beside it.There was the odor of something burning so I turned of everything electrical that I could think of that might be the cause. After coming to a complete stop in the parking lot at my workplace, I noticed steam coming from under the hood and the odor of antifreeze. Three minutes later, the engine compartment totally engulfed in flames resulting in a total lose 20 minutes later. The fire was so hot that its color was almost white. Still waiting to hear what caused the fire. Only 28,600 miles on this ride!","Heated seats, Sirius xm radio, Fuel effeciency(23mpg - City -- 28mpg - Highway), Easy to park, 115-volt outlet, Chill-Zone beverage storage, and the powerful feel of the 2.0, 4-cylinder engine (Nice).","Overall a nice ride while it lasted. The only suggestion, find the reason for the fire before someone becomes a fatality.
Five more minutes behind the wheel of this car and I might have become that fatality."
4.25,Not luxurious but decent little ride,bryancpe ,06/02/2012,,,3,5,4,5,,4,4,5,4,"I bought this car new and I've put 66000 miles on this car without a need for any repairs. The ride is comfortable but not luxurious by any means. The ride is fairly smooth and gets great mileage. Typically I get 30-31 mpg. On long interstate trips I get about 28. Why you might ask do I get lesser mpg? It has a tiny engine (2.0L) that works harder to maintain 70+ mph speeds. I keep up with the maintenance religiously as I live in the hot desert of Arizona and want this vehicle to last. The vehicle idles heavy and is weak on the acceleration. The cabin isbit small but I do have two toddler car seats in the back seat. Cargo space can be limited, especially with a big stroller. Does the job!","The gas mileage is the best feature. The price point for this vehicle is just right. 
Dodge put a lifetime warranty on the drive train on this model year for original owners. That means as long as I maintain the vehicle properly and drive it for the next couple decades that they still cover it. When used for cargo, ALL the seats can fold down (minus the driver obviously). I carried 8 foot objects before.",Solve the heavy idling (vibration) problem. Need a better armrest (maybe add a pad). More convenient passenger drink holder. Improve driver left leg space because it is a bit tight.
2.625,2009 Caliber,sm3230 ,05/11/2011,,,3,4,2,2,,2,2,3,3,"I boughtthis car with 27000 miles on it and now I have just under 52000, and the transmission went. The warranty expired at 36000, so if you are going to buy one of these cars, beware ! How dare they charge you for an extended warranty, when they know that the product they are selling is crap....",Great gas mileage,"Dodge should stand behind what they build, not put the burden on the buyer to pay for an extended warranty, knowing full well that there are transmission problems with this auto. Look back at other years, the tranmissions seems to be a commmon link."
4.875,Great car!,Jaime ,10/17/2010,,,4,5,5,5,,5,5,5,5,I have had my car for just over a year and it has AMAZING gas mileage! Even in the city i was getting anywhere from 25-28 MPG. Even got 30 MPG in the mountains! Going from a vehicle with 18 MPG freeway to this is SO nice. The back is roomy and fits a ton! Its a quiet ride and smooth and has some giddy up and go to it for a small engine.,"Sirius Radio, Option for Hands Free connection, Spacious back compartment, Plastic on back of front seats good for when you have kids they wont mess up the fabric like other vehicles!",Wish there was a turbo available for purchase down the road would be nice since there is space but other than that NONE.
