rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,WONDERFUL MIDSIZE SUV,Wes ,11/14/2016,5,4,3,,,5,4,5,5,,,"'09 Edge LTD, FWD, 20"" wheels, 85k miles.  Extremely good seat comfort and legroom (front & back) and smooth ride comfort -- both better than wife's Cadillac SRX.  Great acceleration, braking and handling.  Attractive exterior and interior styling.  Gas mileage OK for SUV V6 -- 18 city, 24 highway @ 70-80mph.  Problems:  1. Air conditioning completely failed, very expensive to repair; however it's the only repair item.  2. Dash lighting very poor at dusk and dawn, cannot be improved.  3. Steering wheel control buttons poorly engineered.  4. Rear camera and dash screen not available, must rely on bumper buzz alerts.  Overall, very happy with vehicle and will replace with a new Edge before 100k miles.",,
5,Good to great,Tom Carr ,03/01/2016,4,3,4,,,5,3,4,5,,,"Rides well and plenty of room,no big problems.  Only mech problem with spark plug wires et dealer Bozard ford made problems worse .Nav  sys is sad and cloth seats hard to keep clean.",,
5,I love my Edge!,Pam ,12/23/2015,4,4,4,,,5,4,5,4,,,"We bought our Edge used with 38,000 miles on it in 2012. It now has 116,600 miles on it, has been cross-country 7 times, up and down mountains, through blinding rain storms, and it has never failed me yet. The only repair we've had to do so far was to replace the windshield washer jets ($20 DIY) and replace the cabin air filter. (When you think the AC isn't working, check the filter.) It's even pulled a fully-loaded 6 x 12 trailer more than 5000 miles with no problem. I won't be replacing it until it just won't run anymore.",,
3.75,AC STINKS AND FORD KNOWS IT!!!!!   NICE BUT PLASTICY INTERIOR,Dorothy Burns ,03/13/2015,,,3,4,3,4,,4,4,4,4,"Have had Our 09 EDGE SEL WITH VISTA ROOF for 2+ years and love most of it.
This car has been great except for the air conditioning.   If the temp outside is over 75 degrees...FORGET ABOUT IT!  AC STINKS ARSE.  Have had it recharged and tested.Have cleaned filter screen behind glove box.Weak as water!IthinkFORDshould be ashamed of themselves they know this AC system sucks and should be responsible and RECALL all EDGES 2007-2010.  Have heard they know it is a manufacture defect that causes some of the refrigerant to bypass the condenser!  Everyone I know who has an EDGE says the same thing...The AC STINKS!!!!!!!!!! IF you are looking to buy one test drive it on a very hot day with salesman.
","Not THE AC!!!  Horrible!!  
Touch screen Nav. with SYNC!!!
Auto fold rear seats.
Large feel to the interior...rear seats have lots of room.
","Interior is cheap plastic on door area.  Power window & lock buttons always get wet when door opens after rain or snow.

Head rests are annoying as well...not adjustable at all.  This day and age and not adjustable?????"
4.5,great car,vipkat ,04/07/2012,,,4,5,4,5,,4,4,5,5,"bought new in 09 and have not had 1 issue and has 40k now, getting 21 or 22 mpg which is ok but not great, love the ride, brakes, and interior , major step up from my jeep that rode like a tractor, was loud and got 15 mpg, suprised other report so many issues with reliability","ride, styling, rear seat","better visibilty in the front, better interior materials, better mpg"
2.375,Fix or Repair Daily,kimberly flynn ,08/30/2010,,,3,5,1,1,,1,4,3,1,"I have had nothing but problems w/my edge! I had all my wheels replaced w/in the first 9mos of having it, speakers went out, electrical problems, vent broke, ignition replaced, and now my rear differential it being replaced! I am fed up w/this vehicle and for some reason its not a lemon by my states law!  I am upset w/Ford Motor Company and my dealer that I bought from!  I'm stuck in the middle of a terrible situation! Plus, My car has been in the Service shop 13 times equaling me to be their a total of 26 times!  Tired of my car and I am really disappointed in this Ford that I have 2 fix on a regular basis! I truly dislike my days off now because I spend it in a waiting room for my car.",,
4.75,Air Conditioning problems,Shelia ,08/14/2010,,,5,5,5,5,,5,5,3,5,"I owned my 2009 Ford Edge for a year, and I loved everything about the car until my one year anniversary month.  The air conditioner began going out at unexpected times.  It would only blow air as if it were on the defroster setting. Nothing would  When I took the car in to be repaired, the air would come back on and work properly.  Later, the coolness of the air would vary from time to time.  I never know when it will work, and when it won't.  I work, and I don't have time to run back and forth to the service dept.  I am also fed up with roasting in the heat when the air conditioner is out.  I am paying a huge monthly payment for a car with little to no air conditioning 50 of the time.   ",,
3.5,Lemon Amongst Apples,Gayle ,07/31/2010,,,4,4,1,3,,4,4,4,4,"Bought the Edge after owning a Tahoe, what a difference in gas mileage. I like the SUV but I got a lemon. I have talked to multiple Edge owners and none have had my problems.This truck has major problems with the brakes I have brought it in multiple times to have them looked at for excessive pulsing in the brakes and it is still pulsing worst than ever. There is also a major smell in the cabin of oil burning. I brought the SUV in for that also but was told it was a bag in the manifold, that was 2 years ago and the smell still comes and goes. Well I guess its a good thing I leased the SUV. I know many Edges owners and they love it. Fr me I couldn't buy another one due to the experience I had.","Gas Mileage, handling,Comfort, Interior Room","Brakes, Smell of oil, warranty length (no faith in there product)"
4.375,Ford Edge,FordEdge ,05/06/2010,,,4,4,5,5,,5,5,3,4,"Use the vehicle daily for hauling our 2 children, and for work (lots of windshield time).  Have had no problems what-so-ever with this vehicle.",This is the base SE model and the front seats are extremely comfortable and I only have the manual adjustments.,Improve upon the fuel economy.  Gets the fuel economy of a 7 or 8 passenger crossover.  My only complaint.
3.875,Just little issues,Tom ,02/13/2010,,,4,4,4,4,,4,4,3,4,I purchased this vehicle for work and I drive a lot of highway miles.  I was hoping for better (averaging around 21 mpg) fuel economy then what I am experiencing.  I have had a number of little issues from faulty wiring connectors to the radio mysteriousely turning off.  ,"Handling, power, traction control on Fwd model excellent in heavy snow!",Electrical system reliability; Snyc wireless phone connection not as good as I had hoped.
3.25,Not a 10 anymore!,On the Edge ,02/01/2010,,,4,4,4,2,,3,3,3,3,"I bought the Edge because I wanted the styling, the dual roof and a Ford. But within the first year, the dual roof broke twice, the car stalled twice until it was determined it needed a new part. It is sluggish up a hill and slipped from being a 10 to a 5 in my recent opinion. All my friends know the problems I have had and have purchased other SUVs. No one I know will buy an Edge. I think I have a lemon and don't find my review reflective of all Edge's. But my lemon is getting more sour in it's second year. The roof is stuck again. ","The 17"" chrome wheels and the exterior styling.",The roof mechanics should be improved.
4.875,new ford owner,giants fan ,01/11/2010,,,5,5,5,5,,5,5,4,5,We bought our edge when our grand prix was going downhill and we needed a bigger car due because of having a child. We've never owned a ford because I've always been weary on buying them but I was very impressed with it. Test drive was awesome. Car rides really nice and smooth. Plenty of leg room and a lot of space in the back. I enjoy driving this car and I am so glad we found the edge.,Lots of room in the rear. Comfortable seating. Radio controls on the steering wheel.,none so far
4.75,The Edge has edge,Lisa B ,12/02/2009,,,4,5,4,5,,5,5,5,5,"I love my '09 Edge Limited AWD. It has great looks, drives well and has it's own style. However, Ford needs to add an indicator on the dash to show when the lights are ""on"". They could have added softer material to the door panels (near windows) so the interior doesn't feel so ""plastic""- at least in the Limited model. The on screen buttons need to be larger. Otherwise great car and fun to drive- has great leg room in rear and I can pack a lot of things with the seats folded down flat. Very versatile. I was very surprised how much I enjoy owning and driving my Edge and am not disappointed one bit.","Smooth ride Good looks Uncomplicated buttons, easy to reach Seats are comfortable Versatile storage","An indicator on the dashboard when the lights are in the ""ON"" position Larger on-screen buttons for the NAV system Softer, cushioned material on the inside doors so they are no so ""plastic"""
5,Best purchase I've ever made,Andrew ,11/21/2009,,,5,5,5,5,,5,5,5,5,"This Edge is a great vehicle.  The SYNC system is a great safety feature.  I was involved in an accident when a person turned left right in front of me and I was on the phone with 911 in less than 5 seconds.   Highway MPG has been excellent for a vehicle of it's size at 24-25 mpg at 70-75 mph.   In town I average 18-19 mpg.  The quality of the interior is outstanding.  The leather is plush, the heated seats excellent, and the air conditioning is strong.  Plenty of power, smooth shifting, comfortable seating and great view.  Only negative is it's hard to judge how wide it is when entering our garage, I've had a few near misses with the mirrors. ","SYNC, Leather Quality, Steering Wheel Controls, Power Liftgate!",Glare on the windshield is annoying on sunny days but is easily fixed with polarized sunglasses.
2.75,So very disappointed,martha ,10/31/2009,,,3,4,2,1,,1,4,3,4,"I bought my 2009 Edge in May of 09 and by this month (Oct 09) the car is having transmission issues.  It also had to have the front passenger speaker replaced...twice!  Needless to say that i am horribly disappointed with Ford and regret getting rid of my reliable GMC Yukon.   I thought I was going to save on the mileage, but I would have preferred to keep spending a ton on gas than have to deal with all the issues this 5 month old car has given me.  I will never again purchase Ford or any other make/model this company makes and will do everything I can to tell people to avoid Ford vehicles like the plague!  I thought Ford had fixed all their issues, but obviously this isn't the case!  ","There are some, but am too angry about the issues I've had to care enough to list them.",Make a car that won't break down after 5 months!!!!!!!
4.5,Big Change,JT ,10/14/2009,,,5,5,4,5,,5,4,4,4,"This Edge is my first cross over. I replaced a Hemi Durango so I was hoping for better fuel milage. So far this thing rocks. plenty of power with great manners, and lots of room for a 6'3 guy. Brakes are a little weak for such a light car. ","Sound system, heated seats, vista roof, reclining rear seats, powerfolding seats. ","better fuel economy in the city, better brakes. "
4,Not bad overall!,eddy649 ,10/05/2009,,,4,4,4,4,,4,4,4,4," After owning  four GM Suv""s in a row, I tried the Edge feeling the GM line had fallen behind. I have been very impressed with the vehicle itself but disappointed in some of the ""amenities"". The IP is very difficult to see in low light conditions-this in itself will prevent a repurchase as both drivers feel it is dangerous. The radio (LED)  is archaic ,difficult to read . The privacy cover behind the back seat is a joke. ","Panoramic roof, backup sensors,sync,ride",Brighten up and update Instrument panel.Update radio controls. Install auto roll privacy cover over storage area
4.875,New owner - very impressed,sully ,09/20/2009,,,5,5,5,5,,5,5,4,5,"Styling is great - the interior is well built and simple but classy / refined - no overdone plastic wood - no rattles or excessive wind noises - I have the vista roof - just a great feel and view - it is just like the SRX roof - the Sync system for the phone is a 10 - clear - understands every word - still have not interfaced the ipod yet - I drive a lot 3/4 highway - 22+ MPG - use the overdrive button for getting off the highway - it will downshift - save brakes for the long run - I do 40K a yr - one negative for me is no manual shifting of the automatic.  Roof was worth the trade off - so far very quite and firm but car like ride - I test drove them all and when I drove the Edge, SOLD!","vista roof, sync system better than onstar due to bluetooth connection, ride quality - visibility- backup sensors, automatic tail gate - seat configuration, seat comfort I am 6ft 240lbs, chrome wheels, very good headlights and fog lights,tight steering - spot car like, very comfortable for long rides",overall acceptable MPg - wish it was bit better - 
4.75,Ford has the Edge on this one!,warmsunSeattle ,09/04/2009,,,5,5,5,5,,5,5,3,5,"Cash for Clunkers combined with rebates and dealer discount, I could not be anymore happier with my purchase. The ride is quiet, smooth and handles well, practically glides over bumps, potholes & train tracks. Front seats are very comfortable. Lumbar support adds comfort on long trips. Synch makes it a car for the 21st century. Mileage could be better but, hey, at least it doesn't takes premium unleaded gas. The interior is spacious for passengers & cargo. Rear and front passenger seats fold down providing lots of room for trips to the hardware store. Comes with key fob so no more locking my keys in the car.","Synch providing Satellite radio, navigation, Bluetooth, & current gas prices in the area you're in. Great sound system. Exterior design with chrome, shiny coat of paint, and head turning 20"" rims. Panoramic roof.",The wind deflector for the panoramic roof is much to be desired. It is fabric meshing and not very attractive - looks like a bug catcher.
