rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Ford Escape Hybrid Engineers made America proud,nemakv ,08/11/2016,5,5,5,,,5,5,4,5,,,"After 6,000 mi driving on top of the acquired 50,700 mi I can report exceeding the EPA reported mileage of 31 mpg, respectively I did 35 mpg on Hwy and higher for city driving. Trips from the resident up on the hill down to the city the hybrid SUV registered 49-100 mpg depends whether I did so called ""hypermiling"" (light on the gas when starting from stop, coasting, keeping the speed just below 40 mph, etc), or usual driving. Impressive right. When had mainly a flat city driving trips I exceeded 40 mpg easily, while combining with driving up the hill - 34-35 mpg. Of course, 2009-2012 model year (2d and last generation of Ford Escape Hybrid before discontinued) compared to the same model years of Toyota Highlander's hybrid, or Lexus hybrid SUV (the only market competition) is not as refined as ride, road noise, interior design even in highest trim - Limited I have. And this is surprisingly disappointing for the highest Escape Hybrid trim. Ford engineers did a great job in uniqly calibrating the hybrid SUV compared to 2d generation Toyota hybrid using the most powerful high-voltage NiMH batteries and two el. Motors. And in the same time Ford was so cheap in the rest of the hardware and interior materials, insulation from the road noise even in Escape Hybrid Highest and more expensive Limited trim??Too bad Ford engineers made America proud with the only utility plus fuel economy SUV that Toyota was not able to match by calibrating the hybrid engine to work only on electrical power in certain circumstances, while Ford managers discontinued this unique and most reliable Ford vehicle for 2013 model year. Ask New York police and city taxi, also San Francisco taxi service, which retired Escape hybrid SUV only after 300,000 miles without any major problem. That's why it's very difficult to find used 2009-2012 Escape Hybrid with lower miles for sale, owner keep this Escape model longer vs. unreliable non-hybrid Escape. Now Toyota released 2016 RAV4 hybrid and will be the only one non-luxury winning combination utility and fuel economy vehicle on today's market that the public most prefer, since Ford Escape hybrid is discontinued and it's hard to find on used car market.",,
5,My Millennium Falcon,William Blake ,12/21/2015,5,5,5,,,5,5,5,5,,,"Very reliable and comfortable with traction in deep snow as good or better than my explorer.  Around town, less than 40 mph, the electric motors give smooth, quiet, gas free acceleration and all braking refills the battery.  Room for the skis, snowboards and boots in the vehicle while seating 4, or on top with room for 5. In 118,000 miles the driver's front wheel bearing has failed twice and the lower ball joints have been replaced once.  Other than that the engine/motors and ""Continuously Variable Transmission"" and body and drive train have been flawless.",,
4.25,09' AWD Escape Hybrid Base Review - 167K Miles,acd72 ,04/08/2013,,,4,4,5,5,,4,4,4,4,"All in all it has been a solid vehicle.No major repairs. Bought used from a dealer 2.5yrs ago w/ 40K.I drive 50K miles/yr for work.In thesummer I avg 28-31MPG. In the winter 26-27mpg.Not sure how much cold weather affects mileage, because I let the car warm up in the driveway regulary.Recently my wife started driving and avgs 23-25MPG.Thought something wrong, so I reset the mpg.It went up to 30.I believe the driver has the most impact on MPG.","-Acceleration, especially being a Hybrid
-AWD . No issues in MI winter
-Capless fueltank!
Filling up 3-4x/wk you'll appreciate it
-Reliable.
No issues after 167,000 miles (knock on wood)
","-Sync System Clumsy (Bluetooth Stereo feature is nice)
-Back seats are a pain to fold
-Steering Whee leather is peeling
-Satellite Radio changes stations very slow.
If you go to fast it just quits
-Cabin could be quieter
-Don't get the cloth seats if you have short haired dogs (pain to clean)
-Gas Engine turns on if A/C is on (Ford has changed this with newer models of Escape Hybrid)
-At 50K miles/yr, I save roughly 340gallons of gas over same year gas model. about $100/mo in gas.
- New gas models get better MPG (Probably why the hybrid version is no longer offered)
-Brakes are very touchy after rain (don't know if that is a characteristic of my NAPA ceramic brake pads or the regen system
"
4.25,108K and Still going strong,jas74 ,07/13/2012,,,4,4,5,5,,3,4,5,4,"I purchased my 2009 escape hybrid from my company fleet department.It was driven by a colleague of mine for 99K.I took it to Ford for the 100k service, all it needed was spark plugs, cabin filters and Oil Change!Are you kidding me?She said the hybrids have less wear and tear than a normal ICE (Internal Combustion Engine).Yeah the handling and performance is not of a BMW X5, but how about that reliability! and 33-35MPG that I get consistently.Oh and the 100k service $400 bucks at the dealer.Not bad",,
4.375,37 MPG! & Great for Tall Drivers,phatcat73 ,06/02/2012,,,4,5,5,5,,3,5,4,4,"I purchase mine used in Nov 2010 and it had 32k miles on it.It was a fleet vehicle which probably means car rental which concerned me a bit, however aside from buying new, used versions are difficult to find.I'm 6'6""and few cars/trucks fit me.For being a compact SUV, this one is just right!At temperatures above 50 deg, I'm averaging around 37mpg in mixed driving.To get to the level I learned to maximize the battery when driving under 40mph as the engine can shutoff and drive under all electric power for a short time.You really have to learn the thresholds as to when the engine will kick in driving under 40 then try to maximize the battery.This will yield higher MPGs.","Great for tall drivers.
Sync system with ipod/bluetooth/sirius support is great.

Once you go hybrid, it's difficult to go back to conventional engines.
It's like taking a step back in technology.


Reliability - Rental purchased with 32k miles and I now have 62k with ZERO problems.
I've read these hybrids are overbuilt and have many heavy duty components installed vs conventional Escapes.

Battery Longetivity - I read an article about a fleet of CA Escape Hybrid taxis being put in retirement after 300k miles.
They were still running solid and the batteries held a greater than 80% charge.
Wow!

Maintenance - Oil changes every 10k, low stress on the engine due to battery,","Convert to lithium ion batteries and make it a plug-in!

It's no wonder major car manufacturers are slow to roll out hybrids/plugins.
With their low maintenance, and longetivity, people will be visiting their dealers less often for maintenance and car purchases.

I'm looking forward to startups such as Tesla, to help motivate the competition."
3.5,"Disappointing, especially in cold weather",akservices ,01/20/2012,,,3,5,4,3,,4,3,2,4,"I've had the car for almost three years, and am disappointed.The mileage numbers have never come close to the advertised numbers, and when it's really cold (i.e., less than 0), the MPG plummets to 14 or 15.This is hardly better than our 1997 Ford Explorer.Friends who own Toyota Priuses have also reported lower MPG in the cold, but theirs go down to 30 MPG, from 40.Even when the temperature is ""normal,"" meaning 60 to 70, and I'm doing highway driving the best mileage I've ever gotten out of the car is 27 MPG.In retrospect, I wish I'd bought a non-hybrid and spent a lot less $$.",Nice exterior design.,
3,why is my gas mileage so poor?,sladams ,08/02/2011,,,3,3,3,3,,3,3,3,3,"I recently purchased a used 2009 escape hybrid 2wd with 42000 miles on it. I think it was probably a fleet car. It's in good shape but I'm only getting 25 miles to the gallon with combined city/hwy driving. And, the gas tank only seems to take 11 gallons when I believe it has a 15 gallon tank. I know it's hot and the aircon has to be on but isn't that still pretty low mileage? Kind of wishing I had bought a new non-hybrid for the same money now. Any info/suggestions would be helpful in making me feel like I made a decent purchase. thanks",,
3.75,Too Many Issues,jlcomstock ,06/15/2011,,,5,5,2,2,,4,4,4,4,"I've had too many issues:1. Steering locking up while driving, had entire column replaced under warranty2. Rear window leak3. Missing wiring for heated mirror4. Busted A/C blend actuator within a year5. Brakes and rotors needed at 30k, even though the car uses regenerative braking that doesn't even use the pads and rotors above 5mph.6. Jerky transition to mechanical brakes in rainy weather.Too loose a transition to mechanical brakes in hot/dry weather.7.Grinding / Rubbing noise when turning sharp left that no one has been able to fix.Just too many issues.","Mileage is great for an SUV.
The SYNC system is awesome.
Car looks sharp, inside and out.
Great pick-up and go for a heavy hybrid.","At least make sure the steering doesn't lock up while I'm driving, and make sure the brakes and rotors will last longer than a normal car.
That was a huge selling point, but now its a huge drawback and liability."
4.875,No problem automobile,Tom ,08/16/2010,,,5,5,5,5,,5,4,5,5,"I have driven 14 months 23,000 miles. No mechanical problem, gas mileage is as they claim. Quick pik up when need power to take over other car on the highway. My older Honda Accord has 2 second delay when need the power. Dealer adjusted power steering as tight as possible, but need little more tighten for more control at high speed. Need improve wind noise at high speed.","Navigation System, Gas mileage",Need more tight powering for safer drive at high speed. Need improve wind noise at high speed
4.875,Love it! (even after 2 warranty repairs),Kyle ,06/14/2010,,,5,5,4,5,,5,5,5,5,"I've had my FEH for 4 months now. I love it, it makes my daily commutes in traffic so much better. The sync system is awesome, same with the hands-free phoning, and the satellite radio. I've been getting about 36 mpg - plus it's kinda fun try to keep the tach in the green (battery mode) while driving, it takes a little practice to get good at it - sometimes I even find myself hoping traffic will slow down so I can recharge! On the downside, I have had to take it back to the dealership for two different repairs, will go into more detail below. Overall I am extremely happy with the purchase and would recommend the FEH to anyone (as long as it's still under warranty). It's a great vehicle!","Unbeatable gas mileage for an SUV, especially in traffic (~36 mpg). Unexpectedly powerful when you really need it (will use gas and electric at same time if you floor it). Sync system (you can control your iPod with voice commands). Blue-tooth (hands free phone ability). Satellite radio. Rides high.",There was a leak in the exhaust manifold that was fixed under warranty (would've been $1600 though). Also a warranty repair to stop a loud creaking noise(parts in the subframe were rubbing against each other). Both had TSBs so Ford knows about them. The fabric seats stain from small amounts of water.
4.375,"Update after 33,000 miles",Ken ,11/06/2009,,,4,5,4,5,,5,4,5,3,"I like my Escape less now than when I first purchased it.  I don't know if my problems are isolated or if other vehicles have the same issues.   The heated seats stay warm only minutes after being turned on.  The seats warm quickly but then fade to cool within about 5 minutes. The air conditioning system is a joke.  When both driver and passenger sides are set to the same temperature, the passenger side, will blow 8 degrees warmer than the drivers side...but only sometimes.  Also, the system can be set at 72 degrees and blow hot but can also blow cold when set to 76.  It's frustrating.  I think the a/c system may be bipolar.  The dealer says the technology is in the motor...he's right.",Mileage,"A/C, Power passenger seat, Heating element in seats and the occasional noise coming from the passenger side of the dash that sounds like a squirrel is trapped inside."
