rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,It drives forever,Elijah Meadows ,07/03/2016,,,,,,,,,,,,"My friend got a new car and let me use his 2009 ford escape until I could get a car of my own. It had about 199,000 miles on it when I took over. It wasn't too much longer until the power steering malfunctioned. There was a recall on them apparently but my VIN wasn't included when I called Ford. It made it hard to turn the wheel and especially hard to get in and out of parking spots at grocery stores and such. It's about $700+ to fix the problem. It's at 220,000k miles now and still runs great. Has an oil leak. Had to replace the wheel bearing, brakes and battery in the last year. Other than that it's a great car. Take care of it and keep the oil changed",,
,,,,,,,,,,,,,,,,,
4,6 years and going strong,Texas Chemist ,04/04/2016,5,3,3,,,5,5,4,3,,,"I bought my Escape used in Sep 2010 to replace my 98 Grand Prix. These are the only two vehicles I've ever owned and I've been driving 15 years. The Escape is a challenge to rate for two main reasons: It is extremely reliable, has almost no mechanical issues, is smooth and fluid on the road and provides almost everything I need as far as cargo and transportation goes. On the other hand, it is uncomfortable to sit in. I mean, the seats are not good. In 6 years I've yet to get the seat/steering position perfect. My legs get cramped up or my back starts to hurt a little after only 20 minutes of driving. But this thing is so smooth and nice on the road, the road noise is low (compared to my wife's Civic which is ridiculously loud), and the steering is so soft and fluid you can control the the vehicle with a single finger. Other than some pretty stupid interior design (center stack mainly) and cheap materials, as well as an occasionally jerky transmission the vehicle is near perfect. Pros: - Extremely reliable- Drives very well- Easy to control- Excellent in snow/ice/rain- Great exterior stylingCons:- Jerky transmission when starting from a stop- Horrible interior stying/center stack design- Cheap plastic materials inside- Very uncomfortable seats- Lack of telescoping steering",,
,,,,,,,,,,,,,,,,,
3,No more Ford products,cmrakers ,03/19/2016,2,3,3,,,2,4,3,3,,,"Ok, I've been a Ford supporter for 40+ years, all the while enduring the Chevy, Toyota, Honda owners snide comments.  As of todayI'll never buy another Ford.First, the 1998 F150 XLT airconditioning and electrical system began failing at 40k miles (I didn't keep track of how much those repairs cost) so at 80k I finally traded that in for the 2009 Escape.  The first Escape under warrenty transmission was installed in 2012, and now at 77k miles I'm faced with another failed transmission.  Included in the decision NOT TO BUY FORD is the fact that this Escape cost me about $900 in repairs every freaking year since hitting the 36k warranty mark (sometime in 2013), and I'm good to my vehicles--regular maintenance, don't drive like a maniac.   The new tires will outlast the engine/transmission and that's freaking sad and not cost effective.  I'm switching to Honda or Toyota.",,
,,,,,,,,,,,,,,,,,
2,"Do yourself a favor, don't buy it.",Curt ,01/05/2016,1,3,3,,,2,3,3,4,,,"If there was a lower rating for transmissions I would have given it. This car seems to have a ton of recalls, which the techs like to tell me that Ford is looking out for its customers. I like to view it as, a lot of poor design choices from a company who has been making cars to long. I get being new and innovative, but how about making a car that doesn't have the worst transmission in the world?!? Did they even test the damn thing before they threw it into cars? I realize that all cars have their issues, but this car seems to be the worst I have ever dealt with (don't believe me? just google it).",,
,,,,,,,,,,,,,,,,,
5,Excellent,pete162 ,04/09/2015,,,5,5,5,5,,5,5,5,5,"Had since new, very reliable , cheap to maintain, fuel sipper with plenty of power with the I4 2.5 liter engine. Always hand washed and waxed,it looks almost as good as the day we drove it off the lot.","Sync, Sirius, Polished Chrome 17"" wheels",
,,,,,,,,,,,,,,,,,
4.625,Awesome little SUV,tugboat95 ,01/16/2015,,,4,5,5,5,,5,4,4,5,"I love this truck! I bought this with 33k miles to replace a Durango I could no longer afford to feed.  It was an adjustment to go that small.  I chose the Escape because it had the most interior room of the small SUV's.  I'm 6'5 and I sit comfortably in it for an 8 hour drive twice a month.  I have the XLT V-6.  I get 28mpg round trip on that drive and I see 33 in certain spots where I behave with the throttle. It now has 75k miles on it and the only thing I have touched is the oil and transmission fluid and a new set of tires. Most dependable vehicle I've ever owned.  And it pulls a 3050lbs RV and gets 12mpg doing it.  I've been offroading in WV with it and even just 2wd, it holds its own.",Love the SYNC system.  Easy to drive and park.  handles well on the highway.  Really good on gas and when you punch it the throttle responds very well. First gear has some power to get going and take off. 4-6 gears have good response on the highway.  Adaptive transmission takes about 30 miles to learn it has an RV behind it and makes required adjustments and changes shift points.  Very surprised at how easily it tows my 3000lbs camper.  But 3500lbs is the max and the engine is working really hard but she handles it like a champ.,"Overall the ride is pretty good, but when its loaded with cargo or a trailer the ride gets a little bouncy.  Not sure how this can be improved on such a short wheelbase.  Its not bad, but like all 6'5"" guys a little more legroom is always nice.  I fit,but just barely."
,,,,,,,,,,,,,,,,,
4,A good fit for me,michiganphil ,02/23/2014,,,4,4,4,4,,4,4,4,4,"I have owned two 2009 4 cyl FWD Limited Escapes, traded one at 41K miles, last month,and still own another with 43K miles. The only issues I have had with the vehicles is with the Fan motor, in which a resister went bad. Otherwise, I have had no issues with either vehicle. The vehicles offered me the features I wanted, with few I did not want. The acceleration, handling, braking were good enough for me. I was impressed with the gas mileages, I topped 32 MPG, door to door, with both vehicles on long trips, a number of times.",The gas mileage.,"The Drum brakes in the rear are a concern to me, though I have not noticed any issues with normal braking. I would have paid the extra for disc brakes, given the choice."
,,,,,,,,,,,,,,,,,
4.5,Love it...sometimes,ttescape09 ,02/03/2014,,,5,5,4,3,,4,5,5,5,"I bought this car used, and after owning it for 1 1/2 years I still love it. However it has had some pricey problems. I bought the car and I thought it needed a blend door motor on the passenger side (~$900) I replaced it and turns out it was a HVAC module (this was free after a letter to the owner of the Ford dealership because they misdiagnosed it the first time). I now have intermittent power steering (~$1500 to fix) This is my biggest issue because it appears to be a safety issue. So if you buy this car beware and have that money ready! Also paint is starting to chip off the top of the liftgate for no apparent reason (only 12 inches is covered by paint anymore)","I love the leather interior, heated seats, moonroof, ambient lighting, satellite radio, bigger than my saturn was ","The steering problem is a common issue and can be dangerous since it is intermittent. If I had the money to fix it I would, but i think Ford needs to issue a recall."
,,,,,,,,,,,,,,,,,
2.375,Too many breakdowns!,nthernlgts ,03/31/2013,,,3,4,1,1,,3,3,1,3,"I bought this vehicle new in the summer of 2009.About a month later the Transmission failed.It took a month and a half to repair because of back ordered parts.After the rebuild, the shift pattern was messed up and had to go back for reprogramming.This was all within 15,000 miles and covered by warranty.After warranty, the a/c condenser failed.$900 there.Then the power steering unit failed.This isn't a standard power steering unit either.In other words, $1400 more.I've also had some sort of an mid shaft axle support bearing fail. $400 more.All in all, I have put nearly $3000 in repairs into a 3-1/2 year old vehicle. Way too many mechanical failures. I'm done with Escapes","Sync system is great, USB access, large sunroof.","Get a better Tranny and power steering unit.... PLEASE.
"
,,,,,,,,,,,,,,,,,
