rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Great Car,Edwitski ,08/03/2016,,4,5,,,,5,5,5,,,Drives great! Very comfortable!,,
5,We love our Flex!!,A. Ekstrom ,04/05/2016,5,5,5,,,5,5,4,5,,,"We were about to have our third boy and I did not want a minivan, thankfully we found the Flex! We absolutely love it!! It has so much room, the two big boys love their spots in the third row, they have their own cup holders and compartments! The second row has about 47 inches of leg room, sometimes I'll sit back there just because. I love the front heated seats, even living in Arizona I use them all the time. We love the look of it, ours is all black with black leather inside. Next time we buy one I want two colors, I'm think red and black. We also love the navigation system and back up camera, the boys call it the Flex's iPad. It's easy to use and navigate and all buttons and such are perfect.   The few cons:   We received a new big sit and stand stroller after the baby was born and it doesn't fit just in the back. We have to move one of the boys to the second row by the baby, flip down one side of the third row and put it there. Our Flex had almost 100,000 miles on it when we bought it and it was beautiful inside and out, the only it's started doing is hesitating when shifting at slower speeds. After looking this up it seems to be a common problem. Overall we will definitely be buying another Flex, we love how comfy it it, how it looks, the technology and that it's unique!!",,
1,WORST CAR I EVER OWNED!!!,Tim Chouinard ,12/31/2015,,,,,,,,,,,,"I have been buying Fords for quite some time now but I have to say this car has completely turned me off to Ford. I bought the car as a 2 year old lease return. THANK GOD, I had the sense to get the extended warranty. I paid an additional $2,000 for it and it has literally paid for itself 4 times. I have had to replace practically every component of the underbody of the carBearings, Springs, steering column (twice), Tie Rods, both tail light housings at $550 apiece (not covered under the warranty), heat stopped working on passenger side. The list goes on. And the car doesn't even have 100,000 miles on it.I am literally picking it up at the dealership tomorrow and it is going right to another dealership where I am trading it in for a Grand Caravan. GOOD BYE!!!!!! Don't buy this car!!!!!!!",,
1,Very dissapointed,Chris ,08/07/2015,1,1,3,,,1,5,2,3,,,"Where do I start, mmmmmm.  All 4 wheel bearings went bad before 90,0000. Sunroof was designed to let water in, I think. Well it had to be as bad as it leaks. Fans don't work so car overheated. Stereo would not work from steering wheel controls. Gas gauge goes from 3/4 full to empty  in a second and then the car died, TWICE. The good news about that is that it only happens when it is 20 below or colder, so it has that going for it.  Seriously. I have worked in the car industry for twenty years and I have owned many cars and this truly is the most disappointing car we have ever owned. I wanted to support Ford after they refused the bailout money. Unfortunately I will be going back to a Honda or Toyota. In my experience, these companies have given me the best value for my money. Simple as that!Back to sarcasm: All 4 wheel bearings out before 90k, really?  Ford knew they were bad during testing, they had to know. So I assume they treated it as a profit center and said the heck with the buyer.  Well, two can play that game, so the Heck with Ford!",,
1,Quality is just not there!,cdnmominaz ,09/18/2014,,,1,1,1,1,,1,1,1,1,"I HATE HATE HATE to say it but the title reads true! My father retired with Ford and our family has a LONG history of buying/owning Ford vehicles! BUT this one missed the mark.

It is a 2009, I get it, things will go wrong....but I wasn't anticipating all the issues we've had thus far. Here we go:

1. Clear coat began peeling.  (Almost immediately after bringing it home to AZ, coincidentally just a year or so after the paint warranty expired!)  Looks like an old, beat up junker now! EW!

2. Ball bearing issue. (Umm, yes my tire was dangerously loose and that is totally unacceptable)

3. The door handles continue to fall off (yes, these cheap, junkie, chrome wanna-be come right off!)","I think I love how the whole thing is slowly falling apart before our eyes, the terrible quality and of course I love that the leather interior is slowly coming apart (even with proper maintenance!) ","ummmm.... well, it would be nice if Ford fixed the paint, the ball bearing issue, the door handle? Maybe make it out of real material? (It's so cheap feeling it feels like it could be my 2 years old son's toy!)

I'm sad to say, after growing surrounded by Ford hater but always believing in Ford because my dad and family did....I've finally come to realize why Ford is hated by many.... sorry Ford when it comes time to buy our next vehicle I don't think I could convince myself or my husband to buy a Ford again. We're breaking up, it's YOU not me!"
3.875,No Support From Ford,swaldron ,07/07/2013,,,5,5,2,2,,4,5,4,4,"We purchased this new in 2009 and overall have been please with the vehicle.However, I had to rate build quality and reliability low here due to the following:at about 30K (warranty) it needed a new front hub & bearing; at 44K it then needed a right rear caliper ($500). We were very disappointed that the dealer would not contact Ford about what they could do about the caliper (I currently also have 2 GM vehicles with well over 100K miles on them with original hubs and calipers!).The dealer had the nerve to tell me that he had a concern about using aftermarket calipers... I just looked at him and said ""really, right now I have to pay $500 to fix a Ford OEM caliper!""Going back to GM!","Very comfortable and well designed interior.
Great driving... what a Lincoln station wagon would be like!",Have Ford stand behind their brake problems with these vehicles... this could have been a very dangerous situation! 
3.25,"0 Miles to ""E"" with a 1/4 tank",designqueen83 ,03/23/2013,,,4,4,3,1,,2,5,2,5,"I have had my Flex since August of 2010. I have put on 78k miles total. With in the first winter I had 1/4 of a tank of gas and the reader told me there were 60 miles to E. I was in good shape to get to work then get gas at lunch. My car dinged, read 0 miles to E and then shut down. This has happened a few times since and the dealership can't pin point the problem. They have even made it die the same way too (b/c they didn't believe me). Now I am left with a solution of don't drive it under 1/4 tank and don't get down to 90 miles to E. Seriously? Is anyone else having this problem? I am the second owner and the first time it happened was at 30k. Senders have been replaced and other parts. ","Ok I have to say I LOVE my Flex. I love that we could all fit and have room. I loved that my best friend, 2 her kids, daughter and our 2 sisters could all fit in this car for rides and outings. It has a smooth ride and would be perfect to take camping and use as a bed with an air mattress. Seriously hate to give up this car but going to have to. Due to problems and gas mileage.",Make the fuel problems stop!!!
3.75,Sticker shock,surfredski ,03/09/2013,,,4,4,2,3,,4,5,4,4,"In general my 2009 Ford Flex has been a very enjoyable car, I've almost 50,000 miles on it other than the center console latch breaking in the first year it's been a good car. Last month I had noticed two of the panels between the doors was loose. These are about the size of a bumper sticker and run vertically between the doors. The dealer said it would be $198 for each panel. Last week one of them flew off the car and I realized they are basically stickers. The plastic panels are held on with foam tape whose glue is now failing.I can't believe Ford is charging $198 for what are glorified stickers! My car was always hand washed, garaged and Seattle is a mild climate. Anyone else see this","Love the comfort and ride of the Flex. The interior is nicely done, some with not so durable materials however. The mid console latch is weak plastic and a joke.","Exterior panels on cars should not be stickers that give way and fly off the car.

Seal the doors where they meet the body. Too much dirt gets in the door jambs."
3.25,Ford Does Not Support,jstaples15 ,12/29/2012,,,4,4,2,3,,3,4,2,4,"I have a 2009 Ford Flex that was involved in an accident with a deer. According to the repair shop, there is a necessary part that is needed on the vehicle, P/N 8A8Z16138A, that is not in production and not available anywhere in the US.I contacted Ford Motor Co. several times and they have informed me that they have no planned date for production, due to tooling issues.Their stand on the issue is that it is not their problem. I have exhausted all contacts and Ford has no answer when my car may be drivable again.",,"Support this vehicle with Parts. Love the car, but I would not buy it now if I knew what I know now."
2.25,"Overall, Hunk of Junk!",kelsey_b19 ,04/22/2012,,,4,4,1,1,,1,4,1,2,"My husband and I have had nothing but problems since we got our flex. What's worse is the countless number of times we have to take it in to the dealer. They do not acknowledge the fact that this car should be considered a lemon. It has a foul smell coming from the ac/heater, the brakes grind and pulsate when you apply pressure, the interior has a constant rattling sound, the front console latch broke off within one month of buying it, the cheap plastic air vent covers fell off within 6 months of buying the vehicle, and the transmission grinds, jerks, pops, and seizes up often. We bought it from ken grody ford in carlsbad, ca and they sold it to us with electrical problems in the headrest!",Overall I hate this car. I regret buying and the pretty exterior and fancy features are not enough to make me like it! I would declare it a lemon!,I suggest they actually fix what is wrong with the flex instead of making excuses as to why they have no responsibilty for fixing things that are covered under warranty.
