rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Best American Car Around,Darryl.G ,11/01/2016,,5,5,,,5,5,,5,,,"I have a 2009 Ford Fusion 4 cylinder and I've owned this car the last year and I've had nothing but good things to say out this car. I bought it last October with 200xxx miles. It now has 314xxx that's right I said 314,000 miles and it's still working like horse. The only things I had to do is replace the serpentine belt and get a wheel alignment other than that I haven't had to touch anything else. Just keep the oil changed and you'll be set like a arrow. Heat still blows hot and air is still ice cold.!!  If and when I do get rid of this car it'll be 2011 all wheel drive but this car has shown be no signs of even thinking about giving up. I have nothing bad to say about this car other than the front and rear bumper sometimes coming apart on the sides. I would recommend this car to anyone young or old.! It's meant for everyone. One of the best cars Ford has made thus far that I've seen",,
5,A good bang for your buck,cheyanne fincke ,06/23/2016,5,4,4,,,5,3,5,4,,,"Owned this car for 7 years, NEVER a problem. New set of tires, brake pads, oil changes every 3 thousand miles, thats all !!!!",,
5,"Smooth ride, great value, and safe (Update 05/16)",Clark Shin ,02/02/2016,5,4,4,,,3,5,5,5,,,"Updated 5/3/16:The sunroof started leaking with very small drips of water droplets through the front dome light area during heavy rain. Apparently, this has been an issue. Fortunately, the extended warranty covered the repair where the dealer replaced the sunroof glass. Without the warranty, I'm told the repair would have cost me $1,400. Anyway, no more leak after the fix so far. I'm taking a star off for reliability due to the sun-roof leaking. Still really enjoy driving the car though.Original Review:I was looking for a AWD sedan and found the 2009 Ford Fusion AWD V6 SEL to be the perfect fit for what I looking for to drive in the Northeast. I bought it 5 year old used car. The ride is smooth and the V6 provides very good power. The car is on the heavier side, but it feels sturdy and safe. The gear transitions are smooth and handles very well. For a non-luxury car, the quietness at highway speeds is completely acceptable. Navigation is very good and I like that it can be upgraded via a disk and not remotely. The seats are comfortable and the 2-level heated seats are great in cold seasons. I like the center compartment in the dashboard console where I can put a small tissue box and other small items. The sound system is great and bluetooth works very well. The value of the car is great. It does not look it and certainly it is nowhere near bonafide luxury, but with the SEL trim and the sporty handling with V6, this car has much to offer in comfort, safety, ride, quietness, and along with options such as navigation, rear parking sensor, heated seats and leather seating.There are some trouble spots, however. One major trouble spot is its ABS pump, which completely failed one day when driving over a pothole. I bought Ford PremiumCare when I bought the car and it paid off when the ABS failed, which I found out, is covered. I had to wait over a month for the local Ford dealership to get the part, because apparently Ford decided to provide a different ABS pump than the original one. My guess is that the original ABS pump was not very good, so Ford decided to assign a new one. Apparently, the brake is a common trouble spot with this year-model. Also, there is a cosmetic issue on the passenger side dashboard around the passenger side air bag. The outside material is popping out and you can see the yellow foam underneath it. I asked a Ford dealer and they said that it is merely a cosmetic issue caused by heat distorting the material, but it would not affect the air bag function. Visually, it is an eye sore. This is the only interior quality issue I've noticed, which is a significant one in my view.Now onto some things I don't like about the car. The trunk does not lift very easily. When you open the trunk, it only unlocks and it is quite heavy to lift it. The car doesn't tell you when the window washer fluid is low, so you have to guess when the fluid level is low. The navigation location is low, so when you glance at it, your vision is almost taken completely off of the road. I don't mind the manual reclining lever. I do wish the passenger side seat controls were also automatic and not completely manual.Other than these issues, I really like the car. It feels solid, drives very well, and safe. I prefer the old school 2006-2009 design that is less flashy and aggressive looking than the newer Fusions.",,
5,was skeptical  wow it made me a Ford man,oleander ,09/06/2015,5,4,5,,,5,5,5,4,,,"Best car I've owned in a long time. Last great car that I owned that just was a great driving car kwas a Mazda 323 in 89 . Friend of mine who manages a dealership helped me get out of a bad BMW 325i horrible problems with that car was probably a previous owner didn't take care of it anyway he said take the fusion it will treat you right  wow....... it Handel's great is super easy to keep interior looking good and clean.  I've put 100,000 on it only replaced a water pump and it Handel's better than a few others of driven my son in law has a Honda civic and it was cheaper than his and compared to the way it drives mine is a luxury car",,
4.25,Best car i've ever owned hands down!,captain_fluffy ,10/16/2014,,,4,5,5,5,,3,4,4,4,"I bought my 09 SE Fusion w/Sport Appearance package (18"" low profile tire/wheels) with 23k miles on it. It was a lease out of Michigan and driven by some woman I can tell.

It now has close to 70k on it, and it hasn't ever skipped a beat! I did get it stuck in the snow twice, so having FWD with no traction control can be a PITA, but other than that, the car is wonderful to drive. Handles corners beautifully, takes bumps just fine (even with the low profile tires). I'm personally 6'1"" and I fit into it like a glove. ","The dependability, gas mileage, and ride.","The sport seats with the suede inserts can be a little bit of a pain to keep clean from time to time, but overall very nice seats. The sound system suits me just fine, but i'm sure for some of the pop music loving crowd, the bass won't be enough to keep up. The 2.3L is a GREAT engine, but it can be a bit of a dog, especially if you're converting from a faster car. It does pretty good to get out of it's own way, but it is in no way shape or form a fast car. The gas mileage is great for a fairly large mid-size car though."
2.625,"Help, I have fallen and can't get up.......",nissandave ,01/14/2014,,,4,4,1,1,,2,4,2,3,"09 Ford Fusion SE 2.4, AutoBought new 9/13/08Owned for 95k miles:Water pump out (30k miles)Starter2 batteriesDrive beltPower steering pump/fluidOil leak/valve coverAC compressor issuesTransmission fluid burns up transmission after 85k miles (manual calls for fluid change @ 150k miles)Transmission solenoid CD deck not ejecting discsTrouble code renders car un-driveable after battery change (similar known issue with 2010 models which Ford refuses recall on)2.3 lacks power2.3 gets horrid MPG, much less than EPA estimatesVery little rear view visibilityNo transmission mode indicator on dashboardConstant ""hissing"" noise (vacuum leak) nobody could find","Excellent design, roomy interior, good interior build quality, and excellent ergonomics in interior","Never resurrect the Pinto engine again!
Use quality tranny fluid or change maintenance interval for fluid change to 50k miles.
Lower rear deck to promote better and needed rear view visibility.

Ford already buys transmissions from Nissan.
Perhaps Ford should start buying motors from Nissan.
A Nissan motor would have been a huge improvement to this car, as well as a Nissan transmission.

Use only regular metal jacket oil filters, not the cartridge type filters.

Improve the bottom underside panel that is not DIY friendly.
The spaces for the access doors to the old filter and oil drain plug warp too easily over time and the access doors will not fit properly."
3.125,"Enjoy the car, but...",jmrichards ,04/30/2013,,,3,5,1,2,,4,4,3,3,"While the exterior aesthetics of the car are great, and I get lots of compliments on my car, I do have some concerns with the quality of the products they used in this car.The door handles are cheap and are a fake chrome-tape that peels.I already have had to have 3 of the 4 replaced and the car isn't even 5 years old yet!The windshield spray nozzel leaks and has destroyed the clear-coat on the hood.Despite the age of the car and warranty, Ford has refused to fix them.I have written to them multiple times and always get a B.S. answer.They do not stand behind their product.Having owned Fords before & for the money, I expected better.Very disappointed & I won't buy a Ford again.","Exterior look.
Runs smooth.","Don't put cheap parts on the car that break and then refuse to fix them.
"
4.875,Still Excellent,mtnman1 ,09/24/2011,,,5,5,5,5,,5,5,5,4,"I posted an initial review on this car back in 11/08. I now have driven it 34,000 miles and still love it. Very reliable. No problems whatsover and zero rattles after 3 years. Seats are about the most comfortable that I have ever sat in. Handles great. I have been running as high as 29 mpg on the Highway, but city can be a bit low at 17 mpg at times. Just an all around great car and I would buy it again.","Leather Seats. Audiophile Stereo. Sirius Satellite (Renewed 3 times since initial 6 months), Sunroof, Sync, and Looks.","Could have a bit more sound dampening from some road noise. It is only bad over concrete highways without blacktop.
Just about all roads have a layer of blacktop which this car glides across. "
5,Excellent Car!!,reblehn ,12/14/2010,,,5,5,5,5,,5,5,5,5,"I've had my car for a month now, by far this is my favorite car I have ever had!I am really REALLY glad that I gave Ford a chance and went to their dealership.Everything went very smoothly in purchasing my car, if you live in MN in the metro area, please go to Coon Rapids North Country Ford, they are AWESOME! :-)My whole family fits in this car comfortably (two teenage sons over 16 and one 11 yr old girl).I absolutely love the Sync system, my kids are always asking me to call someone.Everything inside and out is very stylish!I recommend to everyone!","My favorite features is the cars color and style on the outside and inside I love the Sync system.
Very comfortable seats!
Warms up very quickly in the winter (a must this year!)",None!
4.75,NO problems,Arhsdjs ,11/21/2010,,,5,5,5,5,,5,4,4,5,"I bought my car at a dealership and the only times I've had to bring it into the shop was for oil changes which my dealership does for FREE, for LIFE. There are no complaints at all. I'm only 20 so I had to look at reviews before making a purchase for a car and this car was by far the best option for the price. RELIABILITY! Waking up and being able to start your car everyday without any problems is so nice because my previous cars, a Mazda and a BMW have both been pains when you would start them in the cold and have to wait for the car to warm up to run efficiently! FORD did an amazing job with this car and that's why they sell amazingly well!",I love SYNC. Gotta tell you when you have a friend in the car and you hear the woman's voice come on people look at you with their jaws wide open. Best feature in the world!,I got the 4cyl so the only improvements I would give this car are put into the SEL model which is obviously more bang for the buck. With any model of car when you have an additional sum of money to invest in the car you'll get better feature. 
