rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Fun Little Car,Stangdriver09 ,12/08/2016,4,4,3,,,4,4,4,4,,,"I bought my mustang used with around 40,000 miles on it and drove it to over 130,000 miles. This little car is fun to drive and overall I haven't had many problems with it. The only time I was stranded by this car was when the thermostat housing burst on it after driving the car a little hard. This housing is made of plastic which was why it broke, allowing the coolant to go everywhere. I had a coworker help me replace the part with one from NAPA and I haven't been stranded since. I really like the gauges with this car and the aluminium dash. The fabric used to cover the doors started to come unglued and on the driver's side it started to peel back some. Overall, I enjoyed driving this mustang and I would be willing to get another. I used this car as a daily driver so I think it served me well in that aspect. If you have to drive this car in the winter, I suggest placing sand bags in the back and use good tires. I never placed this car in a ditch, so with careful driving it is possible to use this car in the winter.",,
5,GT 2009,Andrew Savinski ,09/26/2016,5,4,4,,,5,4,5,4,,,Fun to drive,,
5,Sense of Humor,Jennifer N ,08/12/2016,5,5,5,,,5,5,5,5,,,"I love my car it has nice power to weight control, paired with a 5 spd manual transmission and short throw shifter. The clutch is not overly heavy. Comfort of the vehicle is fine with good safety features.",,
3,A GREAT TWO YEAR CAR,MIKE ,06/25/2016,4,2,3,,,3,4,5,2,,,"It was great when NEW.  However, over time, you will be in the repair shop a lot.  I've done major repairs on the suspension, two clutches, motor mounts, interior panels, wiring, etc.  The engine is great.  Everything around it lacks quality and durability.  Having TWO separate fuse boxes that overlap in function is beyond frustrating.",,
2.75,Would have been better off with a real horse.. ,themanindbox ,09/16/2012,,,1,5,1,2,,5,5,1,2,"I purchased a brand new 427R Roush. It was a Beautiful looking car, and a rocket.. But looks fade faster then fords relaibility does. This was my first New american car.. after owning a variety of Honda, Toyota, and Subaru based cars, i figured i would do the American thing and buy an american car.. Well the fact is, it is a Mexican and Canadian car.. Where as my toyota's are more american. At 56K out the door it was a huge disappointment. ","0-60 in neck snapping rocket speed. 
With simple bolt on's and slicks it ran a low 11.24

","where to start!!!??? 
1. The power steering pump died at 8K miles
2. It was burning oil at 12K miles
3. Two sets of power window motors before 18K miles
4. Exhaust leaks at the manifold gaskets
5. clutch peddle broke the welds and fell off.. 
6. Rattles and squeeks
7. Headlight benzles melted off, and the dealership refused to fix them under warranty, until my lawyer called. 
8. 10mpg on a good day.. 
9. Rear end seal started leaking at 22k miles.. 

Luckily sold it at 33K miles for 25K dollars.. yeah lost 31K dollars in value over 2 years.. worst POS ever.. Run if you have a choice! "
4.875,My Baby,bjorlino1 ,04/24/2011,,,4,5,5,5,,5,5,5,5,"I absolutely love my 2009 V6 Mustang coupe. The car is a head turner out on the open road. The ""fastback"" inspired exterior styling looks amazing. The interior is extremely comfortable and I love my leather seats. The ambient lighting in the cabin is a neat added touch. The car has great acceleration with 210 HP and 240 ft lbs of torque. This car is so much fun to drive. The only drawback is that the instrument panel is difficult to read at times.",,
4.75,Great Car,bjorlino1 ,04/24/2011,,,4,5,5,5,,4,5,5,5,I absolutely love my 2009 v6 Mustang. The car is a head turner out on the road and it is so much fun to drive. The car has amazing acceleration with 210 HP and 240 ft lbs of torgue. The interior is great with the leather seats and ambient lighting. The sound system with the Shaker 500 is awesome. The only drawback is that the instrument panel is tough to read at times. Overall it is a great car to buy!,"I absolutely love the interior ambient lighting and the ""fastback"" style exterior.",The instrument panel could be changed to allow for easier reading of the instrument panel.
3,"2009 Bullit - 12,000 miles later",uwe1 ,01/12/2011,,,2,3,1,4,,3,4,4,3,"While I initially loved the car, and had written a rather positive review at the time, I believe 12,000 miles later my opinion has changed. While the power of the car is still outstanding, and the pricing almost unbeatable, I see issues with the build quality (rattling noises everywhere, parts inside falling off with no apparent reason), as well as the handling (doesn't like sharp turns e.g. @ a traffic light - even when the road is dry! Rain, snow - let's not go there).Seat belt is strangling me (I'm 5.11). Passenger seat can NOT be adjusted for height, so my petite wife doesn't like to drive with me as she almost can't see outside.","Power, price tag","Needs better build quality BADLY, replace the solid rear axle with something that belongs in the 21st century for crying out loud. What's the deal with the driver seat belt?! Passenger seat should accommodate people who are below average height."
4.75,Monster,Marsh ,11/14/2010,,,5,5,4,5,,5,5,4,5,"I purchased this car summer 2009 so far it has only 4500 miles.  The handling and performance has been exceptional and very exciting, puts you in the driving mood.  I must admit I will have to change the suspension and try limiting the hood vibration somewhat.  Overall with a few touches here and there, some deep dish Rim, this car should be great.",I really like the dash board settings,"Upgrade suspension, hood vibrate at high speed, "
4.875,Love My Mustang,Dennis ,06/18/2010,,,5,5,5,5,,5,5,4,5,Just bought the car in March of this year and it was a NEW 2009 left over vehicle and got a great deal.  I was so impressed with the overall car and how fun it is to drive and it is a real road machine!  It handles great and is just a kick to be in. The seats are super comfortable and I rate this car a 10.,Agile handling and the throaty rumble of the dual exhausts.  ,I honestly can't think of anything I could improve on my car.
