rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Love the Accord,Sharon Deis ,11/19/2016,5,4,5,,,5,5,5,4,,,"Be prepared to have a car that works every time you get in to it.  The back seat is just as comfortable as the front seats.  Very low maintenance costs.  This car will last 20 years if you want to drive it that long!  The look of the car is timeless, many cars built today look similar.",,
5,Second owner at 80K,Me ,07/22/2016,5,3,5,,,5,5,4,4,,,"I've had this car for a couple years now, and it is at 166K (mostly highly) now.  This car has treated me greatly, and I would definitely recommend one for anyone looking for a used model.  It's a heavy car, but very stable, earlier models of the previous generation felt alot more nibble.  If you use a good set of tires, it will make all the difference in the snow.  It has its quirks here and there, but overall you seldom have to be under the hood to repair it past basic maintenance.  When it comes to parts and repair, these cars are expensive when going through your Honda dealer, but they are so reliable it makes up for the cost.",,
5,Runs and feels brand new!,Pete ,05/08/2016,5,5,5,,,5,5,5,4,,,,,
5,Nice 09 Accord LX-P,rjb ,04/28/2016,5,4,4,,,4,4,4,5,,,"I tend to buy cars and run them for many years and for 200k + miles.  I did a lot of research and was concerned about the 4cyl using oil as that complaint was reported by some 08-09 owners but in 3k miles I haven't used a drop.  Seats are comfortable and handling is good.  It's just a 4 cyl so don't expect great performance.  It's geared right so even going up hills it rarely downshifts. Honda tends to build good cars and this is no exception, even though it's already 7 yrs old, everything is tight, no rattles.  I drive 25 mi to work every day and get about 30 mpg.  Only thing I don't like is there's no outside temp. display, seems odd that was left out.  When going shopping, which is a 45 min drive, the whole family wants to take the Accord because it's the most comfortable car we have, compared to the 08 Highlander...",,
5,second hand car,florin moldovan ,04/10/2016,,,4,,,4,4,4,4,,,"reliable, economic, fun.",,
4,Love This Car,Mason Miller ,03/31/2016,4,4,4,,,5,5,4,3,,,"This is an excellent vehicle.  I bought mine used with 67,000 miles on it in 2013 and always had people asking me what year it was.  I only did oil changes and the car always performed as asked.  Good get up and go for a four cylinder and decent gas mileage.  If you can get a good deal on one I would not hesitate!!",,
5,"Honda Accord only replace battery at 80,000!",Laura Prendergast ,03/27/2016,5,5,5,,,5,5,5,4,,,Now that is a great deal!!!,,
5,Good auto,G Kellermeyer ,02/11/2016,4,3,5,,,5,5,5,3,,,,,
2,Accord aint what it once was,Brad Till ,02/01/2016,3,2,3,,,3,3,4,3,,,"This is the 2nd Accord I've owned. The first was bought new in 1993. Drove it for 15 years and never missed a beat. Fantastic car. But the 2009 has been a huge disappointment. Here's a laundry list of it's shortcomings:Rear brakes have been replaced twice. (97000 miles on car) 1st time under warranty (partially) 2nd time on me. rotors pads and calipers.Rear deck rattles along with various rattles from the dash.Carpet on passenger side won't stay put.Keyfobs (yes both) are inoperable.At 90,000 it began burning oil. Now burns a quart of oil every 1500-1700 miles, but Honda says that's normal (BS).Road noise is rather high.Fan for the heater/AC is squeaky on low. So it's high or tear your hair out with aggravation.Drivers seat is good for about an hour of driving before back ache sets in.I kept the car cause it was paid for, but the oil burning is the final straw for me. Getting rid of it soon. Won't ever get another Honda.",,
4,Great Dad car - teens won't like it but it's safe,b sommer ,01/25/2016,3,4,4,,,3,4,4,3,,,"For this model, Honda reduced the size of the rear brake calipers. As a result, you'll need new rear disc brake pads every 30,000 miles. I still have 70% of the original pads left on the front pads. This issue was subject of a class action suit. After litigating, Honda did not address the problem. You'll be buying lots of rear brake pads with this car. Additionally, the rear brakes don't release the brake dust. It just accumulates on the pads and makes for a nasty grumbling sound when you hit the brakes most days. It's annoying and it contributes to uneven rotor wear. This means more trips to the brake shop. The seats in this car are pretty basic. Fabric covered foam seats that aren't the best for long drives. Okay for short trips - bad for a long road trip. Fuel economy, for such a large car, is pretty good. High 20s for most driving - higher on the highways lower in the city. Winter formulated fuel (here in Chicago) will lower MPG by 3-4 MPG. It's spacious. I've hauled a ton of things in it. visibility is really goodMy kids won't drive it - it's too much a dad-car. But they did use it to move into college!",,
5,My First Honda Has Been A Winner,Joy Babb ,01/08/2016,4,5,5,,,5,5,5,5,,,"Manufacturer advises against a trailer hitch including one that would hold a bike away from your car because it sits low to ground and bumper cover is closer to ground than other years. Dealer told me after purchase, you should always use a flat bed truck for this year model if ever has to be towed; otherwise, fiberglass of bump can get damaged. The exterior noise level that can be heard in the car is terrible, especially at high speed. I noticed in the test drive, even with with high frequency hearing loss but did not dismiss the car because of its safety report and history of low repairs over 5 years on this model on the Edmunds' website (Sorry, I haven't been able to relocate that very useful tool). As an original owner in July 2009 to January 7, 2016, there has been one repair that would have been close to a grand but I had bought the best extended warranty my dealer recommended. Interior is great! Two men have sat in my car at the same time who were ~ 6 feet. Trunk is a dream - holds 4 wheeled carry on bags. It has no navigation but I do not miss it. I love this car as much as I did my three rear wheeled drive Mercury Cougars ( gave up on this one when they went front wheel drive) but now get better miles/gallon. No plans to sell. I tend to hold on to cars 10-16 years. For mostly city driving the noise is not noticeable but on trips of more than an hour of highway, it is miserable because you cannot hear the radio without turning it up loud.",,
4,"Dependable, Comfortable, Quick & Nimble!",Honest John ,11/30/2015,4,4,4,,,5,3,4,4,,,"This car is pretty much perfect. It gets over 30MPG Hwy and makes 271HP. As an Audi S4 owner, I'm rather hard to impress with performance or style, but this tight little V6 did the job! It's a bit noisy on the road, a trade-off for the lower profile tires, but given the handling improvement they provide, they are well worth it. The one caveat would be the brake rotors. The stock ones warped the first week we owned the car. Jon Jones Chevrolet was quick to turn them at no charge, but now, about a year later, they are slightly warped again. I feel as if the car should have beefier brakes, given its performance. I would like to address the guy who wrote about Honda cars being ""pieces of junk"" while extolling the virtues of the Mercedes Benz line. Just read the Consumer Reports reviews on Honda's and Benz's and you will see that dependability-wise, the BENZ is surely the ""piece of junk."" The fact that you pay three times too much for the heavy, ugly German vehicles makes them a true fool's purchase. Most Mercedes owners realize this about the time the warranty runs out and they encounter their first REPAIR BILL!",,
2,Eats OIL,robell ,11/28/2015,1,3,1,,,1,3,3,3,,,"Beware after 50.000 miles this car started using oil . Last oil change went 750 miles and used 3 quarts of oil . They did extend warranty because of this problem but good luck getting them to honor it.  Just search oil usage Honda.  They say one quart   for a thousand miles is normal.  Also say to let sit 15 min before checking . If there isn't oil on stick when you pull it out it  isn't good .  The oil pan is the reservoir for the engine if it isn't there the engine isn't getting it.  I would really think twice about this car before buying . I was a GM Pontiac mechanic so I do know engines and cars.  Update :They did rebuild pistons and rings , So far so good 6,000 miles and no oil usage !",,
5,A superb quality car,Scott ,11/01/2015,5,4,5,,,5,4,4,5,,,"My wife absolutely loves her Accord.  It's our first Honda car (although we've owned Honda powersports equipment) and we couldn't be more pleased.    Purchased at 35,000 miles on the clock and 41,000 miles later, all we've done are oil changes, a new battery, new tires and brakes.    The only issue that we were somewhat disappointed in was having to replace the rear brakes at 50,000...and it just wasn't the pads.  We had to replace calipers, rotors AND pads.  But, some of that could be attributed to the cold, snowy climate that we live in (Northern NY).   Other than that, the car has been a joy to own.   Surprisingly decent power is supplied by the 2.4L 190 HP 4 cylinder engine and the 5-speed manual transmission.  The 5-speed shifts smoothly and is a blast to run through the gears.  Inside, the car is very comfortable and the 8-way power seats are wonderful.   It's very good in snow IF you run snow tires on it, especially with the 5-speed and front wheel drive.    Great sound system with the multi-CD changer & 6 speaker setup.  Air conditioning works great as well---you have to wear a jacket if you have it on.  The Accord is a very high-quality vehicle, and we would recommend it to anyone.   My wife will be back for another one...if I can ever get her to part with this one.",,
1,2009 OIL DRINKER W/LOUD NOISE,Tammy ,10/18/2015,1,1,1,,,1,1,1,1,,,"My elderly parents bought this car without asking their daughters opinions. We would NEVER have suggested such a purchase with this piece of crap. They traded, well got robbed, of their Cadillac CTS and paid cash for Honda and it's been nothing but a money pit and a pin in their and my whole family's life. We were wanting something they could keep for rest of their life but holy geez that won't happen. I bought a Mercedes and it's simply the best vehicle I've ever owned and will ever own. I'm hoping to get this heep fixed and passed on to a mechanic that can constantly work on and put oil in it weekly!!  I don't know where the oil is going but I know this is the biggest piece of CRAP EVER MADE. HONDA NEEDS TO DO SOMETHING FOR THE PEOPLE THAT OWNS ONE. Seriously a horse and carriage would be more comfortable and less of a pain [non-permissible content removed] and cheaper to run than this heep. They hate their self more everyday it seems and they shouldn't be worried about anything at their ages. They are in their 80's and just need a safe reliable car. That's it. DONT BUY A HONDA EVER!!  Please listen to all these posts. We all CANT BE wrong.",,
2,Reliable? No,Martha Lamb ,07/19/2015,2,5,2,,,1,4,4,4,,,"I bought my 09 Honda Accord sedan because I wanted reliability, and I was willing to pay more up front to avoid the repairs that one expects from less reliable American made cars. When I bought my dealer certified Accord, it had 65000 miles and now it has 165000. During the time I've owned it I have had to replace the rear brakes, the drivers side window control, the entire air conditioning system, and now, the rack and pinion steering. I am bitterly disappointed with this cat and will NOT purchase another Honda.",,
2.5,"Our 4th and last Accord Coupe, and our last Honda",bass56 ,06/15/2015,,,3,4,1,1,,3,3,2,3,"We have owned 4 Accord Coupe's starting in 1999. All purchased new and each new model has been progressively worse, in quiet , comfort and reliability.  I am fastidious about car maintenance and the detail of maintenance of this Accord has been excellent. The car is noisey and has rattles . The braking system has been nothing short of unreliable. All brakes and rotors have been replaced 2x and now it appears as if we must replace a brake caliper... it is locking up on us after short trips. We have also replaced wheel bearings and have had an on going oil problem. This oil problem is related to the same issues that prompted the class action suit. ",Looks and acceleration.,"One does not purcahse a Honda and expect the aforementioned issues. We have owned 7 Honda's in our family and can state unequivically that this trend will end with our next purchase. It is only because of an excellent mechanic that we endure this car. He discovered the oil issue long before the action suit. After changing the oil ( when the change oil indicator came on, as most Honda customers do) he changed the oil , checked the dipstick and stated, this new oil already has carbon in it. We now change the oil every 3k and check the level between changes. Not the Honda recomended 5-7.5 k.  This car must have been built on a Monday with all Chinese supplied parts and engineering. 
"
4.75,2009 Accord EX-L 5M,jodar96 ,04/10/2015,,,5,4,5,5,,5,4,5,5,"I have had this car since Oct 2011 and 37K miles. It just turned 60K. It has been a great car with no issues. I do mostly highway driving with 35mpg as my best. Driving position is excellent. The seat comfort is not the best although the leather has less lower back seat bulge than cloth seat. Road/tire noise is excessive. For now, I blame it on original Michelin tires until I replace them in the next few months. I also bought a 2009 Mercedes E350 RWD with Sport/AMG package last summer. Driving these two cars back to back, Accord feels thin with high road noise. The E350 feels solid, smooth, and quiet. If I am pressed to keep one,I will keep the Accord for its simplicity and reliability.","Driving Position. Feel of its leather steering wheel, Low cost and ease of maintenance. Excellent heater/AC. great sound system. build quality. Excellent gas mileage. Resale and reliability.","Uncomfortable lower seat back that pushes against the lower back. Road noise. Power steering pump whine that cost $500 to fix. 
Outside temp display should be a constant display instead of pushing the trip odometer multiple times to see it. "
