rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Runs Great - Poor Interior Design,Fitzee ,11/01/2016,5,3,2,,,5,4,5,2,,,"I get that this car was designed before social media. While I love the car itself (holds its value, runs great, good in the snow) the interior design SUCKS.  There is NO place to put your phone. Unless you want it in the giant covered pocket in the console where, because it has no ""not an ashtray"" (like my Pilot did), I have to keep my spare change. The USB port is buried way down the bottom of the dashboard, not easy to get it & you need a long cord running to your phone to keep it charged. The AUX port is buried in the ""box"" between the seats. Since I play my ipod alot (& this car has no built in Bluetooth) I have a cord coming out of there for my music as well. People always ask me how I like my car. I always say ""nice car, sucky interior design"". I'm now looking at a newer CRV, the design inside seems better. Course in my opinion, it couldn't be much worse than this one.",,
5,Dependable,Saba Khalid ,09/23/2016,5,4,5,,,5,5,5,4,,,"I bought it certified pre owned and have been enjoying the ride. Keep up with routine care and it will go much longer.The sun visors are a bit small when sun is low,should have an extender, esp for shorter drivers.",,
3,Would not buy another Honda,John Bright ,07/04/2016,3,3,3,,,2,5,4,3,,,I have had 2 issues with my vehicle that was not resolved to my satisfication after contacting the Corporate Office. I believe they are known issues and Honda does not care. My next purchase wil be a different Manufacturer.,,
4,"Reliable, comfortable - might buy another one",M Hurst ,03/01/2016,4,3,5,,,4,3,3,3,,,"I've owned many Hondas, this is my first CR-V.   It had been a leased vehicle, so when I purchased it, in 2011, it had 16,000 miles on it.  As of today (9/8/2016) - it has 98,000 miles on the odometer and it runs as smoothly.  I've had it serviced regularly at a Honda dealer, so any parts which have been replaced (very few) are Honda parts.Honestly, I don't know if I'd purchase another one.    I've recently been checking out newer SUVs in the same size, and although I've discovered the CR-V still has the largest cargo area (taller than most) - Honda could improve the backseat/cargo area by allowing the backseats to fold completely flat.   There are several other SUVs which have this.     I do love my fully adjustable driver's seat, but I think it is only available on the EX-L version.  CONS   These include:  some road noise, back seats which don't  fold completely flat, and it should get better gas mileage for a 4-cylinder engine.   My vehicle needed both airbags replaced due to the recall.   My local dealer kept giving me the run around.    I finally called Honda direct and discovered that because both of mine needed replacing, I was entitled to a loaner until mine were replaced.    Low and behold, the dealer came through with a brand new 2016 for me to drive and replaced mine within a week.    As for the brand new CRV.....it was comfortable, but the road noise still existed.   Not as bad as my 2009 model, but it was still there.   The dashboard controls were difficult to learn, but the backup camera was nice.    It irritated me that Honda has removed a CD player from the dash.   Perhaps one can be ordered...but I like to listen to Audio Books on long drives, and this would prevent that.   I'll be looking at another brand of SUV when I replace mine.",,
5,CRV,Liss ,02/24/2016,5,3,4,,,5,,5,4,,,"Good reliable car never a problem, will get a same new this year",,
5,Nice Small Honda CR-V EX-L AWD (love it so far),Ray ,02/05/2016,5,5,5,,,5,5,4,5,,,"Recently picked up an 09 Honda CR-V EX-L AWD with 88,800 miles on it (This is my first Honda). Go to say, overall I am fairly impressed by it. I did a thorough overall inspection in, out, around, under, etc... and that was before I got in it to test how it drives, shifts, sounds, etc...) For having that many miles on it I have to say it looks and drives like an auto that would have half the miles on it. I can't comment on reliability and costs yet as I just picked it up a week ago. So far though, it runs, drives and looks great. I got an excellent deal at $11K purchase price. Everything in and out functions as it should and I received it with new brakes all around and new tires. I have owned a few Chevy SUV's in the past and seriously those were ready for the junk yard by the time they hit 100k miles, not to mention that they were both money pits (I do maintain my autos faithfully and do most of the maintenance work myself so I know the job is getting done correctly). I do not beat on my autos, it can be hard to determine how a machine will hold up as everyone drives and maintains there autos differently. I will try and do my best to update my review as time goes by (this one will be tested in the New England environment).We like my Honda CR-V so much that we are in the process of trading in my wife's Kia Soul (purchased new, now has 78,000 miles on it) for another Honda CRV",,
4,Great SUV for a single man,calicorkication ,12/15/2015,4,4,4,,,4,4,5,4,,,"This car has been great for my needs.  Mainly, I use it for car camping.  I removed the back seat and use the extra room for moving furniture and large items.  When I bought the car, it had a tow hitch already installed.  I have used it to pull several U-haul trailers and a flatbed trailer borrowed from a friend to move sofas, love seats, etc and it has worked great for all purposes.  Also, I added a roof rack and a cargo box that has worked great for my needs.  The original tires that were on it when I bought it used lasted for 85,000 miles.I tend to get 24 mpg with a mix of city and highway use.  If I travel at 70 mph on the interstates and/or take back road highways at 55 mph, I tend to get the 27 mpg that Honda states the car can get.  Otherwise, if I drive 75 mph I tend to get 24-25 mpg.My main complaints are the drivers side power window is not always reliable but the others work fine up to this point.  Also, the moon roof has not opened in nearly 3 years.  I have tried to reset it following online instructions and I can hear a sound like a motor trying to move it but it goes nowhere so I stop to avoid breaking it further.",,
4,Honda continues to make great vehicles,M. Hurst ,12/14/2015,4,4,5,,,4,4,5,4,,,"I purchased my '09 CRV in January 2011.  It had been a leased car and only had 16,000 miles on it.   The other vehicles I was considering at that time were a 2011 Hyunda Tucson, a 2011 Toyota RAV4, a Toyota Venza, and a Chevy Traverse.   I've enjoyed driving this car.  It's very comfortable on long trips (it's been cross-country 4X), has plenty of power, and the cargo area is much larger in cubic feet than most other small SUVs.    I have dogs, which I take to weekend events, and the rear easily holds 2 crates, although I am concerned if I were rear-ended whether they would be safe.I have had it routinely serviced at a Honda dealer, replace the battery once, and all four tires.  A few months ago the TPMS light went on, and sure enough I had a damaged tire which had to be replaced.   The downside...it kept coming on at least once a week, which would cause me to panic and immediately look for a service center.    After a few weeks of this, I took it to my Honda dealer.  They told me all 4 tire sensors were shot and needed to be replaced.   Total parts & labor:  $500Only complaints (which Honda has not improved/changed) are:  road noise, should get better mileage for a small 4 cylinder engine, no vents to deliver air to back seat or rear compartment, and the backseat does not fold completely flat.   I had planned on trading it in on a new SUV this past winter, only to be told by several dealers that they would only give me wholesale price for it.   The reason?    It is one of the millions of vehicles which has a defective airbag.  Honda sent me the recall notice several months ago, and I immediately called to be put on the list.   As of today, they tell me they are getting very few air bags in and it may be a very long wait.   I'd like to get a newer vehicle, but not willing to take approx. $5k for my car.Would I purchase another Honda CRV - yes!",,
4.125,Fuel pump fails @60K,rss9 ,03/17/2014,,,5,5,3,3,,4,5,4,4,I am the first owner of this car. The tires were replaced in 18K. The fuel pump fails at 62K. I am not sure HONDA is maintaining quality. Dealer is trying to sell extended warranty informing me lot things can go wrong. ,Interior design,Need to improve quality.
2.5,HONDA FAIL,fathom73 ,05/15/2013,,,3,3,1,1,,4,4,1,3,"2009 CRV EX.Out of warranty with less than 100K miles.Front bumper paint on the plastic parts has been peeling the last two years. HONDA FAIL.AC System Stopped working. $1500 fix... oh wait, it was recalled so the paid it, but still, Honda FAil!Rear Door Actuator for power locks went bad. $250.Honda Fail.Steering System (rack and Pinion) needs to be replaced. Over $1100 for just the parts. Labor is another bundle of $. Honda FAIL!Now my service writer told me these are COMMON!! So Common Honda actually went through with a Recall on the AC.. lucky me.NOT THE BRAND THEY ONCE WERE. HONDA FAIL. It seems like Honda is the old Hyundai and Visa Versa... Ugh",Zippy little suv.,"Stop using inferior parts and stand behind your vehicles if it's a ""Common"" issue."
