rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,7yr review,Byron Wilsom ,10/29/2016,4,3,3,,,5,4,3,3,,,"I have 57000 miles on the exl pilot.This SUV is the smoothest running vehicle I've ever owned.I use it as a work car mostly.It has 4wheel drive.I really wish we would get a lot of snow so I can see how well this works.The amount of snow in central Ohio is very limited.I bought the extended warranty at the dealer and wouldn't do it again.I replaced the battery and replaced the heating element in both front seats.I paid $1300 for extended warranty and have not broke even yet.I have heard these pilots can easily reach 200,000 miles.If you don't drive a lot of miles I wouldn't purchase it.The pilot has the 3 set of airbags on driver and passenger side.It will seat 8 and both seats in back will fold flat on the floor.I would buy this vehicle again.No remorse.",,
,,,,,,,,,,,,,,,,,
4,Great reliable vehicle but poor gas milege and acc,Mike jones ,07/09/2016,5,4,4,,,5,5,3,5,,,"I read some of the bad reviews but I guess I ended up with a good one. So far I have 108k miles and never had any problems. Just regular oil change and That's it. There was a recall on the front suspension making noise. Just gotta take it in to the dealer to get it fixed for free. Its roomy and it's a great family car, has enough space for all your stuff for long road trips. But, lol Yea there's always something. Its a great family vehicle but when u are driving by yourself and u wanna have some fun, nope. The acceleration is horrible esp if your trying to merge on to free way. Handeling is less than sub par. Bottom line: great family vehicle, but very boring car. Gas mileage could improve.",,
,,,,,,,,,,,,,,,,,
4,"""It's suppose to burn that much oil!""",Cheeky ,03/22/2016,3,,4,,,4,,4,5,,,"Well, I have had my pilot since 09. I have enjoyed it so far, with a few exceptions. Around 80,000 miles my engine started misfiring. And I got a check engine light that came on. I took it to autozone were they pulled a code. The code confirmed my thoughts, it was a missfire in two of my spark plugs. I decided to save a little money and replace them myself. Figured how much trouble could it be. I pulled the plugs and two of the plugs seem to have been worn excessively.I started to do some research online only to find out that a lawsuit against Honda about this problem. Apparently the piston rings would shift and allow oil to enter the piston chamber, causing pre mature wear on the plugs and excessive oil consumption. Honda knows of the problem and is supposed to fix it. I brought this to the attention of dealership I frequently visit. I was told because I replaced the plugs and code was cleared I just had to wait until it happens again.Since that incident both catalic converters have failed, why you ask well because they have been coated with oil. By the way that will be a $1400 job please. Also, my Honda pilot if it sits running while parked for over a minute , and then I press the accelerator it blows out a large amount of smoke. I have since brought that up to the dealership.  The mechanic told me I needed a new engine! Well, I brought up the leaking piston rings, the lawsuit etc. I was then told "" That now I need to do an oil consumption test"". Apparently burning three quarts of oil between oil changes is ""normal"" according to Gunn Honda. I haven't changed the catalic converters on my pilot yet because I figured it would be a waste of money if they are going to get covered with oil and go out again ;I may want to wait. By not changing them keeps my fuel management system from working properly. For those who need further explanation if you see the green ""ECO"" light on! You are running on three cylinders and not six, which is ""supposed"" to be increasing your gas mileage.So if you are thinking of buying a used one understand this might be what you are getting.I will say other than that problem I have really enjoyed the ride and  comfort of the pilot. If the new ones didn't look like the Honda Odyssey so much I might have upgraded.",,
,,,,,,,,,,,,,,,,,
2.75,2009 Honda Pilot Review,captainbull ,06/22/2015,,,1,2,2,4,,3,4,3,3,"We bought our 2009 Honda Pilot as new from a Honda dealership here are our assessments:

1. Cheap interior design.  Cheap plastic and adhesive.  The ""skin"" for the club compartment peels off easy.
2. Cheap glasses.  Just one little hit of a little rock the windshield just cracked.  It's so thin.
3. Noisy driving (windows not tight seal).
4. Cheap paint (scratch easy)
5. Incorrect gas mileage (they lied) we only get 18MPG on HW and 16MPG city.
6. Stupid trailer light system design.  They just want their dealers to make extra cash (so many steps to install it) and the kit cost over $200!)
7. Only one key entry from driver side.
8. Windshield wiper fluid pump failed to early.
","1. Roomy.
2. Engine is dependable.","My feedbacks are for our 2009 Honda Pilot, but they are the same for all later models.  Fix all the problems in the review above.  Next vehicle will be a Toyota that what's we should have stayed with."
,,,,,,,,,,,,,,,,,
4,No Honda Reliability,vq35de1 ,09/30/2014,5,3,5,,,4,5,3,5,,,"This car has a lot going for it, it's comfortable, has tons of interior storage, seats eight comfortably, etc....  BUT, we have had a lack of reliability including a transmission sensor and now the engine.  Look into the Honda VCM V6 problems.  The cylinder shut off system ends of fouling the plugs leading to a million warning lights and a trip to the dealer.  The ""fix"" is to replace your plugs or short block depending on how bad things got.  There doesn't seem to be a fix, just a band-aid.  Now I'm going to have to trade her in way before I planned because once the extended warranty is up I don't want to pay the maintenance.Update 9/30/2016. I kept the car and the problem has not come back.  I think this is only because the car is never in eco mode for long.  If you drive a lot of hwy miles you may have more problems.",,
,,,,,,,,,,,,,,,,,
4.625,Wonderful Vehicle,les_bennett ,02/15/2014,,,4,4,5,5,,5,5,4,5,"I never write reviews but after the outstanding performance of my Pilot this week, I felt compelled to. We had over 14"" of snows with drifts up do 19"". The pilot barreled right through. Up hills without any problems.The VTM kicked in as it should and functioned flawlessly. When all other were stuck at home, I powered through in my Pilot!","VTM(all Wheel Drive)
Size","Headlight are
hazing up.
Oil Usage (common on all Pilot even in manual)
"
,,,,,,,,,,,,,,,,,
4.375,Rants and Raves,honda_5 ,03/03/2013,,,5,5,4,4,,4,5,3,5,"Plenty of space, enough power to do what I need, looks great, nice features and functions.",,"Fuel mileage wasn't close enough to estimates, smell of something burning under acceleration when hauling a 5X10 light trailer, musty odor in the cabin when heat is on, had to buy trailer lighting kit even though the vehicle comes with a trailer hitch type bumper, washer fluid light has to be reset (silly), rear washer fluid sprayer not working (needs repaired already), burns oil or something, oil level gets lower than expected in between oil changes. I have always been a huge Honda fan, I feel let down after as much as I paid and the little things I'm dealing with. It was a certified Honda too so I really didn't expect this."
,,,,,,,,,,,,,,,,,
