rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,You will be happy with this truck.,deadeye ,07/30/2016,,4,5,,,5,,4,5,,,"OK, so the knock on the Ridgeline is that it is not really a pickup.  Well guess what.  It is to me.  It trucks, it carries, it hauls, it tows, it stores, well, for what I expected of this very smooth riding truck,  it met all.  The only reason I'm selling my 2009 Ridgeline is to purchase a 2017 Ridgeline.  Yes I have been happy and very pleased with this vehicle.",,
4,Better value for your dollar!,Rob Riegel ,10/25/2015,5,5,4,,,5,5,4,4,,,"I bought my 09 RT used from a very reputable dealer one year ago with 80 k miles. 20k miles later and no major issues. Every time I take it in for service my mechanic is amazed to see how clean it is inside where oil cap screws in. I use Mobil 1 full synthetic oil with proper oil filter. Engine runs strong and gets up to 23 mpg on the highway with a light load and not towing anything. I have not towed anything yet. Great handling on dirt roads and muddy roads and there was not a need to use 4wd feature. Acceleration and shifting is good. Climate control is good. Height and visibility is good. Stereo system sound is ok. Plenty of storage, which is really awesome. Interior fabric stains too easy from water. Love the sliding rear window. Love the extra storage in the cab and in truck bed, which beats the storage of a Toyota. There is ample passenger space. Love the way the rear seats fold up to load extra cargo. Transmission has a little clunk, but it's normal. It's from how I operate the accelerator pedal as trans picks up the slop. I can get about 380 miles per tank of gas. Full synthetic oil change every 5,000 miles and I service the fuel system with one can of sea foam at every oil change interval. Once a month I fill the gas tank with non ethanol gas. I'll be due for 4 wheel brake service soon and 4 new tires. I compared this truck to a certified Toyota Tacoma. Toyota has a nice reputation, but I got a better deal on this truck and it's got everything that I need at a fraction of the cost. Paint chips to easily, but that's where touch up paint comes in handy. Suspension, steering, brakes and any of the power options work great. No report on the 4wd yet, because I have not used it. Cruise control works great and the TPMS is accurate. I like the 5 ft bed. It's not to big and not to small. This is a very practical truck for the working man and I chose a 285.00 a month payment vs a 400.00 a month payment of the Toyota Tacoma certified(2 door single cab 4 cyl 2009). I'll expect 400k miles on this Honda motor. Once the motor is tired then I'll replace it, because this truck serves a better purpose for me than any other general truck. It's like a small military truck.lol. People keep trying to buy my truck and I tell them no.  The only thing that concerns me is the air bag recall. The part won't be available until later in the year.",,
5,"So Far So Good at 55,000 miles",209flyboy ,06/24/2014,5,4,4,,,5,5,4,4,,,"I bought my 2009 new and have no complaints. at 55,000 miles I have completed required services and no issues have arisen.I think this truck is perfect for a family of 5who needs a vehicle that will pull a boat or travel trailer under 5000 pounds, carry those itmes that don't require a large powerful and expensive truck. This truck rides like a car and is comfortable. If you have a small family, this truck will fill your needs and I strongly recommend you check it out.",,
3.25,"Good Specs, no creature comfort",ralcpa ,04/17/2013,,,4,3,3,4,,3,3,3,3,"I've owned this truck for approx. 4 years, 60k miles. Like the size, engine is decent (engine started to feel better at around 50k miles), tows fine (i'm towing just under the 5k lb. limit but not long distances). Here's my main beef..the wind noise is ungodly! Would buy again in an instant ifquieter inside. Honda, would it kill you to drop in $150 of sound insulation? Keep the fluids fresh as it affects gas mileage greatly (3-4 mpg). If this were quieter it's a 5 out of 5, but don't expect it to replace a full size truck, that's not a beef, just a reality. The Ridgeline was meant to fill a different niche which it does nicely, I just wish it did it with less interior noise.",,"Honda, put in some sound insulation!"
4.5,Great Truck,Hunter ,09/18/2010,,,4,4,5,5,,4,5,4,5,I just got back from hunting. Bed was full and towing a pop-up camper from Denver to Craig and back. Avg 18 mpg and that included the driving on 4wd roads to and from the hunting area. Did everything I wanted it to do. On the highway from Denver to Winter Park and back I get 21 mpg and it is so nice to drive.,"Tool box, storage under seats, dual controls for heat and air","Provide full size spare, low range, more ac power"
3.125,Overheating transmission,Don ,08/19/2010,,,4,4,2,2,,2,4,3,4,"Transmission warning light comes on, the transmission is overheating, the oil has a burnt smell.",,
3.75,It's ok,Larry ,08/13/2010,,,4,4,4,4,,4,4,2,4,The mileage is Terrible for a V6 and it is really not very powerful of an engine. The paint is chipping off of mine fairly easily.  Luckily I bought the paint plan.  I am towing a camper and am already looking to a V8.  I like the trunk and bed gate.  Stereo is TERRIBLE.  Does not even have IPOD jack.  Overall it is ok but not thrilled.  Every time I go for an oil change they find something to get the cost up to over $100.00  Our dealer outsources the paint dept. which I did not realize until after the purchase.,Trunk in the bed and tail gate swing open or folds down.  Also the trunk is supposed to also serve as a cooler with a plug in the bottom.,Telescoping steering wheel.  V8 engine.  Better stereo The wire harness for the hitch should come standard.  DUH..  You cant really tow without lights.  Floor mats do not come with it and are $400.00.  I know WHAT?
4.875,Awsome!,Stan ,08/10/2010,,,5,5,5,5,,5,4,5,5,"Currently have 8500 miles on it.  Just got back from 2000+ mile trip -- Amarillo to Walsenburg, CO to San Luis Lake SP to Navajo SP to Durango to Albuquerque, NM to home.  Towed 4400 lb (600 on hitch) travel trailer @ 55 mph (my choice -- was more comfortable driving 55 than faster -- I'm 67 yrs old!).  Went over 3 passes (Raton: 7800ft, La Veta: 9400 ft, & Wolf Creek, 10,868 ft) -- 12.5 mpg while towing. Up passes at 55 mph until speed dropped, then reset cruise @ 40mph & stepped on throttle until transmission dropped into 2nd gear; walked the passes @ 3800rpm @ 40 mph in 2nd on cruise with no problems at all. ",In bed trunk; dual heat zones; easy to drive; transmission will download to 3rd on downgrade to hold speed; D-3 button; trailer-ready; electric rear window; reliability; towing capacity; bed light locations; 12V outlets; 6 disk mp3 changer; sub-woofer. Dual-action tailgate.,Adjustable lumbar support for passenger
4.875,Superb!,Stan - Amarillo ,08/07/2010,,,5,5,5,5,,5,4,5,5,"Currently have 8500 miles on it.  Just got back from 2000+ mile trip -- Amarillo to Walsenburg, CO to San Luis Lake SP to Navajo SP to Durango to Albuquerque, NM to home.  Towed 4400 lb (600 on hitch) travel trailer @ 55 mph (my choice -- was more comfortable driving 55 than faster -- I'm 67 yrs old!).  Went over 3 passes (Raton: 7800 ft, La Veta: 9400 ft, & Wolf Creek, 10,868 ft) -- 12.5 mpg while towing. Up passes at 55 mph until speed dropped, then reset cruise @ 40 mph & stepped on throttle until transmission dropped into 2nd gear; walked the passes @ 3800rpm @ 40 mph in 2nd on cruise with no problems at all.  Absolutely fantastic truck. Has done everything I've asked of it & more.",In bed trunk; dual heat zones; easy to drive; transmission will download to 3rd on downgrade to hold speed; D-3 button; trailer-ready; electric rear window; reliability; towing capacity; bed light locations; 12 V outlets; 6 disk mp3 changer; sub-woofer.,Passenger adjustable lumbar support.
4.375,Love my Ridgeline,diesel ,07/30/2010,,,4,4,5,5,,4,5,3,5,We decided to trade in our old SUV and get a pickup.  The only Truck I was really interested in was a Ridgeline.  Good news is I have not been disappointed in the four months since our vehicle purchase.  The Ridgeline definitely turns heads.  It is a very stylish truck with nifty features.  Driving is a pleasure as there is almost a car like feel when driven.  Overall a big time winner!,Very roomy.  Fits five full size adults with ease.  The fold up second seats are great.  Love the in bed trunk!  Stereo system is fine.  Handles off- roading just fine.,The bed of the trunk needs to be more scratch resistant.  Gas milage could be a little better.  Finally why not a third seat in the front?  There is plently of room for it.
4.75,Why stop?,SPANKIE ,07/21/2010,,,5,5,5,5,,5,5,4,4,"Word is that Honda will no longer build the Ridgeline.  Too bad.  Yes, it is different, but who else has the in bed trunk?  I carry enough tools to fill it and I can keep a clean truck without loading and unloading daily.  The ride is great and it pulls my boat with ease.  I hope someone takes this concept and continues.  If you really need a truck, buy one.  BUT, if you just need a truck once in a while, the Ridgeline is great.  I'm on my 3d one, so I was sold by the versatility and pleasant drive.",in bed trunk,
4.375,2009 Honda Ridgeline,Larry ,06/19/2010,,,5,5,5,5,,4,5,2,4,Not real quick but will tow well and is build like a brick **** house.  A 17 year old plowed in the back end of my truck and you could barely tell. Her car had to be towed.  ,Trunk that doubles as a cooler. dual open tail gate. Windows open by using the key in the door lock. Back seats flip and lock in the upright position for more storage.,Needs way better fuel economy. Telescoping steering wheel. I pod connection standard. make the wiring harness and floor mats standard.  DUH. OH and needs a way better sound system.  Other than that I LOVE THIS TRUCK.
4.875,It's a Keeper,Patrick ,04/03/2010,,,5,5,5,5,,5,5,4,5,"Has all the things in need in a pickup, all I read is that they have no power etc. BS. I traded in a 02 Silverado 5.3 V-8 and can honestly no tell much difference at all.  But the gas mileage is much better.  Don't listen to Non-Owners they're full of it. Only listen or talk to owners for there input.  ",fits in my garage with room to spare,"Can't think of anything as of yet, i.e. owning it for 1 year."
5,Nissan Owner NO MORE,cmiller65 ,02/24/2010,,,5,5,5,5,,5,5,5,5,"I have always owned Nissan vehicles for performance and rugged reliability. My Ridgeline was a 2009 leftover so it was worth looking at for the price. Simply put, the most fundamental, practical, and comfortable vehicle ever made.","The trunk in the bed. 7pin towing standard. Navi, stereo, XM and driver comfort are outstanding.","A little more left leg driver room for your above average size man. Compete with Ford's Sync..Navi and blue tooth are nice, but I have nothing on sync."
4.625,Good Truck,moman ,02/21/2010,,,5,4,5,5,,5,5,3,5,"This truck is a replacement for my 2007 Tundra. Not as big however it is fun to drive and great in the snow.  MPG is 14 City and 18 Hgwy however I expect it to get better with more miles on it.  After 3 bumpers, three radios, new tires, drive belt, and battery on Tundra, it was worth giving up all the compliments on the Tundra's appearance to get a quality truck.",Fun to drive and great in the snow!,N/A
4.75,Dirt Bike Friendly,Fun Truck ,01/24/2010,,,5,5,5,5,,4,5,4,5,"Bought this truck to carry two Honda dirt bikes in the back and to tow a tent trailer all at the same time. I love this truck and it does everything I need a truck to do and more. Plus it is a Honda with outstanding quality, fantastic ride, and great gas mileage for a bigger truck. I test drove all the new trucks before buying and the Honda Ridgeline was by far the best truck for my lifestyle. I live in snow country and the AWD system works great. Honda's design for utility and storage is excellent. ","Gas mileage, overall comfort, utility, storage, exterior looks, and the quality of the ride. ",Trailer wiring and Mp3 player input on the RT version
4.5,my klunker trade,tiger ,01/07/2010,,,5,4,5,5,,4,5,3,5,"Have had many Honda / Acura's this is typical high quality, surprisingly large inside, 5 foot bed is all I need, in bed trunk is amazing, great feature, it replaced an old Silverado so not quite the towing capacity, but don't need that now. GREAT in SNOW, seamless transition to 4WD, great traction with stock tires, only my 2006 Acura RL has better traction on snow and ice. Could get better gas mileage, probably will increase with age is my Honda experience.","It's a truck that rides like a Car, in bed trunk",Gas mileage
4,Honda El Camino,Joe ,12/24/2009,,,5,4,5,5,,4,5,1,3,"I have had this Car/truck for about a year and a half, drove it of off the lot new.  Nicely executed interior, excellent stereo and nav.  Real size seats for a change in a Japanese vehicle.  All wheel drive is great when the going gets slippery.  The trunk rocks.  Terrible gas mileage.  I get 14 in the city maybe 16 on the highway.  Dealer says this is normal.  When I tow 2 atvs on a 12ft trailer, I have had as low as 8mpg on the highway.  This thing hates to tow.  If you are planning on regularly towing anything do not get this truck.  For the occasional run to the home store you're probably good.  ","Great multipurpose car.  Excellent interior, well bolted together. Comfortable.  Hey, its a HONDA!","Gas mileage is terrible!  Hates to tow.  I shudder to think what this thing would do with 5000lbs behind it, (its tow rating)."
4.75,A Great Vehicle,Tim ,12/14/2009,,,5,4,5,5,,5,5,4,5,"My wife has an 2007 RTS and complained that I was always taking her Ridgeline whenever I left the house. Told me to get my own, so I did. I couldn't be more pleased. Love driving the Ridgeline. Getting much better mileage than advertised. My first trip got 22.2 mpg and several tanks later, the worst I have gotten is 19.6 mpg. Love all the storage compartments.My Ridgeline handles like a car. I have driven all the trucks and this is by far my favorite.",The trunk.,XM Radio should be standard.
4.875,Best for our family,Richie ,12/05/2009,,,5,5,5,5,,5,5,4,5,"If you are interested in an excellent choice for a family utility truck, the Honda Ridgeline RTS would be your choice. I traded in a 2008 Civic because my commuting days were over. I am extremely impressed with the quality, ride virtually no road noise and excellent workmanship of this vehicle. Although I don't drive aggressively, gas mileage on the road for me has been seen at 22.8 mpg  using the cruise control on the Interstate. City has shown 17-18 mpg. Hauling utility and trailering is excellent with ample power. I really appreciate the under deck storage trunk and rear seat foldups to allow for ample carrying capacity. If your looking for the ultimate family vehicle, this is it. ","Spacious interior, seats are comfortable, quiet ride, good instrument placement, great storage, center console and adjustable arm rest, great radio and 6 CD player, dual cab climate control, trailer hitch, and auxiliary power outlets.","Drivers seat could go back a little further for us tall guys. Rear splash guards should be standard. Other than that, it's a winner."
4.75,2009 Honda RT Ridgeline,Ed ,11/23/2009,,,5,5,5,5,,5,4,4,5,"I bought a Ridgeline 3 weeks ago.  Have used it for hauling dirt bikes, firewood and took it deer hunting in the woods.  This thing does it all for the everyday man.  Not for the contractor worker.  Runs great, peppy, hugs the road - no lean. First out I did trip displays, got 18.2 - 20.3 mpg.  Not bad for 500 miles on it.  Compares to mpg on my Chevy silverado.  Roomy front and back seats and lots of storage.  Love the trunk idea.  Works great for locking the chain saw in and other valuables.  A good all-around multi-use vehicle for the everyday dad/man.  ","Runs great, Honda reliability. Drive and rides nice. A multi-use vehicle for the everyday man. ",RT model should come with 7-pin rv hook-up as standard like RTl and RTs.  I had dealer add this item in with the sale.
4.875,Good Choice,Richie ,11/11/2009,,,5,5,5,5,,5,5,4,5,"We were looking for a versatile vehicle, the Ridgeline RTS fits the bill perfectly. We didn't need a work horse like a Ford 150 or GMC mule. I don't need to run off road over rocks and through rivers. The Ridgeline is very comfortable, quiet and the styling does turn heads. Getting 17 in the city and have seen 22.8 on the highway. Use cruise control for best mileage. I enjoy having a good handling vehicle for hauling those lighter loads and towing my 20' boat If you are a not in need of a big truck and want reasonable utility, this is your vehicle. Take it from me, you won't be sorry. ","Ride comfort and excellent handling, tightness and storage, space galore. Big trunk under the rear deck is a major plus, climate control, 5 speed automatic, 4 wheel drive and stability.","Improve gas mileage if possible, drivers seat could go back a little more."
4.875,Second time's a charm!,Bmore Fuzz ,10/04/2009,,,5,5,5,5,,5,5,4,5,"Traded my 2006 Ridgeline RT for the 2009 RTL. This truck was so practical and reliable in the past 3.5 years I decided to do it all over again...this time with the leather, Navigation, XM radio and sunroof.  The 2006 I traded in with 60K miles drove as good as the day I drove it home new. The 2009 feels a bit tighter and quieter but considering the 2006 was its 1st year production, Honda just kept improving it and it shows!",Full size trunk in bed and bulletproof reliability. RTL is Honda's answer to the Escalade pickup!,Swiveling bed extender should be standard. Go with the planned V8 in 2012! 
4.25,Just the right size,David ,08/22/2009,,,4,4,5,5,,4,5,3,4,"Since 1985 I've owned an F-150 and four Silverados.  By far the Honda is better built and more versatile.  I don't need to tow my house or haul cattle.  I park it instead of docking it. It is agile, and rides as well as my wife's Acura. We drove it to Colorado from Houston with another couple and the ladies' only complaint about the back seat was the height of the seatbelt anchors.","Steering feel, transmission smoothness and responsiveness. Five foot bed is plenty big.","Telescoping steering wheel, auto on/off headlights."
4.25,Nice all around vehicle,Rick ,08/14/2009,,,5,4,5,4,,4,5,3,4,"Just completed a 3500 mile road trip with the wife and all the luggage that brings. Drove well on freeways and secondary roads, also did did well in the southwestern sun and downpours back east. Mileage was 19.4 for the trip and though it runs well at eighty the gas mileage really takes a hit. It is a tight vehicle with no rattles, vibrations or sqeaks. My general use other than road trips is around town and to the hardware store. Honda did well as this is one great truck.","The well laid out interior and center armrest/storage area was great for the little items. Rear seat bottoms that fold up were nice and we used that area for a cooler, jackets etc.","The headrests lean too far forward if you drive in a more upright position, ended up using a vice to bend the seat rods so our necks could get a break. I am 6'1'' and wife is 5'8'. Transmission searches for the right gear under certain conditions."
4.875,Awsome Truck,L ,08/07/2009,,,5,4,5,5,,5,5,5,5,"The truck is great.  I'm not trying to bad mouth anyone, but I'm not too sure as to what another writer was stating in reference to the looks of the 09 versus to earlier models.  The only changes are cosmetics, i.e. new grill, colors, and other minor changes.   The truck is awesome.  It has the same payload as the small F-150.  Again not to knock Ford, but I don't need a truck that size.  The Honda carries my sportbike.  You will need a trailer or a bigger truck such as a Ford or Chevy to to carry a bigger bike due to the length not the weight.  I live in a townhouse not on a ranch, and the Ridgline does everything I need.  The truck drivers like a large Accord.","Trunk, XM, & Heated Seats.  I live in the North East.",Ergonomics: Stereo and other control placements.
4.625,SUV to Truck,Lefty ,08/07/2009,,,5,4,5,5,,4,5,4,5,"I have been a SUV owner for the last 12 years, wanted a truck but never wanted to give up the space of an SUV.  This has been the perfect cross over to a truck.  Fun to drive, solid vehicle.  Would highly recommend.  I get 17 MPG.","Trunk, Gate, inside storage, cold air.","Homelink on the RTS. Inside controls seems a little mismatch, kind of high tech meets low tech."
4.625,Listen to real owners not to trolls,Real owner non troll ,07/15/2009,,,5,4,5,5,,4,5,4,5,"First and foremost let me reiterate that I'm a real life Ridgeline owner. I came from a Ford F-150 and contrary to what others say, I have no reliability problems ever. I downgraded to a smaller house with a small garage and the Ford's size was just too much and it was an old workhorse.  Enter the Ridgeline, and all I can say wow and wow, if this truck had a more peppy engine, it would be the BMW of pickups due to its almost telepathic handling. Truck is small on the outside, but humongous on the inside.  The old Ridgeline was ugly and dorky, the new one is more visually appealing.","Clever packaging inside, looks and feels big inside while diminutive on the outside. Is one heck of a looker when accessories are added. In bed trunk is brilliant. 19 mpg average, worst was 15 mpg, best was 22 mpg. Fits three car seats if needed, or two car seats and one adult. Smooth high speed handling.","Torque, a bit more torque please, bed should be a foot longer, non reclining rear seats. Rear passenger space should stretch a bit."
4.75,3rd Ridgeline in three years,GR8-1 ,07/04/2009,,,5,5,5,5,,5,4,4,5,"Third Ridgeline to date.  Very reliable, dependable.  Complaints: Add more seat travel or legroom for the driver!  I am 5'10"", another 2 - 3 inches of seat travel would make a WORLD of difference in comfort on long drives.  I seldom have any passengers in the rear seat, for the one or two times yearly this occurs, I could move the driver seat up a bit.  And speed up the wipers on the ""high"" setting. Otherwise, very comfortable truck.  Adequate power on highways, full time four wheel drive great in snow/ice conditions.  ","Power rear sliding window.  Finally, a rear sliding window that is convenient! Auto down and UP for the driver window! In bed truck, two way tailgate.  Heated wiper area.  ","Again, add some legroom for the driver.  And speed up the wipers a bit."
4.875,Great truck for the money,Phil ,06/27/2009,,,5,5,5,5,,4,5,5,5,"This is an excellent truck for the money. Base level model has all the features you'd want. It drives like a large car with a comfortable ride yet has the utility of a truck. Truck capabilities more than adequate for light duty work (towing a boat, hauling yard stuff or pulling a smaller RV) yet space and driving manners perfect for a family. This is about as close as one can get to the perfect vehicle that does everything for everyone. I have only had it for about a week and put on about 500 miles yet I am delighted with it. I have owned F150s which are also excellent trucks but this is by far a better value for someone in need of a ""pleasure truck"" (F150 much better heavy duty work truck).","Carlike road manners and ride, great storage under the bed, long list of standard features, great gas mileage (for a truck), Honda quality - fit and finish excellent. This is also a very sharp looking truck that is extremely quiet and refined.",Include trailer 7/4 pin connector as standard equipment (standard on all other trim levels) since it already comes prewired with a class III hitch. No other suggestions - this is an outstanding vehicle. 
