rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Best car ever!,Dan Melody ,05/25/2016,5,5,4,,,5,5,5,3,,,"I bought this car in 2009. With the cash for clunkers rebate and other discounts it was 7,800 out the door. I changed the required items and maintenance at 100,000 .  At 200,000 I replaced the water pump, thermostat , timing belt, hoses and spark plugs. Oh yes, brakes at 150,000 and three sets of tires. This was the most basic model, stick shift and roll up windows. Best car I've ever owned!",,
2,"Died at 99,200 miles!",Angela Wakhweya ,04/05/2016,2,,2,,,2,2,2,2,,,"I bought it new. It ran efficiently for six years...I was about to celebrate it's 100,000 mile birthday when the timing belt shredded and killed my whole engine...after one year of no car payments, is it worth the grief now...",,
4,My thoughts,MrSilver ,02/19/2016,3,4,4,,,5,4,4,4,,,"I've owned the car for over 2 years now.  I bought it used with ~52k miles on it back in the fall of '13.  It is the SE with all the options and a MT.  I just turned over 80k miles this month.  What I like: For a hatchback, it looks kinda neat.  I like the tail lights and the stubby spoiler.  The cloth interior is nice, it's the charcoal with rough texture and that's right up my alley.  For a 110 HP engine, it sure feels like more, so I've been alright with the power, even though I'm accustomed to more powerful vehicles (200 HP Taurus, 220 HP Eclipse GSX).  I like the amount of space in the engine bay for repairs and maintenance.  The engine has the capability of going into high RPMs.  I like the hatchback and the cargo area, especially with the rubber floor mat.  Liked the Sirius XM radio.  I've never had the car break down on me or leave me stranded or fail to start.  Things that I like less:5th gear really really needed to be longer.  I run on the freeway to commute, and at 70 MPH, the engine is at ~3,500 RPM.  How great the MPG could have been if the final gear left me at 2,000-2,200 RPM!  I had the same complaint with my Eclipse GSX.  These engineers really need to lengthen the final gear, it's not for acceleration, it's for cruising!  Unfortunately, the MPG is not what I expected out of a car this size.  I expected 34-35 MPG but average somewhere just under 30 MPG.  The tires.  Oh my the tires.  Firstly, why a tiny hatchback comes with 16"" rims is beyond me.  You feel every bump with these low profile tires, and let me tell you, they are easy to pop!  Lost one along with a dented rim in a pothole.  Lost a second on a gravel country road.  These are simply not made to be durable or comfortable.  To add the cherry on the top, tire shops do not stock this size!  Blow a tire?  Guess you're waiting a day or two for your size to come in!  Do yourself a favor and ""upgrade"" to the stock 14"" rims off a GS and put normal tires on it with a higher sidewall.  Squeaky clutch pedal.  Don't know how to fix it, it's always squeaked.  Asked the dealership to lube it or something, they couldn't fix it.  Cheap dashboard that's guaranteed to scratch.  Seems to be the industry standard these days.Sirius XM will mail you to get you to sign up.  Seems like the little birdies told them I bought a car equipped with XM radio.  Did not appreciate that.Car feels like a kite in the wind.  You will fight the gusts and be tossed about on the highway.  I honestly contemplate how I can add extra aerodynamic enhancements to keep this thing grounded in the wind.  It's so low to the ground already, how is it this bad?It's low to the ground.  As in, you can't use normal ramps to change your oil.  I mean, you can, but you will certainly scuff up your front bumper cover.  And after numerous times of doing that, it will eventually crack. The suspension.  Dear me, even worse than the rim/tire fiasco.  These cars are notorious for having suspension components that wear out far too rapidly.  Be prepared to listen to the lovely sound of popcorn being made for the life of this car.  Sway bar end links.  Tie rod ends.  Ball joints.  Shocks/struts.  It's all garbage, and it all needs to be replaced at least once (or more) under 80k miles.  Some say Moog aftermarket will help.  Metal shift knob is heavy and looks good, but it gets HOT in the summer and COLD in the winter.  Watch out for both.Sun visors - utter garbage.  Work well until they simply break.  Want to get a replacement? OK, $80.  Great...The sound system is very 'meh'.  Almost no bass.Back seat latch rattles anyone?  Yeah, you know what I'm talking about...Depreciation.  WOW that is a killer.  This car lost $6-7K value in the 2 years I've owned it.  Ouch.  I thought with the gas prices being high that the need for small, economical hatchbacks would be worth something to somebody.  Nah, gas came down.  Looks like dealer trade in is only around $3,500 now.  Almost pays to just keep it and drive it into the ground.  With all the nit-picky things, I still think it's a decent car.  If I bought a Hyundai again, I would opt for a slightly higher make.",,
4.5,This is a great car,ggracchus ,09/06/2014,,,5,5,5,5,,3,4,5,4,"Of course it gets great MPG and is reliable.   Our favorite thing about it, though, may seem a bit odd -- it is that it has a button that permits air recirculation for the fan, heater and AC.   You may think this is common, but the difference is that once you set it to recirculate instead of pull air from the outside, it STAYS ON.   Other vehicles will do an override, like our Ford, that will shut it off.  Those types of vehicles think they are smarter than you are, and if the humidity or whatever gets to a certain level, off it goes.   We really, really hate breathing pollution from the cars in front of us -- the fan will pull it right from their exhaust pipe into your face.  ","Great MPG
Reliable
Allows recirculation of air with no automatic override","Performance is not the best, but that is expected with these small engines.   With 5 speed it is not too bad, but maybe steal some ideas from Honda's vtec engines."
4.125,"I love this car, 50MPG is easily attainable. ",drunkenrobot ,07/29/2014,,,3,3,5,5,,4,3,5,5,"I have had this car from new. It has been exceptionally reliable. I've never had a problem with it. I average 40-50 MPG on the highway and 30-40 MPG in the city. It is very fuel efficient for the price. My only issues that the seats are a bit uncomfortable on very long trips. I drive for two days each way to my summer vacation spot, and my back hurts after each run. Two doors was enough when I bought it, but limber passengers are a requirement to get into the back, though there is plenty of legroom back there. With the back seats down, the cargo area is enormous, we have shoved mountains of stuff in there. 100K on it so far, no issues.","The SE has power everything, which is a bonus. The stiffer springs make it handle like a go kart. It has more than enough power for getting around town, passing, and highway cruising. The automatics gets slightly better fuel economy, but the manual is just so fun, and it feels a lot more peppy than the auto. The cabin air filter is a nice bonus. The A/C nearly freezes me to death every summer, and the a/c assisted defogger works amazingly well. It regularly drops to -40 around here in the winter, it starts every time, and warms up fast.","The stock tires are terrible in the winter, I drive on winter tires anyway, so it's not really an issue. The stock stereo is also terrible, if you are a music lover, replace the head unit and the speakers asap. The gearbox is a bit notchy, switching to synthetic GL4 gear oil helps with that. The rear drum brakes aren't especially pretty (but they are reliable, inexpensive and last forever, so I don't mind too much). "
2.25,Bad Mileage,jeniferlw ,08/15/2013,,,2,2,3,1,,3,3,2,2,"I bought the car used a little over 2 years ago. It had high mileage but the price was right and I trusted the Hyundai brand. Boy was I wrong. The car functioned fairly well for the first 2 years, I was getting the street mileage ( 26 mpg) but was no where close to the highway mileage (35 mpg). Then in April my mileage suddenly dropped. Since then I now average 20 mpg, which is 200 miles per tank. Basically I can no longer afford to drive the car. I contacted Hyundai who told me to take it to their service dept. I have spent over $500 to try and figure out the issue. The only thing left to try is the fuel consumption test, which I am saving up for. ",,
5,Wonderful car!,margarets_dad ,06/11/2013,4,3,4,,,5,,4,4,,,"Bought this car used with 42,500 miles, and have put on another 5,000. This is a fantastic car for the city--very durable and fits into the parking spaces that are too small for everyone else. The car drives very nicely, and has a substantial feel for its size. Its handling is excellent, and although it doesn't have a huge amount of power (how much do you really need anyway, unless you're in the Indy 500?), the engine is very peppy with the manual transmission and it has more than enough oomph for day-to-day driving. Depreciation on Hyundais is still pretty bad (undeservedly so), which is bad for the original owner, but great if you want to get a high-quality used car at a great price. UPDATE: After 50,000 very tough New York City miles (now up to 93,000), I'm still very happy with the car. Have been averaging over 34 mpg mixed city and highway driving. Very durable and reliable, and maintenance, tires, and other parts are inexpensive. Only repair needed at this point has been the replacement of a sway-bar link (around $200).",,
4.625,Amazing car,highmiles9 ,12/30/2012,,,4,5,5,5,,4,4,5,5,"I have owned this car for 3 years now and 170,000kms. Its been great. I tow a trailer with it and it will tow a small trailers with ease. I have done nothing to this car over the time ownership. I have done two sway bar links. 2 ignition coils under warranty. One blower motor, and anti theft module, connector and ignition antenna ring. Other then that just maintenance i haven't even worn through the brakes yet. This car is fun to drive with the factory 16"" wheels it takes a corner fast. I'm tall and this car fits me well and gets great gas millage. This car was almost half the price of Japanese competitor but wayyy better.","The reliability is amazing. 
Its roomy even in the back seat 2dr.
Simple and well layed out controls.
Easy to drive.
Good looking car. 
Fit and finish is better then some high end cars i have been in.
Purchase price. All options other than automatic trans for the gs sport under 18000 cnd out the door. Brand new not a demo. Had 7km on it when i bought it.","Although the car is overall very nice there is a couple of things.
ABS would be a nice option. 
Cruise control was not available and wish it was. Engine could use a little more power 10-20hp. Rated a 130hp @ 6000rpm.
Its ok but when a/c on you must plan your lane changes carefully.
Dealing with Hyundai for warranty is a nightmare. Hyundai is very stingy, my blower motor was squeaking when on and i brought it in and they declined the repair because it was still working. Eventually the motor stopped working and i had to change it at my cost. Thank goodness overall its a quality car. I would still buy a Hyundai because the car works with bare bone upkeep. "
3.375,Tire Problems Hyundai Accent SE 2009,farahk ,05/16/2012,,,3,5,3,2,,4,4,3,3,"I have had my Hyundai Accent since 2009 August.I have been comepleting regular checkups at the dealership and the car has been performing well.I have driven for 5 years prior to buying this car.Other cars I have driven include the Toyota Corolla, Nissan Sentra and Kia Spectra.Obviously those are bigger sedans than the Accent.I have a clean driving record as well.One issue I have found is braking in poor weather conditions.Expecially when there is a layer of snow on the ground, the car tends to slip (compared to the other cars I have driven).The main conern I have had was the tires.I have had 3 bursted tires since I have bought this car.con't...","I have never had bursted tires in any other car I have driven.
I have changed the brand of the tires and the new brand also bursted.
After changing brands and finding that the tire still bursted I have concluded that perhaps it is not the tire itself but is the car?
The dealership refuses to take any responsibility and same with the tire company.
Within the first year, the first tire burst.
The second tire burst after a year and a half, and 2 weeks after the regular manintenance check.
Recently I had a $600 maintenance checkup from Hyundai and the tire bursted 2 weeks after as well!","If anyone else is facing tire problems, I would like to know about it [non-permissible content removed]."
3.875,Great Car,whitetree ,05/02/2012,,,4,4,5,5,,2,3,5,3,"Overal the 2009 Hyundai Accent has been a great car. For three years and 55,000 miles I have not had a single problem with it. The engine lay out is simple and easy to access for regular maintenance and inspection. The only things I don't like are poor visability and poor performance.",Awesome Stereo,"A Telescopic stearing wheel, better visability, and better performance."
