rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Perfect Car!,Enzo Simoni ,08/23/2016,5,5,5,,,5,5,5,5,,,"This has been a perfect car.  Never been to the mechanics, never left me stranded.  Awesome gas mileage, great in the snow.  Nothing fancy but has been perfect.",,
4.5,Great car after 3+ years,sreston ,04/16/2012,,,4,4,5,5,,4,5,5,4,"I bought this new for under $15k, and am delighted with the features, low cost of ownership, and overall quality of the car.I love the problem-free driving, nicely peppy engine, comfort and interior space (I am 6'5""). The car still looks new inside and out.I have had a few small issues as follows:*Driver's seat makes a clicking sound in the lowest position*Rear window sometimes made a crackling/popping sound when going over laterally uneven ground, but this went away last year after I put some product on the weatherstripping*Driver's side window made a popping sound when rolled down--it was sticking to the stripping. Silicon lube fixed itOtherwise the car has required zero repairs."," Very cheap to run. No repairs, oil changes at independent mechanics, basic stuff like filter changes I DIY for almost no $--they are incredibly easy on this car, as are other things like lightbulb changes from what I've read.",
4.25,I replaced a Saab with this and I won't be looking back,captainbrown ,04/01/2012,,,4,3,4,5,,4,5,5,4,"I needed something cheap, practical, and reliable and I got it.This car has two dominant personalities.The first is a sensible car for the average adult.Gas economy is on par with 2009, the ride quality is exceptionally smooth for a compact, and the cabin is quiet and spacious in town and on the freeway.However, under the surface the 2009 Elantra is one of the funnest rides you can get for an MSRP under $20,000.I would compare it to a go cart.It's nimble, quick, and firmly planted.Unlike the 2011 Elantra, the steering is connected, responsive, and no matter how you drive it, she wants more.Give it an honest test drive, because you have to drive it to experience it.","Dependability, ride quality, minimal body roll, steering refinement, stability, cabin space, audio system","Obviously, the body has been redesigned in 2011, however, the rear passenger comfort has taken a hit over this redesign.
I have hopes that the Elantra GT model will address this issue.
"
2.875,"So so car, don't expect much",superedmundsf ,01/25/2012,,,2,3,3,3,,3,3,3,3,"The only reason I've gotten this vehicle is because my wife trashed our 2007 Toyota Camry SE-V6.Can't afford the same level of car so we settled on Hyundai Elantra, 09, brand new at the time.Now, fast forward 70K miles and here are my reviews:The transmission starts to rattle a bit now as shifting up can be adventurous at times.Keep in mind I take care of my religiously so it's not a matter of not maintaining it.Electrical problems starting to surface.TPMS will show up for no reason.Overall drive is stoic but comfy.Performance is ok (typically for a small sedan, don't expect much.)You get what you pay for, don't be fool by the marketing, adequate car but Civic it isn't.","Blue-tooth, Ipod connector","Better interior comfort.
Fix the transmission and TPMS issues (seems to be common to many people.)"
5,LOVE my car,shivelyk ,11/21/2011,,,5,5,5,5,,5,5,5,5,"This makes the 2nd Elantra I have owned, & don't think I would own any other vehicle.Mine has 72,000 miles on it & other than replacing both fog lights (due to driving in snow & on salted roadways), I haven't touched it for anything other than tires, brakes, air filter, & the other routine maintenance that is suggested in the manual.I get EXCELLENT gas mileage--with a combo of city & hwy miles I get at least 32 mpg with every tank.It drives smooth, & it fires right up in cold weather.Roomy interior, lots of nooks & crannys for storage, & an awesome factory stereo system are just some of the plusses on the inside.I would recommend this car to anyone who needs a good car for less $$$","GREAT gas mileage.
Stereo.
Huge trunk. Roomy interior.
Lots of safety features.","If you get hit with a shopping cart, look out.
Leaves a good sized dent.
I would like to see some of the outside areas (such as the rear quarter panels) a little more resistant to collisions such as shopping carts, etc."
4.125,2009 Elantra,johnyuhaschek ,07/07/2011,,,4,4,4,4,,4,4,5,4,"Fun Car to Drive, Smooth Ride, Comfortable Seats, Spacious for a small car, Great Sound System","Gas mileage, Green/Yellow Sparkle Paint, Tire Wear, Simple DIY Maintenance, Great Long-Lasting Brakes",I'm looking forward to the new 6-speed Automatic Elantra.
3.5,Great car just no power at all,mr_nevotti ,06/25/2011,,,3,3,5,5,,1,5,5,1,I love the car gas is great just has no power like when i go to Tahoe i really have to get all the way in the slow lane and go like 50MPH in the slow lane it's horrible....... ,I love the gas mileages i get on it and on top of that it runs smooth and great.,MORE HORSEPOWER!!!!!!
3.125,General electrical system problems.,hardrock46 ,06/12/2011,,,4,2,4,1,,5,3,3,3,"We have owned 2 Hyunda's previously and were very pleased with with both cars.Excelent reliability and performance.Then we bought this 2009 elantra (brand new) and have been very disappointed.While the car always starts fine, runs great and gets great gas mileage it is plagued with bull crap electrical problems.1. Check engine light keeps coming on. Had it in for this several times. Dealer can't or won't fix it.2. Tire pressure light kept coming on.They seemed to fix that, so far.3. The theft alarm keeps randomly coming on.Just did it again this morning. Multiple trips to dealer, no fix.4. Winshield washer quit. Tank full, pump runs, no water.Will take it back in again.",,"Install a passinger side door lock.
Had I noticed that tere was no keyed entry on the passinger side I would most likely not have purchased the car, at least not before checking out other brands.
This is very inconvienent since I do not carry the electronic door opener and somtimes need to open the passenger door.
I know that almost all new cars are like this and it's just another way for them to reduce the manufacturing cost, but come on, lets get real here!"
3.25,Know what you are getting.,skolakowski1 ,06/09/2011,,,4,4,2,4,,3,3,3,3,"The AC is inadequate. On 95 degree days, it is still warm in the car. This is a common problem for Hyundai. I had to have the windows tinted to help. I was in a head on accident and the air bags didn't go off. Another common problem for Hyundai. I'm waiting for a recall announcement. The idiot lights come on sporadically (ESC,ABS,TPMS). The longest one has stayed on was over an hour. I don't know if the ABS and ESC are working. Another common problem for Hyundai. The car has over 50K miles on it and we have not had any problems with it not running or starting.We get about 25 miles to the gallon but do mostly city driving. ",Engine reliability.,"Improve the AC. Fix the air bag problem (unfortunately, there has to be numerous accidents with air bag failure before the government will force them to fix it). Fix the dash light problem."
5,2009 Hyundai Elantra Review,md2011 ,05/19/2011,,,5,5,5,5,,5,5,5,5,"2nd hyundai! Been highly impressed by both cars! Had for 2 years just traded it in for the new 2011 elantra ltd. Been a pleasure to drive and own!Very impressed with the gas mileage.Best mpg at 39.7 mpg based on filling up the car and doing the math on a calculator this was in NYC traffic 90%hwy and 10%city.Average mpg I receive when i do about 50/50 driving was 28 mpg still pretty impressive since I am not light footed.Pros: Performance, MPG, Price, Radio, USB, Blue Lights, tons of features, interior space, many storage comp'ts, quiet interior, Cons: Whine from radio (most wont hear), loud rattle from rear window hitting large bumpsBest bang for the buck!","Very comfortable to drive in although my right leg gets a cramp when I am stuck in traffic for over 45 minuts I am 6'3 though.
Radio system is excellent, impressive performance have no problem passing people on the hwy, great mpg
USB connectivity, blue lighting, fog lights on gls model, tons of interior space.
","Did have a high pitch whine (most people won't notice) noise from radio when car was on for over 30 mins techs could not find it and on heavy bumps a loud rattle from the rear wish i see throughout these reviews.
"
4.125,Competent Commuter Except in Snow,waldteufel ,02/15/2011,,,3,4,4,5,,4,4,5,4,"I bought this car new in July 2009 for my daily commute and to run kids around town for music lessons, sports, you name it.The positive reviews, incredibly low price, and long warranty make this basic piece of transportation ideal for my needs now. MPG varies from 28-33 combined depending on the weather, really expected much better.It took a long time to get adjusted to the clunky, sticky manual transmission; nothing like the Mercedes 230 or VW Golf sticks I used to drive.I tried to find an American brand vehicle of similar cost and quality but nothing came close. ","The low, low price and complete lack of mechanical problems is great, but the high torque and quick accelleration with the 5-speed stick provides as much fun as a middle-aged suburban dad can hope for, plus the iPod connection and XM radio keep the kids occupied.
","There is already a new Elantra model, but used car buyers in the rust belt should know this thing is terrible in winter weather driving conditions, I don't know if its the weight distribution or the tires but I'm buying real winter tires next year.
The cheap-feeling plastic interior scratches easily and the wierd stretchy seat fabric gets and stays dirty looking.
"
2.875,wouldnt recommend to anyone,Anonymous ,12/08/2010,,,3,3,1,2,,3,3,5,3,"very unhappy with the car, haven't even had it 2 years yet and I'm having problems, luckily nothing with the engine, it all seems to be electrical or interior problems except for the awful noise that my back window makes when I go over bumps, it makes this loud cracking noise like the window is going to fall out. Also you can tell the interior is cheap plastic because while driving all I hear is rattling, like something is loose in the dash. I will be getting rid of the car ASAP. Also had a brand new 2008 Accent before this car and had engine problems and brought it back within 8 months of purchase. ",The AUX input,overall they could work on the quality of the car. 
4.5,Are we all driving the same car?,GrampaL ,11/09/2010,,,4,4,5,5,,4,5,5,4,"I swear some of the reviews are on different vehicles.  My carpet fits, radio works, the engine runs well, the car handles well, and it's relatively quiet at all speeds, gets 34 mpg on Xway (28-29 in town) as advertised. I have had no problems whatever with only routine maintenance.  The OEM tires aren't great in snow, but here's a tip folks - it's the tires.. not the car.  I had this problem in spades on a Maxima years ago. Buy some others if you ain't happy. You'd be amazed at the difference tires can make.  Not sure what people expect, but this car meets or beats the competition at a lower price.  It's comfortable, roomy and comes with a superior warranty. What more can you expect?  ",SE rides and handles well for what it is - a 4-door sedan. Has front and side curtain airbags. The MPG is easy to learn to like. Service in several dealerships has been as good (or better) as any other new vehicle I've had.,I really miss the outside temperature readout and the auto dimming rear view mirror.
4.5,Good Car,Daniel ,10/31/2010,,,4,5,4,5,,5,4,5,4,"I enjoy my car. It is a commuter car and is well suited to its purpose. I get 33 mpg average and keep the oil changed. I have had no problems with it other than the vanilla nature of it.  I knew of its commuter purpose when I bought it though so I'm not surprised. The ride quality is soft and smooth, it does well wet weather but I have no information on snow. The brakes are outstanding, only complaint I have is the engine noise above 3000 rpm is a little intrusive. Overall I have had a positive experience and I hope to drive this car into the ground for the next ten years.",The manual transmission is one of the best I have ever driven.,Better power windows and a different interior fabric would help.
4.5,Exactly As Advertised,ODU Dad ,10/24/2010,,,4,5,5,5,,4,4,5,4,"My daughter has been looking for a car for a while and I decided to assist her.  After looking at various options (mainly through other reviewers such as here), I started focusing on the Elantra.  Because I am concerned for my daughter's safety, I decided to focus on the SE model, which also has traction control and stability control.  The next step was to find one that was economical but had relatively few miles on it.  I found a used 2009 SE with about 9k miles on it and bought it for 13k.  After using it for about a month, we are very pleased with the car.  It is exactly as advertised: a well built car with many important safety features that doesn't cost an absurd amount of money.","Safety features, great value compared to the competition.  The radio is good.","The interior is mainly monochromatic. Different panels of varying colors could help break up the monotony.  But since this is supposed to be an economy car, it is a minor point."
1.5,Value?,lucyd ,08/12/2010,,,3,1,1,2,,2,1,1,1,"Bought this car new last year. Performance and ride so poor we wanted to trade it off after one long miserable year. Car rides rough and loud, poor mileage and issues with the locks and electrical problems. Value is less than 1/2 what we paid after one year. We have taken excellent care and maintenance. I would NOT recommend this product to anyone. I have made contact with the dealership but little response to issues. ""if the car engine light is not on it's ok"". I don't think so. Value, there is NOT any in this car. ","Favorite Feature, I am still working on that. I have not been able to find one yet.","Improvement needed w/Better mileage, less noise, better cloth on the interior seats, door locks that work right."
4.75,Great little car at an awesome price.,tshedd ,07/21/2010,,,5,5,5,5,,4,4,5,5,"This is our first Elantra. Came down to Focus SES and this. Liked the drive and price of this better.  It gets good mileage (about 30 avg). I've driven manuals all my life, but struggled with this clutch a bit, stalling much more than 96 Accord. It does not do well in snow, I siped the tires and it helped a bit. I think it is the tires. I like the tighter steering and well thought out interior.  I wish they had made it easier to use iPod. I feel the car at high speeds is working too hard. Noisy at highway speed. Love the reliability and ownership cost of this little car. After Cash for Clunker paid 10,800.","Looks, economy, price, aluminum wheels and 4 wheel disc brakes with ESC. color - nautical blue. XM - radio. Warranty.","iPod hookup, tires that come standard, engine noise at higher speeds."
4.625,Not too shabby,Hyundai Owner 23 ,07/15/2010,,,5,4,5,5,,4,5,5,4,Bought the car in Aug. 2009 and have had incredible fuel mileage from the beginning. I am surprised to see people putting numbers below 30 mpg. I haven't gotten anything below 32 mpg. I got 36 my last fill up. I commute 70 miles a day driving around 55 mph most the way. This car is great for that (commuting).,"iPod hookup/display, blue interior lighting, spaciousness, roominess, gas mileage.","Quicker acceleration, make a little more sportier looking, smoother shifter."
4.375,Solid safe reliable transportation,Paul ,07/09/2010,,,5,4,5,5,,4,5,4,3,"We have owned our 2009 Elantra for about a year and have found it to be a very solid, comfortable, reliable car. The exterior styling and performance are on the boring side but the features for the price paid  more than compensate for these shortcomings. ","Fog lamps, quiet ride, comfortable seats, big trunk.",Power steering feels very vague (more like an old Lincoln Town Car than a compact sedan) 
4.375,Winter driving NOT GOOD,mick ,07/01/2010,,,5,5,5,3,,3,4,5,5,"I love Hyundai. I own 4 (2002, 2003, 2006, 2009)! All have been great. My only complaint is with my latest the 2009 is absolutely terrible on ice and snow. Whatever Hyundai changed for this model makes it extremely dangerous for any winter driving. Please fix this in the future!",all the options,winter driving is dangerous
4.875,"21,000+ miles in 9 months",Jeff WV ,06/10/2010,,,5,5,5,5,,4,5,5,5,"This is my first Hyundai, and I love the car.  It is well built, and gets the advertised mpg.  On the trip computer my avg is 31.4 mpg.  I mostly drive highway.  It handles very well, especially compared to its competitors, I love the stick shift, tight shifter, short throws.  Very roomy, even for four adults.  Low road noise, but the back window creaks when I go over odd bumps, like pulling out of a steep driveway. Otherwise no problems, and would definitely recommend.  I will buy from Hyundai again, and would recommend the same to anyone. Did great in the snow for a low sitting car with low profile tires.","Looks, ride, build quality, blue interior lights, value, that it's not a Civic or an Accord (it's better looking to me), comfort, handling/suspension, built-in XM, iPod/Aux ports, great visibility all directions for driver.","NEEDS a sixth gear, this would raise hwy mpg by at least 5 mpg, it runs hard at hwy speeds-3000 rpm; interior fabric has held up well, but feels flimsy; door interior plastic scratches VERY easily; iPod port works, but provides no functionality."
2.125,2009 Carpet don't fit cut to short ,Carpet dont fit  ,05/23/2010,,,2,3,2,2,,2,2,2,2,"Carpet does not fit replaced 2 wks after new still don't fit & took back had them reorder another & still don't fit. Waiting for someone higher up to see what more can be done. Pretty bad their own parts don't fit their cars. Checked neighbor's 2009 as well & same problem. The carpet is supposed to be tucked up under the console & stay under it. Engine replaced at 7,000 miles. Never got good gas mileage & still don't. Tires are horrible & car has poor traction - horrible in snow & rain. Have another Hyundai as well & love that one & fuel is better than advert. This one though leaves much to be desired & now I don't trust it. Had some rattle issues as well.",It drives currently,Fix the carpet so it fits the 2009 cars. The carpet ordered by the dealerships to replace doesn't even fit! Improve the engine issues. 
5,First new car,Megan ,05/12/2010,,,5,5,5,5,,5,5,5,5,"This was my first new car, actually my second car all together.  I like the car and I think that for the price, and being that I do a lot of short trips, that it has yet to let me down.  I do very well in gas mileage.  Most of my trips are under 8 miles, to school and work.  Took it on a long trip to visit colleges and the gas mileage was MORE than expected.  I love it, and look forward to buying from Hyundai in the future.","I like everything, not a lot of outside noise, which is good because I have bad hearing and can still hear the radio perfectly.",
4.625,"21,000 miles later",rajo394 ,04/04/2010,,,4,5,5,5,,4,5,5,4,"2009 Elantra SE, only defect was the radio and one speaker not working after 21,000 miles. Surprised to read about suspension problems.  The ride seems very good considering the type of car. The seat covering could be better, attracts dirt.  The steering is quick, have to keep your mind on the road. Handles Arizona bumps and potholes fairly well.  It is my everyday work car and have been pleased.  Second Elantra, I will hold it for 5 years and trade it in.  Lots of plastic, holds the weight cost down.  I get 28 mpg in city over 30 on highway depending on how fast I go. I believe it is the best value on the market.",Size: easily fit 4 adults and large trunk.,Different material on seats.
4.5,Great Car,Hyundaiguy ,03/20/2010,,,3,5,5,5,,4,5,4,5,"This is my second Hyundai.  In general I like this car.  I have just begun after 11,000 miles to get good gas mileage.  took a trip and got 37mpg.  Interior is nice to the eyes, but mine has several small creaks and squeaks around front/back windshield, stereo surround.  Outside pass side door handle gets stuck and door wont close.  Other than that I like it.","Blue instrumentation illumination, good ride on smooth road, generous interior and trunk space.","Better ""aka 173 watt sound system"" Bluetooth through stereo not 1"" speaker, auto headlights, and for god sakes at least a 5 speed auto tranny."
5,love my elentra,marmar ,03/05/2010,,,5,5,5,5,,5,5,5,5,I love my new elentra - i have about 1500 miles 0r 2 months - received an excellent deal - the end of the year savings - originally drove several minivans over the years - but now kids are grown - no more soccer mom - my husband is purchasing a 2010 sonata,i loooove my sunroof - blue illuminate interior lights - so cool looking - seats are comfy - great cargo space - xm radio - the radio-temp dials are a perfect reach for me - i really haven't any problems - perfect vehicle for me :),"exterior colors, weather info center, i.e outside temp., etc.  interior colors"
5,Best car I have ever had!,Messy ,03/05/2010,,,5,5,5,5,,5,5,5,5,"I've never had a new car before, granted, but I think I am a Hyundai owner for life!  This car, though the basic model, is so great--gas mileage is very good.  I just got 521.5 miles on a tank and when I filled it up I put in less than 14 gallons!  I'm eager to see if I can repeat that.  I have put 15,500 miles on it in the 9 months I've owned it, and so far it's running like a dream!","Very pleasing to the eye, the engine is smooth and quiet, and I love the look of the dash board.  It's loaded with storage cubbies and stuff inside.",Can't think of any.  I love it!
4.625,commuter car,2bigfoot ,02/27/2010,,,5,5,5,5,,4,4,5,4,"I bought this car as a commuter vehicle. It gets 34 mpg doing my commute of 60 miles each way. I am 6'2"" and for the most part it is a comfortable ride. If stuck in traffic for a while my right leg starts to cramp because there is not enough thigh support. I use a driving pillow which helps some. The front wheel well inserts seem a little flimsy because you can really hear all the road pebbles thrown up from the tires. The first couple hundred miles my radio died. It was replaced and now is O.K. Pretty quite highway ride and pretty good in the snow.",Large trunk and fold down rear seats.,Better wheel well inserts. Really needs a power driver seat.
4.75,Brake Pedal Bracket  Problem,Peg ,02/11/2010,,,4,5,5,5,,5,5,4,5,"Bought my new Elantra on Sept. 1, 2009.  The biggest selling factor was 100,000 mile warranty and safety features.  Until yesterday, no complaints except that gas mileage has proved to be only about 25 mpg; not near the 33 mpg estimate.  Then on Feb. 8, 2010, experienced problem accelerating.  It suddenly acted as if it were stuck in 3rd gear.  Brake made odd sounds and began to emit powerful burning smell. We thought we might have a transmission problem.   When they called to tell us they had checked it out and it was ready for pick up, they said that a brake pedal bracket had come loose.  They made it sound, however, as if I had done something wrong.  That upset me.","Quiet ride, safety features, handling, Blue-tooth, XM radio  ","Push-button access to Blue-tooth should be on dashboard, not overhead where you take your eyes off road to press button for incoming calls."
4.375,My First New Car,Gabe ,01/15/2010,,,4,4,4,5,,4,4,5,5,"I love this car it is very good on gas and its little enough to park almost anywhere! I've had this car for about 4 months now and I love it, and its quiet on the highways. it needs a little work in the upgrading department as far as bluetooth, and interior and exterior accessories.",,
4.875,You've Got to drive it,KentKEN1147 ,01/05/2010,,,5,5,5,5,,5,4,5,5,"I tried many cars at Auto Show before deciding on Elantra SE, more interior room than many bigger cars.  Handling fantastic when pushed on mountain roads but SE suspension is sometimes unforgiving on poor roads. If the road is bad you'll definitely know it. The car is great on freeways but you have to drive it, on the on ramps don't leave it in ""D"" use the shift-tronic you'll enjoy the power and control it gives you.  I'm a high mileage driver and enjoy the 30-31 mpg average I'm getting. Long rides avg 34+ mpg.","Safety features, MPG, handling, comfortable seats, ease of access, built in Blue-tooth","Bigger engine, rear window wiper, option of radio without XM"
5,I Love My Hyundai Elantra!,Cindy ,12/20/2009,,,5,5,5,5,,5,5,5,5,"I bought my 2009 elantra as a used vehicle.  It has turned out to be one of the best cars, and is the most fun to drive of most of the cars I have owned, previously I have owned Mercedes c2330, e500, and s500, navigator ultimate, 3 Chevy trailblazer ext lt's, etc., so I am giving you my opinion after driving quite a few high end cars. I'm wondering now why I spent all that money on those cars, when I could have just bought an elantra... I love the sun roof, XM radio, the fact I can use my ipod, the cd/stereo sounds awesome, and I love the color (White) it is sporty, I get lots of compliments on it and the value is unbelievable along with the gas mileage, about 31 mpg.. The warranty is also great","suroof, xm, ipod,  ",none that i can think of...except maybe a hybrid 
3.125,Beware,Davo ,12/16/2009,,,5,4,1,1,,3,4,4,3,When I took the car in to the dealer at 2600 (yes 2600)miles to check an engine noise. I was told the engine was bad and would be replaced. They used a REMANUFACTURED engine short block. I talked to 4 levels of Hyundai consumer affairs and was told this is routine. So a used engine in my brand new car. The warranty isn't worth much if they use used parts.,Comfortable,Better quality and customer service.
4.25,Wish it had telescopic steering wheel,Dave ,12/08/2009,,,5,5,5,5,,4,2,4,4,"Replaced a 1994 Corolla that i really liked.  Purchased mainly by price but positive reviews were also important.  Driving comfort and MPGs are important to me.  My main complaint is no telescopic steering wheel.  Did not notice this during test drive, but in order for arms to be comfortable, I have to put the seat very close (I am short, 5'6"").  Hopefully i'll get used to it.","Bluetooth, USB/IPOD ports, price, big trunk.",Standard telescopic steering wheel. 
4.375,Ride and Road noise!?,oldboyscout ,12/04/2009,,,5,5,5,5,,4,2,4,5,After 3000 miles am very happy with SE Except for Ride (any bump is transmitted to my a..) and Road Noise (sound of tires against asphalt ((no concrete here)) very high on freeways and state/local roads.)  Wonder if stock tires on alloy 16 rims to blame?   Sidebar: I've been driving 50 years.  ,"Safety Ratings, Consumers' Report Ratings, 100,000 mile warranty, free towing for first ? miles of use, Fit- up.",Major: Ride and Road noise   Minor:: Can't turn blue lights lower and NO power driver's seat available .  Rear window rain wiper would be nice.
5,All in the family,raztaz143 ,11/22/2009,,,5,5,5,5,,5,5,5,5,"Great-fun vehicle to own. My sister owned a 2000 Hyundai Elantra Wagon, which was very impressive and had almost 200,000 miles when she replaced it with a 2007 Hyundai Elantra GLS. I was impressed with both, so I decided to get the 2009 model-with a sunroof, mudguards, heater seats, wheel-locks- had to spoil myself some! It drives great, took it on a few trips, Excellent gas mileage for sure, and a definitely nice vehicle for any lengthy trip!","Blue Illumination, Stereo System, glides on the road, sunroof, XM and IPOD port.","plain and simple, a TEMPERATURE gauge! I couldn't find any models equipped with it. otherwise its flawless"
4.875,Did the research...,Reen ,11/15/2009,,,4,5,5,5,,5,5,5,5,"We cash for clunkered and got our Elantra for $10000.  I'd have been happy with just that great deal, but now throw in reliability, nice gas mileage, solid looks, and fun driveability, and I'm a happy girl.  I knew I wanted a reliable, low-cost car to get back and forth to work/school, and that would last for YEARS.  After checking all the research, Hyundai was the only manufacturer left standing that fit my criteria, and if anything does go wrong, the unbeatable warranty has me covered.  This is the first new car I've purchased since 1991, and only Hyundai managed to convince me the purchase would be worth the investment.  So far, so good....","Warranty, gas mileage, reliability...",More cupholders - we're a thirsty family...
2.625,Not Happy with the ride.,Catherine Curtis ,11/13/2009,,,3,3,3,3,,1,3,2,3,"This car vibrates like a lumber wagon and it has Solis tires on it.  That could be the problem, but I don't think so.  I have had 2 4-wheel alignments on it and the wheels balanced 3 times in 17,000 miles.  It is now in for rebalancing again at the price of $100.00, plus diagnostic fees. I had a 2003 Hyundai Elantra and it was a great car.  Drove it for 6 years 100,000 with the wheels taken care of 2 times. Fuel economy is not as good as advertised or as good as my 2003.",Handles really good on the corners. Also like the XM radio when it works.  I had it replaced once and it still has problems when you go over a bump; it will turn off or the volume blares to the top.,Get better tires on it like a Michelin that the 2003 had.
3.125,This car stinks,Laurie ,11/11/2009,,,4,4,4,2,,3,4,1,3,I purchased this car brand new.  I was so excited.  It was suppose to get 33mpg on the highway.  I only drive highway miles.  I am getting 24mpg and the dealer and Hyundai just say they can't find anything wrong with it.  They are not doing anything about it but giving me the run around.  I will never purchase another Hyundai again!!!  Should have bought the Toyota like I was thinking about!,Interior is nice and so is the XM radio,Listen to your customers.  If there is a problem figure out how to make it right!
4.25,Engine vibration above 2500rpm,c0mmuter ,11/07/2009,,,4,4,4,5,,4,4,5,4,"I bought the Elantra back in August 2009, 3600 miles currently.  It has performed reliably, no major mechanical problems. Handles well, though the steering is a little stiff. For a small car, it rides well on a variety of surfaces. However, the engine vibration is excessive above 2500RPM in all gears. It is felt in the driver's feet.  I took the car to the dealer ship and was assured that this is 'normal' by the service department.  I did not run it above 2500RPM during the test drive. The manual says that during the first 600 mile break in to run the engine between 2000-4000rpm. The vibration has reduced a little since August 2009.","XM radio built in. A small car with width similar to Sonata, Accord, Camry, great for wide frame riders. Power package. Adequate backseat leg room. ",Smooth out engine vibration above 2500RPM. Better back and seat support in front seats for long drives.
4.875,Solid vehicle,Joegiant ,11/07/2009,,,5,5,5,5,,5,5,5,4,"So far, so good. For those shopping for a good, reliable, relatively inexpensive commuter vehicle, this may in fact be the one. You're not buying prestige but rather ""bang for the buck"". Hyundai truly has packed alot of punch into this car for the pricepoint. Many standard safety features too numerous to list. Comfortable ride. Decent gas mileage (getting about 34 on the hwy after 5,000 miles break-in). Slushbox trans works the way it's supposed to - trouble free. Start 'er up, put 'er in drive and away you go. Trouble free transportation. With Cash for Clunkers program, after all the smoke, paid under $11k for this '09 Elantra SE. Truly remarkable. Give this company a serious look!","Price, price, price (i.e. VALUE across the board). Nice interior. Decent handling for highway commuting. Excellent sound system. ESC safety feature STANDARD. Rock solid proven engine (2.0 Beta engine).","Wish the driver seat was like the leather one in my '05 Elantra GT hatchback. That seat could be adjusted every which-away. This one not so. That ""booming"" when punching gas pedal could be addressed in future models. Since the XM is cranked don't hear it much but it is there if radio is off."
5,The best buy!,hnicoleg ,11/01/2009,,,5,5,5,5,,5,5,5,5,"I just bought my Hyundai, and I have no complaints! Its performance is amazing compared to my old mazda, and you can't beat the price, 12,000. If anyone is looking into the Hyundai Elantra, you should really consider it!",3 free months of XM Warranty is fantastic the exterior/ Interior performance Safety features ( This car is a tank!) Tires they put on it are the best!,Nothing comes to mind!
4.875,Some features make all the difference.,MIke K ,11/01/2009,,,5,5,5,5,,4,5,5,5,"My wife and i love this car.  The lack of road noise is fantastic and ads to the use of the blue tooth phone on board this fun to drive vehicle.  The back seats fold down individually permitting you to haul long items while still seating somebody in the back seat.  We drove many vehicles before buying this one, and for the money nothing comes close to this car for value.  It not only has an Aux port for ipods or other music players, but it also has a USB port for flash drives and other usb devices.  The Cabin on this car is very quiet and comfortable.","Blue tooth phone, very quiet interior. several entertainment options.",mud flaps need to be standard on all the models.  
4.5,exterior noise,beth ,10/29/2009,,,5,4,5,5,,4,5,4,4,Can hear a lot of the road while driving but other than that a great car so far. ,"blue lights in dashboard, very impressive",a little bit of a noisy ride 
