rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Saved my life,Zapataro ,10/27/2016,,,5,,,,5,4,5,,,"A car company is at it's best when it has something to prove. Mercedes with the w126, VW with the Phaeton and Hyundai with it's Genesis. Hyundai wanted to show the world that it could make a car every bit as good as the Germans and mostly they succeeded. I looked at comparable 5 series and E class automobiles, their quality, options and reliability records and could not see the value in the Germans higher prices, besides the badge. A friend, who is a BMW diehard, had to admit that my Genny was every bit as fast as his 5 series, had a nicer interior and a stereo that blew his out of the water. It's not perfect by any means though. Not as polished as the Germans. The ride wasn't quite sorted, and the traction control was absolutely terrible. Even when the traction control was ""turned off"" it was still far to intrusive, cutting in at very inopportune times.  In the year I owned it I had no troubles with it. I would have kept it for much longer had I not been T-boned by a full size van running a red light at 50mph! What I can say about that is I was able to walk away from the accident with only bumps and bruises.",,
3,my 2009 buggy,john tammaro ,01/31/2016,4,4,4,,,1,5,5,4,,,,,
5,First model year Genesis.  I'd buy it again!,AZKerry ,01/23/2016,5,4,5,,,4,5,4,5,,,,,
5,MY GENESIS 4.6,jerrymax ,04/19/2015,5,5,5,,,5,5,5,5,,,"I bought my 2009 Genesis six months ago strictly as a touring sedan. I quickly put 1200 miles on the odometer on a road trip and only another 1200 more since then. It is a beautiful car, very comfortable and moves like a rocket if you tap the gas. The build quality is rock solid and the 17 speaker sound system is the best I've ever heard. I'd give it a top rating on everything but the ""fun to drive"" item due to steering that is precise but feels sort of numb. But as a full-sized luxury car it's not meant to handle like a Porsche.",,
2.125,Do not buy - brakes fail on lots of HYUNDAIs,i_love_carz ,08/03/2013,,,3,4,1,1,,3,3,1,1,"Brake pedal goes to the floor occasionally. No braking at all!!!I am told the ABS module has failed and not covered by warranty at 62,199 miles as I am the 2nd owner.$2,500 repair cost.This is a chronic/common problem with Hyundais and should be covered as a recall because the engineering/manufacturing process or something is obviously is defective!Do your research as brake problems with Hyundais is way too common.Go to http://www-odi.nhtsa.dot.gov and look for yourself",,
4.5,Just bought a 3.8 Genesis Sedan,ibuy4u ,06/11/2012,,,5,4,4,4,,4,5,5,5,"I was skeptical of Hyundai just like you. I wouldn't even look in the direction of this brand before BUT in these times...if your credit is shot due to the economy and can't get the car you drove before or want then this might be the car for you. After driving the Genesis I was pleasantly surprised! 3 main factors that caught my attention. Driveablity, Technology and Accessories. It drove like a cream puff. Smooth ""very"" smooth engine and tranny with kick when you need it. Technology available is just as good and plentiful as the rest with BMW and Audi hand controls. Accesories you would normaly have to buy as an option is included in the Genesis. Great value and warranty for the buck!","LED cockpit and footwells just like the A8. All windows go all the way down and not halfway. Power rear sunshade with auto folddown in reverse. Keyless-go works great with audible beep not horn. All doors illuminate the ground when opened. Venitilated seats warm and cold. Radio/Navigation/DVD controls at your right hand just like the BMW 7 series and Audi A6/8 models. HID adaptive headlamps. And a loud, crisp, thumping surround sound 17 speaker system. Pretty damn good for stock! And most of all, the best piece of mind you can get is 10yr 100k mile bumper to bumber warranty. Anything breaks the dealer fixes! Piece of mind=stability! ",I just bought this car (6/12) and only had it for a few weeks. No problem to report as of yet. I will post here if any issues arises. I've read alot about tranny issues or sudden acceleration etc. I'll be the judge of that and will post if I ever experience any issues. I will tell you this...I've owned high end luxury sedans and for the money...this car has ALL the accesories you demand and want. Now lets see if the car holds up mechanically wise but time will tell. Hope this post was informative to all you buyers. I bought this vechile based on a few factors. 1. If you have kids (2-3yrs olds) back seats enough room for car seats. 2. Warranty is 100k bumber-2-bumber. 3. Value. Good luck.
2.375,I Must Have The Only Lemon They Made or Do I ?,bitesback ,07/25/2011,,,3,3,2,1,,2,3,3,2,"The 2009 Genesis/4dr Sdn 4.6L V8 I have leased since 07/09 from Sheehy Nissan Hyundai is a true lemon!Even after submitting a lemon law complaint to to dealership and Hyundai Motor America for numerous electrical issues, replacement of the transmission, catalytic converter burn out, interior frnt. windshield condensation build up during the cold months, gear shift sticking on more one occasion, starter switch being replaced, steering column control switch failure, the rubber seal in the sun roof coming out, brake light failure, they still refuse to take this piece of junk back! I believe it's a faulty parts problem as some of their car have had the same issues.Hyundai Assurance (Not)!!!","The hands free features are good, as I feel they should be available in all vehicles now days for safety reasons.
Used to be able to hit 120 with out a problem prior to the vehicle having so many electrical problems.
Once they started the vehicle was being serviced every three months after the first year. I say Hyundai owners/leases taking a stand and do a class action law suit for faulty parts instead of a car problem.
Electrical and transmission issues are major in this Genesis SDN 4.6L V8. Searched for Sheehy Nissan Hyundai of Waldorf MD to write a review and can't seem to locate a web site for them, so this helps me express my frustration in having 7 invoices for major repairs. ","Stop using faulty parts in your vehicles.
After several major issues not even two years of leasing is pretty overwhelming for any one to contend with!
Genesis or not the one I am driving with a lot of hesitation shouldn't even be on the road.
Who knows what will shut down on me next.
It's pretty bad when the service manager tell you he's replaced a lot of techs. because they were failing to make repairs when in fact they were not!
My first complaint was after my 15,000 service check. No problems going in but after I left everything started falling apart and hasn't stopped yet.
Shame the consumer has to deal with such poor service from a dealership and Hyundai Motor America.
Emotional!"
4.625,Bad Tires O Genesis,jspong002 ,05/12/2011,,,5,5,5,4,,4,5,4,5,"After only 7500 miles my two rear tires were completely bald. The dealer replaced them commenting they had never seen anything like that before. After the next 8000 miles the remaing two tires were also bald, but the dealer and Hyundai refused to replace. Do not buy a Hyundai with Dunlop Sp Sport 5000 m tires. Insist the dealer change them or don't buy the car. These are junk tires and should never be put on a car, as they are unsafe.","The Genesis is a great car, but they have cheapened it with the Dunlop SP Sport 5000M tires.",Get rid of the Dunlop SP Sport 5000M tires.
3.25,Honestly.. Very Disappointed!!,tigerbill61 ,05/07/2011,,,4,4,2,3,,3,4,3,3," Sadly bought my 4.6 LOADED brand new after reading about All the Great reviews. Its now been 2 years since my regretable purchase. Please let me reassure you I am a REAL Person and not a rep from some other ripoff car company like BMW!Tires very cheap replaced at 12,000 miles! Key needs to be within 1 foot or placed in slot to operate the pushbutton start!. Terrible in the snow and wet roads with the rear drive!Backup camera works 50% of time! You need a Hyundai brand I-Pod cable to work you I-Pod connection (Extra 75.00) Hmm never mentioned!The Transmnission shifting is a Nightmare and very embarrasing! Frequent updates for stereo _ etc. Im outta words with alottt more to say!","I have more to add from above. There really is no favorite feature to this car. Only that you dont see alot of them around.. Gee, now I know why! You have to have a college degree to operate the GPS system which is 20 some pages to read and does not make sense.. I went on you tube and watched the operating techniques. Again what a major ripoff with the cheapppp tires they slap on the car.. many cut corners. They promised me a Genesis if and when my car went down for service.. Wow how nice..but another lie.. they
tried to push a cheap Sonota on me which I had to deny and battle for the Genesis.. again, which They promised!","Fix ALL the Many problems.. Its just not me, I've read the other reviews and the people who have not complained yet.. well, just wait and give them ample time!

THere is truly a reason you do NOT see these cars on the road! I hope my review wasn't too much of a tyrade.. But I truly am speaking the truth and trading this thing in on a 2011 Kia Optima."
3.75,Wouldn't Buy Another One,Anonymous ,12/06/2010,,,5,5,3,3,,4,3,4,3,"This car is not an entrance to the luxury class by a long shot.  The transmission in my car is an abomination to the name of luxury car. It shifts with jerky motions, can't find the gear it needs to run in and has to catch up to the engine after braking. Two trips to the dealership and I have been assured that this transmission is within Hyundai specs.  The cruise control loses 3MPH up any grade hill and gains up to 3MPH down the hill. I have a 2002 I-35 that keeps set speed dead-on. I think Hyundai needs to reverse engineer an Infinity transmission and cruise control.  The ride is rough and the engine is noisy. Other than that the car is OK.","Outside and inside styling, among the best on the road",None because I won't be concerned with the next one.
