rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4.5,"90,000 Miles Still Like New",jas74 ,03/07/2014,,,5,5,5,5,,5,3,4,4,"Purchased from dealer, one owner lease.We have owned the car for 2 years and all we have done is regular maintenance per the dealer.Very reliable car, most Japanese cars are!Just had the transmission firmware updated, seems to shift much better.Also had the trany power flushed and changed.Overall, I just don't trust European cars these days.The BMWs / VWs, I have owned seem to require little $100-300 repairs all the time.Not the FX, everything works! does not nickel and dime you to death. ",,
,,,,,,,,,,,,,,,,,
4.5,Great Car - Hate the transmission,deninfiniti ,10/10/2013,,,5,5,5,5,,3,5,4,4,"I have owned my FX for over 2 years now and love how comfortable it is to drive (my first trip was 1200 miles and I felt as fresh stepping out of it as when I had got in!).The engine is great and has plenty of power.My main gripe is the 7 speed transmission... it sucks.I often find myself trying to pass other traffic and putting my foot to the floor and nothing happening for 1-2 seconds... once you get passed this point fine, but that lag can seem like an eternity.I had it re-flashed and that helped a little, but this is definitely something more fundamental..... But if they fixed this I would definitely get another.",Interior,7-Speed transmission
,,,,,,,,,,,,,,,,,
5,Continuing satisfied FX35 customer,essia ,12/01/2012,,,5,5,5,5,,5,5,5,5,I had a very pleasurable buying experience at the infinti of omaha dealership. The sales team of Dan and Dave worked with me and my budget to get me into an upgraded 2009 model from a 2007. Very happy with the car and the professional way I was treated during the entire buying process. I highly recommend these two individuals when buying a car and the infiniti of omaha dealership,"comfortable seats, iphone / ipad jack to enjoy my playlists",a iphone / ipad chargable jack so that you can recharge your componets while driving and also not use up the componet battery life
,,,,,,,,,,,,,,,,,
4.75,"130,000 miles later...",khl ,11/22/2012,,,5,3,5,5,,5,5,5,5,"FX35 FWD with Premium, Deluxe Touring, Navigation, Technology, and Rear Entertainment Packages.Original owner with 130,000 miles since 3/2009.A lot to still like: 1) Reliability: no problems to date except a cracked hose and routine maintenance.2) Handling: great feel of the road; amazing for an SUV; handles the twisties like a sports car; 3) Interior: looks luxurious; 4) Seats: excellent side bolsters and heated/cooled 5) Wheels: super looking 20"" alloys that resists brake dust very well.Gas mileage 20 MPG overall.However, I want to point out the many areas that I would love to see on my next Infiniti FX (see below).",1) Keyless entry and start/stop; 2) Tachometer/speedometer needle that zips around the dial on start-up; 3) Laser detection of traffic slowing ahead alerting driver to prepare to slow/stop; 4) Rain-sensing intermittent wipers; 5) Around-view monitor; 6) Reclining rear seats,1) Parking sensors inadequate--Need sensors on full bumper. 2) Blind spot monitor would be helpful as dark rear tinted windows difficult to see out at night. 3) Full automatic rear latch/door closer. 4) Manual transmission option to row your own gears. 5) Air recirculating setting that prevents 100% of outside air. 6) Difficult to get into and out of rear seats unless rear doors opened almost 90 degrees--rarely possible in parking lots. 7) Full shift control in manual mode; shifts on its own not allowing you to hold gears longer. 8) Blu-ray DVD player with HD screen--current system forces you to buy regular DVDs. 9) Using key remote to lock uses horn to confirm--sounds cheap!
,,,,,,,,,,,,,,,,,
4.625,This car is Awesome!,mikeshehade ,07/07/2012,,,5,4,4,5,,5,5,4,5,"To all those the have Trans issues, its really not that serious, yes it shift a little werid but hardly noticable. You people are freaking picky. The car is [non-permissible content removed] its fast, comfortable, and reliable.I looked into alot of SUV's and this one is by far the best. X5, M-B, Porshe is a joke. Just the interior on the FX alone is better then these cars. ive had this car for a few months and its been very fun to drive. its like buy a 350Z but a SUV body. if your old and not into sporty cars, dont buy this. Go buy a M-B with its 500 issues and its ugly exterior. ",,
,,,,,,,,,,,,,,,,,
5,Sports Car/SUV - A Great Mix,jah53 ,10/18/2011,,,5,5,5,5,,5,5,5,5,"Handles like a sports sedan (very similar to Adui Q5) but with additional practicality and great view of road. This was a prime consideration for me Great looking (and unique) exterior, beautiful interior - although I would prefer a bit more of the Maple and Aluminum trim, and it could really use some additional leather on the door panels at this price Milage is disappointing - have never gotten better than 22 mpg (and is generally 17 - 18) with AWD.While power is very good - milage is less than my previous M-B E430 4MaticLimited luggage space compared to other SUVs - but this is an OK trade-off since it handles a LOT better than other SUVsDealer experience is not up to M-B","Superb handling - very close to sport sedan.
Comparable to BMW X3 and Audi Q5.
Far superior to Lexus RX and M-B GLK.

Surround view camera!
All cars should have this feature.

Adaptive cruise control. I never used Cruise Control until I got this.
Set it and forget it.

Fantastic instruments and center console.

Fantastic compromise between a sports car and a traditional SUV - totally meets the needs of empty nesters with no children

Unique style - not another slab-sided derivitive looking SUV.

Interior is far superior to Lexus and M-B.
Different than, but competative with BMW and Audi.

Easy to use driver interface for touch screen (phone, audio, climate, etc.)","Heated seats are terrible, especially when compared to M-B or Audi.
Barely get warm.

Needs improved lumbar support for driver and really needs lumbar support for front passenger seat.

Needs self openng and self closing rear hatch.

Should add Blind Spot warning system similar to Volvo's BLSS

Need to be able to input data into touch screen while vehicle is moving - absolutely stupid to have to pull over when a front seat passenger could easily input data while vehicle is moving

Would like to see fuel economy get up to at least an average of 22 - 24 mpg (I am averaging 17 - 18 mpg overall; with a best of about 21 - 22 on highway)

Transmission lags a bit when accellerating"
,,,,,,,,,,,,,,,,,
3.875,Not worth even considering,Dave~NYC ,10/04/2010,,,5,4,4,5,,4,3,2,4,"Why buy this crossover? I bought it and I hate it. And for solely one particular reason. The transmission! Dear infiniti, you tried and failed miserable on manufacturing a 7 speed transmission. Mercedes can make 7 speeds, Lexus can make a seamless 8 speed, but you infiniti are poor at making a 7 speed. Why does this car shift into 7th gear at 25 mph? Whoever is reading this. this car looks nice, it looks sexy, the interior is gorgeous, but only because of the transmission do not buy it. Consider the BMW x5 or x6 or perhaps the Mercedes ml 350 but please do not buy this deceiving SUV. I miss my m45","The music box that stores all of your cds for you, I think it has 8 gigs","the stupid transmission, power lift gate, cheap minivans and chevys even have it, make the exhaust as loud as it was in the previous model, make the front seats wider to accommodate drivers over 190 pounds, and place steering wheel radio controls more strategically."
,,,,,,,,,,,,,,,,,
