rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
1,Heartache with Chrysler,Emile Gauvin ,04/01/2016,1,4,4,,,1,2,3,4,,,"I had an Intrepid which required a fair amount of front end suspension parts and accepted this because of the design of the car (front-end heavy and so on)  when we purchased the Compass one thing that returned was front end part issues and lots of them, started at 20,000 kilometers.  Because front-end issues can cause havoc with tires and steering in general, I like to have this in top shape, but it is a never-ending issue every time it goes in for regular service.  It still goes on today with the most recent lower control arms being replaced for the second time before 100,000 kilometers.  At 25,000 kilometers we started having the sun roof leak into the car.  Being told that the drain lines in the roof needed cleaning periodically seemed a problem because you really don't know when this can happen.  You tube had ways that people gave up with Chrysler and came up with their own solution although extensive it dealt with a lot of modifications to the drain line and this meant taking parts of the interior off.  Then, the front driver's side pan just in front and the back would fill with water - up to 2 inches of water, no rhyme or reason, cleaned this out several times before the dealership finally gave up on the issue of the drain lines and found a body molding without the proper seal in place.  The drain lines are still an issue but instead of paying $126 to have these blown out with compressed air, I do it myself. The last thing to go wrong is the K frame when the lower control arms were being replaced.  The place where I have my maintenance done on the Jeep now has a mechanic that used to work for a Chrysler dealership and alerted me to the fact that the K frame is rotting and that I seek out the dealership warranty, should there be one.  Right now I'm staring at $500 getting it done myself or $900 through the dealership - not even 100,000 K on the vehicle!The only good thing I have to say about the Jeep is in the snow, you cannot beat it, it is a tank with Blizzaks for tires.  However, when we get a wet snow/rain and it freezes, the doors will not latch after opening, major problem since the only way to rectify this issue is to leave the vehicle heat-up, with it not locked (not good!)So, we are getting rid of the Jeep soon.  All of the review of this and also the fact that there is always some sort of hassle with Chrysler has made the decision of what to purchase next, which does not include any type of Chrylser product what-so-ever!",,
,,,,,,,,,,,,,,,,,
2.75,2009 Jeep Compass Crysler,marthah ,06/26/2012,,,3,4,2,1,,2,4,3,3,after 150 000k; my vehicle kept stalling when it overheated; brought it Crysler service 4x; they could never fix the problem; I do not like it either that I couldn't check my transmission oil; had to bring it to the shop every time; I rate this vehicle close to a 1' I had changed oil every 5000 k; kept it well serviced; it still didn't do the job it should have; I had bought other vehicles from Chrysler; and this is a lemon; I have spoken to to a lot of people who own them and they too have the same problem.They are good for awhile; some go after 10 000 k; motor stopping others like mine go after 100 000.It is too bad; and I did like Chrysler.,interior,motor and transmission and brakes
,,,,,,,,,,,,,,,,,
4.875,A Solid and Reliable Vehicle,haraldm ,04/06/2012,,,5,5,5,5,,4,5,5,5,Don't believe the reviews done by Edmunds -they must work for Honda or Toyota.This vehicle runs like a top and never gives me any problems.,"Great fuel economy, comfortable seating, no rattles or vibrations, good storage room, etc, etc","Sound system could use some minor tweaking.
I get static on distant radio stations when stopped at traffic lights.
I didn't get this on previous cars when tuned to the same stations"
,,,,,,,,,,,,,,,,,
3.875,Good Vehicle all Around,hammerham ,02/21/2012,,,4,4,3,4,,4,4,3,5,I'll get the bad out of the way.The low profile tires that this model carries were kind of weak I suggest buying the next size up.I got some Hankook Optimo 727's at 215/6544 pound tires 17'.They climb a lot better but you do lose 2 mpg it seems.I live in Pittsburgh I need the climbing ability in snow.The good stuff:23-25 (I actually got 27 going to New York) miles ave. on the highway 20-22 in the city.That's awesome for a 4x4.She is better on gas than the Liberty and I feel equal or better in mud and snow than Liberty. I'm 6-3 with room still between my head and the top.My 6-6 friend has about an inch or two to spare.Mine does come with adjustable seats though.,"The Plug outlet, the ipod outlet, the gas mileage, the fold down seats and the handling.","Elminate the blind spots, suggest a bigger tire (not wheel 17in is good enough), stronger ball joints would also be a plus.
It's a Jeep, the parts should be a little tougher in the wheel area."
,,,,,,,,,,,,,,,,,
2.75,Needs some work,Monica ,10/27/2010,,,3,3,3,2,,2,3,3,3,"Been driving my 2009 compass for 15 months. Been in the shop 3 times now for different issues/defects. passing is difficult, it has not ""get up and go"" !It's loud, my breaks have squeaked and ground since day one.  It has not been reliable for me, and  I will be trading mine in within the next few weeks! ","I like the space it's provided without having to drive a huge ""mommy mobile"". It rides smoothly.",I think at this stage power windows and locks should be standard in even the lowest models of any vehicle! It needs work.
,,,,,,,,,,,,,,,,,
3.75,15 Months later,Zeferam_Cockran ,07/22/2010,,,3,3,5,5,,4,3,4,3,"After 15 months of driving as follows are some tips for potential buyer, I recommend a short term rental to try out (daily rental) and take close attention to the following, depending on your height and driving position this little truck may not be suitable for tall drivers ( 5'10""+ ), limited visibility due to A pillars, if you drive in a location where there are lots of pedestrians beware for posts completely block your side visibility, not sure if the patriot has the same issues but I have had several close calls, this also applies for rear view visibility and lane changes, this asides Compass is a good buy for the buck but would recommend the Patriot for any real Jeep enthusiast.",Flip switch lockable central differential. Front headlights provide excellent visibility for night driving with fog lamps Excellent handling for SUV Very decent fuel economy,"Larger fuel tank a definite plus Eliminate the TPMS ( tire pressure monitor system ), have it and hate it More powerful engine would help Offer leather seat option for North trim Improved security system for window contacts Defrosting side mirrors would be nice"
,,,,,,,,,,,,,,,,,
4.5,Great Crossover,Jessy ,07/01/2010,,,5,4,5,5,,4,5,3,5,"I'm confused with why the ""pros"" don't like the Compass.  It's a great crossover utility vehicle with plenty of room for those who don't need a large SUV, but are similarly disinterested in using a shoe horn to get in and out of an automobile.  The fuel economy on my Compass has been mediocre at best, but the vehicle is fun to drive and I'm impressed by the safety features.  I love my Jeep!  ","Superior sound system, lifetime power train warranty, 115v outlet, plenty of storage space, and very comfortable seating.  Assembled in Illinois.  The best feature:  it's a Jeep!",Why is there no compass in the Compass?  Improve the fuel economy and make power windows/locks standard like nearly every other manufacturer.  Get rid of some of the noise associated with the cvt.  
,,,,,,,,,,,,,,,,,
4.875,Syracuse to OC 12/19-22/09,geeo ,12/28/2009,,,5,5,5,5,,5,5,4,5,"I bought this as a car for my daughter in SU in New York State, I live in California. We got a great deal with a lifetime power train warranty all for 14 new. My daughter wanted good snow and rain and a great radio with a aux socket for her I pod. On December 19 the we set out on a cross country trip. I could have shipped the car and her stuff but that was estimate 1400.00 the gas all 3345 miles was 184.81  adv 18.9 mpg. We drove through the largest snow storm in virginia has seen in 59 years. The Compass plowed through great. It knew how to adjust the traction for optimum mpg. We had the stock 17"" Tires on it,no chains. This car is for the young at heart It is a great deal simple controls! ","Transmission,acceleration,sound system cargo capacity, Simple controls with few electronics. Traction control system.",Light in engine compartment. More heavy duty lug wrench it cracked on my first use of it.
,,,,,,,,,,,,,,,,,
4.625,"Fun, Practical, Unique styling",Herky ,10/09/2009,,,5,5,5,5,,4,4,4,5,"I wanted to downsize from my 2003 Chevy Blazer 4x4 and found an incredible deal at one of the Chrysler dealerships that was losing its franchise. I liked the funky, crossover design and decided to test drive it on a whim. More than 4 months later I still enjoy this vehicle as much as the day I took that test drive. So far, this is a great little car. My gas mileage is around 28 and I've got the automatic tranny. The interior is very user friendly, and the seats are firm and comfortable. This thing is agile; handling is great. Engine performance is more than adequate. Overall, I'm very impressed with this Compass. Also, I get a lot of compliments on this vehicle.     ","Easy-folding rear seats, electronic stability control, stain-proof material on seats, cvt automatic transmission.",Make a compass standard in the Compass. There's a temp display but no compass.  
,,,,,,,,,,,,,,,,,
4.625,Possible Problems?,Possible problems? ,10/05/2009,,,4,5,5,5,,5,4,4,5,"Just bought my new 2009 Jeep Compass with touch screen radio 3 days ago.  Overall this vehicle is wonderful with some exceptions.  The touch screen radio is not working! All other touch screen components are fine but radio is very temperamental. Compartments in console are very tiny and are too small to really put anything in them. Cup holders a bit hard to get at however, love the optical interior improvements from the 2007 compass that I rented last year, but is this electrical problem a sign of things to come? ","Smooth ride, awesome on gas (same as my Honda Civic!) sleek exterior design, low engine noise, feels like a luxury car yet drop down tailgate speakers are perfect for the drive in!","make cup holders more easily accessible for driver.  Rather than have multiple small compartments on console, suggest having more useful ones or none at all as very hard to clean in small places."
,,,,,,,,,,,,,,,,,
4.875,Great Deal,C. Mays ,10/04/2009,,,5,5,5,5,,5,4,5,5,"I Shopped until I Dropped.  I found problems relating to all SUV's and what sold me on the Jeep Compass was the price and the lifetime powertrain limited warranty.  MSRP: $19,450.00 Minus: $4500 cash for clunkers Minus: $3500 Chrysler rebate. Minus: $2500 cash back from my dealer.  A very nice SUV for around $10,000.00 that rides well, easy to park and is fun to drive. ","Easy auto to maintain, people comments on the looks, fun to drive.  The headroom is fantastic.  Service from the dealer is painless.","A wider body for more room.  Tires stick out further than the body so mud flaps are a must.  Poor width room with the high center console in which many autos have.  Every time you open the main console, the little cell phone storage unit flips open.  Still needs improvement on noise control"
,,,,,,,,,,,,,,,,,
5,fun to drive,luke ,08/23/2009,,,5,5,5,5,,5,5,5,5,"don't know why the experts don' t like this car - its fund to drive and gets great mileage.  I got the 5-speed with front drive (not 4x4) and get over 30 mpg with town & highway driving.  Its a steal of a deal, too!  Very sporty driver.",5 speed drives like a sports car,"if i ever plan to tow a boat, i'll need a different vehicle - tow capacity is only 1,000 lbs."
,,,,,,,,,,,,,,,,,
