rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Mr Big,Ken Carter ,10/31/2016,5,5,5,,,5,5,5,5,,,,,
5,Back to back Borregos,JR ,06/26/2016,5,4,4,,,5,5,5,4,,,"I have the distinct pleasure of being on my second Borrego.  The first was a brand new, off-the-lot EX V6 4x2, and the second, and current, is a used EX Limited V8 4x4.  Fell in love with my first Borrego's excellent freeway manners, stability at any speed, and feature-laden and cavernous interior.  Although the 4x2 was tow rated for 5,000 lbs., we wanted something stronger to pull a heavy RV trailer.  When we learned that that the V8 Borrego was tow-rated at 7,500 lbs., which is huge for its class, we searched around and bought one from a nearby private seller.  It hasn't disappointed as a tow vehicle.  Ironically, the V6 felt peppier and smoother.  But I'm happy with the V8's torque and go-anywhere confidence of the full-time 4x4 system.  I'm only sorry that Kia discontinued the Borrego as I would loved to made a three-peat. On both Borrego's, I appreciated the interior volume, standard adult sized third row seating, easy to use navigation system, no fuss dashboard and HVAC controls and layout, and just simple reliability all around.  It will be a sad day when I have to part with my current Borrego.",,
4,Update,LAJ ,03/27/2016,2,2,1,,,5,5,4,2,,,"I drove this car for 91,000 miles and five years. It was a reliable, trustworthy car. Never gave me one issue with the engine.  Always started. Inexpensive to maintain.  At about 75k, things started breaking.  The CD player quit working, the button for volume became tricky as well.  The AC was not always great in the back,so sometimes we burned up on long trips.  The Door locks broke, and the paint began chipping and flaking like crazy.  Despite this, it was a great car mechanically. It was a trusty beast, and if not for  the fact that my kids started moving out, I'd probably still drive the gas guzzler daily.  It was just that reliable.  Of course, I'd have to insure I did not lock the doors,  or cared about having a car with paint, all while burning up and checking apps for cheap gas.  It gets to ya, it's like a good old work truck that's ugly as Heck, but you went to your first job in it, so you keep it.   I had a hard time trading it in.  I kinda felt sorry for it.  I guess that's what happens with good cars.  I guess this is a great car if you just need to drive a little bit, or you have a kid who just needs to go back and forth to school, and gas moneys no big thing it they are safe.  All in all, it's a reliable family hauler that's cheap to maintain.  I truly believe someone can drive it 200k with very little issues.  If that's all that matters to you, this is the car for you.   Just make sure you never lock it or leave anything valuable in it.  :)",,
5,Best Buy Ever! Super Reliable! No Issues!,Kenneth ,03/07/2016,5,5,5,,,5,5,5,5,,,"I got rid of my CTS and wanted to get into an SUV. I wanted either an Acura or Lexus, which is completely night and day from a Kia. As soon as I test drove it for the first time, sale rep advised me of the warranty and seen the price, I gave it a shot. My 2009 Kia Borrego EX has 134,000 miles and rides like a baby. All i've done was maintained with the oil changes, purchased new tires and that's it! Best deal ever!",,
4.875,A Real Sleeper!,adomaib ,06/12/2013,,,4,5,5,5,,5,5,5,5,"We have been a KIA family since our first Sedona12+ years ago and currently own a Soul and a Rio.I was always intrigued by the Borrego but timing, finances and and model availability never seemed to come together; until this Memorial Day.We bought a 2009 LX AWD 6 cylinder with 29000 miles.We immediately took off on a 1000 mile driving trip to Northern Minnesota for a week.The Borrego met our every expectation.It was comfortable, roomy for all our gear, quiet, and it handled much better than all the negative reviews about ""rough ride"" would lead you to expect.Acceleration with the 6 cylinder is more than brisk, and our gas mileage for the trip was 21.9.","Roominess, quiet ride, comfortable, great visibility, good gas mileage, acceleration, solid feeling, towing capacity, audio system, the awesome copper colored paint job, interior fit and finish",None at this time!
4.75,best purchase ever 4x4 8cyl. EX Limited,timotheo ,04/05/2012,,,5,5,5,3,,5,5,5,5,"I was considering an Explorer or 4Runner. The first car has failed everything: price, reliability, comfort handling etc. 4Runner limited is... didn't want to pay for another mortgage. Kia Borrego EX Limited has everything but listed at a great price. After research (and tons of positive reviews) I(6'3"") test drove it and was amazed at the vehicle. I have the 8 cyl. It has great turning radius, power, rides smooth, size, comfortable heated seating for 6 or 7, 7,500 towing capacity, BMW transmission & other tons of bells and whistles. I drove it for over 3K with no problems by now. I think the Borrego is a great car for the price. Mileage is 16.7 mpg combined avg but I dont drive HW much.","Comfort(roomy), power, look and style,heated seats, room for second and 3rd row, price... everything","After I saved tons of money, I bought new Michelins Lattitude Tour tires. The car feels even better now. "
4.625,Wonderful!!! ,asiel1 ,08/28/2011,,,4,5,5,5,,4,4,5,5,"This is my first SUV.I purchased it last November after my car was totaled. We have driven this car home to Louisiana (8 hours) Jacksonville Fl (13) and Colorado Springs(13).-- one way trips.The car drove beautifully and was comfortable for my three kids. - 18,13, and 10.The only complaint I have had is shifiting into gear inthe mountains, it drags a bit.-- and occasionally the downhill and traction control button comes on, but other than that nothing. The hankook tires are okay, but wear out quickly--41,000 for me and will be replaced with Michelins.All in all, I love this car.buy one and never look back.I plan on driving mine for years! ","V6 engine, I had a four cylinder before.
The size is great, third row seat wonderful for my 10 year old daughter it's her ""spot"". ","Bring it back.
It's a great family car.
Get rid of the RWD and make them all AWD.
It's crappy in ice-- dangerous!
fix the transmission issues it's rather scary in the mountains when you are
going uphill.
Make the luggage racks have a place where you can tie things down. "
4.875,Great bargain,Luis ,11/26/2010,,,5,5,5,5,,5,5,4,5,"I never was considering buying a Kia but saw an ad with the borregos listed at a great price. I did some research on the borrego on the Internet and it got great reviews. I test drove it and was amazed at the vehicle. I have the 6 cly. It has great power and rides smooth. Turning radius is great. I have a Volvo xc90 and cars are similar except I paid almost $20,000 more for the Volvo. The Volvo has better leather and insulation for wind noise. Other than that I think the borrego is a great car for the price. Gas mileage could be better but it's a good size SUV. My Volvo gets a little better gas mileage but needs premium gas. Overall the borrego is a decent car for the price I paid. ",Power is great.  Car feels peppy for it's size.  Car came with good accessories and features.,Make all windows auto one touch down and up.  Definitely can live the way car has only drivers window one touch down.
5,yes it's a kia,sallen ,10/10/2010,,,5,5,5,5,,5,5,5,5,"Just got it and very happy. The v6 has as much hp as my 4.7L. tundra. You can't beat the standard equipment that it comes with. The dealer was selling these for $11,000 under list, so couldn't go wrong. needed something that towed and it came ready to go. This is a ""$40,000"" domestic SUV and they still can't match the 10/100,000 war.Friend has '05 sportage with v6 that's going on 100,000 mi. and still going strong.(tows two wave runners to lake). Can't see buy any domestic SUV until they can match this one. ","duel zone a/c, tilting and moving back seats, cup holders everywhere,power of the V6 and 5000 lb.towing",duel exhaust
5,Great bang for buck,mp ,08/20/2010,,,5,5,5,5,,5,5,5,5,"I bought my kia in august of 09. I was debating between this and the pilot. I have been very happy with it this entire year and have not had a single problem. I get about 17/18 mpg, which is pretty good considering the size of the SUV. Great 3rd row with plenty of leg room for kids, a little tight for adults though. I also added running boards and a nav system for much cheaper than if you buy the limited version that comes with one. ","parking assist, lights on the side mirrors, HUGE trunk space, especially if third row folded, ipod input, hill assist (makes sure that when I'm on a hill at a red light with my foot on the break, when I take my foot off the break I don't roll back at all for a few seconds.)blue tooth, great interior",can't think of any
