rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,"120,000 miles",Lawrence Baye ,12/10/2016,,,,,,,,5,,,,"6 years and 120,000 later, I have not had to have the car repaired for anything except for headlight.  I replaced both, but did not by bulbs from dealer.  Do maintenance on schedule.  I live in a very rural area so very few stop signs and traffic lights and most roads have 55 MPH limit so not much wear and tear on car compared to city living.  I am 5' 8"" and 190 lbs so no problem with driving comfort.  We also own a 2015 Optima.",,
,,,,,,,,,,,,,,,,,
3,2009 Kia Optima TRANSMISSIONS ON OPTIMAS ARE BAD!,unsatisfied ,03/28/2016,3,3,3,,,3,3,3,3,,,I had problems with acceleration from the time I bought this new. I was told there wasn't a problem they put it on the computer and there wasn't anything wrong....I am a woman so...it was well we cant find anything wrong. I was charged for the KIA maintenance plan for 5 years...and low and behold at the end of 5 years....they found it needed a new transmission....!!!,,
,,,,,,,,,,,,,,,,,
2.375,First and last import,tielbor ,09/13/2013,,,3,4,1,1,,3,4,1,2,"We were looking for a decent, mid-sized car and settled on the Optima.We purchased the car used(two years old), with 40,000 miles on it.The car served us well for the first year and a half with only a few small issues. As soon as the warranty expired at 60,000 miles, the transmission failed.Two weeks after replacing the transmission($2700), the air bag sensor in the passenger seat failed ($1500).After the sensor, a host of electrical problems surfaced.Since the car cost us more in repairs in than it was worth over a year, we sold it and won't touch another KIA.","Comfortable seats, peppy and fuel efficient engine.","Quality control.
Cars should not fall apart at 60,000 miles.
Also, dealer service.
The dealer tried to blame us for any and all problems the vehicle had.
They told us the transmission fluid was low, causing failure and that we dumped a lot of water on the seat to cause the air bag sensor to fail.
Corporate customer relations were no better.
I never had such bad interaction with any manufacturer before and I have owned many makes and models of vehicles before the KIA. "
,,,,,,,,,,,,,,,,,
4.5,Transmission,dholder35 ,04/27/2013,,,5,5,2,5,,4,5,5,5,"KIA needs to make a better transmission. This is the second Kia Optima I have owned and the transmission always seems to go out. The service department will always say you need a transmission flush, but then after the warranty runs out the transmission will quit working and I have to pay for the transmission to be replaced. When Iapply my brakes the transmission will down shift hard.",Ease of handling. Corners like its on rails.,Transmission
,,,,,,,,,,,,,,,,,
2.875,KIA OPTIMA POOR,rtoothman ,04/22/2013,,,4,3,3,2,,3,4,2,2,"Car codes every spring return to dealership they clear code[multiple misfires] runs fine after several restarts, and say they cant find whats wrong with engine 2.7 V6 which they no longer offer in Optima.The vehicle has had this issue since 10,000 miles and only has 49,000 as of 2013.Dealership or KIA problem?????Rhorman's of FT Wayne In.","nice interior,and plenty of air bags
",Costumer Service.
,,,,,,,,,,,,,,,,,
3.125,KIA Optima needs improvement on transmissions,csaylors ,06/05/2012,,,3,4,2,2,,4,3,3,4,I have owned my 2009 KIA Optima for three years now and had to replace the transmission once already and it is in the shop again (not even a year later) with the same problem. I don't know if this is a problem everyone has or if I bought a lemon. The built in Bluetooth had some problems as well. I just had to quit using it. The headrest is not comfortable at all. But it handles well and it is fun to drive. It gets good gas mileage and that's what we needed at the time.,Has a lot of trunk space and the seats for down for extra space when needed. Good stereo and has plenty of leg room ,Need to improve the quality of there transmissions! Design a more comfortable headrest put in better quality Bluetooth system
,,,,,,,,,,,,,,,,,
4.75,Very First Foreign Car!,swineheart ,03/30/2012,,,4,5,5,4,,5,5,5,5,"Ive always owned American cars, I am a Vet and felt bad about not supporting American auto makers. I've owned Chevys, Fords and Olds. I Love my KIA Optima! I bought it due to the cost of gas and the options on the car. For the money, you cant go wrong. It has a high safety rating, roomy interior, good stereo options and best of all great EPA rating for a midsize sedan. It's comfortable on the highway and zips around town. If you are in the market for a sedan that's affordable and still fun to drive, I highly recommend the Optima.",,My only con is the feel of the gas pedal. The disc brakes are great but the gas pedal jumps with just a light touch. It takes some getting used to.
,,,,,,,,,,,,,,,,,
5,"Yes, I bought a KIA",donald09 ,09/27/2011,,,5,5,5,5,,5,5,5,5,"My wife and I have only had our Optima for a couple of days.It is everything that the data says it is. We took it out for a fun run to see how it performs.We put on 140 miles and used approximately 4 gallons,35 MPG.I couldn't get the wife to quit playing with the SAT radio, she loves it.I felt it was easy to handle in a curve, the visibility was great, the instruments were easy to read and access.","The SAT radio for the wife. The MPG for me.
We both love the color Red.",
,,,,,,,,,,,,,,,,,
