rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Satisfied customer,Maria Holthus ,07/08/2016,4,3,4,,,4,4,5,3,,,,,
,,,,,,,,,,,,,,,,,
3,Disintegrating interior,R Miller ,03/07/2016,3,4,1,,,4,4,4,3,,,"Bought a used 2009 Sportage in NBA December with 65K miles. Almost immediately,  the passenger door lock froze. Had to have that repaired to be able to use the door. The interior light sunglass holder is breaking up. Both plastic light buttons have come off and bits broken off and the latch for the sunglasses has broken off. It will cost $165 just for the part. I don't think I'm excessively hard on cars; I just let go of a 2003 Hyundai Santa Fe with 235K miles that I'd bought new and never had these issues. I had heard great things about Kia the last 10 years, but I am very disappointed and will not buy another.Update - now the windows will not roll up from the driver's door controls.",,
,,,,,,,,,,,,,,,,,
4.875,Awesome car,gerardw ,07/06/2012,,,4,5,5,5,,5,5,5,5,"Living in Central Canada where the winter weather can get down into the -40C range, and the summer temps, like today, can hover in the +30C area, I read reports on the Sportage and decided to buy.I previously had a Kia Magentis for five years, which, to date is the best car I have ever owned.The Sportage is coming in a close second.Very comfortable, great ride, good on gas and excellent dealer service all add up to continuing with this brand next year.No problem starting in the cold weather and efficient air conditioning in the summer bring excellent reliability.I miss an inside armrest, wish it had digital temperature controls, but if that is all I have to complain about????","The ride, the ride, the ride!!! I have friends who own much more expensive cars and they are amazed at the ride in the Sportage.","Digital air/heat controls to allow easier heat/cold settings.
up/down one touch window on the passenger front side."
,,,,,,,,,,,,,,,,,
4.5,ESC light is on,michelle ,08/10/2010,,,4,5,4,5,,4,4,5,5,I really like this car. I replaced a 2002 Chevy trailblazer with my Kia. I think it's a good choice. That car was junk. Recently my esc off light is on. Any suggestions other than take it to a dealer. It isn't doing anything funky or making any noises. It came on after a bad rain storm. It comes on after about a mile a 2 has passed. Other than that its a great vehicle.,Its cute. stereo. satellite radio.,more plush interior. more room.
,,,,,,,,,,,,,,,,,
4.625,Long term review,ac ,07/12/2010,,,4,5,5,5,,4,4,5,5,"Owned the Sportage for a year and half with 35k miles still going strong. Recently I've been getting as much as 30 MPG. The sportage is very solid, no issues at all. The sportage has been a great commuter car and family work horse. Between commuting and getting the kids off to there sports, this car has been great. plenty of storage in the back with enough room to travel with 5 people. I find The 4 cylinder 2.0 liter engine adequate. Its not a rocket but gets me where i have to go. The 5 speed makes the sportage fun to drive. The outside finish is still as shiny as the day i got it. No issues at all , none. I do all of the required maintenance through the dealer. Easy to maintain. Great car!","Love the 4 wheel drive, safety features, roof rack, storage and satellite radio. Excellent warranty and great value and quality. Simple controls to operate","Exterior temp gauge, Vanity mirror lights, adjustable arm rest, light in the glove box, "
,,,,,,,,,,,,,,,,,
4.375,"Loved It, Sorta Love It Still",Jess ,06/17/2010,,,3,5,3,5,,5,5,4,5,"Spent a PA winter driving circles around other ppl and going up hills passing everyone. FUN. It's cute, way more economical than my Jeep was and super reliable in terms of the engine. After a year, however, the left rear side is creaking like an old house & like another reviewer said, my back hinge is rusting off and I have to get another. The hinges were on back order so this is a common problem apparently. The interior is cheap, you can't go in there without scratching it. Great engine, love the look and simplicity of it, but the rest is not holding up to my expectations at the moment. I don't think a car should have ANY problems after a year, just saying. Overall I still love it.","Simple efficient interior, outside design(so much better looking than the Tuscon), standard features, great dealership(so far, we'll see), price and warranty. Reliable-drove it back and forth from college in rain, sleet and snow with no problems. ","I hope they fixed things for the 10-11 models, such as outdated transmission & the cheap interior materials. If they have I would consider trading in my 09 because I do love this car & fixing some things would make it perfect in my opinion. But who is to say 10-11 models won't have other problems?"
,,,,,,,,,,,,,,,,,
4.5,Great SUV for the price.,br2000nc ,06/10/2010,,,5,5,5,5,,4,4,4,4,"We bought the Sportage because it was thousands cheaper than the rest of the compact SUVs and has a better warranty. Kia was also offering a $2000 rebate at the time. Have about 27k on it and so far it has been great. posted fuel economy is 20/25/23, we live in the country and average about 26 mpg, not bad. The only disappointment so far is the tires. They already need to be replaced. The 2.0 I4 is ok at highway speeds but acceleration is a little slow. Get the V6 if you want the 4WD model. Other than that it's a great SUV at a great value.","Keyless entry, mp3/usb input standard, reclining back seats.",Drop the 2.0 and use the 2.4 with the 5 speed auto. More cargo room. Better tires.
,,,,,,,,,,,,,,,,,
4.125,Pre Owned Kia,Ben ,05/31/2010,,,4,4,4,4,,4,5,4,4,"Purchased this car in early March, with 14,000 miles on the clock.  Have put 6,000 miles on it in 3 months. Averaging 21 mpg 80/20 highway city split.  (75 mph over hilly WV terrain). Very pleasant dealership experience. The USB adapter seems to have stopped working, the only flaw against this car.","Free 3 month trial of satellite radio for preowned vehicles.  All wheel drive has been fantastic.  Wife loves the ride height. 5 year/60,000 mile transferable power train warranty can not be beat.","The 4 speed is outdated, as is the 2.7 V6.  Seems to have to hunt for gears going up hills.  Both of these issues have already been addressed by KIA for the current Sportage.  Make an AWD Soul and we will be the owners of two KIAs!"
,,,,,,,,,,,,,,,,,
