rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,"No Problems at 150,000 miles.",Craig ,08/15/2016,5,5,5,,,5,5,5,5,,,"I bought this car with 60,000 miles on it.  I've changed the oil, tires and brakes. That's it, very reliable.",,
,,,,,,,,,,,,,,,,,
5,First Lexus ....Last Lexus ?,Rich ,07/20/2015,5,5,5,,,5,5,5,5,,,"I've now had this car about 2 years and I am very pleased . I had some initial strange symptoms that never came back . Since then , no problems . This car is very quiet, very powerful ( more then I need) very economical (over 32 on the road, 28 around town) . I still think the sound system is not up to the quality of my former Avalon ( JBL System). I just took this car on a 1600 mile trip where my wife commented that unlike other cars, your not tired after long rides in this car. I am looking at possibly purchasing another Lexus, possibly a new one. I am also very impressed with Lexus service. Service reps make every effort to give you the very best possible service. Many dealers offer perks to include free wash and or oil changes. The service area is more like a restaurant/lounge then a service area. Very pleasant place to spend time waiting  for your car. These are fine cars , living up to the reliability that I've come to know in the 8 Toyotas I've owned in the past  adding  the edition of luxury !",,
,,,,,,,,,,,,,,,,,
4.75,Relentless Pursuit of Perfection,connoisseur1 ,09/13/2013,,,4,5,5,5,,5,4,5,5,"I was fortunate enough to find a 2009 Lexus ES 350 with 35,000 miles on it that was in mint condition.It is silky smooth and whisper quiet.I have no issues with the steering,and it handleswell even around sharp curves.You have the feeling you are controlling a precision instrument.The biggest surprise is how fast it is.It has awsome passing power,and it is also fast off the line. My only minor critique on the car is that although the front seats are decently comfortable,there is room for improvement in that area.","It is a pleasure to drive,and it looks sharp!
Very smooth engine and transmission.","Make the front seats as comfortable as the seats
in an Acura"
,,,,,,,,,,,,,,,,,
4,Great car sans the rattles,jeff205 ,02/28/2011,,,5,3,4,5,,5,4,3,3,This is my second ES. The prior was an ES 330. The car is quiet in terms of road noise. Performance is great unless you are used to driving a high performance BMW. I';s easy to look down and see you are cruising at 80 thinking you are driving at 60. Interior materials are all high quality. I only have 2 complaints. First the sound system is sub-par for this class of vehicle. Second there is as persistant rattle in the sun-roof area that the dealer cannot seem to fix. There are also other bump related rattles that seem to develop during the first 20k miles.,Cooled seats. Nice combination of handling and ride. Great gas mileage. Quality interior materials. Comfortable car to drive.,A better sound system. Get rid of the rattles.
,,,,,,,,,,,,,,,,,
4.875,Exceeds expections,Dave ,07/26/2010,,,5,5,5,5,,5,5,4,5,"Bought this car after driving my RX for 10 years, which now my son is driving. Love the features, bluetooth for phone, parking assist, navigation, rear shade, auto wipers, and heated/cooled seats. Black interior can be a challenge to keep looking new but love driving it and the gas mileage is 25+ City and around 30 on highway. Would recommend to anyone. Looking to buy a third Lexus now, which brought me to this page!","Headlights, bluetooth, cooled and heated seats, parking assist.",Easier to clean back window (inside)!
,,,,,,,,,,,,,,,,,
5,Lexus Is The Way To Go!,Phil ,06/23/2010,,,5,5,5,5,,5,5,5,5,"I purchased my ES 350 a little over a year and a half ago, and to this day have no regrets. We have the fully loaded model in the Matador Red Mica color. The looks, the reliability, and the overall design are superb. This is our second Lexus. We also have a '94 GS 300 which has also been absolutely trouble-free. We'll always be a Lexus family.","Panoramic glass roof, smart key, heated/cooled seats, navigation.",Thicker exterior paint 
,,,,,,,,,,,,,,,,,
4.75,Lucky to be alive,Lucky ,04/20/2010,,,5,5,5,5,,5,4,4,5,"My husband and I had matching ES 350's.  My 2 boys and I were traveling in Washington DC one evening and were T-Boned by a guy going about 50 mph who ran a stop light.  My ES 350 saved all 3 of us, it was amazing how the car took over, spun around and landed perfectly between the lines of the road and disengaged itself. The car was totaled but we all walked away.  The police officer said we would have had a fatality if not for the safety of that car.  ",Safety,
,,,,,,,,,,,,,,,,,
4.625,Wonderful car...minus audio experience.,Dr. K ,02/28/2010,,,5,4,3,5,,5,5,5,5,Great car for the money and cradles you when you sit.  I drive 70 miles a day and the drive to and from work is the best part of my day.  Got 8000 miles on it already and I try not to fall asleep every day on the way home in the comfortable seats.  Dealership service is second to none.,"Bluetooth, Parking sensors and rear view camera.","Standard sound system is absolutely horrible.  The rattles drive me nuts, even after two visits to the dealership."
,,,,,,,,,,,,,,,,,
4,Lexus ES 350 Is A Strange Car,Sam ,12/08/2009,,,4,4,4,4,,4,4,4,4,In many ways this car is very nice. It is solid and fast contrary to most user opinions. Even though the car is quiet....it is hard to explain you can hear rattles and noises that are annoying. BMW and Mercedes are better built cars but the ES 350 feels better when you are in the car purely for comfort. The ES 350 needs to get rid of the rattles.,More room space and ergonomically a better car than Mercedes and BMW.,Get rid of the rattles. The outside design of the car can be boring. The driver's seat needs more cushion for the back.
,,,,,,,,,,,,,,,,,
