rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,great car,John ,10/04/2016,,5,5,,,5,5,5,5,,,I love this car!  It rides and handles beautifully.  Too bad that over the years Lexus Dealerships have only one goal which is to make as much money as possible.  Customer support has deteriorated over the years.  This is my fourth Lexus and this car is by far the best.  I just wish it was a Honda or Acura so I would not have to deal with Toyota.,,
4.75,Very pleased with this car,johnc ,10/16/2010,,,5,5,5,5,,4,5,4,5,"I've had the IS250 for 2 months now and it's everything I'd hoped.  Great looks, terrific fit and finish on the interior--which sold me over the BMW 3 and even the Audi A4.  As others have noted, the ride's not as sporty as some others but I'm not on twisting turning road all that much anyway, whereas the comfort and style are always noted and appreciated.  This is my 3rd Lexus (RX & GS) and have loved them all. ","Comfort, fit, finish.  Nav and blue tooth are excellent. Gas mileage also a pleasant surprise at 27+ overall.",Rear seat is tight.  Rear visibility a little sub par
4.25,Expensive Corolla,bmh69 ,10/16/2010,,,4,5,5,5,,4,4,4,3,"My first year leasing the IS AWD has been ""fine.""  It is a sporty looking pre-luxury all wheel drive vehicle, top notch reliability and a spectacular dealership experience.  Beyond that it's an expensive AWD Corolla with added bells/whistles. It does do a great job in the harsh Midwest winters, but is not nearly as fun to drive as the Audi/VW cars I have owned in past.  Its handling is okay but not sporty; the ride is generally compliant but at times punishing.  It never ""goes"" when you need it to and then whines like a four cylinder.  I am generally not as excited to drive this Lexus as I was my previous autos, and sadly look forward to returning to a German AWD car when my lease is up.","The AWD/ESC works as well as a Quattro. Okay handling. Gas mileage(for an AWD) in town 24. Interior appointments. Comfortable, heated seats. Feels safe to drive. Emergency handling. Sexy looking. Back up camera. Front cup holders. Crash ratings. Trunk/storage generous for car's size.  Quiet cabin.","Rear leg room; expect complaints from your rear passengers. Fold down rear seats to the trunk. Rain gutters on doors; you get soaked when entering/exiting.  Stiff ride over rough roads. More horse power; the V6 feels like a 4.  Google Maps should handle the GPS system.  Ugly ""sport"" wood grain."
5,great Little Car,john591 ,02/10/2010,,,5,5,5,5,,5,5,5,5,Ownership experience has been positive. The car draws favorable reviews for its styling. The fit and finish are excellent. It is quiet and very solid feeling on the road. Only complaint is getting used to a limitation on driver visibility to the rear.,"Favorite features are the solid ride, quiet interior, handling and the styling. The keyless entry system is also a plus as is the sensible layout of the interior.",Better visibility to the rear. 
2,Big Disappointment,City Doc ,12/26/2009,,,2,1,1,2,,3,2,4,1,"I traded in a Audi A4 for the IS250 and have been quite disappointed.  The transmission is rough when shifting, it has no get up and go, and the blind spots are huge.  I find myself having to look around a lot more in this car and am way more cautious after several near collisions because of the blind spots. The Audi was fun to drive.  The IS250 is a chore.  I'm getting rid of it after only 1 year.",Touch Screen Navigation.,Redesign both the body and the transmission.
4.625,Fun commute,chastek ,11/21/2009,,,4,5,5,5,,5,4,4,5,"This car is my third Lexus.  It has typical Lexus build quality, good exterior looks, and great brakes and handling.  The car is a much more engaging drive than my ES, but not as demanding as a BMW 3.   I'm averaging 27 MPG in mixed driving and thoroughly enjoy my commute now.  It's quiet and comfortable, though the rear seats are just for show... no one over 12 will want to sit back there.  ","Spritely handling, Build quality, Lexus customer service, and dealer experience",Driver footwell is too cramped by the transmission tunnel.  The rear seat needs a few more inches.  ECT button should be relocated to a visible position.  
4.875,Great mid-size sport sedan,jlandry ,11/11/2009,,,5,5,5,5,,4,5,5,5,"I chose the IS250 over BMW 3 series and Audi due to superior interior fit and trim.  Lexus interior finish is by far higher end than BMW finish at a more affordable price point.  Obviously the 250 could use some more power, but you can get that in 350 and the 250 gets great mpg.  Combined hwy and cty mileage averages about 26mpg. I get 31mpg on hwy.  The audio and nav system is superb. One drawback is not being able to program the nav system while the vehicle is moving.  Bluetooth is clear.  Dashboard instrumentation layout is very sporty and provides quick reference for temp, tire pressure, mpg and distance to empty.  Paddle shifters are nice touch and add some sportiness to daily drive.",Air conditioned seats... live in AZ. Paddle shifters.  High quality interior.  Very quiet ride from tires and cabin is very quiet.  Sound system is terrific.  Exterior styling is superb.  Great gas mileage.,More legroom for the rear seats.
4.625,Good bang for the buck!,Wooping ,10/20/2009,,,5,5,5,5,,4,4,4,5,"I've put 9,000 miles on this IS250 Automatic.  This is a pretty nice ride.  Hard to believe it gets better mileage than a manual.  Go figure.",It accelerates smoothly and has a nice quiet ride.  The steering is tight (excellent turning radius).  Huge breaks... stops on a dime!,"Like everyone else... needs more leg room... Americans are BIG.  Example, I am just 6ft tall... no one can sit in the seat behind me.  The sun visor does not protect my eyes when swung into the side window position... sloppy."
4,Overall very good but....,WD ,09/28/2009,,,4,5,3,4,,4,4,4,4,"All in all a very good deal, I agree with all the positive features mentioned elsewhere. I read somewhere about an annoying noise from the dashboard that starts few months after having the car, and I actually noticed that, it's from the driver's corner of the dashboard, a high-pitch annoying noise that occurs most on unsteady roads. I play music loud while driving and that can masks it, but a real disappointment. ","The ""snow"" drive button option. The extra power button engine option. The exterior look. Sound system   ","The dashboard noise. The white leather seats are very hard to keep clean (dunno about other cars, but even cloths will leave color prints on these ones) "
4.25,Great Car,Paul M ,09/03/2009,,,4,5,5,4,,4,5,3,4,"Just bought my 09 Lexus IS250 awd and I love it. The exterior styling is very eye catching and the interior is top quality. The seats are very comfortable, the ride is very smooth and you can barely hear any road noise inside. The radio and AC area without navigation is boring but its functional. Could use a little more power but its decent and the car handles very well. Its a very small car so a small backseat is expected. The back-seats aren't usable unless the front seats are pushed very far up, but all around its a great car!","Comfortable seats, smooth ride, paddle shifters, fit and finish.","More engine power, larger backseats, more stylish center console and maybe a screen instead."
