rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
1,"don't buy this model after 50,000 miles",Mr S ,10/28/2016,1,2,4,,,1,1,1,,,,"Cx7 looks great but made very poorly once problem starts they don't stop Check engine light on since day 3 got everything fixed o2 sensor, coils plugs mount, and much more. Cd player stop working engine eceleration went poor transmission got messed up 8 months later check engine light still on. White smoke on exhaust  when left idle for 3 minutes, lease it and return don't buys if it has more then 50,000 miles",,
3.25,DON'T BUY A MAZDA CX-7,debbiec13 ,03/22/2013,,,4,4,4,1,,1,4,4,4,"Our Mazda CX-7, with 57,000 miles on it, experienced the same sludge build up resulting in a turbo blowing out, timing chain stretching and VVT needing replacement, as thousands of other CX-7 owners have also experienced. With the original warranty and extended warranty still in place, Mazda denied all service claims stating ""poor vehicle maintenance""--as they have with all the other CX-7 owners.In speaking with Mazda technicians, they stated to me that there is a problem with the oil cooled turbo that Mazda refuses to admit to because it will result in a huge recall.Mazda needs to be held accountable for their poor design on these cars and stop putting the blame on consumers.",,
4.875,So far so good,pega ,04/16/2010,,,5,5,5,5,,5,5,4,5,"In 9 months I made put 25K km (17K in miles) and everything is perfect. I've been to a few long trips, it's such a fun to drive this car at these long trips - this is where it's a its best. Gas mileage is a bit on the high side, especially at winter, but hey, you can't have everything. I'm a bit worried reading all the bad reliability reviews for 2007 that I decided to write this one. So far, I love this car.",,
4.125,Engine problems,bmjdlj ,04/15/2010,,,3,5,4,4,,3,5,4,5,"I saw no review about the VVT problem that is part of the CX7.  This can be a very serious problem. To having the entire engine replaced.  Symptoms:  engine makes ticking/clacking noise when running and loud snap upon start up. My first trip to dealership was brushed off. Second trip, doing repairs.","Outside styling. BUT slant of front doors can be a problem.  Top edge of door is back further from handle, has hit me and others in face when closing.",
1.5,Mazda,belajac ,03/08/2010,,,2,2,1,1,,1,2,1,2,Nothing but problems. Two weeks after purchase looked under the car to see what the exhaust looked like the car all I saw was rust from the front to the back I was very disappointed when I buy a new car I expected a new car. Took it in for inspection a few months later and rotors needed cut and brake pads had to have rust sanded ( come on just replace them) then at 6000 miles all my electronics shut down everything went off TCS radio blue tooth navigation gas gauge would float from empty to full I have no idea probably rusted somewhere in the components sound like electrical???? Will they ever figure it out?? I got ride of the car happiest day ever took my loss and bought a Nissan again.,Bose speaker when it worked,Better carpet and the doors are really thin metal.
4.25,No Regrets,torchum ,02/16/2010,,,4,5,5,5,,4,4,3,4,The wife purchased this vehicle and although it does not have the bells and whistles of an optioned model (sure wish it had a few more basic ones though) we are very pleased with it. Working with dealership on a few issues but over all very impressed. The 2009 motor vs the 2010 motor is night and day and the main reason for buying an 09,Excellent feel on the road. Drives on rails and has plenty of power for commuting and cruising. Very sharp design inside and out,"Desperately needs more basic options like daytime running lights and headlights that turn off automatically. Heated seats have only one position...on...and this flows up and down with no way to regulate.The WORST is the low beams.Pretty much useless.On a rainy night, they are absolutely UNSAFE. "
4.625,Must test drive,George ,01/17/2010,,,5,5,5,5,,5,4,3,5,I have owned over 30 cars throughout my life.  This is one of the most fun i have ever had in a car.  Lived in Germany for five years and wished i had the CX-7 for the autobahn.  The seat bottoms in the front seats are a little short.  They may have fixed this for 2010.  ,"Turbo, Turbo, Turbo","Front seats, Stock radio is well below Mazda standards"
4.25,First SUV last Mazda!!!,Siddiqui ,10/16/2009,,,5,5,3,4,,5,4,3,5,"Great combination of sport and utility. Hate to say interior looks nice but cheap quality material, winds noise and side mirror vibrates when drive more than 60 mph, found alot of blind spots. Back lights each set for 569.00 plus tax!!. Too much rounds to gas station after buying it.  Purchased my '09 CX-7 AWD Sport (w/Leather)in July for USD 23000 OTD (out the door) and showed to my cousin and next month he bought 2010 (no leather) but with more nicer interior and options for 21,000 OTD same dealer, which makes me little sad.    Fun to drive but be ready to get TICKET!!.   ",,
5,Love the car so far,vm ,10/14/2009,,,5,5,5,5,,5,5,5,5,"I recently bough the cx7 and am very happy with it.  I really like the steering and the absence of body roll.  The acceleration feels comfortable on the highway, but don't expect this to be a sportscar.  There is plenty of room in the back for groceries or skis (when the seats are laid back). The rear seats are extremely easy to fold back.  I also like the front bucket seats and the leather feels very good.  The interior is way better than a Forrester or an accord.  The few complaints that I have are fuel economy (for me that doesn't matter since I don't drive a lot).  Also the bluetooth is useless.  Also sometimes you can feels bumps on the road.",Handling is great.  Styling and front seats are also way above average.,"Temperature gauge.  New bluetooth system.  Better materials on the interiar roof lining, shifter knob."
4.625,Great CUV For Small Family,Road Trip ,09/02/2009,,,4,5,5,5,,5,4,4,5,"Great combination of sport and utility. This is my 2nd CX-7. Purchased my '09 CX-7 AWD Sport(w/Bose and sunroof)in March after completing a short term lease on an '07.  Perfect vehicle for a small family or an adventurous couple.  It's a car(?) I love to drive on a daily basis and it's fantastic for road trips.(I mounted a trailer hitch on mine and we take our bicycles with us on our trips.)  Mileage was quite poor on my '07, but I still bought my '09.  Surprisingly mileage is better on my '09. I get around 18-19mpg in local driving and as much as 24mpg in pure highway driving(w/premium). For a little under 23K this is a CUV that could compete with more more expensive vehicles.","Great handling.  Excellent braking. Bluetooth is awesome. Comfortable driving position.(I'm 6'4""-but nobody wants to sit behind me!!) Great Bose Stereo w/ Satellite Radio. Excellent utility. Security of AWD. Very good safety ratings.",Needs telescoping wheel. Better mileage. Needs outside temperature gauge. More backseat leg room. Better OEM tires. 
