rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
3,Beware -,Peggy ,10/06/2016,3,1,1,,,1,3,3,3,,,"The car dealership advisors are all paid by commission.  They are competing to change things on your car whether it's broken or not.  I'm a woman and had the windshield wipers replaced without my authority at the first service after purchase.  I've had them scare me that I needed brake jobs ""right away"" where I waited a year and it was still fine (after checked out by other source).  I bought my car brand new with Warranty for 5 years. As soon as the 5 years passed everything started breaking down from the seat belt safety light & some SRS light with other minor malfunctions ($1500), check engine light ($2200), light bulbs and batteries are normal stuff and I won't complain about that.  Finally now, I went shopping before work and came back to find I could not start my car due to ignition switch, the care died, had to be towed and service advisor tells me it's a proprietary part (which is true - verified by another trusted source) and needs to be ordered and put in by Mercedes ($2500).          In the first 3 years of ownership, the interior began looking horrible.  The interior sliver stripping around the water holders all came out just because I used it.  The radio button black coating (with the # on it) started stripping and peeled away (1/2 black and ripped white spots all over like an old car.  I was told by the service manager it's caused by lotion on your hands.  The car seats are uncomfortable no matter how you adjust it.  Not good for a very tall or heavy person.   Think twice if you purchase this vehicle. Parts are all electrical and expensive labor. It's not like getting a Toyota or Honda fixed after warranty runs out.",,
,,,,,,,,,,,,,,,,,
3,Do not buy c300,Ed ,03/19/2016,,,,,,,,5,5,,,I have been having this car for three years now.  The worst of this car is that the bumper is too low and eventually you need to get repair for the bumper. The rims are aluminum and they keep breaking down and I change tires so many times.   I don't recommend this car,,
,,,,,,,,,,,,,,,,,
2,buyer beware,poor soul ,12/09/2015,2,3,2,,,2,3,4,2,,,I have a 09 C300 and have had nothing but problems since it hit 80K. First the steering lock went out that was 900 at the dealer now the horn just quit working. ..,,
,,,,,,,,,,,,,,,,,
4.75,Great car ..But.....,mhtartaro ,12/11/2013,,,4,5,5,5,,5,4,5,5,"I've owned the 2009 C300 4matic since august of 2011. My certified warranty ran out at the end of August 2013. I took my car in for routine maintenance for a transmission flush. Just 3 months later my transmission is making a weird grinding noise, at first I thought it was coming from my front wheel bearings but after inspection from the dealership it turns out its the bearings in my transmission! I was shocked to hear that I needed to replace my transmission at 83K! I purchased a Mercedes hoping I would get many thousand miles from it! I take very good care of my cars . Not sure I will buy another benz! Otherwise I loved the car ...beautiful car","The exterior is gorgeous! The handling is very good, although the continental tires that came on it were terrible. very quiet ride, sound system sounds great, interior is nice","better tires, sattelite radio sounds bad. tires are very sensitive to climate change. bulbs are always needed to be replaced in the lamps. ipod needs shuffle option, "
,,,,,,,,,,,,,,,,,
3.875,Unexpectedly Poor Quality,bostonengine ,11/26/2013,,,4,5,2,2,,5,4,4,5,"We have several MBs in my family. This is probably our 5th MB. I was already impressed with the quality. Reliability was what made this car an Mercedes Benz! However, 2009 that I own is far from reliable. 1. It always had some electrical/electronic issues since I bought every 4-5 months. 2. Road Noise is unbearable. I believe this is a car-specific problem, but Service Department refuses to sees the problem. Whoever gets into my car however, asking me what the noise is coming from.3. ""SRS Malfunction"" error message appeared out of nowhere and prevents the use of the car. Let's talk about reliability! 4. Seat is ripped from stitches when the car is only 4 years old. ",External Design of the car is amazing. It is the best design C series ever had.,You will lose your long-time MB customers if you don't get the reliability and quality back to what it was. How can you prevent a car to start because of an electronic issue! 
,,,,,,,,,,,,,,,,,
3.375,MBNA Corp has no regard for customers out of warranty,car_maven_1 ,09/03/2013,,,3,5,2,3,,4,3,3,4,"I was happy my C300 Sport 4matic while it was under warranty.A few technical problems (mostly w/navi) but otherwise good.Recently, at 53,00 miles and 46 months old, my inside door handle broke making it impossible to exit the car.It is $1200 to repair this plastic part (must replace entire pannel)! The dealer said it was out of warranty and suggested calling MBNA corporate.Both the agent assigend to my case and his supervisor were rude and could not care less that this would have been covered 45 days earlier, or that it was my family's 13th Benz.I told him I would never buy another - he didn't care.At least the dealer agreed to split the repair cost.Next time Porsche! ","Styling, traction in snow, performance","Improve build quality to last beyond the warranty, stand behind product, hire corp customer service personnel who are not jealous of 1%'ers and actually want to keep your customers.
Their bitterness and arrogance was appalling."
,,,,,,,,,,,,,,,,,
4.625,Outstanding,lawman1967 ,12/07/2011,,,4,5,5,5,,5,5,4,4,"I just sold my 2009 C300 Sport after two years and 80,000 miles of driving.I bought it new, religiously followed the maintenance schedule and replaced the Continental tires with the same every 30,000 miles.This car was flawless in every way.Nothing ever broke, and it never needed anything beyond regular maintenance, which for 80,000 miles is very impressive indeed.The car was fast enough, fun to drive, and extremely comfortable, even on the two occasions when I drove 1,100 miles in a single day.Best thing to say about it is that I traded it in for a new 2012 C250 Sport sedan, and expect the same great service from the new one.I was sad to see it go.","The firm Mercedes-Benz seats, nothing else compares.

The styling, especially the exterior is downright sexy.
The 2012 revision is significant, but the original W204 (2008~2011) still looks fresh.

Best feature, hands-down is durability.
I drive A LOT!
4,500 miles per month on average, and this car was always a trusted companion.","Bring the small diesel to the United States, otherwise the C Class is just about the perfect car for me.
It had better be, as I just traded this in on a 2012 C250, my 4th C Class."
,,,,,,,,,,,,,,,,,
2.875,I hate my C350 quality,harizo ,11/22/2011,,,3,4,1,1,,4,3,3,4,"I bought a mercedes C350 brand new in 09 hoping that buying a new car would save me any car trouble. Unfortunately, I returned the next day to the dealer ship with a fuel engine issue. The car stayed over night to get some engine part replaced. A month later, I had break lights turn on due to corrosion. Another issue was a delay with car taking off, as i would press down on the accelerator the RPM would shoot up but the car wouldnt go. I took the car several times the first year, the dealer ship wasnt able to fix a few things until i escalated the issue to the dealer ship manager at Beshoff in San jose.I have taken in my car over 15 times due to repeating problems. BMW quality is much better",I like how the Monitor screen how it flips open. I like the style of the front grill. I love the tough out appearance.,"The car performance needs major improvement:
delay when accelerating, the monitor screen should be touch screen and no joy stick, needs cool air for the seats, need to significantly reduce outside noise, GPS needs to work while driving, voice activation sucks, the bottom fog lights need to both stay on when turning...there are so many issues that a lot of improvements are needed. "
,,,,,,,,,,,,,,,,,
5,Smoothest Ride Ever,carlo ,11/19/2010,,,5,5,5,5,,5,5,5,5,"This was my first car purchased as new, and I've had it for about a year and a half.  I've driven and rode in many different vehicles, but the C300 is hands down the quietest, best handling, and has the most buttery smooth ride. Exterior is beautiful and flawless. I've gotten countless double-takes while driving around town, and have been complimented many times by passers by. I haven't had a single issue in a year and a half and 20,000 miles.  One gripe is the car is kind of low; I've scraped the front bumper several times on curbs, causing the black paint to scrape off, showing the white underside.","- Smooth, comfortable ride. Gorgeous exterior. - Excellent stock sound system. Climate control system is very powerful and quick to kick in. - Sport mode is fun. - Gas mileage is way better than estimates; I get avg 25 city, 30-35 hwy. - Seats very comfor",- Comfort mode feels too stiff; break response & acceleration are slowed down considerably to the point that they're a hindrance. - Center console design feels cheap; way too many buttons. - MMI needs works. Transmission hangs sometimes when switching bet
,,,,,,,,,,,,,,,,,
4.75,My BABY BENZ,Tara ,06/25/2010,,,5,5,5,5,,5,5,3,5,My first MB and I will never own anything else. So much fun to drive.  I get excited when it's time to drive it.  My husband at first didn't like the idea of a Benz but he drives more then I do now. We are already planning on getting another MB.,"Heated seats are amazing, bluetooth sounds great, and my son loves the back seat and his console with cup holders.",More leg room in back
,,,,,,,,,,,,,,,,,
3.875,I paid for the EMBLEM,kjbroker ,06/11/2010,,,1,5,5,5,,3,5,4,3,"My 2010 c300 is stunning to look at and has a smooth ride. However, some design features are stupid. Examples: dual climate control cannot be controlled using driver's knob (you have to turn both), there is no trunk pass through or fold down seats, the I-pod integration stinks - almost impossible to use, actually the entire sound system is difficult to use (radio presets must be accessed through the steering controls instead of the console joystick), drivers view of the windshield wiper controls are obstructed by the steering wheel, turn signal and Cruise control stalks are in weird positions. Engine needs more power and not very responsive when you Punch it. Beautiful car but needs improvement!",My sport model looks smoking hot. Fit and finish is excellent. Ride is smooth and controlled. Interior feels luxurious (tan with burled walnut is sweet). Engine has good power but is not always responsive when you need it.,"BMW 3-series performance blows this car away.  Interior controls are terrible and need a complete redesign.  This is 2010, the Ipod should work seamlessly.  Phone voice command only works with NAV (mine has a button on the steering wheel that does nothing). Sad to say, Nissan makes a better car!"
,,,,,,,,,,,,,,,,,
4.5,One Year Review - Update,oldsnwbrdr ,06/05/2010,,,5,5,5,5,,4,5,3,4,"Had the car for one year and this is my second review.  Made only minor adjustments to my ratings to up the rating for exterior styling and reliability.  Car has been bulletproof; has been in the dealership only for routine service and one damaged tire.  The car isn't particularly exciting but it has a certain intangible quality.  Like an expensive suit, I feel like a better person when I drive this car.  The ride in the sport model is perfect and I like the steering feel.  The car is exceptionally smooth and quiet, and the seats, while firm, are extremely comfortable on long drives.  MB-TEX is an asset... not an ounce of wear, which you can't say about leather.  I want a new E Class!","Value.  The base stereo sounds fine, and you'll get a better GPS by buying a portable one, so don't buy the MM package (but do buy P1).  AWD was great in winter.  Car feels like it will last forever, but I only have it for two more years.",I STILL confuse cruise control stalk for turn signal sometimes.  iPod interface will not shuffle custom play lists; a major annoyance.  Gas mileage just OK for a car of this size.  Wheels hard to clean.  SIRIUS satellite reception is weak and sometimes hunts for signal on clear days.  Noisy fan.
,,,,,,,,,,,,,,,,,
