rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4.875,Beautiful car!,pauly_bananas ,07/27/2012,,,5,5,5,5,,5,5,4,5,Sold my 04 BMW 325 conv. and got this as my upgrade. I bought it from Rallye Motors in L.I. from Marianne. Great dealer and she was great. My other car is a 08 G35. This Benz is beautiful. It rides and drives like a dream. So smooth. Quiet. Comfortable. It's a pure pleasure to drive. Only owned it 3 months but it's thus far the best car I ever owned. They did a nice job with this car.,"Design - it's black with the AMG 5 star wheels, a spoiler on the trunk and and tinted windows. Love the wood steering wheel. The braking is the finest I've ever tried. It's comfortable, smooth, etc. ",Cup holders suck but the Germans insist you shouldn't be drinking anything while driving so it's not a big issue with them. Gas mileage isn't that great either. Stereo could be better for such an expesnive car. Have a better one in my Infiniti G35.
,,,,,,,,,,,,,,,,,
5,MASTERPIECE OF AUTOMOTIVE ART,kleenshotgto ,01/06/2012,,,5,5,5,5,,5,5,5,5,"This car is a Teutonic Masterpiece!I have owned them all...BMW, Porsche,Ferrari...and absolutely nothing...nothing... compares to this BLACK 09 E350 4MATIC w/AMG SPORT PACKAGE. Pure panache. Outstanding comfort, ride and performance. Bullet proof buid quaklity.If you have the means...go out today and buy an 09. The 56K price tag new has now depreciated to 35K. Pick a ,low mileage version and your at auto nirvana.Then, go buy a black mock turtleneck, add jeans and your favorite shoes and start cruising. You'll feel and look like a 1percenter...make no apologiZes to anyone. You earned it.",ALL,NONE
,,,,,,,,,,,,,,,,,
3.125,Good not Great,ageorge ,06/12/2011,,,3,5,3,3,,4,3,2,2,"We currently have a 2009 Mercedes Wagon with 15k miles on it. Also for context we have a Toyota mini-van and a Prius.This current wagon only seems special when you are on the highway. There it is in it's element. Extremely smooth, quiet yet with the classic German feel. Other than price it isn't much different from the Toyotas.Overall build quality actually seems to be less than the Toyotas I am sad to say. We have had a number of minor problems with the electrical and mechanical systems. The CD player still doesn't work. The right windshield wiper stopped working etc. In general it seems as the though the car is several years behind the competitors in features.","Third seat a plus for the kids. Auto tailgate, but warning it doesn't close auto except with button on the tailgate despite what the manual says. 

HVAC is simple and easy to use. 

Nav directions int the instrument panel are great. Rear fog light is appreciated 

Exterior design is very attractive. Seats are good

Mileage is good for a large 4 wheel drive car around 20 MPG. ","Headlight range is ok, not great. 
Outside Visibility is weak not sure if the mirrors are too small or just
something about driver position
Still need to work on quality control of the little things. 
Car has bottomed out several times in places other cars don't.

The radio is very difficult to set up and switch around from AM to FM etc. NAV is also mediocre compared to the Toyota.


"
,,,,,,,,,,,,,,,,,
4.75,"Solid, reliable",Robert  Miller ,09/04/2010,,,5,5,5,5,,5,5,3,5,"I have always wanted a MB wagon.  I have not been disappointed. Solid and reliable, quality constructed both inside and out.  Great handling for a wagon.  Only service has been 1 year standard service. The nav system could be easier to use, but ut us on the mark.",Built solid and great handling.,Improve and make the computer nav system and radio set up simpler.
,,,,,,,,,,,,,,,,,
5,Extraordinary Automobile!,Paul ,08/21/2010,,,5,5,5,5,,5,5,5,5,"My 2009 E320 BlueTec is a superb automobile.  Subtle  yet classy styling (black exterior/interior/wood trimmed steering wheel) that always draws compliments.  Extraordinary performance (400 ft-lbs of torque mean effortless acceleration - the power surge is like a locomotive).  Unbelievable economy (I'm averaging 33 mpg over 25,000 miles of mixed city/highway driving in the Washington DC area).  Comfortably seats four adults - meaning large adults! - and can accommodate five.  Huge trunk.  Smooth, quick, confidence- inspiring, so solid it literally feels like a single piece of steel.  This car is an absolute bargain and I never thought I'd say that about a $50K purchase.","Performance, styling (people literally scramble to get out of the way even in DC), solid feel, economy, sound system quality, build quality (not a single flaw in 25K miles), value for money.  Speaking of value - get the MBTex (Mercedes vinyl) vice the leather and pocket the savings.  Outstanding!","The navigation system interfaces are not intuitive, but it is functional once you take the time to figure it out.  The cruise control stalk is placed a little too low and the turn signal far too low, which takes some getting used to."
,,,,,,,,,,,,,,,,,
2.125,Bad wheel quality on MB E350,QBY ,06/26/2010,,,4,1,1,1,,1,3,3,3,"We bought one certified pre-owned 2009 E350 at MB Encino, California on 3/27/2010. Only drive about one month and 860 miles, there is a front tire pressure problem that was caused by a crack inside of the wheel (rim). We drive this new car very carefully, never hit anything since there is no damage on the outside wheel, also how to we hit or damage inside of the wheel? That is a  parts quality problem. MB's warranty should cover it but they don't. Please think about MB's wheel quality, before you plan to purchase a MB, since we found couple cases report about it already. Also, MB's customer service is not friendly, do not answer customer phone call, and do not care customer concern.",,"Please take this bad wheel of MB E350 back to MB's manufacture, try to find why this happy, and improve it. "
,,,,,,,,,,,,,,,,,
3.75,Navigation and service,db ,05/20/2010,,,4,4,4,3,,3,4,4,4,"False promises from sales and service. I always keep a $125.00 garmin gps with me, never wanna depend on MB nav system, I'm scared it will take me into a deep ocean one day, entire car good but nav make it worst experience",comfort,sell it without nav. 
,,,,,,,,,,,,,,,,,
4.125,A very solid car but horrible nav system,Jan ,01/23/2010,,,5,5,5,4,,4,4,2,4,"Bought car because of incentives (with premium I package paid only $39k AND got 2.9% financing for 5.5 years, plus sales tax write-off)!  The car feels extremely solid and stable and has a remarkable balance of comfort and sporty driving characteristics that few other cars can match. Interior and exterior design are very nice and materials and assembly are first rate. However, vinyl seats are totally out of place in car with MSRP of 57k.  They are extremely uncomfortable (sweat inducing and sticky when less than 40 degrees F).  Navigation system is a nightmare, too.  Nothing is intuitive or easy and even after studying manual for hours the system is still fury inducing.","Very solid feel, good comfort/handling balance, state of the art safety technology. Sound system has great audio quality.  Psychologically, the car imparts a sense of relaxed superiority and induces very conservative, if not slow, driving. I have rarely been so relaxed in a car psychologically.","Navigation system is a nightmare. Voice recognition doesn't work reliably and there is no touch screen, either. Commands are totally unintuitive.  Vinyl seats.  High cost of upkeep ($300 for glorified oil change every 10k miles, vs. free oil change q15k with BMW), so so fuel economy with gas engine."
,,,,,,,,,,,,,,,,,
2.125,not reliable,asad shamim ,01/01/2010,,,3,3,2,1,,2,2,2,2,"Since purchasing my E350 in June 2009, the engine has failed twice. The interior rattles causing annoyance. The car has been back into the garage for noises coming from rear and still has not been resolved by the garage. To be honest with you I am totally fed up with this car as it has caused me so much inconvenience in time and money. Furthermore this car is totally useless in snow conditions because it is rear wheel drive. I strongly recommend consumers not to buy this model. If the garage i bought this vehicle from does not do anything soon then i will be taking further action against mercedes. They certainly do not live up to their name.",nothing that other vehicles don't have,Needs to improve its mechanics and performance level in wintry conditions
,,,,,,,,,,,,,,,,,
5,The total package,Mike ,10/07/2009,,,5,5,5,5,,5,5,5,5,"I bought the E320 through USAA buying service through a professionally run dealership-American Service Center- Alexandria, VA. I impressed by the cars looks, engineering, fuel economy, and the torque of the turbo-diesel--it gets up and goes. The quality of the car and its materials are evident. While the controls are well-place and intuitive, this is not the case in the Command/NAV interface. In particular, the voice commands do not measure up to the technology in less expensive Japanese and Korean cars. The USAA buying service combined with Mercedes incentives made the car more affordable- -a once in a life time purchase--maybe not. I love this car. ","The torque and fuel economy delivered by the BLUETEC Turbo-Diesal Engine. The high quality vinyl seats, the Hardon Karmon Sound system, the total top sunroof, the beautiful design, and apparent quality and engineering that went into this car. ",The Command/NAV interface is limited and not intuitive as the review reads. Hyundai Genesis voice commands and interface are more advanced in technology. I think German engineering needs to take lesson from the Japanese and Koreans on this. 
,,,,,,,,,,,,,,,,,
4.25,2009 E350 RWD Review,ppnff ,09/19/2009,,,4,5,5,4,,4,4,4,4,"I bought a new 2009 E350 due to the massive incentives, both dealer and financing subsidies in July 2009. If the subsidies did not decrease the price by over 33%, I would not have bought the vehicle. Also, the 2009 fixed a lot of the prior model year issues (e.g., COMMAND problems), and a lot of options (iPod, bluetooth, DVD) were now free.   At this price point, the deal was a steal.   Coming from an Infiniti G (more hp and faster), I like my change.  ","Pros: Timeless exterior design, SOLID on the road, the safety measures to protect occupants, thoughtful touches like ability to change vehicle setup (exterior/interior lights-no dealer help needed), all the cool technology items (CD/DVD changer, SD reader, iPod/MP3 connectivity), AMG package free!","Cons: Xenon is an option, ""where is the beef?""-leather is not standard, expensive to maintain. "
,,,,,,,,,,,,,,,,,
4.875,2009 E350 4Matic Sport,STSMLTLE ,08/30/2009,,,5,5,5,5,,5,5,4,5,"This car is marvelous!  The styling with the sport package is great, it drives very well, and is comfortable.  The 350 V6 has as much horsepower as my old Mercedes 430 V8.  It's plenty fast and I get 20 MPG.  It feels as stable and strong as a bank vault, but drives quick and nimble too.  The climate control system and 7-channel audio system also are great.  My only gripe is with the nav system.  It's a pain to use and the screen is too small.","Exterior styling, the upgraded leather interior, iPod integration kit, stability at high speeds, sure footed 4Matic handling.","Touch screen nav system, larger nav screen, reduce the number of buttons on the nav system."
,,,,,,,,,,,,,,,,,
5,Excellent,penmgmt ,08/18/2009,,,5,5,5,5,,5,5,5,5,Two and a half weeks 1800 miles. Love iy -so solid yet nimble. Last car was 528i(2008). Love the tighter turning circle and ergonomics. Memory card with 510 watts is the easiest way to listen to music.  Sports package with silver color is beautiful. First brand new Merc - bought in part because our 98' E320 is still driving so well.  Got it for $41.8k too! ,Memory card/stereo. Transmission. Power. Road holding.,Better i-pod location.
,,,,,,,,,,,,,,,,,
2,hopeless mercedes benz,ak ,08/18/2009,,,3,4,2,1,,1,2,1,2,"Never buy a mercedes unless you want to overpay for a completely unreliable vehicle. Buying one is like losing money, and keeping one is like throwing good money after bad! I bought a brand new 2009 E350. Six months of ownership, and 3 problems, 2 trips to the shop, 1 tow, 1 battery recharge...and worse of all, tons of aggravation and frustration dealing with  Mercedes Benz.",,Quality and Reliability
,,,,,,,,,,,,,,,,,
5,Vinyl vs Leather,dj ,08/18/2009,,,5,5,5,5,,5,5,5,5,"Addressing the vinyl vs leather for such expensive vehicles, please note that Mercedes has a long history of offering the best vinyl seating ever made, which is better than most cars leather.  For some reason Americans equate leather with luxury.  In Europe many of the Mercedes sold have cloth/velour seating.  A final note on the vinyl, you'll be very happy to have the vinyl 30 years from now when your E class interior looks almost as new.  History and tradition are alive at Mercedes.",,
,,,,,,,,,,,,,,,,,
4.875,Love My New Mercedes-Benz,ribbletts ,08/06/2009,,,5,5,5,5,,5,5,4,5,I just bought my new 2009 Mercedes- Benz E 350 on July 31st. I absolutely love my new car. My past Mercedes included a 1999 C 230 and a 2006 C 230 and my dream has always been to own an E Class.  Back in 2003 when Mercedes changed the body style I thought it was the most beautiful car Id ever seen. I still feel that way about it. The car just has great lines and the interior is absolutely gorgeous.  The handling and horsepower is just amazing. The fit and finish is exactly what you would expect from Mercedes- Benz. The quality and workmanship is way beyond what you get in an American or Japanese car. The deal I got on the 2009 was incredible. Ask me and Ill tell you about it. ,"I love the steering, in-dash CD changer and the quality of the car. ",Navigation should be a standard feature on this level of car. 
,,,,,,,,,,,,,,,,,
3.25,Questionable Build Quality on BlueTec,Carl ,06/06/2009,,,5,4,1,1,,1,5,4,5,"This was my first Mercedes purchase; a Japanese car loyalist up til this purchase. Car drives amazing & gas mileage is great for this size car. I averaged 29 mpg combined.  However, build quality is a DISASTER.  Literally, on evening home from dealership the night of purchase, the left headlight went out and I received an LCD error warning about headlight failure.  Took it back to dealership and 3 days in shop w/$3200 bill (under warranty). The C series loaner I got had same headlight failure during loaner period. At 5,900 the BlueTec's power steering failed while driving and I almost wrecked; steering wheel wouldn't turn. Car towed back to dealership by MB - 5 days in shop.  NIGHTMARE! ","MPG, fit and finish on the interior, and the car electronics and the HR radio/nav/telephone/SD card/ipod head unit.  The interface is awesome.","Reliability!  Headlight and headlight electronics board failed at mile 17. Power Steering went out on the car at mile 5,900 while I was driving nearly putting me in a wreck with oncoming traffic. BLuetooth software is buggy with all cell phones. This is my first and last Mercedes purchase. "
,,,,,,,,,,,,,,,,,
5,So Much More Than a Luxury Wagon,mercedesfan ,04/26/2009,,,5,5,5,5,,5,5,5,5,This really is a fantastic car.  The cargo hold is massive for a mid-size vehicle and interior passenger space is impressive plus it is really quite easy to get a child seat attached in the rear seat with little issue and it fits very firmly.  The car is a blast to drive when you push it (no wagon should be this fast or corner this well).  The build quality is also fantastic with super-soft leather and fantastic fit and finish.  Gas mileage is also remarkably decent for a 507-hp V8.  ,"Beautifully constructed cabin, surprising practicality, effortless power, handling abilities, great sound system, reliability",The first-gen COMAND system is finnicky and unintuitive 
,,,,,,,,,,,,,,,,,
