rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Made me a customer for life,Mini lover ,10/22/2016,5,4,4,,,5,5,5,3,,,"I fell in love with first drive.  I have always loved the look and idea of a MINI and I am a small car person.  I bought this mini used 6 years ago with the basic mini with minimum features because it was what I could afford at the time.  It was a stickshift.  I loved driving it, it made driving fun again because I hate to drive at all.  Then I became a mom and decided that I didnt want to buy a new car yet because I didnt want another car payment ( I dont like to drown in car debt).  It was difficult to get my daughter in and out with the car seat but once she was old enough to climb in and was forward facing, it was fine.  Overall very minimal cost as far as repairs, minor maintenance.  The only thing that went wrong was my radiator got a crack because I drove it too rough in the snow and jumped a curb.  I was going to keep it until it died but 2 weeks ago, it drowned.  My car got stuck in a flood and was totaled due to hurricaine Matthew.  Best part is, I got double the amount back for the car from insurance! It was paid off and still held a great value!  Needless to say, Im buying another MINI! But Im getting a clubman ( better for kids).",,
,,,,,,,,,,,,,,,,,
1,Worst decision ever,Dan ,09/30/2016,1,1,3,,,1,,,3,,,This car never stops breaking. Every repair starts at $500 and Geo's up. There is always at least $1500 worth of work that needs to be done. Do not buy this car!,,
,,,,,,,,,,,,,,,,,
2,Maybe New But Not Ever Used,Carly ,09/02/2016,,,,,,,,5,4,,,"I bought a 2009 Mini Cooper w/ 92,000 miles on it-- major mistake. If you're set on a Mini like I was, only buy or lease a new one because when they are close to 100,000 miles they need lots of very expensive work.Minis are super compact which means when a mechanic needs to get to say, the water pump, he has to take out other parts which results in much higher labor costs. Plus, the parts are expensive.Bought it for $7500, put a couple thousand dollars into replacing the water pump, water pipe, radiator, thermostat, AC, brake rotors, and battery...and two years later could only get $1800 after the transmission went out. I had it inspected prior to purchase and pretty much everything checked out, other than the mechanic saying I'd need new brake rotors.Don't make the same mistake. Minis are SO fun and great for parking and gas, but the cost of repairs on an older Mini gets to be traumatizing. They're just not meant to be driven past 95,000 miles.",,
,,,,,,,,,,,,,,,,,
1,Don't buy a mini,Bkearney ,09/01/2016,1,3,3,,,1,4,5,3,,,Get bulletproof warranty or it will cost you dearly.,,
,,,,,,,,,,,,,,,,,
2,Very cool and fun - til it breaks and cost  $$$$,Mr. Brian ,05/29/2016,2,2,3,,,1,3,4,4,,,The poor mans Porsche turns ugly as early problems (Turbo out - fixed under warranty) foreshadow a mixed future.  At a mere 55k miles all hell breaks loose.  They've got a winner IF they can ever fix reliability.  Perhaps 2009 was a fluke? better do your research I decided to sell mine early for a LOSS!!!,,
,,,,,,,,,,,,,,,,,
3,TURBO CHARGER,Barbara Bahrke ,01/09/2016,,1,,,,,,4,,,,"My vehicle has been babied all the way to 54000 miles.  I bought it brand new and it has been serviced through the extended warranty with hardly any issues.  At 6years old and 54,000 miles on the odometer, WHAM, BANG massive oil leak and a turbo charger issue.  Now $4,000 dollars later, my little red MINI is not so pleasing.  Major complaints to MINI I have been learning about since review online.  My complaint to MINI fell flat on its face.  Thanks a lot MINI for all the consideration!  NOT!  Is this vehicle going to be yet another expensive paper weight (that's what I have heard other MINI owners call them.",,
,,,,,,,,,,,,,,,,,
1,A TRUE MONEY PIT!  Buy Anything Else.....,Luther McKeehan ,11/27/2015,1,3,2,,,1,2,4,3,,,"I have owned almost every type of car known to mankind and with one exception (67 Porsche 911 S) this is the worst car I've ever owned.  Maintenance cost are through the roof, parts and labor extremely expensive.  BMW sold the car with a long term KNOWN engineering defect (poor timing chain design) that has motors blowing up all over the world (ck the internet) at between 55k & 65k miles.  While maintained to absolute factory standards, mine blew up at less than 30 mph with 60k.  After fighting with the company for over 9 months (while I made car & insurance payments and had to acquire an additional vehicle) they only agreed to pay for the $11,000.00+ repairs after I recorded a series of conversations which proved I'd repeatedly been lied to and my attorney told them ""fix it today or we file tomorrow!""  The local dealership was super but BMW calls the shots.  Although they finally did agree that it was a design issue in the end they refused to reimburse me for the towing and miscellaneous out of pocket cost which had been promised to me in every single conversation.  BMW Corporation, in my humble opinion, is run by a bunch of crooks who sell cars with known defects and should be jailed.  I will NEVER purchase nor recommend any BMW product.  Also ask about the engine having to be completely torn down and shot sprayed with crushed walnut shells as part of regular maintenance cleaning because it is so poorly designed.   I lost thousands of dollars on this car.  They're cute and fun but don't walk....RUN AWAY FROM THIS LEMON!!!!!!",,
,,,,,,,,,,,,,,,,,
3.125,These Cars Have Problems!  Be Careful...,candleman ,02/12/2013,,,4,5,1,2,,4,2,2,5,"Be sure to ask your local dealer just HOW MANY of these vehicles they have serviced for ""carbon build up"" problems.Problem starts usually just outside the 36K warranty, are anywhere from $500 - $1000 to fix, and will recur about every 40K miles or so.Evidently, if they are not driven ""aggressively"" (high RPM's), this is COMMON.Do the research, gang... [non-permissible content removed]","My ex-wife and I LOVE the looks, drive and just about everything about this car (except placement of the speedometer).
However, given the carbon buildup problem/repair and the fact that it is expected to happen about every 40K miles given the conservative way that we drive, how could we ever recommend it?","Mini dealers KNOW about the ""carbon buildup"" problem... they see it all the time and charge big $$ to repair it.
They do NOT fix the problem... only the symptom and know it will happen again and again.
We are so disgusted with how they have treated us and don't understand why others have not posted here previously to warn us.
I hope others benefit from this post, and strongly urge you to RESEARCH this before you buy a used one (at 34K miles 9 months ago) like we did."
,,,,,,,,,,,,,,,,,
4.625,"Great, Fun-to-Drive Car",engender ,01/03/2013,,,5,5,5,5,,5,3,4,5,"I have had some problems with carbon build up as mentioned in other reviews, but I have not had any other mechanical problems and I've never had to have my MINI towed. To prevent the carbon build up, I was told to use a gas additive every month and drive in a spirited manner every so often.With my MINI S, I often find myself driving in a spirited manner. The horsepower is great for merging onto an interstate or passing slower cars on single-lane roads. It's also great for weaving in and out of rush-hour traffic.The main drawback is the rough ride. I've hit potholes (and a ladder once) that have slammed my teeth together. However, the only damage done to the MINI was a broken headlight!","Handling, pickup, gas milage (I get an average of 28 mpg with my spirited rush-hour driving, with about 34 mpg on the interstate).","If a smoother ride would compromise the handling, I'm okay with a jaw-jar every few months."
,,,,,,,,,,,,,,,,,
3.75,Poor Reliability,lorri636 ,02/19/2012,,,4,4,4,1,,4,4,4,5,"I have a 2009 Cooper S with automatic transmission. It's a fun car to drive, but goes in to have work done about every 6 months. It's had multiple problems with misfiring, carbon build up, timing belt replaced at 24,000 miles, electronic sensor issues. I'll probably keep it until the warranty is up and then trade it. Will never buy a Mini again. ",,
,,,,,,,,,,,,,,,,,
2.5,do not buy,mike1006 ,01/30/2011,,,3,3,1,1,,3,3,3,3,"do not buy, very unreliable.These cars have major issues.We are very disappointedin service from 800 mini and the car has issues.I would absolutely knowing what I know now never recommend this car to anyone.If an engine light comes on the only acceptable answer is to stop and be stranded.never ever get this car for young people or your wife.Until recent issues we loved it, but now after terrible experiences with dealer not ours but on road and mini themselves I would never buy.If you read this, this is not from an unreasonable person, but a father who does not want anyone else to go through what he has had to do 1200 miles away.",,
,,,,,,,,,,,,,,,,,
2.375,BUY OR CONSIDER BUT BEWARE,chungking ,01/24/2011,,,3,3,1,1,,2,3,1,5,"I bought my Mini Cooper S 2009 brand new.It was performing great for the first year but then as it got older although it was under mileage (12,700 miles) in 14 months of ownership, the engine experienced annoying pinging sound specially while on idling. Note* the engine is warm.I took it to the dealership and was told it's normal. The pinging sound became louder and it sounded like a diesel engine.I traded it in for a Mitsubishi Lancer Sportback AWD Turbo Lancer Ralliart.",,"BMW Mini need to realize that there is a problem with the engine.
Reading the owner forums,
there is definitely an engine concern specially with the S models."
,,,,,,,,,,,,,,,,,
2.25,Terrible Car,mcmenefee ,12/30/2010,,,3,4,1,1,,2,2,1,4,"After owning a 2006 cooper I took the plunge and ""upgraded"" to a 2009 Cooper S.This is one of the biggest car-buying mistakes I have ever made!It has only 40,000 miles on it and has already been towed 3 times, had carbon buildup in the engine, a new clutch and flywheel (beware this costs over $2000), a new timing chain, tensioner, rails, and gears, and the list goes on!I will never buy another mini and plan to get rid of this one as quickly as possible",It's got great styling and can be fun to drive when it is running properly.,"Mini should really revisit the 2006 model specs.
I never had a problem with my last cooper."
,,,,,,,,,,,,,,,,,
3.25,Piece of junk!,Carol Forte ,09/07/2010,,,4,5,3,3,,2,2,3,4,"The first year could be called the ""honeymoon period"".  After that lookout!  First of all the service dept is comprised of idiots.  They will NOT listen to the customer and will look for any reason than the one the customer is complaining about to blame the issue on.  My issue?  Carbon deposits in the motor.  Yes folks, this can happen to your ""fun loving"" MINI too - and probably will.  4 trips to MINI - 2 times with the engine light on and guess what?  Carbon deposits aka ""engine buildup"".  This issues starts to occur between 30- 40K.  You will notice skipping in 1st gear, decreased performance, oddities, etc... and the run around from MINI.  Good luck!  I traded my little buggy of issues!",Exterior,"Improve service dept, get rid of run flats, fix engine buildup, lower service prices."
,,,,,,,,,,,,,,,,,
3.625,Buyer Beware,Marian ,06/15/2010,,,5,5,4,1,,1,3,5,5,"I purchased my 2009 Cooper S brand new (7 miles on it) in January 2009 from Brian Harris in Baton Rouge.  It has needed various major repairs on SIX occasions in a 15 months of ownership. It has also needed an additional two tows 90 miles away (from New Orleans) to have the run flats changed.  The repairs have involved mechanical and electronic defects. Perhaps this model is defective, but the car is utterly unreliable. And if you don't live near a dealership, forget about this car. It is cute and fun, but for the cost in time and money of dragging it in to a dealer time and again (and they never seem to know how to fix this model definitively), please save yourself the aggravation.",,"Also, if you are purchasing this car from Baton Rouge, Brian Harris, the service department has no clue how to fix your car definitely.  Also, rental cars are not in your warranty when your car inevitably breaks down. "
,,,,,,,,,,,,,,,,,
5,Better than expected,a happy owner ,06/06/2010,,,5,5,5,5,,5,5,5,5,"A fun car to drive; I was initially worried about its reliability,  but after 12,000 miles, only problem I've had was the electrical control of the Windows (not closing completely when the close button was pressed once), which was fixed by the dealer at no cost promptly.  I built and ordered it online, tailor-made for me, after 6 wks, the car was at the dealer as I designed. Cool!  Overall, very happy; a great build quality (much better than I expected from a British make, but I guess German engineering is at work nowadays).  Will buy it again   ",fun to drive,"not much, don't change it too much for the next generation car!"
,,,,,,,,,,,,,,,,,
5,"Mini, a great surprise",AD MCMLX ,03/31/2010,,,5,5,5,5,,5,5,5,5,I actually own a Cooper Clubman S which I transitioned to via MB C class Kompressor and BMW Z4. I had no high hopes for this car outside of that was built by BMW. 4 months later and 4k miles on it I absolutely adore this car. Granted this car is the most expensive and overpriced little car on the market but when you get a good deal you appreciate it that much more. This truly is a drivers car especially in SPORTs mode. LA to Vegas (300 mi) with barely over a half a tank (37.6 mpg) 75 mph @3k rpm. 476-500 miles to empty w/ some city driving. Cruises uphill Mount St Jacinto with 3 people in 4th gear to 8000 feet with ease. Rancho Mirage- Idyllwilde-Los Angeles 39.7 mpg.(140 mi),"Steering is top notch, Precise and direct. Turbo shines across the range without being loud. Long drives quite comfortable. USB audio and Satellite radio is a must have, giving you plenty of uninterrupted music.Interior lighting is therapeutic and inviting.",Hope to see the all wheel drive from the new Countryman in all the Mini's. Then this is going to become the best ride ever. Cruise control should be available on manual also. Center console should be standard. 
,,,,,,,,,,,,,,,,,
4.5,To my fellow Road Warriors,RoadWarrior ,03/24/2010,,,4,5,5,5,,4,3,5,5,"I love my 2009 MINI and it's a good thing I do because I spend most of my time in it. I am writing this review for people who are considering buying this car for frequent long trips. The car is a blast but I'm not sure I would purchase again because of all the long trips I take. In 14 months I have driven this car almost 60k mi. To be honest, the interior is not very comfortable. After driving about 2 hours on the hwy I start to get fidgety. Being in the passenger seat is almost unbearable after 1hr. Great gas mileage, but not really any pickup on the highway. I know I sound like I'm complaining. I really love my Mini but if you plan on driving as much as I do, you might want to reconsider.","I get lots of compliments on my red and black seats, double sunroof, and huge gauges (tho they're not for everyone.) Mood lights are cool too! The car is a real attn-getter and you feel like you belong to a special club because when you drive past other Mini owners you always get a wave or a smile.","I don't like the placement of the ipod jack, it's almost impossible to connect while you are driving. Window controls are in a bad spot, blocked by cup holders. The hatch can be difficult to open. "
,,,,,,,,,,,,,,,,,
4.75,nice car,Kathy ,02/13/2010,,,5,5,5,5,,4,4,5,5,Overall happy with this car. Would like to see heater improvements. Heated seats save the day. Don't like the way the oil or whatever it is gets on front wheel rims. Fun to drive and I'll definitely get another one,,
,,,,,,,,,,,,,,,,,
4.875,The rear seat room is fine.,Carl Anderton ,01/30/2010,,,4,5,5,5,,5,5,5,5,"Even favorable reviews of Mini Coopers claim that the back seats are almost useless.  Horse hockey.  I'm 6'2"", and I've ridden in my backseat.  Sure, it's not a stretch limo, but I didn't want a stretch limo.  I wanted the ultimate blend of style and utility and that's what I got.  My family of 4 fits just fine in my Mini.  And I'll tell you something else, that hatchback rear facilitates quite a bit of cargo that your standard 4-door compact could not handle.  This car puts a smile on my face every time I get in it.  Can you say that about your car?",Power Handling Style,Get rid of the big speedometer in the middle of the dash and put in a temperature gauge.
,,,,,,,,,,,,,,,,,
5,"Buy one, your going to love it",Phil Balchan ,01/23/2010,,,5,5,5,5,,5,5,5,5,Traded in my 06' Miata due to warrenty issues with Mazada.Test drove  the Mini S and was hooked and I mean hooked bad. I have owned several 3 series BMW'S so my expectations were High. The Mini didn't disapoint. Every aspect of this car's performance is excellent and is superior in every way as compaired to the Miata.,performance and looks,"better standard radio, that's all"
,,,,,,,,,,,,,,,,,
4.75,Fun Car with some minor quirks,Christine ,01/04/2010,,,4,5,5,5,,5,4,5,5,"Traded my BMW 325is for a Mini and I'm loving it!  Similar to the BMW, the handling is great and its fun to drive.  Takes sharp turns very well. Since I live in a city that requires plenty of parallel parking, finding parking is amazing. I get compliments on my Mini from everyone.  Bucket seats are comfortable.  The headrest is larger than any other car brand; I noticed this because I'm short (5'2'') and had to remove them to look behind me, even with the seat pumped to its highest. Never encountered this problem with other cars (including SUVs).","Hands-free Bluetooth (much more useful and convenient than I ever imagined), iPod adapter, smooth fun ride, gas mileage","These are minor compared the greatness of the Mini: reduce size of the headrest (diameter and height) to a ""normal"" size, location of window switches so its not obstructed by cupholders, radio interface, move seat levers to one side instead of hidden locations, need trunk/gas door button inside car"
,,,,,,,,,,,,,,,,,
5,Love it!  Lots of fun and looks,Mini09 - TC MI ,12/29/2009,,,5,5,5,5,,5,5,5,5,"I got my Mini with Cash for Clunkers deal. Great value for the money. I have the extended warrantee and the fuel pump had to be replaced at 5000 miles.  :(  I wasn't happy but the service was good and everything else has been great. Love the pepper white with black top and bonnet stripes--SHARP. Handles great, very fast, mileage good, excellent for running around town for errands, taxiing kids etc.","Get lots of looks and questions and comments from other drivers. Very fun, enjoy driving to work.",Location of window buttons is awkward and sometimes my travel mug will bump the seat heater and will roast me 'til I notice.  Hard for me to open the bonnet (short female fingers) I always need help.
,,,,,,,,,,,,,,,,,
4.875,Over The Top Performance,bbracr ,12/18/2009,,,5,5,5,5,,5,4,5,5,"Economical, well crafted, and hot to trot. The ""S"" turbo has all the performance & handling you could possibly want while delivering great fuel economy/ The car steps up to anything you want it to do from shopping to open road racing to kana cross and is fantastic for daily use. Interior actually gives me more room that my other car, Corvette, and driving position and flexibility is great for both my wife and myself. The car is an absolute blast and with a few performance enhancements could be a road warrior. ","The drive train is my favorite piece of this car. Good torque & the turbo kicks butt. I use the sport setting / manual and let the car unwind. Shifting is precise. Acceleration at higher speeds is excellent, and cornering ability, due to the wheelbase & low center of gravity makes this a contender. ",The run flats it came with are not up to what this car can do. Change 'em! The upgrade sound system is great but doesn't have to take an engineering degree to figure out. The cup holders -  Yes it's picky - are a pain and interfere with the controls. Need some exhaust and breather options.
,,,,,,,,,,,,,,,,,
5,Best Decision,Kikapu ,12/13/2009,,,5,5,5,5,,5,5,5,5,"I owned a BMW M3,Jeeps and a Nissan Xterra. I needed a fuel efficient vehicle for my 70 mile per day commute. My husband I test drove the Toyota Prius and hated everything about it. We then stopped at the Mini dealership- and after a test drive we were hooked. I will never be without a Mini again. Gas mileage runs 38-40 mpg and it is an absolute joy to drive.   ",Handles so well it is as if it was custom made just for me. ,I can't think of anything I would change. 
,,,,,,,,,,,,,,,,,
4,not so economical as you had hoped,Keokola ,12/03/2009,,,5,5,4,1,,5,5,2,5,"I loved my Mini before I bought it brand new. Coveted it for years, saved up for it. Paid cash. But before I drove it off the lot I was told it takes only premium gas-- not the good mileage I thought. Then all the dashboard lights started coming on, one at a time. The low tire light; I can't even tell which tire, but the only way to reset is to take it to Mini Hawaii to have them use the special hi-tech gizmo on it for $135! Then the engine light (which I think is related to a 1st-time gas fillup gas cap mistake) but I can't get that reset without the same $135 diagnostic gizmo. It's still cute, and I still love it but it promises to become very expensive in time and money. I have regret.","It's so darned cute. It's small. It's responsive. The interior is pretty, luxurious, and comfortable. It's quiet. It's look and cachet make me love it and personify it.",Make a Mini that takes regular gas. Tell people the truth about the premium gas--before they buy the car. Make the diagnosis of dashboard lights  less expensive. Mini appeals to people's desire for economy and then its maintenance/repair practices fly in the face of this very selling point.
,,,,,,,,,,,,,,,,,
4.75,Just buy one!,Torj ,10/26/2009,,,4,5,5,5,,5,4,5,5,"I have owned many cars, from two seater roadsters to luxury sedans and I have to say the Mini tops them all. Excellent build quality, reliable, great gas mileage and pure driving excitement. I traded in my two year old Mercedes Benz for the Mini and I haven't regretted it a bit! If you have been thinking about getting a Mini, do yourself a favor, test drive one and you will be sold. ","Performance, Go-cart handling","The 17"" rims with runflat tires can be a bit harsh at times,but hey, if you want the ride of a Cadillac then get a Cadillac!"
,,,,,,,,,,,,,,,,,
4.625,Never judge a car by it's appearance,Mac ,10/23/2009,,,4,4,5,5,,5,4,5,5,"I was dead set against my wife getting this car. Stupid me.. Gas milage is more than expected, handles great ( dangerously good) and very comfortable after you find your correct position. Having an armrest is a must for comfort. I've never seen my wife so happy to get up and go to work knowing she gets to drive her Mini everyday. ",1 - Armrest 2 - Ability to lower drivers seat 3 - Colored lighting 4 - Sunroof 5 - BMW engine new for 2009 vs Chrysler engine 6 - Handeling 7 - Mini people are friendly ,"1 - Seatbelt always getting stuck behind seat 2 - Radio controls are terrible 3 - Move seatback adjustment to outside of seats, difficult to find and work where it is currently.  "
,,,,,,,,,,,,,,,,,
5,Never Thought I'd Own a Mini,Eric Dise ,10/22/2009,,,5,5,5,5,,5,5,5,5,"Wow, what a fun car! I've owned lots of cars through the years but I've never owned one that could bring such a big smile to my face! The Cooper S has all the features one could ask for in a street legal slalom car! It handles extremely well, is balanced in turns, accelerates when called upon, and is willing to squeeze through tight spots where no ordinary vehicle will venture! Combined mileage has been 31 MPG and that's good with me. I just wish the engine didn't just sip high octane! I'm 6'-2"" and fit very comfortably in either front seat (although I prefer the driver's side). The controls are not intuitive but they can be learned. Storage is what you should expect from a sub-compact. Tiny","Sport button, handling, exhaust note, manumatic shift feature, mood lighting, and bolstered seats up front.",The door handles are too plastic and thus squeek and creek. Stock radio is inferior. I should have known better and upgraded.
,,,,,,,,,,,,,,,,,
4.875,"It's not a car, It's a MINI",IT'S A MINI ,09/20/2009,,,5,5,5,5,,5,5,4,5,"I started doing research and I drove the new VW CC, the Nissan Maxima  and the Mercedes C300. But I wanted something different, something fun to drive, small, sportier, and unique. My solution: MINI COOPER S Dark Silver, Premium and Sport Package. I drove both the base MINI and the S and they are both fine but you can really tell the difference the turbo and the extra HP makes on the S, besides the few differences on the exterior which I find really cool. The MSRP is ar","Panoramic Sunroof, Exterior Design, Go - Cart Handling. ",Radio is not what you would expect compared to so many other great features. Some functions are hard to get use to..
,,,,,,,,,,,,,,,,,
5,What a blast !,brett ,09/19/2009,,,5,5,5,5,,5,5,5,5,"As everyone else says, this car is extremely fun to drive.  The ""go kart"" term gets used a lot but it's absolutely true.  I traded in a Mercedes E350 that was nothing but trouble and have not regretted it once.  The MINI is everything I hoped for and more. You just cant help but have a fun driving experience when you are in this car. ",Performance:  I can take corners the way I never could before.  I can also fit in parking spaces that I never could before. ,Cup holders are in the way of the window switches.  Interior quality is a little cheap in places but overall the car is a great value for the money.
,,,,,,,,,,,,,,,,,
5,Happy Camper,Joe ,09/16/2009,,,5,5,5,5,,5,5,5,5,"The salesman told me it handles like a go cart. I concur. He didn't tell me to expect better gas mileage than advertised. I get 30 mpg around town and over 40 mpg on the highway. Amazing. Very happy with this two seater, the back seat is a joke which I was prepared for before I decided on this great car. ","Love the blue tooth for my cell phone, always use the sport button for a little more pep. Very happy with the base engine using regular gasoline. Love the great gas mileage. Excellent ac.",not much
,,,,,,,,,,,,,,,,,
4,Hot Hatch,milindsport ,09/10/2009,,,3,4,4,4,,5,3,4,5,"Where do I start? This car so far has been such a pleasure to own and drive...and this is coming from a previous sport sedan owner. The ""WOW"" factor is definitely there...with impressive engine performance, great fuel econ and excellent driving dynamics. Apart from the performance factor, the design though polarizing to some is undeniably unique and the brand itself has a loyal and dedicated following with a large number of auto enthusiasts in the group. Finally the option to be able to customize this car to your exact specifications can be expensive yet a lot of fun. I have the ""S"" version which is a must for the performance oriented drive. Try the MINI....you will never stop smiling.","Performance, handling and iconic brand status.","Quirky radio controls, small backseat, run-flat tires."
,,,,,,,,,,,,,,,,,
4.875,The most fun car I've ever driven,CityDriver ,09/10/2009,,,5,5,5,5,,5,4,5,5,"I wanted a combination of excellent performance with great gas mileage for under $25,000.  This car is by for the MOST FUN car I've ever driven, and I have had my share of fun cars.  The power and handling are very comparable to a BMW. The interior space is deceivingly spacious and although the rear seats are small, the back seats do not deserve the ""overly cramped"" reputation that they have earned, but you're not buying the car for the back seats.  The turbo is more than adequate considering the car gets 34 mpg on the highway.  There are a few negative aspects- the controls are not easy to use (radio, heating/cooling system) and the speedometer is in the center of the dash which is awkward.",,
,,,,,,,,,,,,,,,,,
