rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Great Galant,Laparry ,07/15/2016,5,5,5,,,5,5,5,5,,,"Extremely reasonably priced, about the best value for money out there. Very quick, reliable, responsive car which rides beautifully and just eats up the miles in comfort. V6 engine has all the power and ""get-up-and-go"" you need to get out of trouble.",,
5,Great Galant,Laparry ,07/15/2016,5,5,5,,,5,5,5,5,,,"Extremely reasonably priced, about the best value for money out there. Very quick, reliable, responsive car which rides beautifully and just eats up the miles in comfort. V6 engine has all the power and ""get-up-and-go"" you need to get out of trouble.",,
4.625,Very reliable vehicle,nick131 ,06/14/2014,,,4,5,5,5,,4,4,5,5,"Bought the car with 34k miles , now have 80k miles and still drives the same. The only maintenance performed have been oil changes and front brake pads once. Drives great on highways and passes other cars easily. Five speed speedtronic comes handy on snow days.great car for everyday commuter. ","Great engine, fund to drive. ",No Ipod connection / aux input. 
4.75,Mitsubishi is a good option,sumncguy ,05/01/2013,,,3,5,5,5,,5,5,5,5,"We bought our Gallant new in 2008 and have over 130k trouble free miles on it. NO. Let me say this again NO Major problems with this car. We simply do the planned maintenance. One downside is with the wrong tires, the car is loud. Alot of interior noise. Something just started rattling around in the trunk area .. sounds like something body related. I had a mitsubishi engine in my 1999 Grand Voyager and we ran that to almost 300k. 2 FOR 2, Mitsubishi has been good to me. A great alternative to the overpriced Hondas, Toyotas and Nissans. ","Gas mileage, Exterior looks, performance, endurance, reliability.",Improve dash layout
4,Overall a decent car - Needs many small improvements,diesengine ,01/02/2012,,,4,4,4,4,,4,4,4,4,"Overall quite pleased. Car yields about 25 mpg in 90% city, 10% highway driving. Like the sound of the engine when accelerating. Not that many on the road so it stands out with its sporty styling. Random noises occasionally come from the cabin. Can hear sound of gas sloshing around in back when filled full. Rear was redesigned in 2009 which looks somewhat like Lexus IS although with larger tail lights. Also added for 2009 was 4-wheel ABS, Tire pressure monitor, shiftable transmission and daytime running lights. The car sits lower to the ground than other midsize sedans and is more fun to drive than just about all except for the Mazda6. Has tight steering which lets you feel the road. ","MIVEC Engine, Sturdy feel, low to the ground, good crash test ratings, Strong Heat / AC, Orange-Red Instrument panel at night, Roomy, Steel wheels.","Shave few hundred pounds off the curb weight for better pickup and mpg, Needs projector headlights, MPG computer, miles until empty, temperature display, timing chain instead of timing belt, dual exhaust, double wishbone suspension, 4-speed transmission??, upgrade to at least 5-speed, needs slightly more torque down low."
3.125,Could have been better,nick_ole ,03/27/2011,,,3,3,2,3,,4,3,4,3,"I bought the base version of this car... It's very plastic, especially the trunk that sounds like a tin-can when you close it. Vehicle has lots of blind spots but for the money, it's still okay to drive. One morning, transmission started shifting heavy, took it to the dealer and after 2 days I find out that a squirrel had chewed off a wire that was supplying power to the onboard computer.. My question is, whey leave such an important cable exposed to the element through the vehicle design in the 1st place.Most annoying issue was the squeal of the car when I reverse right after starting the vehicle. Dealer says is happens to all Gallants.Just traded in...",Acceleration.... Very well for a 2.4 - V4 engine,
4.375,Superb Value,Mngoodtimes ,12/02/2010,,,4,5,4,4,,5,5,4,4,"Excellent acceleration for a 4- banger.  Wish the MPG were a bit better, have been averaging 22 miles with combo driving.  It's been freezing here in MN so I'm hoping the MPG will tick up a bit in the spring/summer.   Drivers seat is very comfortable and has great leg room (I'm 6'1, 220 lbs).  Rear leg room space is great but the seats are a bit low.  My 10 yr old has starting using her booster seat again in order to see out the window better.  Purchased new, the 2009 Galant ES was $22K.  I purchased mine a couple weeks ago with 49k miles for $9991...not too shabby!!!",Exterior styling is sharp....really like the back end.  Great space and value for a 4-door family sedan.  Don't see many of them on the road...it's nice to be different.  AC and heat are A+.,Improve MPG.  My 1999 Camry avg'd 25 MPG in combo driving.  You'd think a car that is 10 yrs newer would be able to improve upon this.  All black dashboard is a dust magnet.  Rear seating could use some improvement.
4.5,Superb Value,Placenshow ,11/26/2010,,,4,5,5,5,,4,5,4,4,"Just purchased a used 2009 Galant ES with 49,xxx miles for $9991, brand new, this car was $22k! Traded in a 1999 Camry LE, which we loved, but were looking for a new model family sedan. So far so good. Plenty of space, decent acceleration for a 4 cylinder, and driver seat is quite comfortable. Doesn't have all the bells & whistles of Camry/Accord but pricing is a definite plus and reliability is above avg from what I've read on numerous sites. Looking forward to many happy years of worry free driving. ","Driver's seat, exterior looks, value.",Nothing comes to mind yet.  Ask me again in 3-4 years.
5,I like my Galant,Julie ,11/13/2010,,,5,5,5,5,,5,5,5,5,"I really like my 2009 Mitsubishi Galant. I have been driving it for a little over a month, and have no complaints. It had 29,000 miles on it when I bought, and now has 31,000 miles on it. I was driving a 1986 Lincoln town car, so it is a new experience. Other than feeling every little bump on the road, compared to the smooth ride of the Lincoln, it is a dream. The pick-up (acceleration) getting on the freeway is great, even before it's completely warmed up. The rear window defogger works pretty fast. The defrost works good, and the air-conditioning will freeze you out of there. The stereo system is good, with a nice cd player and radio, and the handling is good. I wouldn't trade it. ","My favorite features are the overall handling, and anti-lock brakes.  The stereo has great sound.  I also like the feature for low tires, with the sign that comes on when you need to add air.","The only improvements I could suggest would be a better shock system for a smoother ride.  However, this would probably increase the price, and it had a good price."
4.875,Best car you might not know about,happykamper ,08/10/2010,,,4,5,5,5,,5,5,5,5,"I was reading all of these reviews and I wanted to agree with what everyone was saying. I have had this car for almost 2 years now. I bought it used with 17,000 miles. The reason why I purchased this vehicle was its low sticker price. I must admit I liked it from the beginning the 4 clyinder has power. The reliability is great all I have done is its recommended oil changes and that's it. Very roomy, let me tell you that's really important to me since I'm 6' 250 pounds! I live in Vegas and with all the driving through the snow on the mountains or the 100 plus degree temps. This vehicle has performed just great! I'm about to do my 60,000 mile service! Great buy and great reliability","roomy interior, plenty of space for my aftermarket DVD player, key is the key- less entry.","road noise coming from the engine, fold down seats, light in glove box. "
5,SECRETS OUT - SMART MAN'S ACCORD!,blb ,06/27/2010,,,5,5,5,5,,5,5,5,5,"I've looked for over 4 months for a used mid-size car, I looked at 2008 Accord, I wasn't pleased with the road noise and the asking/selling price tag of $17,000+. My research began again, back to square one back to crash test ratings sites/edmunds.com and that's when I found the Galant. I liked how it drove more than the Accord and the price was over $8,000 less! Most used Galants for sale had been rental cars and with over 35,000 miles on them, but I kept looking and found some with less than 18,000 miles and for below $12,000! So I was sold! I couldnt be happier - I did my research and I have saved over $8,000.00! I may do an update review if Im still pleased with my poor/smart's Accord!:)",,"Auto locks once car begins to drive, lock on glove compartment, lighted vanity mirror."
5,Impulse buy - turned out GREAT!,Brandon in Jersey ,05/20/2010,,,5,5,5,5,,5,5,5,5,"I saw this car in the show room (black w/ black leather, 18's. )  gorgeous. Made my heart stop.  Sitting in it, I thought, ""I can't afford this"" . Killer sale, got it for like 22k and had them drive it out of the showroom.  So far, so good, been almost 13 months.  No problems, almost 14k miles.  I'm loving it.  Definitely a head-Turner.  Have not see others like mine on the road thus far!  Unsung hero. I think Mitsubishi has a lifer now.  Definitely would recommend!  ","The wheels!  Heated seats, sunroof.","I didn't find my steering wheel radio controls for 2 months!  Would like power passenger seat, too. Radio is not loud enough (Came from 99 Max w/Bose)."
4.5,Better than the reviews I've read,Jamie in Las Vegas ,02/08/2010,,,4,4,4,4,,5,5,5,5,"I've had a 98 Jeep Wrangler for a decade. So moving to a sedan is an upgrade in most ways. Interior, styling, ride, acceleration; ALL are an improvement for me.  I know a Camry or Accord might be better outfitted, but so far, I'm digging it. It is at once distinctive AND doesn't call attention to itself. 2009 restyle fixes design incongruities from earlier models. 4 cyl engine does much better than I thought it would. I'm very pleased.  If you are moving from a lesser car you won't have many complaints. I test drove a 2010 Kia Optima before this one, and the 2009 Galant kicks its behind. But then, I guess it should. Love it right now. We'll see if I feel the same after 9 years.",Controls are laid out well. Wheels are nice. I really like the improved lines of the 2009 front end and grille. Tail lights look really cool. Comfy seats. Very smooth ride. I don't see many on the road and kinda like that not everyone else has one. Mine has no badging except Mitsu logos. Love that.,"Front passenger footroom will cramp long legged, big footed riders. Fabrics are kinda blah. MP3 input would be nice, bluetooth too. Button controls in door aren't intuitive. Folding back seat would've been nice too."
4.75,A Good Value,Bruce ,02/01/2010,,,5,5,5,4,,5,5,4,5,"This is my first Mitsu (prior Camry & Accord owner).  Not as refined as a Camry/Accord, but with rebate and deal, a far better value for the money.   However, I'll be bringing it back for third service to hunt down an intermittent engine noise.  Although disappointing on that one issue, it has been otherwise a good car (so far).  A comfortable fit for a tall person.  I purchase a car and drive it into it's grave. Camry's and Accords have gone the distance for me (10-15 reliable years).  I'm hoping the Gallant will go the same distance.   ",Nice exterior styling that stands out in the current Camry/Accord crowd.  Good leg-room.  Longer warranty period than the competition.      ,Needs rear fold-down seats.        
4.875,The most UNDERRATED car on the market,mike ,11/18/2009,,,4,5,5,5,,5,5,5,5,"For the price, this car will take on Toyota, Nissan, Honda and all. Best price period? YES. Ride, comfort, room.This is my first Mitsubishi and it won't be my last. They have a customer for life. The power of this 4 cyl will fly. Mileage is 26 in town. This car is rated at the top.","Lights on gauges, climate control, ride, comfort, head lights, yellow turn signal for safety, radio and mpg 30 hwy. Heated seats, power driver seat.",Too much plastic on dash. Need a power passenger seat.
4.5,Best Bang for the Buck,Mitsu Believer ,10/30/2009,,,4,4,4,5,,5,5,4,5,"I am a car guy.  I bought the Ralliart used surprisingly.  It looks great, drives and is simply a rocket ship.  The Liquid Silver is a great paint and the wheels are nice.  Leather is comfortable.  The Navi is okay with accuracy but the features of the Navi and radio are terrific.  My wife even enjoys the ride of the car.  Winter is almost here and I'm curious to see how it handles snow.  I am averaging between 420-450 miles a fill up.",Engine is very strong.  FWD feel is solid as well.  Seats are very comfortable and instrumentation is great.  Satellite radio is good.  Looks are sporty.  Love the headlights.,"Premium unleaded needed with the high compression engine.  Gas fill ups get expensive.  Gas gauge when empty seems inconsistent. Sometimes it has almost 2 gallons left, which is okay so you don't run out but annoying to me.  Some interior plastics are a bit too much in spots."
