rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,09 Lancer sports,Jldixon ,10/06/2016,3,4,3,,,4,4,5,4,,,"Very dependable,low maintenance and average interior. Has great reliability. Ownership since new.",,
,,,,,,,,,,,,,,,,,
4.25,Fun to Drive and Dependable!,jamster3 ,06/12/2015,,,3,4,3,5,,5,4,5,5,"I bought my lancer brand new 6 years ago.  It has 110K miles and still runs great!  In that time, I took good care of it (nothing extreme), but I replaced the air filter at least once a year, changed the oil about every 5500 miles.  Have had 3 sets of tires, changed the front brakes and battery once.  Changed the transmission oil twice and that's about it.

I still get between 30-32 miles on the highway and about 22 around town.  The car has great torque for what it is.  Though it's not a luxury vehicle (especially the interior), when I'm at a stop light, sometimes it's hard to tell if the car is still running.  that's how good the engine still is.",Hands-Free - miles per gallon - torque.,a better interior would be nice.  The speakers got a loose connection early on (after 3 years).
,,,,,,,,,,,,,,,,,
4.75,Awesome machine,bfrost2 ,02/17/2015,,,5,5,5,5,,5,4,5,4,"Alright so this car is absolutely worth the money, I commute 150 miles a day round trip and it runs strong with decent comfort. The only negatives Ive found with this car are if you live where it snows you WILL be jamming out your rims with a snow brush every time you get out of the car or drive around with the car shaking so bad you cant read the guages, it also doesn't do as well as promised on gas I average 23ish. You 100% want the rockford sound system and the CVT transmission is complete junk so buy a 5 speed. (traded my automatic back after 2 weeks because it was so annoying). Other than that this car is amazing and I may buy another one when trade in time rolls around.","Zippy, looks great, drives great, was CHEAP for what you get.","Milk some better gas mileage out of it or make it faster to validate the sports car mileage. The gauges are near impossible to see in the sun for whatever reason, add an AWD option to the GTS line or add a 5 speed option to the ralliart line."
,,,,,,,,,,,,,,,,,
4.25,2009 ES Sport ,serrilion ,05/23/2014,,,4,3,5,5,,5,5,2,5,I'll make this simple for everyone...Good parts:ComfortableKids car seats fit wellSafe carDoesn't break down if you keep up with serviceIs a very good car in the snow for a FWD 5speedGood MPGLots of Aftermarket SupportRockford sound system is perfectsun roof is nice as wellBad:Paint sucksShocks in a bad road state get eatten aliveRuns better on 91 octane vs recmended 87should have come with a short shifterStock factory tires suck and are to skinyKey Fob loses programing for fast system ,"Fast Key system
Sound system
Engine and Trans reliablity
handling
Comfort","Paint
Key fob
wider factory tires
TCS switch though 2010 gets it
"
,,,,,,,,,,,,,,,,,
4.875,Amazing vehicle,sedanfanman ,07/02/2013,,,5,4,5,5,,5,5,5,5,"I bought my 2009 Mitsu Lancer ES back in July 2009 and 70K+ miles later, I still love it! I looked at similar vehicles while shopping but fell in love with the handling, performance, and value of this car. I've taken very good care of it and haven't had a single engine problem. My one complaint is the paint. Due to a design flaw there is an unusual amount of paint wear on the side skirts near the rear wheels. Countless chips all over the hood (which, yes, happens. But there is a lot more than normal). One time, while washing the car, I was scrubbing off a dead bug and a decent size paint chip came off with it! That should not happen! Regardless, I'd still recommend this car to everyone!","Handling, performance, and value. Won't have this much fun with any other vehicle under $20K and that is a FACT! I also love how spacious it is. More room than the Carrolla, Impreza, Mazda 3, or Jetta! ",Needs better quality paint or extra protective coating. I've touched up the paint several times but plan on getting the car repainted all together. 
,,,,,,,,,,,,,,,,,
1.875,One of the worst cars ever,bolshevik ,03/26/2013,,,3,3,1,1,,3,2,1,1,"I bought this car used with little mileage, after a few months I've had to put around a thousand dollars in fixes to it. I had to clean the engine because it was clogged, it has instability problems when accelerating over 60 miles (it vibrates), I had to replace a valve and some other engine internals because they were damaged, had to do injection system cleaning, and the worst of all I have to add oil to it on a constant basis because it just simply consumes a ridiculous amount of oil.My other car a Toyota Yaris 2008 has over 115K (I drive it hard and a lot) and I haven't spent a SINGLE DOLLAR except on the normal oil and tire maintenance which I do by the book.","Really nothing. The car is so unstable and bad that I'm afraid it will leave me stranded all the time, so pretty much I'm going to just give away the account.

Objectively speaking, the exterior and interior are pretty, and it is a spacious sedan, but the mechanics and quality seem like they were made with the cheapest parts available in a third world country factory.",Buy Toyota not Mitsubishi.
,,,,,,,,,,,,,,,,,
5,Love this car,kazax01 ,10/26/2012,,,5,5,5,5,,5,5,5,5,"One of the best car you can buy for less than 30K new.Car is fast. AWD makes it any weather car.Exterior is beautiful and aggressive. Got a lot of compliments.Interior is nice, maybe not expensive materials but great quality.","Turbo.
AWD.
TC SST.
FAST key.
BiXenon HID headlights.
Rain sensitive wipers and auto headlights
Heated leather seats.
Rockford Fosgate audio.
",Evolution X wheels
,,,,,,,,,,,,,,,,,
4.75,"Bought in 2008 as new, and it's still drives like new",yokohomme ,09/01/2012,,,5,5,4,5,,5,4,5,5,"I bought it new from MT dealer in 2008. Mine is 09 model es, and it's extremely reliable daily commute car. I personally think this car is way cheaper and better than competitive model Civic and Corolla. My car has put 82,000 miles and never had any single problems. Brakes and tires are very sturdy because I have neven replaced brakes still today.","Powerful engine, brakes ",I wish lance es has a better fuel efficiency. 
,,,,,,,,,,,,,,,,,
4,Almost 3 years going ...thats a record,loanshark_08 ,04/15/2012,,,4,4,4,4,,3,4,5,4,I must say this car is worth my money so far. Most American cars I buy are usually in the shop more than I getto drive then trade them in and become upside down. In July it will be year 3 and that is the longest I have owned a car. This car gets me all over Texas as well as a daily commuter. The only negative I can say is it randomly won't start but then will fire right up. I thought it was a fuel filter but much to my surprise this car only has one in the fuel pump in the gas tank? Upgraded the sound system and w/ Bluetooth makes it one awesome lil car. ,,
,,,,,,,,,,,,,,,,,
3.125,2009 Lancer GTS reliability,goreyno88 ,01/25/2012,,,3,4,3,1,,3,4,3,4,"I bought my 2009 Lancer GTS in July 2009, it was running good until it reaches 39700K miles and my clutch just gave up.I took my Lancer to El Cajon Mitsubishi and was told that my plywheel was worn out due to a regular wear and tear.So I ask if it is still covered by warranty but the service advisor said it is not covered by the powertrain warranty since it is not part of the powertrain.So I have no choice except to pay $ 1,700 to replace the clutch plywheel.I have a 1996 Honda Accord but I have never had a transmission problem since I bought it.I would strongly recommend to consumer Look at Honda first before going to Mitsubishi.",,
,,,,,,,,,,,,,,,,,
4.75,Fun and Good Value,mross77 ,01/18/2012,,,4,5,5,5,,5,4,5,5,"I bought my 2009 GTS used about six months ago and am really enjoying it so far.The 5 speed stick has plenty of power and is quite quick.Handling is very surefooted with little body lean and poised direction changes.Braking with the 4 wheel discs is excellent.Quick, short stops, zero fade and pretty good pedal feel.I would recommend the Sun and Sound package as the Rockford Fosgate stereo alone is well worth the money - far and away the best sound in any vehicle I've owned.I get 22 or 23 mpg around town and 31 on longer trips - not awesome but certainly respectable.Nice roominess front and back for a smaller car and good ability to carry lots of stuff.","Love the stereo, the quickness - don't get the CVT, the handling and braking and the styling.","A bit difficult to adjust to truly comfortable driving position.
If Mitsu would put in some lumbar support and make the steering wheel telescope that would help lots.
I like the layout of controls and ease of use.
Interior looks good but some softer, more inviting materials would improve it significantly."
,,,,,,,,,,,,,,,,,
4.75,Sporty & Fun,dinger82 ,12/15/2011,,,4,5,5,5,,5,4,5,5,"My wife & I bought this car in new 2008. The 2.4L has plenty of power, and we see great MPG Avg 30 or more most of the time.","The stiling! And the 5sp has a great feel!
Awesome for relialbility","No telescopic steering wheel.
And the AUX port you have to hit everytime you start the car. Thats annoying"
,,,,,,,,,,,,,,,,,
