rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4.625,Fun to drive!,ohiodoug ,07/28/2014,,,4,5,5,4,,5,4,5,5,"I bought this car in the summer of 2009 kind of on a whim.I had been wanting a sports car and it was between this and a Dodge Challenger.Well, with Chrysler bankrupt and Challenger production on hold, I looked into the Z. (As it turns out the Challenger wouldn't have fit in the garage anyway).I have this with the 7 speed auto and paddle shifters, which is almost as fun as a manual.This car is straight out fast and the tires stick like glue!If you don't push it, it actually gets pretty darn good mileage, but it's hard to refrain from excess speed.Love the control layout and info screen. I've had one problem area (see below).","Straight line performance and handling.
Absolutely a blast to drive and it feels really different than a 3.5 liter Altima Coupe I also test drove.
The seats are actually pretty comfortable, but being my first sports car I feel like I'm sitting soooo low!
Decent stereo, nice control layout.","In terms of the design, this car just screams for a backup camera -visibility is awful.
You just learn to live with it and if you have to back up, do so with care.
Mechanically, I had one time (about 3 years in) wher the car acted out of fuel with almost 1/4 tank.
I saw another Z owner say this, and it was a known problem with Nissan Quests.
I never had a problem before even when getting the car within a gallon of empty, but since this time I make sure to fill up at 1/4 tank. I was also disappointed at the lack of an oil cooler since I was thinking about trying to autocross the car.
That (along with overheating of brake fluid under extreme conditions) mean it can't be a track car."
,,,,,,,,,,,,,,,,,
5,Nissan Certified 370Z Touring 6MT,djrelic247 ,07/03/2012,,,5,5,5,5,,5,5,5,5,"Everything about the vehicles is a positive.It's a REAL sports car so there isnt going to be much of any cargo room. I mean the owner's manual doesnt even fit in the glove box.Only Im luke warm about is the initial clutch engagement aka the friction point. It is very high on the clutch pedal and the window from friction point to full engagement is the smallest Ive ever felt. This is the stock clutch. The clutch is very linear as well, so you really need to feel when it bites at first.But there is a cheap fix for it, which is buying a clutch helper spring to replace the OEM one.Better fix is a new clutch assembly which makes it feel like any other car you have driven.",,
,,,,,,,,,,,,,,,,,
5,My 2nd Z,dmpete ,03/08/2011,,,5,5,5,5,,5,5,5,5,"Picked up a used 09' a couple of days ago, this is great. Coming out of a BMW that had nothing but problems, always liked the Z, kinda my halo car (the 300ZX twin turbo). I have drove one, this new 370 outshines it in almost every way. There is road noise, but the feel of the car is great, acceleration is good, w/ in a few ticks better or worse than my M. Steering is very tight, the suspension is a little softer than my old M, but not in a bad way. The Bose system sounds great. First weekend put over 200 miles on her. Great driving car, and have already started getting looks. Overall this is a home run for Nissan. And I love it.","The styling, the flared fenders. The tight shift gates. The power of course. The wrap around interior. The Bose surround. Heated Leather/suede combo, basically everything.","Can't really think of anything, Nissan did their homework on the Porsche Cayman, who they matched in almost every way for way less money"
,,,,,,,,,,,,,,,,,
4.75,Love this car,nuts4nissan09 ,09/04/2010,,,5,5,5,5,,5,4,4,5,"I turned 40 in 2009 and decided to give up riding sport bikes and buy something safer. The 370Z was the perfect choice for me. Purchased a base 6 speed w/ the sport package. I have driven it in the mountains of NC and was able to attack curves w/ the same speed as I was able to on the bike. I look forward to every drive. Yes, the 050 Bridgestones can be loud on bad pavement, but that is what Dynamat is for. Easy fix. Don't let tire noise keep you from enjoying this little gem. The best value in sports cars period.","Handling, power (flat torque curve w/ potent top end), styling (exterior and interior) and value","NVH-the engine can be a little raucous near red-line, would prefer a factory installed and warranted oil cooler- temps can range from 195 to 240 degrees on average, 230 degrees @ 80mph in 100 degree heat (interstate) and 240 degrees in the mountains going uphill, tougher paint (chips easily)"
,,,,,,,,,,,,,,,,,
2.625,Dont waste your money,NICK ,08/07/2010,,,2,5,1,1,,2,2,4,4,"When I bought my 370 I really thought I was buying quality, boy was that wrong. I paid cash and still spent all day waiting why I don't know and I said I wanted a spoiler added my sales guy said no you don't well I was sure I did. The sales part took way to long and the dealers knew nothing about the car. The car itself was fun to drive for about 3 days I could hear every Stone smack and everything else possible, I had water in both tail lights all the little flaps behind the wheels fell off. The paint was horrible it chipped every time I drove the car, when the tags were put on the lot guy ran screws into the bumper why use the bracket? Nissan service was horrible save your money&buy something else.",the look and it was fast,"Nissan should start by improving their service standards. Nissan should also have the kinds of fluids that your car needs i needed antifreeze and they didn't have it ever,the overall quality of the car was terrible,uncomfortable, needs sound proofing, make the car worth the money don't rush it   "
,,,,,,,,,,,,,,,,,
5,Zooowaahhh,machZ ,06/04/2010,,,5,5,5,5,,5,5,5,5,"Wow this car just getting lots of looks wherever I go, After driving SUVs (automatic) in the last 19 years it's time for me to get the driving-fun back in my life. I can't stop grinning every time I sit on my 370z  I had been in the market for a sports car and I was considering the Gen Coupe, oh Boy I'm glad I went for the Z. I got a great deal ($1000 below invoice) and the APR I want. Syncro Rev match really helps you if you are a novice driver. Best bang for your buck in terms of performance and handling for a sports car.","The Exterior Styling is unlike anything you see on the road, it just plain gorgeous. First ever Synchro Rev Match on the manual",Cabin noise need to be address
,,,,,,,,,,,,,,,,,
4.75,Best Z-Car Yet.,Greg ,05/30/2010,,,5,5,5,5,,5,4,4,5,"My first car was 72 240z and I had an 83 280ZX. The 370 is the best yet. It is quick and nimble. You rarely have to plan your moves in traffic just look for an open spot and the Z will be there. People complain that the gearshift is ""notchy"" I am not sure what that means? I find it quick and accurate. People complain about road noise. It is a two seater sports coupe. You expect a little road noise. You might try learning to judge the character of the road surface from the sound. Most of all, this car is just fun to drive. I commute 90 min each way daily. In the Z I actually look forward to the drive. The seats are so comfortable. They actually get more comfortable the longer you sit in them.","It is fun to drive. People notice it where ever I go. If I see two a week, that's a lot and I live in L.A. Handling breaking and performance. Good sound system and just the right amount of road noise. Nice interior a definite step up for Z-Car interiors.",I wish the ventilation system worked better. The A/C always comes on and you have to switch it off. (I just want fresh air). Recirc won't run without the A/C period. Switch off the A/C and Recirc cuts off. After about an hour the fresh air starts getting warmer and warmer. I just want fresh cool air
,,,,,,,,,,,,,,,,,
4.625,All true,pwinn ,05/12/2010,,,5,5,4,5,,5,4,4,5,"I had the the 350Z roadster. Loved the top down. For 5 years. The 370Z is all new inspired by the 350.  Goes and looks right in every way. I have the touring and sport pkg, 6 spd. Corners and pulls off the line as promised. Rear wheel wells are noisy in the rain-road noise. The value of the car verses what you pay overrides noisy tires. Wind it out or turn up your iPod. No noise. It's all true. The car is a fantastic 2 seater to be respected.","Engine, brakes, handling.",Sell some wheel well insulation as an option during delivery. I'll put in myself.
,,,,,,,,,,,,,,,,,
4.875,"It's all true, the good and the bad",JR ,04/24/2010,,,5,5,5,5,,5,4,5,5,"First the bad news. The tire noise in this car (touring with sport package)is unacceptable. I drive 60 miles to work each day and the noise is terrible. Nissan really dropped the ball with nvh.  The good news is, the fix for tis pretty cheap and easy. Buy some sound deadener for about $150, then spend an afternoon installing it and all of a sudden you have a fun to drive, world class sports car that will run with anything on the road and get attention everywhere you take it.  Acceleration and handling are great. Bose system is pretty good and interior quality is significantly better than the 350Z. ","Looks, power, acceleration, suede like interior, an actual glove box, behind seat storage shelves. Car feels nimble and ready to go unlike my previous car (G37 coupe that was too weighed down to be fun to drive)","Fix the tire noise, fix the tire noise, fix the tire noise. Put the aux input in the arm rest so you don't have to see the wires. Add streaming bluetooth audio, maybe add an induction tube like on the mustang to create a better engine sound in the cabin"
,,,,,,,,,,,,,,,,,
4.75,poor man's GT-R,True Sports Car ,04/17/2010,,,5,5,5,5,,5,4,4,5,"We got the Sports package with the upgraded wheels, brakes, suspension, etc.  The ride is firm but not overly stiff, even with the 19's.  Yellow paint has every head turning.  The front plastic spoiler gets scraped on every 4"" driveway.  The blind spots are significant but that's why they give you 3 mirrors.  I've had a C5 'Vette with the Z51 suspension, the Z rides no worse, and it probably won't leak in the rain.  The MPG is mid 20's but the car is still new, hopefully better with time.  I love the look, handling, ride and Nissan parts availability and reliability.  The difference between a GT-R and a 370Z is not so much performance but cost of parts when tires, brakes, etc. are replaced","Yellow Z with 19"" wheels and tinted windows.  It could be used in a video.... handles like it's on rails, light weight, big tires, firm suspension.  After celebrating birthdays on the dealer's showroom for 6 months it was ours for invoice to make room for  the 2010's.  Timing is everything in life.","a better front lip spoiler that won't hang-up on every 4"" surface road flaw and driveway entrance.  Mileage could be better but I didn't buy it for mpg.  Other than that it's a great sports car."
,,,,,,,,,,,,,,,,,
4.75,2009 Nismo,Stephen Hare ,03/24/2010,,,5,5,5,5,,5,4,4,5,"I have had this car on the track and it also is my daily commuter car. I just love it. Everything they say about the car is true - road noise loud, very stiff, kidney shaker, stripped down, etc..... and it is exactly as advertised. If you want a track car that looks great and fun to drive then this car is for you. If you want seat warmers, GPS, BOSE system, all the creature comforts - stick with the regular 370Z with the sports package.  Just my 2 cents worth.",The way this car turns into a corner at 90 mph. WOW,If you are going to drive this car on the track - an oil cooler is a must.
,,,,,,,,,,,,,,,,,
4.375,Fun to drive,Dee ,03/10/2010,,,4,5,5,5,,5,3,3,5,"Fun to drive, awesome acceleration, eye candy.  Getting in and out takes getting used to. Be aware of blind spots and limited rear view visibility. Bucket seats somewhat uncomfortable, the raised sides excessively squeeze my legs, I am only 170lb so I can only imagine how uncomfortable that might feel for someone of a bigger posture.  AC seems to be slow to kick in... Navigation hard to read on sunny days.","Navigation, acceleration, looks, Bose system is simply awesome, like the CF flash reader in audio system.","Sunglasses holder, parking sensors and rear view camera, ipod integration works with iPhone but does not charge it. Ventilated seats. Better AC.  Replace CF reader with SD card reader, increase CF reading capacity beyond 500 songs. Ability to copy music from CF card to audio system hard drive."
,,,,,,,,,,,,,,,,,
5,Fantastic,rebe945 ,02/25/2010,,,5,5,5,5,,5,5,5,5,"Black on black. Fantastic looks in and  out. Very fast, comfortable ride. Handling  fanatstic. No problem with noise as I have the 18 inch wheels. Never even noticed. Interior wraps around you and makes you feel part of the machine. Cozy yet roomy. Love the creases on the  hood  from inside. Seat comfort good and grows on you till you love it. Have to wait till Spring to drive it again. Cannot stand the wait but the anticipation is fanatastic. Best car Ive ever owned.","gets looks everywhere. acceleration , handling, cockpit feel, standard sound sys good too. Adding their wheeel guards.","Nothing is perfect but this comes close. blind spot no problem, the car has curves any women would appreciate."
,,,,,,,,,,,,,,,,,
5,Fantastic,rebe945 ,02/25/2010,,,5,5,5,5,,5,5,5,5,"I'm 55 and bought a black on black. Just awesome, under cover for Winter. Pull it out, run the engine. Just not enough. Need Spring. Ive never had so much anticipation to drive it again. Love the exterior. A head turner. Interior has a modern quality cockpit feel. Seat comfort good and grows on you to now it is just very comfortable, no problem. Performance is off the charts. Power, turning, braking and cruising excellent . I have 18inch wheels and never even thought about any road noise. I have the basic sound system and its very good. May upgrade though because I love my music.Not necessary though. Can't say enough> I've never loved a car so much.","Looks , comfort, feel, and performance.","slightly wider seat but after you get a feel, no problem and comfy. Oil cooler not necessary here."
,,,,,,,,,,,,,,,,,
4.875,ZZoooming the best deal,Big Sky Blue ,02/08/2010,,,5,5,5,5,,5,4,5,5,"A true sports car. I've owned a couple Corvettes and Z28's but none tracked as straight and true as this car. Steering is tight but confident and nothing matches the brakes of the Z car! Ride quality is stiff for the Sport model, but one certainly does not wallow in the seat through turns. Interior layout and quality are excellent. Love the no-key ignition and locking system. In late summer temps of 80's to low 90's and running air conditioning, oil temp gauge never went above 240! By eliminating Styrofoam filler behind seats where Touring models add speakers...1 1/2 cu. feet of more cargo space was found. Amazing how much stuff can be loaded in this small car! Agree with Oldguy-soft paint!","Design...design...design in and out. Performance and control. A true driver's car. Gauges are excellent...I even like the ""odd-ball"" computer gauge. Interior auto-temp system works excellently. Love that Sync-rev system and appreciate the output for gear selection.",Harder paint surface with stronger clear-coat finish. Little softer seat inserts. A back up camera would be nice. Road noise is not a big problem but more isolation would be helpful. Can not hear the engine or exhaust below about 3000 rpm. Please - this is a SPORTS car!
,,,,,,,,,,,,,,,,,
5,Unreal!!,jbuzz ,01/31/2010,,,5,5,5,5,,5,5,5,5,"Had the 350z roadster, the 370z is better in every way!! Faster, lighter, shorter, wider!! Leather, suede this car is turns heads!!  Easily the best car I have ever driven!",Integrated steering wheel controls.,"Nothing, Perfect!!!"
,,,,,,,,,,,,,,,,,
4.875,Nostalgia Strikes,GAR ,01/20/2010,,,5,5,5,5,,5,4,5,5,I owned 72 240Z and my wife had a 280ZX. I have several similar cars over the years. When I first drove 370Z I was reminded powerfully of my 240.  This is a drivers car. You don't step into it but instead you wear it. You feel the road in your hands and the seat of your pants. You hear the roar of the road and judge it's condition from the sound. The sport package makes the handling even more precise. The car seems to go where you want it too by thought control. This car demands your full attention but you are rewarded with an exciting driving experience that makes any trip even the daily commute fun. If you want a 2-seater sports car the Nissan 370Z deserves your serious consideration.,"The ride is taught without being harsh. The manual transmission shifts with confidence and a definite directness. The handling, especially with the sport package, tight, precise, and fun. ","More storage nooks would be helpful. Both my 240Z and the 280ZX had cargo straps, which are sorely missed in the 370Z. I don't how or if you could improve it, but the storage locker that get if you do not have the navigation system installed, is useless."
,,,,,,,,,,,,,,,,,
5,Great sports car for the money,sportscarlover ,01/19/2010,,,5,5,5,5,,5,5,5,5,"This is a super fun to drive sports car!  Ours has 20"" wheels and tires, which helps with handling and performance.  Platinum graphite paint job - WOW!  This car turns heads!  The interior is plenty roomy for me, great sound from the Bose stereo, fairly smooth ride for such a small car.  This is a great sports car, at a great price.  I thought I loved my last car, a 2000 Toyota Celica GT-S.  The Nissan 370Z is a million times better!  I won't complain about the gas mpg, it's a fair trade off if you want a higher performance car.  This car isn't for you if you want a family car, or SUV.  But if you want a true sports car - this is it!  ","Platinum graphite paint, comfortable seats, instrument panel, Bose stereo, keyless, everything.","Could get better gas mileage, could use a little more room in the trunk."
,,,,,,,,,,,,,,,,,
5,Thrilling--- Even For An OldGuy,OldGuy ,12/28/2009,,,5,5,5,5,,5,5,5,5,"Bought this car for my 62nd birthday. For a true sportscar,it is reasonably easy for an ""adult"" to enter and exit. Surprisingly good fuel economy---28 highway mpg, before break-in, when I drove her home on the Interstate. I've owned them all---from Cadillac to Miata---and I can say that this car is outstanding in all respects. Solid as a rock. Impressive interior quality. Breathtakingly beautiful exterior styling. Refined power and comfortable ride without compromising handling. Nissan stands for (and again delivers) excellent value and promises long-term trouble-free performance with minimal and afforable maintenance requirements. This car will age gracefully and depreciate well.    ","The styling and exterior looks are breathtaking. I stare at her endlessly. Excellent value for the price. The 370 Z is a Nissan and that provides the implied promise of confident and trouble free ownership and affordable maintenance. Love that keyless entry and ignition. Wonderful engine ""growl.""","Back up camera option. Also, take the Aux port (for iPod) off the front of the head unit, as the cable and iPod are always visible and hanging out without of place of their own. Also,I'm hearing the paint is a bit soft. That should be remedied for 2010. Remote trunk release should be on the key fob."
,,,,,,,,,,,,,,,,,
5,Lovin' it!,Red Z Owner ,12/25/2009,,,5,5,5,5,,5,5,5,5,"So it came down this car and the '10 Camaro.  Got to test drive the Z.  Got to sit in the Camaro.  Advantage Z.  My initial concerns about this car were the ""snugness"" of the interior, and the extensive road noise.  The test drive alleviated both concerns.  The ride was comfortable, even for a former 5'10"" 237lb football player.  The road noise was acceptable.  I for one like to hear the engine while I drive.  It makes me feel more in-tune with the car.  This car is absolutely gorgeous and it's performance is off the charts.  It has a very linear torque curve which produces ""right now"" acceleration no matter the speed or gear you are in.  The sync-rev really makes working the gears a joy!",Gorgeous looks.  Great acceleration. Precise handling.  Sync-rev.  Bose stereo.  Brakes!!,Wish I could integrate my MP3 player with the audio system.  iPod only I'm afraid.
,,,,,,,,,,,,,,,,,
4.625,GREAT!,Alex ,12/16/2009,,,5,5,5,4,,5,4,4,5,"When I picked up my 370, I was excited, and I'm glad to say that a month later, it's still as much fun to drive as it was then. However, two SMALL problems perk up. I'm a typical American (read FAT), and the 370Z's seats are a tad narrow for my thunder thighs (small quip, not a deal breaker). Also, the stock tires they come with are Summer only, which is a baaaad combination where I live (read: wet and cold), and you could, in theory, have a terrible accident. Other than these very MINOR quibbles, great, fun, and worth every penny.",Audio controls on the steering wheel. Tri-Gauges POINTED towards me. Digital fuel meter.,"All-season tires and the car would be perfect. If at all possible, a wider seat, or softer cushions?"
,,,,,,,,,,,,,,,,,
5,Awesome,stubby ,12/11/2009,,,5,5,5,5,,5,5,5,5,"As a previous owner of the 350Z I feel as they have completely refined an already amazing ride.  Exhilarating performance, exceptional handling, everyday driving comfort ability, and sleek styling, for which pictures do no justice, to this Porsche like appearance and feel for a car that was only $30,000 with a sports package.",,
,,,,,,,,,,,,,,,,,
4.75,"No, you may not borrow my car",rodster ,11/22/2009,,,4,5,4,5,,5,5,5,5,Bought this in June and have 8k miles on it. I love the power that this Z provides so that even when I hit the gas at 70mph I'm pushed back in my seat! The Bose stereo provides great sound quality and includes some nice sub woofers. It's amazing how many people turn their heads to look! I commute 50mi/day (mostly highway) and avg 25mpg which is acceptable. No comfort issues here. The cockpit wraps me like a cocoon (very cozy!). My oil temp never exceeds 240 even on my July roadtrip at speeds of 80-90mph. Rear visibility works for me since I attached small wide angle mirrors onto the side mirrors.,"Powerful engine. Handling with the Potenza tires makes one feel invincible. xenon headlights, LED taillights add to the high-end look. VDC has saved my butt more than once!",backup camera. more wheel well sound insulation. Better paint quality? I expect a few chips from flying debris but it seems I am experiencing more than other cars I have owned.
,,,,,,,,,,,,,,,,,
4.125,Engine Oil Temp Concern,Alabama Driver ,10/10/2009,,,4,5,4,4,,4,4,4,4,"This is a great looking, reasonably priced little sports car.  It handles well and definitely turns heads at stop signs and coffee shops.  I only have 1K miles on it, but it has been a blast to drive.  My only concern at this point is the high oil temperature readings.  I would really like to hear what Nissan's solution is for the high temp readings.","The look, this car looks incredible just sitting in the driveway.","It has a few blind spots and the high oil temp readings really concern me.  I'm not a race car driver, so I don't understand why it heats up so fast."
,,,,,,,,,,,,,,,,,
5,It iZ what it iZ,Terrence M. Green ,10/03/2009,,,5,5,5,5,,5,5,5,5,"Owned for a month, now 1500 miles on it.  It is amaZing!  Installed K&N Air filterz and seemed to help with the car breathing better, little more powerful.  AC off, drive 55, you can average at 30 mpg or over.  Of course up to 70 with AC on I was happy to see 25 on average.  Touring Sport pkg/19"" wheelz, road noize on smooth blacktop iz reazonably quiet.  Texas throwz down that Hot mix surface crap to save money & soundz like I'm in a Jet over the enginez.  Not Nissan's fault the  SouthTX roadz are crappy.  Road surface makes a difference.  Car was made for better roadz. Yes, lots of looks.  My favorite DPS officer took a look and granted my 1st speeding ticket in yearz! Have to watch in Z!","The seats are comfortable for my 100 mile a day commute 4x a week. (200lb 5'11"").  Plenty of room. Gotta have the Bose/Nav upgrade.  I feel very SAFE in the Z.  Solid, plenty of power, smooth. Styling is World Class. Hi oil temp @ 120 mph for 5 mins. was 200F. Ok to me.  Auto transmission is fast!","The Nav package is same as Maxima and they have rear cameras.  Looking into that with dealership.  Order the camera and hopefully plug it in to back of Nav console.  The Z has a recessed hole over license plate to install one.  Loved the 240Z years ago, I now have a Z of my own.  Well done Nissan! "
,,,,,,,,,,,,,,,,,
4.875,What a BLAST !  Great car for the Money ,apes girl ,08/26/2009,,,5,5,5,5,,5,5,4,5,"Great job Nissan ! 09 Got the Nav pkg/Sport Pkg. loaded. I have owned Porsche, Vette, Cameros, Range Rover Ect.... This is a great car for the money Truly. Handles sweet, power when you need it.  I live in San Diego so I have not experienced the heat or need for oil cooler ( hope you guys get help though ) Comfort is amazing, sound system great,  Nav easy to use, like the phone opt. and inside is roomy, your not on top of one another, nice. Great use of interior space thanks.",LOVE IT ALL !!,"automatic trunk open/shut like murano (on key), and better rear visibility maybe back up camera on nav screen like murano.Would be helpful  Thanks   "
,,,,,,,,,,,,,,,,,
4.75,"370 Z a""Winner""",JPK  ,08/25/2009,,,5,5,5,5,,5,4,4,5,"I traded in my 2005 BMW 330CI with the sport pkg and sequential manual tranny. It was a quality vehicle and fun to drive. I test drove the 370 Z and felt it was more me than the BMW. It looks great, (turns heads)has rapid acceleration, shifts easily, and corners like it is on rails. I,m 5'11"" and weigh 170. The seats are comfy, head room is ample and leg room is good.  I now have over 1200 miles on the car (mfr's break in period)and engine and tranny feel much better.  I live in East Texas and the temp has been in the mid 90's and low 100's since I've had the Z. 240 degrees is the highest the engine oil has gotten. The Z engine is noisy but seems quieter as it breaks in.       ","Looks,handling,engine response,seats and cockpit.",Improved rear and side visibility. A more melodious engine.
,,,,,,,,,,,,,,,,,
3.25,The 370Z car need an ENGINE OIL COOLER!,Prefecto2 ,08/11/2009,,,4,4,5,1,,1,4,3,4,"I purchased my Nissan 2009 370Z Car on February 26, 2009. I have been very disappointed with my 2009 370Z Car, because you can't drive it over 4000 RPM's, if the ambient temperature is over 90 degrees. As a result, I only have 630 miles on my 370Z!  The 370Z Car, without an engine oil cooler, will over-heat! The engine oil temperature reaches 280 degrees, if the ambient temperature is over 90 degrees, and it will do it in a very short period of time.  When this happens, the car's engine RPM's are reduced from 7500 RPM's to 6500 RPM's, and if the engine oil temperature reaches 290 degrees, the engine's RPM's will be reduced to 4500 RPM's, which is approximately half of the 370Z Horsepower!","The 2009 Nissan 370Z is an excellent handling car.  The interior is very well set, and easy to drive.","The 2009 Nissan 370Z must have an engine oil cooler installed, in order for the car to reach its full potential!  Without an engine oil cooler, the 370Z in a very poor performance car!  And don't even think about contacting Nissan's Consumer Affairs Dedpartment. What a joke!"
,,,,,,,,,,,,,,,,,
