rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Altima is where it's at,ronald hall ,11/25/2016,5,,4,,,5,,5,5,,,"I found the hybrid Altima while looking for a Prius but I'm so glad I went with the Altima hybrid.  I've had no problems with it and love the comfort (I'm a bigger guy), the acceleration is great, good mileage (28-32 depending on the time of year and it has a really comfortable ride. It seats 4 people very comfortably and five if needed. I couldn't be happier with it.",,
,,,,,,,,,,,,,,,,,
5,The Beast,Imran Hussain ,02/14/2016,5,5,5,,,5,5,4,5,,,178k miles Never had a single problem all i did was regular oil change brakes tires Wheel bearings thats it.. It starts with one click and ready to go wherever you wanna go i bought one jeep too so i am using it these days but i am sure it can do 100k more,,
,,,,,,,,,,,,,,,,,
1,Poor machine,Edgar ,01/22/2016,5,3,4,,,3,4,3,4,,,"At 43000 miles, well-maintained at dealership, and was told I needed a new cylinder head. Cost $3600",,
,,,,,,,,,,,,,,,,,
4.75,"150,000 and still going strong!",dkb1028 ,11/05/2013,,,5,5,5,5,,5,5,3,5,"I bought my hybrid in June of 2009 and as you can see by my mileage, practically live in it.It is a die hard.I have put on 2 sets of tires, but only one set of brakes and as of six weeks ago I'm no where near having to replace what the brakes.I drive in the mountains and on highways, so this car has seen just about everything. The only negative is the gas mileage. Thedifference between a regular Altima and what I had to pay for the hybrid will never be realized.In addition, oil changes and maintenance are a lot more.Would I buy another hybrid?Probably not.Would I buy another Altima?Yes.",,I wish there was more trunk space!!
,,,,,,,,,,,,,,,,,
4.125,Good car with some issues,mmao ,10/24/2012,,,3,4,4,5,,5,4,4,4,"It's a good car, with excellent MPG - I can get 37/g except in winter. How ever there are some issues. Internal design looks cheap, the Panic button is annoying (it's so easy for the horn to shout out). And just got an issue with the ignition switch: I could not start engine some times, and I was told I need $600.0 to get it fixed by the dealer!","MPG, even though it's not so good compared with the best MPG in the market. ",Improve the internal design. Make the Panic button smaller? 
,,,,,,,,,,,,,,,,,
