rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,nicely nissan,Robert Rackens ,09/02/2016,5,5,5,,,5,5,5,5,,,,,
,,,,,,,,,,,,,,,,,
4,Rogue Scholar,Rita G. ,05/09/2016,4,4,4,,,4,4,4,4,,,"I bought a used Rogue.  I zeroed in on it for a few reasons.  First, I had a budget and a reliable used car is what I was looking for.  The Rogue was a vehicle that I researched a few years ago.  I like its versatility as an SUV.  I like that it is not too big, not too small, cute looking, handles like a car, there are a few minor vibrations at higher speeds,  but all in all a great deal for the vehicle.  It was in terrific shape, brand new tires brand new front brakes and 7/10 on the rear brakes  with the exception of some scratches that came off with your typical scratch remover and one ding with minor rust that I have a $500 quote to repair (needs body work) and I am planning on keeping it for its second 100K miles.  My son uses it to go to work when home from college, but I'm finding that I'm using it when he's not home to do 70 mile round trip commutes, trips to the cape (250miles)  and even weekend warrior errands.  It has become my go to car when it is available and will be my husband's car during winter snow storms since his car is a RWD.  We had a Nissan xterra that lasted us 200K miles so I'm feeling pretty good about its prospects for reliability.  All in all a great car and a great deal.  It took some getting used to the larger blind spot and the clock is an electronic clock that is starting to fade a bit, but this is a great car despite those two minor issue.  I think I might need a muffler at some point in the future since the original has some rust, but again, I knew what I was getting into buying a car with 94K miles.  So far, no issues at all.  Update. Well I had an axel and fan replaced in August so I spent about 1600 on those repairs. Other than that the car is running good. We have about 103k miles on the car now.",,
,,,,,,,,,,,,,,,,,
2,not a good car,alex ,04/09/2016,,,4,,,,,3,4,,,Nissan Rogue 2009 it vibrates on reverse. Going 40 it has a whistle sound . The seats in the back make noise going backwards you can see there is  blank spots that your  can't  see,,
,,,,,,,,,,,,,,,,,
4,GREAT VALUE SUV,Australopithecus ,02/13/2016,4,4,4,,,5,4,5,4,,,Visibility toward the rear for backing and traffic monitoring is very poor.,,
,,,,,,,,,,,,,,,,,
5,GREAT SUV,Anita ,01/16/2016,5,5,5,,,5,5,5,5,,,I have loved my Rouge. It has been a great car.,,
,,,,,,,,,,,,,,,,,
5,Great little SUV,Brant ,10/31/2015,5,4,5,,,5,4,4,5,,,"Bought this Rogue for my daughter 2 years ago.  It was very well cared for with 95,000 miles.  New brakes, tires, and all scheduled maintenance was done.  We have had no problems (ex a torn axle boot) in 2 years and 22,000 miles.  This is our favorite car (we have 4) as it has a great balance of economy, handling, comfort, and build quality.  The interior is quieter and classier than the CRV or RAV 4.  Plenty of room to move the kids in and out of college.  When I drive the car I average around 27 mpg both city and highway, not bad for an AWD SUV.  The handling/ride combination is good.  The car is quite nimble compared to by 2003 Lexus RX 300.  Ours has all options but for NAV so there is little lacking.  We will consider another used Rogue when one of our other cars needs replaced.  Living in New England the AWD is a must.  I would personally prefer to drive a car over most SUV's but not this Rogue.  I honestly like the car that much.  As of October 2016 now have 131K miles on the car and all is well.  No problems and still drives well.",,
,,,,,,,,,,,,,,,,,
2,Going back to CRV,Brian ,08/22/2015,2,3,4,,,1,3,3,4,,,"Very disappointed 72,000 miles and had to spend over $1200 to replace front wheel bearings and right side axle and boot to trans.  My 1998 CRV with over 200,000 miles has never had any mechanical problems in 16 years.",,
,,,,,,,,,,,,,,,,,
5,09 rogue sl awd,Keryn Lazar ,02/23/2015,,,5,5,5,5,,5,5,5,5,We bought a rogue as first new car in 09. Car has had zero issues in 5 years other than routine maintenance. ,"Heated seats, handling, spacious",None
,,,,,,,,,,,,,,,,,
4.125,2009 Rogue SL,brantw ,08/19/2014,,,5,4,4,5,,3,4,4,4,"Bought this car for my daughter 6 months ago.It was a one owner with 95,000 miles and a good service history.Have been very pleased with the car.No CVT issues that others have mentioned but it does seem to be an issue on some cars.Better value that the RAV 4 and CRV I looked at.The Rogue interior is considerably more classy and it is quieter inside.All routine maintenance was done before I bought the car (brakes, belts, fluids) so I didn't expect to have any issues and haven't.I drove the car for a few weeks and averaged 27 mpg on back roads with a few stop lights and signs.Pretty good for an AWD SUV and 10 mpg better than my Mazda CX-9.","Classy leather interior in the SL.
Love the gauges, interior lighting and comfort (I'm 6'2"").
Car is solid and seems built to last.
Leery about the CVT but Nissan has acknowledged the problems and extended the warranty to 125K miles, I believe.
Gas mileage is commendable for an AWD SUV.","Not much - The CVT does seems to bog down a little at slow speed but once use to it no problem.
Every car has its quirks and I like this car, and being a car guy through and through, that says a lot."
,,,,,,,,,,,,,,,,,
2.625,Dont buy a CVT Nissan,bteeley ,09/02/2013,,,3,4,4,1,,2,3,2,2,"The car is fine.Its a bit loud, not very powerful.On one had compared to its peers the interior it is well built.The transmission failed a few years ago, the dealer replaced it under warranty with no issues.Now, about 60k miles later the transmission is failing again, it sounds like a truck, the issues are well documented and the dealer tells me it is normal.Refusing to do anything to resolve the issue.After owning the car for 4 years there are many other vehicles I would purchase over the Nissan Rogue. Initially, I really like what Nissan is about, ride quality, reliability, etc.But I will not purchase another one.Search the net for CVT reviews before you buy.",,
,,,,,,,,,,,,,,,,,
4,Rogue can compete with RAV and CRV,ejo1 ,07/01/2013,3,4,4,,,5,4,3,4,,,"As said above this car can easily compete with a RAV-4 or CRV.I drove my 09 Rogue SL AWD for 85,000 miles without a problem.As with everycar I own.owned I only use Mobil 1 for oil changes at longer intervals than book recommends for the car.Dealer did all my oil changes and maintenance and cost was overall less than expected.Just changed brakes and rotors all the way around with high quality as they old ones started to ""wobble"" at 83K miles.I averaged 24mpg with mixed driving.I had long highway drives (72 mph) at 29 mpg but also ones at 23 mpg.City driving is less than stated mpg, but overall a great comfy ride. This car is a great all around CUV that will grow on you.",,
,,,,,,,,,,,,,,,,,
3.875,"Make the ""wobbling"" stop!!!!",hondagal03 ,11/30/2012,,,5,5,2,2,,3,5,4,5,"I just bought a used 2009 Rogue less than a month ago and have had nothing but problems.The car was supposed to be ""certified"" as well.It has been at the dealer shop longer than I have actually been able to drive it.There were 6 issues with it, all have supposedly been resolved, except for one...the wobbling while driving 30-45 mph!Today I drove with the service manager, he informed me that it was normal and it was the torque conversion being engaged.I just can't buy that answer!It's annoying!He also said he has told over 600 people the same answer because they come in with the same complaint.Does anyone else have this issue???? I can't find ANYONE online complaining about it",Feels like you are riding on a cloud when the car isn't wobbling,Stop the wobbling!
,,,,,,,,,,,,,,,,,
4.5,Great Car!and a must own for any looking in this class!,englddriver1 ,08/07/2012,,,3,5,5,5,,5,3,5,5,I have to say after reading some of the other reviews I laugh at what people find as annoying...Claiming there AWD doesn't work when they don't lock it? Or the fact that they think the car is a 4X4. Nissan/Infiniti AWD is one of the best in the world and as a long time Infiniti owner of the M class X series I love there AWD and I live in snow country.We purchased this for my fiance as a baby is on the way and wanted a great MPG Cross over.We look at the Infiniti Cross over but my Fiance didn't like any of the looks and felt it had to many gadgets. So we went with the SL AWD Rogue and she loves it! Great MPG love the CVT tranny fun on highway and holds well in the snow for the high RMPS.,"The MPG..As a M owner I get 22MPG out of a V8 so this is a treat when having to take a long trip! 

Best AWD(NOT 4X4)Out there. Those who don't know this is the same as the GTR it's an intelligent AWD google it! Also make sure you have either a nice All season tire or Snow tires makes a world of a difference.

For a 2.5V4 it has plenty of Pep! as I stated I drive a new M with a V8 that has tons of power but this little thing gets up and goes and hauls in the snow!",The interior is just bland.This car doesn't fool you about it you know it's nothing special but a A to B Car.Maybe give a navi and few other luxury toys inside that are common in other Nissan vehicles. 
,,,,,,,,,,,,,,,,,
2.25,82000 Miles of frustration,lemondepresion ,07/24/2012,,,3,3,1,1,,3,3,2,2,"This car has been nothing but problems after 41000 miles. Brake rotors keep warping replace and or surface every 10000 miles, and no I don't ride the brakes. Transmission replaced 62000 miles and at 80000 whining again!. Frustrating rattle under front end after a front seal was replaced. Dealer couldn't locate. A.C just went out coming home from Las Vegas. Back seat rattles from latch. Nissan Consumer relationship doesn't care. CVT transmission is junk. ","I'm 6'3"" and I fit. Seat comfortable. Don't like the steering wheel tilt and they could have put some visors that slide so you could block out more sun from the drivers window.","Everything. Better transmission, better Consumer relations for the corporate office. C.V.T. Transmission is junk. "
,,,,,,,,,,,,,,,,,
1,nissan rogue failure,funissan1 ,01/21/2012,,,1,1,1,1,,1,1,1,1,Unfortunately I cant use profanity because all that comes to mind when i think of the 2009 nissan rogue i bought my wife is a 4 letter adjective starting with the letter F. Bought the car brand new november 2009 for my wife her first new car EVER. 8 months after buying it service engine light came on car started jerking every time she tryed to excellerate. Trip 1 to service department Transmission had to be completely replace. 6 months later car had same symptoms. Trip 2 to service department #2 cylinder missfire whatever that. Computer replaced. 5 months later same symptoms Trip 3 to service department same computer replaced AGAIN. Trip 4 same symptoms out of warranty $1700 repair.???????,Favorite feature is my attorney and suing nissan under Lemon Law. BOHC,Never buy anther Nissan. Oh yeah [non-permissible content removed] the CVT transmission they are junk
,,,,,,,,,,,,,,,,,
4.375,BUY A ROGUE!,ashley17 ,12/20/2011,,,2,5,5,5,,5,3,5,5,"Overall....BEST CAR EVER! I don't know what is wrong with people who fuss about the shape of the car, nothing is wrong with it! Rides like a dream, purrs like a kitten,and will never let you down unless it is a minor problem like an oil change or tires. BUY ONE!",AWD,
,,,,,,,,,,,,,,,,,
3.25,Nissan national & local dealer have forgotten they need a good product & good service to stay in business.,mr_kc ,10/03/2011,,,3,3,2,3,,4,4,3,4,"They are right about the dangers blind spot, although it does help if you have the side mirrors set properly (wide), even then if someone is right behind me it can be difficult to see them.The Blue Tooth works intermintently, but the dealer ship can not find a problem.They believe national Nissan's nonsense that you have to buy a compatible phone.I can go to Walmart & buy a much cheaper Blue Tooth & it works with ALL phones. It is really silly that Nissan think they can keep up testing all the new phones that come out each week for compatibility with their Blue Tooth.",,
,,,,,,,,,,,,,,,,,
5,"So far, So good!",xstreamclean ,02/27/2011,,,5,5,5,5,,5,5,5,5,"I read these reviews and don't understand.Some positive some negative.We have had our Rogue for 2 yrs. currently have about 25,000 miles and it has been a very good reliable car.Never had any problems, just scheduled maintenance. We live in Utah, we have snow, mountains etc. and the AWD is awesome!So far... I highly recommend this car.If you asked me one issue i MIGHT have is the blind spots in the car.The way the back end is formed may make it difficult for a amateur driver.I personally don't mind it, just use your mirrors.Hope this helps. ",,
,,,,,,,,,,,,,,,,,
4.125,It grows on you,broka ,12/07/2010,,,3,3,5,5,,5,5,4,3,"I traded in a GMC Envoy because the gas mileage was killing me and I did not really need that big of a car. The interior although well made is plain and simple. The car performs well but I would not call it fun. It is reliable in every respect but there is nothing to get excited about. But after 18 months, it has grown on me as being a very good all around good, practical, safe, comfortable, and reliable transportation. ","fuel economy, CVT tranny","ability to open rear window, major blind spot, no light in cargo area, at least 1 more power outlet, make front center armrest adjustable "
,,,,,,,,,,,,,,,,,
1.5,Not the right car for you?,The car master ,11/30/2010,,,5,1,1,1,,1,1,1,1,"You are making a big mistake if u buy this car or should i say ""circular shaped car"" I thought i was doing the right thing but. i was hardly mistaken. People told me i had the best looking car they ever seen. I heard it all and then when i finally got rid of it then they started telling me the truth. I felt so bad because everyone was talking behind my back about this bubble that i'm driving. Not a good look for a middle age guy with a very important job. Not for nothing but i can't even put up a ceil fan to save my life yet drive this car. make sure you take a second  guess before u just go and buy this ""bubble"",they call it. Make sure it is the right car for u. Trust me im saving ur life.",my favorite part of this car is the way it drives. I kinda feels like ur in a rocket ship that is ready to take off into the atmosphere and never come back.,Make this car more for a human and not an outerspace creature.
,,,,,,,,,,,,,,,,,
4.125,My Fixes,Ken ,10/10/2010,,,4,4,4,4,,5,4,4,4,"As far as smart key and rear window problems, this helped very much for me. I could not duplicate the key problem for the dealer, but it was getting frustrating. I removed the battery in the controller and bent the 3 contacts up slightly at the folds, using a small pocket knife. It has improved 95% and contribute some to junk in my pocket. I improved my blind spots by installing small rectangular stick on mirrors to my side mirrors. I still look back when I pull out, but it does give you more visibility. I'm 6'2 and I have more leg room than most vehicles. It has rapid response in emergency conditions. For the money, a nice little ride.","Leg space and smooth,quite ride.",Tighten battery connections in smart keys. Painted side molding to protect door dings. And automatic head light sensor for the SL.
,,,,,,,,,,,,,,,,,
3.375,AWD Performance Poor,sarah ,09/23/2010,,,4,4,3,4,,1,4,4,3,"My purchase was in the spring so in trusting my dealership  to be honest with me as a loyal customer they badly misrepresented  the performance of the AWD feature on the Rogue, I feel it is a high priced  enhanced traction control and as far as AWD in the snow its awful! thanks Ken Ganley Nissan. the AWD engages maybe for a split second if that and you still slide all over the road, live and learn  that sales people only care about the almighty $$ not you as a loyal customer. If you want good, safe performance  in the snow get a AWD vehicle that engages and stays engaged in AWD/ 4x4.It was new to me  so an expensive lesson! ","my main purchase feature was the AWD  that failed! good on gas nice looking,no mechanical problems over 20,000 miles on vehicle,would recommend  the Front wheel drive to save money","represent it better to consumers AWD  on the Rogue is nothing more than a costly enhanced traction control.. build it more solid ,have a rattle under it when I hit bumps"
,,,,,,,,,,,,,,,,,
4.875,Excellent Choice,Roguelover ,09/06/2010,,,5,5,5,5,,5,5,5,4,"I was trying to buy a CR-V / RAV4 and was not able to get a good deal, so in frustration, went to see the rogue. After test driving it, i was really glad i came to the Nissan dealer. It drove great, looked great, was extremely smooth and quite and the best part, was much cheaper than a similar crv/rav4. After owning a SL with premium package and sunroof, i am glad i purchased. We just love this vehicle, its smooth drive. It averages around 26 - 27 mpg. Great features. Wish it had more trunk space though. Overall, great vehicle",,
,,,,,,,,,,,,,,,,,
5,Great 2 years!,lexky ,08/30/2010,,,5,5,5,5,,5,5,5,5,"We have owned our Rogue for a little over 2 years with about 28,000 miles and have only had to have one thing fixed by warranty. Climate control dials that are supposed to light up during the night went out. Very happy with our purchase!",AWD is great in the snow.,Front doors are heavy so they always shut on you when attempting to get in or out of the vehicle when parked on an incline. Would be nice if something could be done to fix this.
,,,,,,,,,,,,,,,,,
4.125,Watch Out from Behind,sw1974 ,08/20/2010,,,3,4,4,5,,4,4,5,4,"I bought my 2009 Rogue S used with 14K miles on it. I had researched it & heard about the rear view issues, but WOW! It is bad. The blind spot on each back corner is a complete design flaw and must be fixed with larger windows in new versions. It's not so much the back window as it is the 2 small side windows. It's a real danger if you ask me, but the rest of the car is fine. I had an 07 Honda CR-V before this one and they're comparable. I don't mind the CVT transmission and feel the car accelerates better than my CR-V did. I have had no issues in these first few months. Gas mileage is great.  AC is COLD, which is nice. The sound system-- the factory version, not Bose--is still good quality.","Cold AC, cloth interior easy to clean, flat folding back seats.",The back side windows are too small. The visibility issues are real and need to be improved without a doubt for safety purposes. You must learn to drive with both mirrors and turning your whole body. Signal in plenty of time so someone can honk at you if you're about to come over on them.
,,,,,,,,,,,,,,,,,
3.875,Poor Service,crossover ,07/13/2010,,,4,4,4,3,,4,3,5,4,"Nice looking car,(2009 Rogue), but has some annoying electrical problems that Nissan service department can't find, or even acknowledge that they don't know what to do. The car is not even one year old yet, but I will trade this car in the next few months. There are No more Nissans in my future.",Good handling in traffic,"Include Customer Comments area on Nissan website, so customers can complain directly to Nissan, not to second and third parties."
,,,,,,,,,,,,,,,,,
5,Amazing Value - Great Car,Nisaan Lover ,06/18/2010,,,5,5,5,5,,5,5,5,5,"After looking at all cross overs, finally settled on the rogue. It was the best value for money for me. Great features, styling. Also drives very well. I have owned this for 6 months and have no complaints what so ever.",Value for money,
,,,,,,,,,,,,,,,,,
3.5,Giving it back -> lemon,notrockstar ,05/28/2010,,,3,4,4,2,,4,4,3,4,"I'm returning my car on 06/01. Dealer finally settled with me on a lemon case. I had issue with the fuel gauge. It will show half tank when its actually almost empty. I went to dealer ship 5 times. Replaced sensors twice and twice I was treated like crazy. + recalls.  I got so tired of owning not reliable car. I agree with previous postings, the car is good overall, but has too many blind spots. I've managed to handle that issue well, but Nissan needs some improvement in design of the back window. Also, MPG went down to around 20 in the city. oh, well it was hard for me to check as I think I never got accurate reading from the computer. I would not buy this car again.","sound system, cargo room","visibility, mpg, and Nissan service"
,,,,,,,,,,,,,,,,,
4.625,Great Car,KGellen ,05/22/2010,,,4,4,4,5,,5,5,5,5,"I am sitting here reading the comments on this car. I understand not all cars are going to be built and last forever. Some just don't work, but if the dealership you bought your car from is not fixing your car then don't hate the car hate your dealer. I have had nothing but great success with my car. I don't expect it to be all mighty i mean its not a Mercedes or an Audi! Is a crossover mid level SUV. Not the most expensive vehicle you can buy! It's great for getting groceries or hauling the big dog around! Its the best buy in its class in my opinion with the look and feel of all other crossovers. ",Love the sleek outside body style. LOVE The air vents! Nissan is known for the great cold air (i live in FL i need it),I would suggest fancying up the inside cabin. It's a little dull but not ugly by any means! 
,,,,,,,,,,,,,,,,,
5,WOW,OMAC ,05/11/2010,,,5,5,5,5,,5,5,5,5,This is my first new car in 10 yrs. I am glad I chose the Nissan Rogue. Very comfortable to drive and good pick up for a 4 cylinder. Exceeded my expectations in regards to handling and safety. Jim Keras Nissan did a great job of recommending this vehicle.,Rear cargo room and acceleration.,
,,,,,,,,,,,,,,,,,
4.25,Good Crossover,EJO ,05/07/2010,,,4,4,5,5,,4,4,4,4,"The SL comes with some great amenities, great Bose sound system, hands free calling.  Comfortable ride, pulls small boat trailer fine, fun to use steering paddle ""shifters"", not bad mileage, shoulder belt height adjustment to low, HVAC controls indicating lamps (yellow) not bright enough or need different color in sharp daylight.  Overall a good SUV.",Built in blue tooth calling for several different phone numbers and Bose sound. no key/fob fussing needed for locking/unlocking and starting car.,"see review section (shoulder belt, control lights) also inside door handle interferes with left knee of relaxing driver (plastic to hard or change angle and/or move 35 mm forward or aft.  "
,,,,,,,,,,,,,,,,,
1.375,I'd rather take the bus!,Mrs. S ,03/17/2010,,,1,2,1,1,,1,2,2,1,"Leased this crossover last June.  Has only 6K miles on it and I have 2 years left on lease.  I HATE this auto!!!  I hated it after only 1 month!  You take your life in your hands when you change lanes in heavy traffic!  This car has many blindspots!  No pickup whatsoever!!!Takes forever for the car to get warm/cold!  Sounds like an angry mosquito when you accelerate!  I tell the kids to ""lean foward"" when I am getting onto the highway...Already have had 2 serious recalls.  Now I have an ""service engine soon"" light that won't go off.  I am sure it's a gas cap issue, but I can't take a day off to waste waiting around at the dealership!  Don't even Sit in this car!Paid top $$$ for this DUD!",Heated seats are nice.,"Give customers a chance to break a lease!  If Nissan REALLY stands behind what they sell, they will do this!  I've read reviews and many people Are happy with this car.  Unfortunately, I am NOT one of them...The thought of drivng this for 2 more years actually makes my eye twitch"
,,,,,,,,,,,,,,,,,
5,Honest Review,NISSANDRIVER ,03/03/2010,,,5,5,5,5,,5,5,5,5,"My Nissan Rogue is an excellent SUV AWD, the only issue I have is the backwindow is small, when looking through the rear window mirror, it is like looking through a porthole.You have to be extremely careful driving this car on the interstates, it is hard to see other cars and trucks when passing, and hard to back up since the view out the rearwindow is not good Otherwise I am very happy with my Rogue ",Bose radio system,build the Rouge with a better view out the back window
,,,,,,,,,,,,,,,,,
3.25,Continued problems,doug ,02/27/2010,,,3,3,3,3,,4,3,3,4,"Have had elec problems since 2nd week. Nissan has tried 4 timed to fix(3 under guidance of factory rep). Still has intell key problems(won't unlock,won't start).Have asked Nissan to replace with good one. Been 1 week no reply.Real shame; we like the car but can no longer deal with the elec problems. Never know when it will not let us in or if it will start when we wan't to go.Wish we never bought it.",like the bose and the bluetooth.,figure out the issues with the rogue. this is our second one and both had elec issues. first was AWD and the noise was horrible at low speeds. 
,,,,,,,,,,,,,,,,,
2.75,Won't recommend this car to anyone,costa ,01/28/2010,,,2,4,2,1,,3,3,3,4,"After 3 months, noticed transmission noise. Dealer told the noise was normal. Later, car was always stack in PARK position. To drive it, I had to manually unlock the transmission. Dealer replaced the Brack switch, Solenoide and other parts. It took me 4 months to get it fixed. Also, they fixed 3 recalls at the same time. This car is a total waist of $$. Also, rear vision is extremely dangerous. Do not consider this car at all. Nissan needs to review the design of the transmission COMPLETELY. Forgot to mention that I had also to replace the Door mechanism: wet stack in close position in cold weather...",stability in wet conditions,1- Rear view (visibility) 2- Transmission system 3- Review the automatic Doors mechanism 4- Car is VERY NOISY  
,,,,,,,,,,,,,,,,,
4,Very Reliable.,Seba ,01/22/2010,,,3,4,5,5,,4,4,3,4,"We have owned the Rogue for almost a year and have 12200 miles on it. We have not been in the dealer once except for the regular scheduled  maintenance and 3 recalls but all were done at once and during a regular visit so it wasn't a pain at all. This car is very reliable the AWD is great and handles well in snow or rain the ride is pretty comfortable, we take lots of road trips our longest trip was about 450 miles round trip and no problems at all, more room would be nice but it is a crossover. We are very happy with this car. ","Reliability, HID headlights, moonroof, AWD. Transmission. 6CD in dash changer, steering wheel mounted paddle shifters, bluetooth.","Interior styling, more power, more room, bigger fuel tank. "
,,,,,,,,,,,,,,,,,
2.875,Don't buy,Jackol ,01/15/2010,,,1,3,3,4,,4,4,1,3,"First, our car has 55K miles. I know how this car performs and I do my own maintenance.  This review is based on 2 1600 mile trips, two weeks apart.  Received a recall letter from Nissan relative to Trans belt noise. We had no problem but took it in and had the new software installed. Our gas mileage went from 27-32 down to 20-24 MPG. Nissan refused to fix it. I will paint large lemons on it drive to every Nissan dealer I can find.  Paint quality is also pathetic.",,Move window controls and console further forward. You have to reach back to use.
,,,,,,,,,,,,,,,,,
4.875,Nissan Rogue,Donna Raposo ,01/09/2010,,,5,5,5,5,,5,5,4,5,"Took it to the mountains this summer, brakes buck and vibrate when braking going down hill. Very difficult to back up or change lanes due to back windows being too narrow to see out of. Makes whistling noise when going over 60 mph. Very annoying. Also, makes weird humming noise when slowing down. Recall on transmission. But they did extend my transmission warranty to 10 years or 120000 miles due to the recall. Otherwise, I do like my vehicle. It does drive very smooth and it handles well. Plus the bose stereo is awesome. ","looks great, handles well. Awesome stereo.","Improve windows, could be more cargo room, do something about annoying humming and whistling noise, improve braking system."
,,,,,,,,,,,,,,,,,
3.625,follow-up on previous,douglas ,01/05/2010,,,4,4,3,3,,4,4,3,4,"This is a follow up on previous comments in dec2009. After dealer installed the latest things that nissan said would correct my electrical problems I took the car home with high expectations. Not so lucky; car worked for a couple of days then wife called from out of town with the red key warning light glowing in the dash as she hummed down the interstate praying the car would not stop and lock down on her as it has done in the past. called dealer and they had no idea.Took the car on 2,500 mile trip in dec. and many things happened.from not letting us in to not allowing the ignition switch to turn to unlocking itself while we were away from it. Called nissan and they are supposed to LOOK ",Still like the car and hope thay give us a good one and give this one to a rep to use.Love the sound system and the blue tooth.,"make the trans not whine(gear sounds) at low speeds,make the front end better looking."
,,,,,,,,,,,,,,,,,
4,'09 SL AWD 9 months and rolling,sschrupp ,12/24/2009,,,5,5,4,2,,4,4,3,5,"Overall I'm pretty happy with this vehicle, but no longer quite as ecstatic as I was in the beginning. Within a couple months of driving the trans started making a chattering noise. Dealership replaced the trans. Now they need it for about 3 hours for various recall issues. The Bose stereo sounds like all the sound is focused on front center speaker. The headrest is uncomfortable, and doesn't stay down, always slides back up. The sideview mirrors whistle at higher speeds and gusts of wind. Gas mileage isn't great, but hilly area with 65+ speed limits accounts for that.  On positive note, it rides smooth, accelerates nicely, looks great, handles like a pro, great in inclement weather.","Bluetooth phone, AUX function on stereo, decent bass on stereo, nice exterior styling, bright headlights, keyless ignition. Traction control system is excellent.",Fix the headrest. Feels like it's shoving my head forward so my chin is touching my chest. My Bose system doesn't seem to be tuned for a surround type setting. Sounds like it's all in front center and no amount of adjustments I do help.
,,,,,,,,,,,,,,,,,
3.125,Not bad but terrible sealing,Young ,12/14/2009,,,4,3,3,3,,4,3,3,2,"Overall performances are acceptable. Three major problem. 1. Free penetration of cold air through knobs and buttons due to bad sealing 2. Noisy in wet days due to same reason. But Nissan consider it as normal, which means it is their limitation in technology 3. Very bad rear side-view visibility. You'd be very careful when you try to change lane. There are much wider blind area than any other car due to very bad visibility. I almost hit other car several time in 3 months driving, which I have never experienced before with other cars in my 30 years of spotless driving history. So, not recommended for young drivers.  Minor comment is bad front cup holder design  Overall: Not recommended",Interior Overall design,"Sealing of doors, tailgate, and oters Air-conditioning is annoying since it automatically turns on when I tried others. Cup holders in front cannot hold two mugs. Rearview visibility: This is fatal issue."
,,,,,,,,,,,,,,,,,
1.375,Horrible,evangelista09 ,12/14/2009,,,1,1,1,1,,2,2,2,1,Initially I was excited about this vehicle. After 4 months I was in the shop to get the car fixed and tuned up more than any other vehicle I've owned in my life. then I get a recall notice from the govt. The car is at risk for losing control and crashing. I cant believe the money I spend for this vehicle. Gladly trading it in tomorrow! ],,take it off the market and give consumers what they deserve and pay for!
,,,,,,,,,,,,,,,,,
4.875,Little Bit of Everything,Mr. T ,12/02/2009,,,5,5,5,5,,5,5,4,5,"Was looking and test riding CRVs and RAV 4's.  Stumbled upon the Rougue and found it to be every bit as good as a CRV which I previously owned and better than the Toyota.  Toyota and Honda would not deal but Nissan came down $6K off the list last August and that clinched the deal.  About 12Km now and no complaints other than gas mileage not quite as good as I expected it to be.  Its versatile and fund to drive both in the city and on the highway.  Always admired the looks of the Merano, this shares many of those good looks and makes RAV 4 and CRV look dated.  ","Moon roof, AWD, stero system, fun to drive.",Needs a Hatch latch.  Sl Model includes a roof rack but you need cross rails to attach anything and they make you pay extra for those.
,,,,,,,,,,,,,,,,,
3.875,Nice handling vehicle.,Two Old Crows ,11/28/2009,,,3,4,4,4,,4,5,2,5,"Now I understand why all the complaints on this forum about the poor visibility out the rear of these Rogues.  I was backing down my driveway at night and scraped the left rear wheel rim on a low stone wall because I couldn't judge distance properly due to the small rear window. Hope my gas mileage improves. Lowest has been 19.9 and highest is 21.6. Vehicle has less than 2000 miles on it, so I'm hoping for improvement as my mileage increases. Car drives and handles beautifully.","Xenon head lights, especially high beam on lonely country roads.  Excellent braking system.  Very comfortable leather seats.",Better visibility to the rear. Coach lights under both outside mirrors. Center arm rest needs to be moved forward. 
,,,,,,,,,,,,,,,,,
