rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Great value for the money,Steven McMacken ,09/07/2016,4,4,4,,,5,4,3,4,,,"I have been very happy with the performance of my Nissan Sentra. There have been no major repair issues, other than replacing the battery and the condition of the car is excellent with only some minor cosmetic nicks.",,
3.25,Not as expected,leonardosd ,06/10/2013,,,4,4,2,2,,3,4,4,3,"Purchased the car new in march 2009, in Mexico. Not as easy buying a new car here. Inmediately had problems with the breaks, always made a lot of noise. Dealer couldn't fix it, arguing they were eco-friendly. Besides that, tyres got worn on outside edge in 1 year. Again, dealer said it was normal. Had transmission problems just after the third year, when the warranty passed. Luckily, I had the extendend warranty, and they covered everything. After that, the engine started making weird noises, and dealer said I needed a new one. Apparentely, a cilinder got deformed. (Seriously). When this happened, I was through with it. Previously had a 99' Altima, never complained with it. ",Interior layout. Size. ,"Engine, transmission and breaks redesigned. "
4.875,Excellent Sentra,Joe R ,08/26/2010,,,5,5,5,5,,5,5,5,4,"Had a lot of cars over the years but this has to be one of the best. For a small car, it rides great! ",I bought it loaded and its a a very good looking car in and out. Great transmission for a lower price car,the top of the back bumper needs to be coated so it can not scratch when loading and unloading the trunk.  This is not limited to this car but most cars should have this.
4.5,Honda/Toyota fan gets converted by SpecV,deadlytedly ,07/14/2010,,,5,4,5,5,,5,4,3,5,"I have been a Honda and Toyota owner for all of my life, and enjoy a sporty little sedan. The base Sentra was not that.  After testing out what I could get at my price point (both foreign and domestic), I felt I had made a decent decision, but really had *no* clue until she broke in.  At 2000 miles, the engine opened up in a great way. The chirp as the intake gulps in fresh air welcomes a heavy pull of acceleration. The exhaust note deepened as well. Smooth pull across the curve meets an angry red line.   The suspension the sportiest I have driven in a sedan. Power is put down easily and evenly.  Wholly impressed, and am looking at the Altima Coupe for my next purchase.  Strong 'A' rating","Overall drive- Suspension, Engine power curve and redline, exhaust note (not my usual concern, but wow!) Interior fit and finish- cloth seats are *very* comfy, dials and gauges easy on eyes.  Exterior SE-R and SpecV additions save it from being ugly. Taillights are gorgeous, rims beautiful. Price","She is tight and fast, but ugly. If you like the two former items, then this is easy to get over. The A pillars are HUGE, almost to safety concern. Intake baffling horrible- cold air going on ASAP. Mileage (my fault) XM Radio useless this far north. All faults are minor in comparison to evil grin."
3,Could Have Done Better for the Money,VegasJ ,05/25/2010,,,3,3,3,4,,2,3,4,2,It is still new so it is still nice.  BUT I have to say I am disappointed.  Especially since I was so happy with my previous Nissan Altima.  The Sentra is a budget car in driving experience but no so much in dollars.  I could have found a less expensive way to be bored.  The quality is ok but nothing special.  Not so comfortable for rear seat passengers over the age of 10.,The trip computer in the center console makes it at least look like you got something for your money.,Bring the price down to match the value of the car.
2.875,Not happy,Stacey ,05/11/2010,,,3,4,2,2,,4,3,2,3,I am not at all happy with this car.  I have had it for 11 months and already the front brake pads had to be replaced and the rotors machined.  Today the a/c went out.  I'm only averaging 20 mpg.  The ironic thing is the FE stands for Fuel Economy.  I won't be buying another.,,
4.625,Continental Sport Contact 2 Tires Awful,KnightLog ,05/08/2010,,,4,5,4,5,,5,4,5,5,Happy with the car. The sunroof whistles. The Lighter is in an odd location. The Original Equipment Tires that come with the car are Continental Sport Contact 2. They are terrible in the rain and when you hit highway patches you start to loose control. If you purchase a Sentra make sure you have the dealer pull these tires off first. :),200 HP Motor. Car has great Power.,No longer supply Continental Tires. Change lighter location. Power seats. A sunroof that does not whistle.
3.875,Impressive,Thomas ,01/01/2010,,,3,4,4,4,,5,4,3,4,We finally purchased a new car. Test drove Nissan Sentra sl and Toyota Corrola S. We then checked out the Nissan Sentra SER sedan. Performance and sporty look an feel sold us. Step out and pass you have the power to go. Recent trip gave all around 34MPG and driving conservatively 100k produced 42MPG highway. Lots of room sport pkg upgrades exterior and adds fog lights. moonroof and sporty bucket seats plus great stereo. Highly recommend this car.,Performance/ Room / Value,Fold down rear seat.  Keyless entry and optional Leather heated bucket seats                     
4,Cute Little Car No MPG,wallyw ,12/02/2009,,,4,5,4,5,,5,4,1,4,We have put 1500 miles in 4 months. For a small car it is nice to drive.  Do not like the gas mileage. It has averaged about 21 mpg in mixed driving since we bought it 4 months ago. Bought it during the clunker program. I always check the mileage when I fill up. I fill the car until the gasoline level stays in the top of the neck. I've never trusted the electronic mpg. Surprisingly enough it is pretty close.,"Enjoy the keyless entry, blue tooth, xm radio and CVT. Like the large glove box",Better mileage. Need to improve the windshield wiper location. It's to easy to turn on while turning the steering wheel
4.875,Great car / Great value,jeff ,10/07/2009,,,5,4,5,5,,5,5,5,5,"Cash for clunkers deal I was due a better vehicle. First new car I have ever bought. I looked at everything small to mid sized out there and I mean everything. I was looking for better mileage. Averaging 30 currently. Most cars were uncomfortable, over priced, cheap quality or no room. I am 6'2"" tall and my head hit the roof in half and my legs would have to be held up off of the seat to keep from smashing the gas pedal to the floor in the rest. Not in the Senta. Plenty of leg room, a whole hands with above my head. For you taller people, this one is it. It is very deceiving from the outside. Roomy, comfortable, solid car. Can't say enough good about it. ","Price. Leg and head room, handling, smooth running 4 cylinder. Lots of pep. Loads of great extra features you would expect in a higher priced vehicle.",Front view /grill design. From the back it looks sportier than the front.
