rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,lightly driven.,Joe P ,10/13/2016,4,3,3,,,4,3,4,3,,,"I got this car as a spare in the 2009 cash for clunkers. drove it just now and then.  I started driving it every day, 2 month ago, 20k miles on it.  My thoughts are that my base model came with no arm rests, luckily after market ones are easy to get. Also, the electronic steering wheel causes constant interference on the aftermarket AM radio. The worst thing about this car is the front wheels are so far out in front, that there is no weight on them,  trying to accelerate into traffic causes tire spin even on dry roads, almost impossible to pull out into traffic on wet roads. I am still on factory tires so this might get better if better tires are eventually installed.",,
,,,,,,,,,,,,,,,,,
3,Engine literally FELL out of car driving  35 mph,Leslie W ,09/21/2016,3,3,3,,,1,1,3,3,,,"The CVT transmission went out around 96k. No problems until then. Warranty was extended and transmission fixed.  However, approximately 10k miles after transmission was fixed, the engine literally fell out of the car while I was driving down a side road, hanging 2 inches off the ground.  Neither corporate nor the dealership who originally repaired the car wouls take responsibility.  Either a mechanic made an error putting the engine back in, or Nissan is making such cheap cars, your engine may fall out when you hit a pot hole.  Very dangerous! What a horrible thing to do to a customer. I'll never buy Nissan again.",,
,,,,,,,,,,,,,,,,,
5,"204,597 miles and going strong!",Cheryl Boop ,07/24/2016,,3,5,,,5,4,5,5,,,"This car has been reliable for us! We bought it in Georgia (brand new) and now live in Ohio, so we've had the car in extremes of weather. We've used it to move, to drive people around town, for work, and for play. I had to replace the air conditioning compressor this summer, and just had the exhaust system redone. But those have been the only big items maintenance-wise. I love my Versa!",,
,,,,,,,,,,,,,,,,,
4,Nifty car with many luxury features one weakness,Randolph Selig ,03/23/2016,4,5,4,,,3,5,4,4,,,"If the fuel pump has not already been replaced, it may have to be.  It's an expensive job. This is a known vice in this model yet Nissan has not issued a TSB.That aside, this is a great small car: well designed with plenty of interior space, comfortable back seat, good brakes and steering, smooth shifting 4-speed automatic trans, adequate power and pickup though the smooth idling engine gets noisy under hard acceleration.The ride is about average for a shortish wheelbase car.  Unfortunately there are only warning lights for engine temperature and amps.  The sharply sloping hood is hard to see the end of which at the start can complicate parking.  The model I purchased has power windows and door locks and a keyless entry though to start the car the coded key is needed.",,
,,,,,,,,,,,,,,,,,
4,So Far So Good,Pat ,01/18/2016,4,3,4,,,4,4,3,4,,,"Car is now 7 years old w/65k miles. Purchased one year ago from an elderly family member who bought it new. Versa reliability a mixed bag from what I've read. I'm more into Toyota quality but this car came available at a great price. So far no major issues. Had to change out one strut. Still on the original set of brakes. Seems to be easy on tires. Averages about 30 MPG. Drives out pretty good. No speed demon but adequate. My impression is this is a decent economy car that does everything well. Time will tell if it lasts.Pros: Great visibility, decent MPG, fold down rear seats. Cons: Electronic steering, jittery on the highway, engine noisy when pushed.",,
,,,,,,,,,,,,,,,,,
1,Not for Montana driving,Shelli Roufley ,01/09/2016,2,3,5,,,1,1,1,3,,,"I have driven front wheel drive little cars in Mt.  for almost 30 years, putting on at least 30,000 miles a year.  This is the worst car I have ever driven in snow and ice.  Regretting this purchase. :( Update:  I have had this car a year, and it's falling apart.",,
,,,,,,,,,,,,,,,,,
4,Still going strong.,essdee ,10/14/2014,4,,5,,,4,,4,4,,,"We bought the Versa in 2009 in the cash for clunkers program in exchange for an AWD Toyota Previa (which had served us very well for 18 years and 225,000 miles) and have done about 48,000 varied miles in the Nissan.  It has been reliable , pretty economical, easy to park in little spaces, a good load carrier and enjoyable to drive.  Interior space is generous and the seats are very comfortable but the stowage space around the driver is a bit limited and there is not really anywhere to rest your elbows.  Overall build quality is high but the plastic around the heater controls has started to rot.  I also find the blue ""cold engine"" warning light unnecessary and at night easy to confuse with high beam.After a coast to coast cross country trip later, still happy with the vehicle though I read some worrying reviews of the safety of the sedan version (mine is a hatchback).  It still has the original tires and battery.  However, at around 43000 miles a big piece of the air conditioning system tucked away behind the dash needed a $600 repair, and from reading online forums it seems to have been quite a common problem.",,
,,,,,,,,,,,,,,,,,
