rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Happy Camper,Jack Kansas ,08/27/2010,,,5,5,5,5,,5,5,5,5,"A solid unit that tows like there is nothing behind. Two road trips of 2500 miles and was very pleased with the comfort for a truck that also is a tank off road. Handles much better in snow than my old G Cherokee. I looked at the fj, H3 and others but the visibility on the X was a huge selling point. If you want an ""out door"" vehicle it's nice to see it. I would recommend and buy again. A good value.",,"I miss the compass, outside temp, and mileage/fuel info features of the G Cherokee. I rub against the seal on the drivers door frame while getting in and out. This has frayed and ripped and needs to be replaced. Repositioning the door back just a few inches would solve this."
4.875,beast 4x4,jag ,02/12/2010,,,5,5,5,5,,5,5,4,5,"I did my home work compare and test drive a jeep, fj and blazer and i decided to get a xterra. drove it in ohio winter storm with 24 inches of snow off road no problem still lots of power its a beast for a 4x4. i love it hope they have a bigger tires and higher ground clearance.:)","sound system, masculin look","gas mil, better wheels..."
4.125,"Cool truck, but not great quality",cobra7 ,01/09/2010,,,4,5,4,5,,4,3,4,4,"I bought this truck and loved it for the first 13,000 miles or so. The RF stereo sounds great, the Bluetooth phone system is great and the potential capability of the truck is excellent. However, at around 13,000 miles, the vibrations and squeaks started making me question the long term quality. There is an odd metallic vibration that comes from the front of the truck when the engine hits about 1750 RPMs when driving.  Also, while I don't mind the appearance of the hard plastic interior materials, they do scratch easily. This is mostly a problem in the cargo area, where hauling basic, normal  will leave it scratched up after only a couple of times. The roof rack is fantastic, though.","Roof rack can haul just about anything, stereo, exterior appearance, Bluetooth, torquey engine, shift-on-fly 4X4, car tie down hooks in cargo area.","Use more scratch resistant materials in cargo area with a less slippery floor, reduce engine vibration, improve auto tranny shift points and kick-down point, raise center console for better arm rest, make both front windows auto up and down, offer heated seats, offer Homelink"
4.5,One of the last real SUVs,MissouriX ,11/22/2009,,,4,5,5,5,,5,4,3,5,"The Nissan Xterra is one of the last real SUVs, that is capable of being a daily driver AND going off road on the weekends (try that with a Hyundai Santa Fe or Toyota Rav4).   Ride is definitely truck-like (and should be, since it's based on a truck platform), but still gives a quiet and smooth ride on the interstate.  The Technology package is awesome, and the Bluetooth and Rockford Fosgate system are great options.  I love my X.  It's equally suited to long road-trips and deep woods excursions.  I wouldn't want anything else.   ","261 HP, 281 ft/lb of torque!  9+ inches of ground clearance.  Roof rack is extremely useful.  Seats are comfortable for long roadtrips.  ",Heated mirrors
4.875,Great SUV For The Money,Rob ,09/19/2009,,,5,5,5,5,,5,5,4,5,"Overall I'm very pleased with my Xterra SE. Something I haven't seen mentioned here is a recent recall I was told about through a Nissan mailing. The mailing states that there ""could be"" a bad weld on the torsion bar and to schedule an appointment with the dealership and they'd diagnose and repair at no cost if necessary. The dealer informed me that they needed a special welder to do the repair and they didn't have one there. They are supposed to locate a business nearby that can handle the job and contact me. They also said that Corporate Nissan informed them that this recall is for ALL Xterra's- not some of them. I felt a bit deceived by the mailing at that point. Otherwise, I'm very happy.","Sound System, Blue Tooth, XM all work great. Very happy with the exterior looks and interior versatility. I camp, mountain bike, carpool etc... and it's very capable in all areas.","Interior could benefit with stronger plastic-seems to ""ding/scratch"" quite easily (I'm outdoorsie but, I'm pretty conscious about taking it easy on the overall appearance of my purchase).  Exterior Temp Gauge. Rear Heat/AC Control/Vents. Front Seat Heaters."
4.25,Mixed Review,TruckLuver ,08/27/2009,,,4,5,5,5,,4,3,4,4,"Purchased new 2009. Rockford Fosgate sound system above average, nice technology package. Combined gas mileage (20% city, 80% hwy) is 21-22 mpg. Looks nice, rides comfortably, but I'm having hard time adjusting from previous full-size pickup truck. I am 6' tall, and I feel a little closed-in. Short arm rest is more like an elbow rest... it sucks. Test drive was good, but after a month I'm not so happy.  6 cylinder engine seems to have sufficient if not awesome power. Back seats are nice to have, but not much room for rear passengers unless you scoot front seats up. Plastic console dents easily (don't drop anything on it). Vehicle is shorter than some cars. Mixed feelings, but quality vehicle","Quality, gas mileage, appearance, premium sound system.","Real armrest, longer vehicle, more legroom, tougher plastic inside. Locking console. Perhaps more ground clearance/higher ride. Better brake pads (rims get dirty quickly with break dust, much more so than in any of 6 previous vehicles I've owned). Improve safety (only 3-4 star ratings)."
4.75,Glad I bought it,Andy Kuchta ,08/16/2009,,,5,5,5,4,,5,5,4,5,"I have been a Nissan Frontier owner since 1995 and have been very satisfied with the quality and engineering of Nissan vehicles.  Recently I began looking at the X- Terra. I was happy to see that Nissan has continued with their quality in workmanship and ""thinking of the little things"" like the door in the skid plate that allows you access to the oil filter when changing your oil. The interior is well designed and the ride is comfortable.  For anyone looking at a mid sized SUV I'd give the X Terra more than just a passing look.",Oil filter access and ride.,None 
4.875,Awesome All Around 4x4 SUV,DesertRatSoCal ,08/12/2009,,,5,5,5,5,,5,5,4,5,"Great news for the SUV enthusiast.  Nissan has really done the trick with the Xterra.  Nimble on road, capable off road, easy on the wallet, outstanding performance.  I'd throw stones at similar sized SUV's by the other manufacturers.  This vehicle has long been a hit for the market niche and I would recommend the average individual who needs a slightly larger vehicle to take a test drive.  The fuel economy is exceptional for the type of vehicle and its capabilities.","4x4 system, technology system.",Add tow package to all of them from the factory.
4.875,Love My New  Xterra,roymac ,08/04/2009,,,5,5,5,5,,5,5,4,5,"This my first Xterra but seventh Nissan. It's hard to beat a Nissan vehicle. The Xterra is a great SUV to drive. My wife calls it my ""sport truck"". Besides a great price my Xterra also came with $1300 of free electronics upgrades. The Rockford Fosgate sound system is great, much better than the Bose I had in my Pathfinder. The Blue Tooth hands free phone is also great as is the XM satellite radio. The Xterra handles extremely well and is a solidly built vehicle. The 261 h.p. engine is typical Nissan quality -  great quality and performance. I've never had a single engine problem with all my previous Nissans. In summary, I am totally satisfied with my new Xterra. ","Value, quality,solidly built vehicle. especially like the R/F sound system and the Blue Tooth phone.  Engine is powerful and reliable.",Better gas mileage with city driving.
4.5,no brainer,L.A. ,07/09/2009,,,4,5,5,5,,4,4,4,5,"This is my second xterra, my first was a 2000 SE purchased in 99'.  There is no other suv out at the moment that I would rather have (excluding the larger BMW X's and infinity QX56). My 2000 only gave me a fuel pump problem (replaced by dealer on a recall) in 100,000 of driving, with very bad maintenance record after the 2nd year, changed oil every other year.  So I figured I pushed it to the max (last day came back from the jersey shore at avg.80MPH and it was time to get a new one. I love my 2009 off road - the sound system is awsome.  The truck, well I'll just let it speak for itself.  now if I can just pay this sucker off I would be the happiest man on the planet.","Looks, ready to rock and roll like a Transformer.  The engine sound when you turn the transformer on.  The sound system. The am here to kick butt not to just look good attitude. The fact that everyone knows that there is more that meets the eye. The utility of the beast.  It Rocks like no other.","None, please don't make any improvements - if you place a sunroof on a new model I will make my 09 off road a convertible.  Please tell me you won't do this to me.  even the ""skyroof"" was a great item to have. "
