rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,2009 Saturn VUE XR... I got a good one.,Macca2016 ,02/26/2016,5,4,5,,,5,5,4,4,,,"I still have this car after 7 1/2 years and still love it.  I use it to transport music gear for my gigs and it's held up well.  It's a kid transport/family transport vehicle that, if you take care of it like any car, will not let you down.",,
4,I had 1987 Camarillo iron z28 and 2001 blazer need,Eliezwe ,02/15/2016,,3,3,,,,5,3,3,,,,,
5,Very good for a starter,Eliezer ,02/15/2016,4,3,3,,,5,5,3,4,,,,,
5,Love my Vue,bevely ,01/01/2016,5,5,5,,,4,5,5,4,,,The 2009 Vue I own is the best. I recently considered trading it in and realized the service the vehicle has given me. For 2 years my used Saturn has been in the shop only once. I generally get about 300+ miles in the city on one tank of gas. The highway is right at 400. Great vehicle.,,
1.5,Nothing but trouble,jleemc ,08/20/2010,,,1,4,1,1,,1,1,1,2,"I have had nothing but trouble since I bought this vehicle. Even had to be towed once. The check engine light stays on all the time and they cannot fix it. I drove a rental more than I drove the vue for the first year I owned it because it stayed in the shop. Currently at only 50,000 miles the starter has gone out. The vehicle also gets poor gas mileage compared to other comparable SUVs. Not only am I done with Saturn. I'm done with GM. GM is not standing by their product that I have had trouble out of since the day I bought it. It also has very limited passenger space when compared to other similar vehicle.",Cute on the outside,Drive them all into a landfill and walk away.
5,Best Value for the Money,2009 ,02/01/2010,,,5,5,5,5,,5,5,5,5,I don't understand expert reviews that say the 2.4 Ecotect motor in the Vue is underpowered. Ward's Auto World rates GM's 2.4-liter Ecotec as one of the best engines built in America. While not a dragster or a muscle car it has plenty of power to get on the freeway. It defiantly is not sluggish espesially from a stand still. Its gas mileage is better than expected at 26 miles per gallon city/freeway. We are past owners of Cadillacs. Mama has not had to give up any luxuries. In fact some of it's standard features are options on other sub-compact crossovers you have to pay extra for. We really do not feel we could have found a better value for the money. So far we couldn't be happier.,"The Vue's 5 year/100,000 Drive Train Warrantee. The Vue's quietness, its comfortable reclinging front and rear seats, its sporty wheels, it's standard features, its luxury, looks and safety rating other sub-compacts did not offer for the same money.",We don't care much for the locking Tilt Steering Wheel Lever. While it is functional a different type would have been better for entry and exiting. I really think all auto manufacturers should be required include a fish-eye mirror built-into side mirrors to eliminate any blind spots. 
5,Best Value for the Money,Grandpa Phillips ,01/23/2010,,,5,5,5,5,,5,5,5,5,"Plenty of power. Runs like a scalded dog. Have absoulutly no problem getting on the freeway or passing. 1st tank of gas used in city and freeway 23.5 MPG. 2nd tank 24 MPG. Can't wait to see what it will get on a trip. Wife loves the blue tooth, XM radio, premium trim, leather heated power seats. Pleanty of room front and back. Lots of head room too. Looks better than than most other compact SUV's inside and out. Was thinking about buying a Cadillac SRX but MPG wasn't that great. Drove a Toyota CRV but the seats were too hard. Some expert reviews just don't do it justice. Personally I think it beats all other compact SUV's hands down. In fact I may just have buy another one.","Value, power, looks, great gas mileage, ride, quietness, xmradio, voice recognition bluetooth,  5 year/100,000 drive train warrantee, and money saved.",GM should rethink their decision to stop making Saturns.
4.75,I Love my Vue!,Debbie ,12/30/2009,,,5,5,5,5,,5,5,3,5,"I have been looking at the Vue for quite a while now. When I was researching SUV's I always went back to the Vue. I am not sorry. I love it. The gas mileage, for an SUV, is quite good. I am just sorry that GM has chosen to rid itself of Saturn. Shame on them and shame on Penske for not taking it over. It's your loss.",The exterior looks.,Better windshield wiper controls.
4.75,So far so good,dmzempr ,12/15/2009,,,5,5,5,4,,5,5,4,5,"Just purchased this car used with low miles on it.  Excited to see how it handles.  So far I love the interior, the solidness of the build and the way it looks.  Its really starting to shine.  I'll be doing some good detailing on it since I am somewhat compulsive when it comes to cars.  Replacing a '05 Ford Escape base model.  I don't think even the '09 version of the Escape XLT matches this car.",engine power bluetooth phone system on 2009's power everything interior styling low road noise,memory pedals would have been the best.  our youkon xl has them and they are awesome.
5,awesome,mark ,12/02/2009,,,5,5,5,5,,5,5,5,5,"I just bought my v6  vue loaded with leather,  I just can't say enough about it, I don't know why people says it gets bad gas milage, I am getting 27.5 mile per gallon on highway not bad for an suv and did I mention the power 257 hp wow and the 6 speed transmission is great. Too bad this company is going bye bye.  The only thing this suv should have is seperate climate controls.  So, if you are looking for a great suv with great looks, handling and power don't hesitate go and get yourself the xr v6 sat vue now before it is too late. ",257 hp and 6 speed transmission,seperate climate controls
2,Tankfully this one is gone,Scahill ,11/30/2009,,,1,4,1,3,,1,2,2,2,"I cannot stand this vehicle. Build quality is substandard, even for GM. Engineering leaves much to be desired. Car shakes, rattles, and rolls, not in a good sense. Much cheap interior plastic. GM could not even make the spare tire placement effective. GM's fabulous engineers placed the spare is a position to remove much of the storage in the rear. Compare to the more well- engineered vehicles in this class and see what real engineers can accomplish. I will have a hard time disposing of this mess since GM cannot even give this brand away.","None, none, none",Thankfully the  mess that is Saturn will  no longer be with us. There are no improvements.
4.875,Fantastic SUV,Ryan Z. ,10/27/2009,,,5,5,5,5,,5,5,4,5,"I waited a long time to buy this car, but I'm glad I did.  Everything you could want in an SUV you get with the Saturn Vue.  I bought the XR V-6 with a couple of options, but nothing fancy.  I love the way it drives, handles, and the way you feel like your a part of the car when you sitting in the drivers seat.  The interior is set up beautifully.  The V- 6 engine is strong and gives the car plenty of power.  Everyone that sees this car can't believe its a Saturn.  Bravo Saturn.",Steering wheel ammenities.  Love having everything w/in finger reach.  Power of the engine.  XM radio,"none, Saturn/GM did a great job with this car."
