rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,Great,Cody Sigmon ,05/26/2016,5,,4,,,5,5,5,4,,,,,
5,Great compact car,Liwingard@gmail.com ,04/10/2016,5,5,2,,,5,5,5,2,,,"This car is so fast and reliable, great on gas, cheap to fix, beverages. Never breaks down",,
3,Very cool car but in the end UNIMPRESSIVE,Big Daddy WC ,07/29/2015,2,2,2,,,4,4,3,1,,,"The Good:  Huge interior.  I am 6'3"" and have plenty of headroom.  Legroom for the driver is average.  Front Seat passenger legroom is good.  You can lay the back seats down and haul a bunch.  Peppy engine and sound system is good.  Handles really well.  Toyota Camry engine so it is a reliable engine.The Bad:  - The seats.  Horrible.  Arm rest for the driver is way to low and slender.  Worthless.  The passenger arm rest is... wait, there is NO armrest.  Really??  Only 1 power adapter in the entire vehicle.  The center console is tiny, too low and pretty much useless.  The trim is cheap.  The weather stripping on the driver's side window lost its felt (or whatever it is) and the window bound up on the stripping when lowering it.  Car Max extended warranty would not cover.  Had to take a razor and cut it out, else spend $500 for a new door panel.  The ride is horrible.  You feel every bump.  If you are just using this for a trip here and there around town or for short commutes then it is ok.  I am using for a daily commute and it is abysmal.  There really is no intermittent wiper.  The intermittent setting can't be adjusted so it is just a lower low setting.  There is a horrible blind spot on the passenger side when backing out of parking spaces.  The fenders, hood, etc will dent if a leaf falls on it.  I barely leaned up against it and accidentally dented it.  Overall:  If you want a car for short commutes or a safe car for teen drivers then this is it.  Otherwise buy a Camry or Corolla.",,
4.875,2009 XB Fun even for an old guy,ocived ,09/18/2013,,,5,4,5,5,,5,5,5,5,"I bought this car for my daughter in Aug. of 08 after she moved to Colorado in '12 and needed a AWD I took it off her hands, since I'd need a car in a year or so. I love driving it. Very quick off the line and @4000 the VVT kicks in and it's on. For a 2.4 L. 4 cyl wagon it's a blast to drive. Toyota quality is all over this car. 83,000 + and no maintenance issues. One recall for coil packs R&R was it.","Styling, interior room, seat comfort, reliability, sound system, steering controls.",More wiper speeds. Better MPG Average is 27 Hwy.
5,"For me, it's perfect",garyxb ,07/18/2013,,,5,5,5,5,,5,5,5,5,"Bought it off showroom floor 5 years ago and it has never given me even the tinyest problem.It averages 25 mpg in town and 32 on the hwy.I'm an old guy and performance is no longer nearly as important as ergonomics.It is the easiest car I have seen to get in and out of.The ride could be a tad smoother, but it is a minor enough complaint. Handling and performance are not Porsche-like, but are crisp , and are fine for what it is.","Its utility.
Love the fold down rear seats and large carrying capacity.",The ride quality
5,Happy,Happy ,11/13/2010,,,5,5,5,5,,5,5,5,5,"Ok so I owned a 2004 scion Xb and I bought it when it was brand new. It had 130,000 miles on it. Never had a problem not one with any part of the car. Earlier this year I got into an accident and my car was totaled. I decided to go with what I know and love. The Xb is a reliable car, great on gas, roomy. I know every one complains about the arm rest but after owning the original I'm ecstatic to have one at all. I would recommend this car to anyone.","The upgraded stereo, the signals on the mirrors",None
5,oldvet53's '9 scion xb,oldvet53 ,10/11/2010,,,5,5,5,5,,5,5,5,5,"i love this little car! it get's good mpg. and love's twisty back roads. i drive to the V.A. at Little Rock, Arkansas which is 100 miles away and usually spend about $20.00-$22.00 on the round trip. i am able to get 24 mpg. around town.","Economy, performance, layout of controls and inst. Premium stereo, auto- transmission.",more power and rear sway bar as std. equipment. and performance suspension up grade.
4.5,Something different,Ardie ,05/11/2010,,,5,5,5,5,,4,4,4,4,"I've  driven a Camry for the past 6 years; a nice but terribly boring car in every way.  I was looking for something safe as my oldest just turned 16, and the Camry had no side airbags, ABS or traction control.  The XB is fun to drive, very safe, better in the snow than the Camry, incredibly roomy, has a small turning radius, and a reasonably smooth ride.  I drive 30 miles each way to work, and I'm averaging 28 MPG at about 70 MPH.  On long trips I've exceeded 31 MPG.  The car is a like a Tardis, small on the outside but huge on the inside.  And I'm very confident in the safety features for my new driver. I like having a car you don't see everywhere.","Roominess, turning radius, ipod interface, mileage, unique styling, center-mounted instrument cluster, comfortable driving position, and safety.","Factory installed SUNROOF!!! You can't get one, and I really miss having one. I don't want to pay for an aftermarket sunroof.  And I'm in agreement with other reviewers, the armrest is ridiculous."
4,Can't complain,gman ,04/12/2010,,,3,5,4,4,,4,4,4,4,"This car is super reliable and practical.  That's why I bought it and it didn't disappoint there.  But I just don't find it very fun to drive, which is turning out to be more important to me than I thought.  Also the interior feels a bit cheap and I find the ride to be jarring over rough pavement.","Utility, gas mileage","None, it does what is advertised."
2.875,Less than stellar,unclealan ,03/30/2010,,,2,4,2,3,,3,3,3,3,"I used a true Klunker to get this Release Red, and I don't enjoy it as much as some. One tiny armrest, much too wide rear corners, quite hard to back up. Personally I am always hitting the gearshift knob when going to the gps/radio panel. Even the cupholder ticks me off (though admittedly I am a touchy guy). I do like the lights except for the single back-up one. Heated seats on the 'top' should have been part of the package ",,
