rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
5,A car that keeps giving!!!,"Dr. Chris Hahn, Beverly Hills, CA ",09/09/2016,5,5,5,,,5,5,5,5,,,"Hello. Sept 2016, My car is a 2009. New in Sept of that year. Now 90k on it and still as good as the day I drove it off the lot. It becomes part of you. No other car in my 50 years of driving had done that!!  It is just a fun car to drive in the city or on a long road trip.",,
,,,,,,,,,,,,,,,,,
5,A car that keeps giving!!!,"Dr. Chris Hahn, PHD ",09/09/2016,5,5,5,,,5,5,5,5,,,"Hello. Sept 2016, My car is a 2009. New in Sept of that year. Now 90k on it and still as good as the day I drove it off the lot. It becomes part of you. No other car in my 50 years of driving had done that!!  It is just a fun car to drive in the city or on a long road trip.",,
,,,,,,,,,,,,,,,,,
5,LOVE LOVE LOVE MY SMART FOR TWO!!!!,George ,05/13/2016,5,5,5,,,5,5,4,5,,,"Hands down this car has been the smartest vehicle purchase I have ever made. I purchased the vehicle two months ago used with 70,000 miles on it. It needed just a little TLC when I first bought it, as it appears that some maintenance was due, or neglected by the previous owner. I had the 60,000 mile service done, as it is so important to have the valves adjusted on these little cars every 60,000 miles so as to prevent burnt valves and an expensive engine rebuild. It also needed several other maintenance items including a brake job, tire alignment, new belts, and a software update for the spring shift on the transmission due to a computer glitch that cause the transmission to occasionally not shift from park without a little finagling.  Overall I am quite pleased. This ran car really great before, but once these issues were addressed, I have been given peace of mind and more confidence in my little car. It also did improve it's overall performance. I purchased the car for quite a good deal, and even with the additional money I invested in immediate maintenance needs, I still came out ahead overall, since other Smart Cars with the same mileage and year were running at a $1000 plus premium over the car I purchased. I even recently took it on a 1500 mile road trip over very mountainous terrain with a full load of cargo and my wife and I both in the car. It was like the little engine that could. It struggled a little on the hills but it managed to climb each one and return an average fuel economy of 43mpg doing it! It is easy to park, I get people stopping to stare and ask questions everywhere I go. It is small on the outside, but spacious on the inside. It is overall very comfortable to drive, even on long distances. It is a joy to drive in the city, which is where it feels most at home. The seats are firm and supportive. The interior feels like it is well built and made out of quality materials. Yes Mercedes did something right with this car. Safety, reliability, fun factor, and practicality. What more can you ask for. I am already planning an upgrade to another Smart Fortwo in a few years. They have a life time fan.",,
,,,,,,,,,,,,,,,,,
5,Simply a blast to drive!,franktracy ,12/01/2013,,,5,5,5,5,,5,5,5,5,"I bought the 2009 smart passion coupe in September of this year. It drives great on the freeways here in Southern California, including the 10, 605, 57, 60, and 15. It handles great in all lanes and is no problem next to big rigs or in the wind. Also I have never replaced shocks on any car I have ever owned. I have always enjoyed the true feel of the road. This car fits that perfectly. I never drive it in automatic, only in manual mode. It's a heck of a lot of fun to drive, and seats are extremely comfortable. I recently took a bunch of stuff to a local thrift store. The guy unloading it was amazed at how much this little car would hold. I'm 6'5"" and I've got plenty of head and leg space.","There are so many but my favorites include: the ledge on the dash. I've never before seen a car with a ledge. It's great for laying down pens, pencils smartphone, etc. And it looks awesome! Other great features are: power steering, the brake pedal look and feel, gps, iPhone calling, heated seats, slider for sun roof, and the conversations it starts. And one big one - in the 80's I had a manual transmission, but always hoped that someone would come out with a car that didn't have a clutch pedal. Smart did that and also added the steering wheel paddles, hill assist and a floor shifter that is light and changed the way I think about shifters. Also, I love how much room is freed up in my garage.","Spare tire (although the tires on my smart are top of the line - quite expensive), and offer the diesel version in the U.S. Right now I'm averaging about 44 mpg, but it would be great to get the 60-85 mpg that I here the diesel gets. Also, easier access to the battery would be nice.
 
"
,,,,,,,,,,,,,,,,,
5,WORLDS FINEST GO CART WITH AC AND AIR BAGS,brabus4two ,08/02/2013,,,5,,,5,,5,5,,,"I picked it up in Vegas in 2012 with only 6100mi. and went straight to the strip that evening with the top down and the Biggest Smile on my face! This Brabus stole the show from the worlds finest automobiles as everyone was looking and pointing! This car satisfies my desire for a car, a motorcycle, and a Go Cart...The transmission is ""different"" relax and let it do it's job while you do yours Smiling...Want to go faster then use the paddle shifter!And those who say AC is weak need Freon, it was 113 and I had to turn it down and windows are not tinted! After a year I still haven't hit 7,000mi yet...I love the car so much I can't bare to put miles on it...So I treat myself now and thenBRABUS LONGTERM UPDATE:Well I gave up trying to keep the miles low cause I love to drive the car so much!I've had Absolutely ZERO Problems in the last 50,000mi, all I've done is Mobile One 15W50 every 10k, and a set of tires.My wife TO THIS DAY will not admit she likes driving it!  But she's always behind the wheel for some reason???  She and my 82yr old Mom always come flying down the drive like they are in a Nascar race!And that works for me as it keeps the miles off, and holds the value of our ML350 Bluetec...Our favorite use for ""Smarty"" is driving the her into our 45' 5th Wheel Garage and using her like a golf cart when we arrive at the campgrounds!We're always the ONLY ""Golf Cart"" with AC, and the only one that can ""Legally"" leave the campgrounds and drive on the main roads!Will never sell or trade as the Current Smart is Larger and in my opinion not as cute...Lastly, I wouldn't like it nearly as much if it were not a convertible...There's nothing like crusing on a nice evening with the top down!",,
,,,,,,,,,,,,,,,,,
