rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,Ruby the Subaru,Greg ,11/12/2016,4,3,4,,,4,5,4,5,,,"Great little SUV, I purchased at 92,000 miles and immediately had to do a tune up, head gaskets, brakes, drive belts, thermostat, battery, and power steering pump. I would have sold it once I figured out everything that was wrong but the mechanic said that the vehicle would be good for at least another 100,000 miles now and that these are normal Subaru issues. It's very comfortable, it drives great and holds the road better than anything I have ever owned. Keep your fingers crossed that the mechanic is right, I didn't expect to pay such a high resale amount and have to put that many repairs in within the first three months of ownership.",,
,,,,,,,,,,,,,,,,,
4,snappy and sassy suv,carol horvath ,10/23/2016,4,4,4,,,4,4,4,4,,,great suv.  Great all around vehicle.,,
,,,,,,,,,,,,,,,,,
5,Susie Subaru,Susie ,08/21/2016,5,,5,,,5,5,4,5,,,Great car and without a doubt one of the best cars I have had the pleasure of owning.,,
,,,,,,,,,,,,,,,,,
5,Best of the small SUv's,Howard Bowden ,07/11/2016,5,5,,,,5,5,4,3,,,I have since bought a 2014 Subaru turbo Forester ( it is my 5th),,
,,,,,,,,,,,,,,,,,
5,The Bru' is true,Jim ,05/15/2016,5,3,4,,,5,5,4,4,,,"This has been a very dependable, safe car. We've had it for 70k miles and it is very cheap to operate. I really have no complaints of a seriuos nature. the sound of the opposed 4 cyl motor with it's 4 spped automatic is less than inspiring but that's a minor thing. the fuel economy has been around 23 mpg around town and i suppose it could be better, but everything else has been so cheap to fix that I really don't mind it. All in all it's been a good car for short trips and grocery getting, etc",,
,,,,,,,,,,,,,,,,,
1,Subaru LEMON!!!,karol schoenbaum ,04/13/2016,,,,,,,,1,,,,"Don't buy this car for any amount of money...It is a design disaster, more importantly, it is is a major repair money pit. You can count on large regular repair bills, hundreds or thousands of dollars each! I have owned my own car for 58 years. I have spent more money on major repairs on this subaru than I have spent on all my other vehicles combined!!! You name it and I have repaired it on this vehicle.",,
,,,,,,,,,,,,,,,,,
2,"major engine repairs needed at only 45,000 miles",Caitlin Urie ,03/30/2016,1,2,3,,,1,3,3,3,,,"It had just over 45,000 miles on it when there was a knocking noise coming from the engine, so I took it to the dealership. They told me the short block needed to be replaced, and quoted me almost $5,000 for the repair. When I asked about a trade in or what my options were they asked me if I had driven the car without oil in it or something! I doubt they would have asked my husband if we had driven the car without oil in it. We have taken good care of maintaining the car, that is how we noticed that it was using way more oil than it should. They told me that without the repair it would only trade in for $3,500. I told them we needed time to make a decision and they did give us their loaner car for the weekend which was nice. When I returned the loaner car they said they would split the repair cost, they pay 70% I pay 30%. I did some research and found several other reviews of 2008-2009 Forester's needing the short block replaced. I plan to fix it then trade it in before anything else goes wrong.",,
,,,,,,,,,,,,,,,,,
1,Junk,Jpw ,03/10/2016,1,1,1,,,1,2,1,1,,,"I trusted the Subaru name, unfortunately it does not live up to.  No power, poor interior design, below average mpg.  Had to put a new engine at 120k miles, replaced all 4 wheel bearing because they were rusted out.  Can't wait to get rid of.",,
,,,,,,,,,,,,,,,,,
1,big disappointment,tj ,02/16/2016,2,,,,,1,,,,,,"I bought my 2009 Forester brand new with hopes it would last at least 200,000 miles with no major issues.when it hit 90,000 miles it started leaking oil out of one of the head gaskets unfortunately it was no longer under the factory warranty and I was going to have to pay close to $3,000 to have it repaired. This was my first and definitely my last Subaru that I will ever own.",,
,,,,,,,,,,,,,,,,,
3,Engine blew at 122K,Kevin Stewart ,12/16/2015,3,4,4,,,2,5,4,3,,,"I was told "" buy a Subaru they run forever"" Well mine did not. No warning, all maintenance kept up on schedule and it throws a rod at 122k miles. I hardly call that forever. I previously had 2 Jeep Grand Cherokees that I traded in at 155K and 180K both of which were still running. Will not be buying another Subaru.I received an e-mail asking me to update my review, saying ""What do you think of your Subaru today"" Well I no longer own the piece of crap, bought a Toyota RAV4 and I am MUCH happier with it then I ever was with my now dead Subaru, will STILL NEVER but another Subaru!!",,
,,,,,,,,,,,,,,,,,
4,Transmission cooked at 132K,DK ,10/05/2015,,4,4,,,3,4,3,5,,,Bought it new and babied it for all 6 years I owned it.  Regular dealer servicing throughout.  No major issues until transmission completely blew at 132K.  Too early for an automobile to blow a transmission.,,
,,,,,,,,,,,,,,,,,
2,Bad Subaru Story,pick417 ,07/05/2015,2,2,2,,,2,3,2,3,,,"This past April, I purchased a 2009 Subaru Forester from Byers Subaru, Dublin OH and eagerly anticipated the ownership experience Subaru promises and proudly bases its reputation.  Contrary to the Subaru promise, my experience over the first 3 months has been a nightmare.  The first service was performed within a few weeks of purchase ($700).  A month later the vehicle stopped running and required a tow to a Subaru dealership.   Initial thoughts were a timing belt failure.  $600 dollars later, we learned it was a timing belt pulley failure and would require extensive engine repairs or an engine replacement ($2500 to $6000).   The timing belt was not due to be replaced for 10,000 miles.   Continuing saga .....check engine light came on.....traced to faulty brake booster 300.00 repair cost.  Does this kinda of crap ever end?  Subaru is selling the public snake oil regarding how reliable their cars are!!",,
,,,,,,,,,,,,,,,,,
3.875,It's always something new......,photosbymatt ,03/25/2015,,,3,5,4,3,,3,5,4,4,"From purchase at 117,000 miles to now at 134,000 miles, this Forester has needed: Oxygen sensor, new catalytic converters, re-wired transmission speed sensor, two sets of head gaskets (six months apart), timing belt, water pump, thermostat, and rear pads & rotors. The transmission in this Forester is jerky & extremely rough. I have records from the previous owner, and it was babied and taken care of very well. I maintain this car as well as I can, and I just hope that it will last another five years. The engine pings horribly while running up through the gears. Detonating or ""pinging"" is absolutely horrible for an engine, yet Subaru claims that this is normal. I love Subaru's, but wow.......","All wheel drive, ground clearance.",Get rid of the 4-speed automatic and put in a 5-speed!
,,,,,,,,,,,,,,,,,
3.75,Overall a fun and capable Subaru,cjphilip ,01/14/2015,,,3,4,4,3,,3,4,4,5,"I purchased this car used for about $8k with just about 161K on the odometer to replace a totaled grad present thanks to an inattentive freeway lane-changer. 

I loved it the moment I saw it, but dreaded the notch-y first gear. For being a younger male driver, I want something practical and safe, yet fun but wanted some comfort for occasional long drives and never could find a car i liked that didn't cause minor back aches even on a short test drive, except for this one.

If only it had a few more inches of trunk space and more factory stereo options as the 80w preamp is barely enough for the 4 main, let alone the opt 6 speaker set, and I've read the NAVI is not at all user-friendly","My partner and I love to go soft-roading on hidden dirt trails and its perfect to explore

The Panoramic sunroof is beautiful for stargazing

The rear seats recline for better passenger comfort

Excellent Incline Assist for hilly signal lights and stop signs

Comfortable ride and seats overall

Headlamps with optional fog lamps leave nothing unseen

Sharp breaks, good road manners

Great all-round driver visibility

Decent MPG with 5M and easy driving
(I average about 24-26 MPG in mixed city/hwy and hilly driving)

The AWD makes for superior grip feel and may inspire ""spirited"" driving on winding roads and excellent off/softroading

Snow is a blast in this lil'crossover","Easier to read base stereo would be nice, sunlight makes it very difficult to read

My trans sometimes fights with me over reverse gear

Add a Turbo WITH a manual please (New XT still can't have a 5M/6M

Who thought it'd be smart to get rid of a temperature gauge and replace it with a tiny light that you can barely see when it ""warns"" you that it is about to overheat?

I'm not tall (5'10""), but every once in a while, when getting in the front seat I'll end up hitting my knee on the corner of the dash because of its bowed design

Platinum cloth seating easily shows watermarks/other spills but are easy to shampoo away

Not much of a driver information center"
,,,,,,,,,,,,,,,,,
4.25,Side mirorrs ,viewpoint ,11/01/2014,,,5,4,4,5,,4,4,3,5,"We have 2 Impreza and a 2009 Forester. The side mirrors  are set to high. they block 90% of the side vision when you entering another side road,you cant see nothing.
 Are there  that can give me an idea if there is any other mirrors that I can  on it instead the original ones. Also stero sound very poor at the back, front seats uncomftable. 
Thank you.",,
,,,,,,,,,,,,,,,,,
3.25,It is what it is.,fitethefututre ,03/11/2014,,,3,3,4,4,,3,3,3,3,"Manage you expectations.It's a crossover. So it doesn't do anything exceptional.The insides are unremarkable.So is the exterior.We have 2 little kids.So we need lots of space, with two car seats.It has a reasonable amount of space, but we can't fit everyone in--and the dog.I like the head room.Also, it has pep in the city for local driving, but with only a four banger, it is gutless on the highway.Maintenance is OK.Go under the wire for the warranty on the AC and replacing the rotors at 3 mm.46K miles so far.So if you want something with more room, get a real SUV (We have a Sequoia for long trips).If you want a sports car, get something with more guts.",,
,,,,,,,,,,,,,,,,,
2.25,The car I really wanted to love,crr40 ,04/10/2013,,,2,3,1,1,,3,3,2,3,"I decided on a Subaru Forester after extensive research, and bought a 2009 model new.It had flaws in the beginning- the ipod adapter didn't work well; the stereo in general was not very impressive, the driver's seat was uncomfortable, the mpg was consistently on the low end - but I didn't regret my purchase until the big problems started at just 29K miles, within weeks of the bumper to bumper warranty expiring.Between 29K and 38K miles the car has had the engine coil replaced, the brakes replaced and now the transmission.It's not my driving, either - my last car went 9 years and 80K miles without a single repair and I've never spent this much in repairs on any car in 20+ years.","Overall functionality; cargo room, ease of handling, 4 wheel drive. ","Better stereo, more comfortable seats, better fabric (the platinum cloth in mine is actually stain absorbent - even water leaves a mark).

Reliability.
I know Subarus are generally reliable, but they do make lemons."
,,,,,,,,,,,,,,,,,
