rating_value,rating_title,atuthor_name,rating_time,Value_1,Technology,Interior,Exterior_Design,Build_Quality,Reliability,Safety,Performance,Comfort,Value_2,Fun_To_Drive,reviews,pros,cons
4,"It's ok, but not after 80,000 miles",Brandie ,12/07/2016,3,3,4,,,4,4,5,4,,,"This car has been wonderful - until this year. My husband and I both have one of these cars. (Mine is orange, his is white) (Mine was bought brand new back in 2009, his was bought used just a year ago.) Repairs were normal wear and tear (new tires, oil changes, etc...) (Btw, we also have manual transmissions).  Well, this year came and these cars have been garbage. One day my orange, bought brand new, car suddenly wouldn't crank. Nothing. So I have to towed in. Turns out the entire freaking computer was somehow damaged. They said it could have been lightening - but we're in a severe drought, it hasn't rained in over a month. It cost me nearly 3 grand to fix. Then my husband's check engine light came on. So we took it in - the two catalytic converters are going bad... and guess how much it is to fix it... 3 grand. If something else goes wrong we're trading these in for something else. I'm so disappointed. Suzuki made older cars, like the X-90 and tracker which are nearly indestructible.",,
,,,,,,,,,,,,,,,,,
2,Lots of repairs,Bob Provencher ,10/22/2016,3,5,4,,,1,4,2,3,,,"I bought this car brand new in 2009.  A rebuilt transmission ($3,000) in 2014, replaced a/c compressor ($1,800) and water pump ($1,200) and finally a thrown rod are all the problems I had to deal with in a relatively new car.  Add to that poor gas mileage and faster than normal break and tire wear led to a pretty expensive car to operate.  Thankfully it was pretty cheap to buy brand new.  I wouldn't buy another one (if I could).",,
,,,,,,,,,,,,,,,,,
4,Low maintenance!,Deborah McDaniel ,09/26/2016,5,5,5,,,5,5,4,5,,,We were looking for a replacement for the same year and model where the engine got blown from lack of oil (new driver). In the 5 years we owned this make/model the only maintenance cost was oil changes. My college student driven neglected to change the oil and blew the engine after he moved away from home. I happily replaced it with the same make/model because I knew it would perform well and have low maintenance costs.,,
,,,,,,,,,,,,,,,,,
4,great car for Colorado,JAT ,09/15/2016,5,5,5,,,5,5,5,4,,,"This is a perfect car for living here in Colorado Springs. The only downside is less gas mileage than I would like. But the AWD, traction control, and relatively high ground clearance means that whenever it snows or is icy, it will get you where you need to go. When you see cars pulled off the side of the road, or trying and failing to climb an icy hill, you won't have a problem keeping going. Perfect if you need to get to work or to the Denver airport in marginal road conditions. I would absolutely be buying another one soon, if only Suzuki hadn't pulled out of the USA market a few years ago.",,
,,,,,,,,,,,,,,,,,
5,Exactly what we needed,CarmenV ,07/18/2016,5,5,5,,,4,5,4,4,,,"This car is reliable and compact. Doesn't sit as low as other small vehicles. The use of space is good. The design features make sense. Love the Hatchback.  It's great for a first car or if you want fuel economy. It gets decent gas mileage, not spectacular. It drives great and we are happy with our purchase.",,
,,,,,,,,,,,,,,,,,
